SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME,area
北投區,6301200,湖田里,6301200042,010,6301200042010,湖田里10鄰,9017151.38013000000
士林區,6301100,菁山里,6301100047,010,6301100047010,菁山里10鄰,4168004.02387000000
北投區,6301200,湖田里,6301200042,009,6301200042009,湖田里9鄰,967944.88840700000
北投區,6301200,湖田里,6301200042,007,6301200042007,湖田里7鄰,1121331.20312000000
北投區,6301200,湖田里,6301200042,006,6301200042006,湖田里6鄰,262083.43769800000
北投區,6301200,湖田里,6301200042,004,6301200042004,湖田里4鄰,301610.00099000000
士林區,6301100,菁山里,6301100047,006,6301100047006,菁山里6鄰,4094847.83049000000
北投區,6301200,湖田里,6301200042,005,6301200042005,湖田里5鄰,1001103.45775000000
北投區,6301200,大屯里,6301200041,006,6301200041006,大屯里6鄰,807402.81932500000
北投區,6301200,大屯里,6301200041,009,6301200041009,大屯里9鄰,1891060.13519000000
北投區,6301200,湖田里,6301200042,008,6301200042008,湖田里8鄰,1683444.23318000000
北投區,6301200,湖田里,6301200042,003,6301200042003,湖田里3鄰,1073052.54444000000
北投區,6301200,湖田里,6301200042,002,6301200042002,湖田里2鄰,500399.13720000000
士林區,6301100,平等里,6301100048,010,6301100048010,平等里10鄰,1082882.74668000000
北投區,6301200,泉源里,6301200039,015,6301200039015,泉源里15鄰,582334.09285400000
士林區,6301100,平等里,6301100048,007,6301100048007,平等里7鄰,2301554.98642000000
北投區,6301200,泉源里,6301200039,016,6301200039016,泉源里16鄰,735934.29246300000
北投區,6301200,泉源里,6301200039,009,6301200039009,泉源里9鄰,651508.13244100000
北投區,6301200,大屯里,6301200041,010,6301200041010,大屯里10鄰,21046.56521100000
北投區,6301200,大屯里,6301200041,007,6301200041007,大屯里7鄰,260625.77862600000
北投區,6301200,湖山里,6301200040,011,6301200040011,湖山里11鄰,180344.59536700000
北投區,6301200,湖田里,6301200042,001,6301200042001,湖田里1鄰,398420.11334500000
北投區,6301200,秀山里,6301200032,008,6301200032008,秀山里8鄰,515531.77249500000
北投區,6301200,湖山里,6301200040,012,6301200040012,湖山里12鄰,283095.60813000000
北投區,6301200,大屯里,6301200041,005,6301200041005,大屯里5鄰,25755.99303190000
北投區,6301200,湖山里,6301200040,010,6301200040010,湖山里10鄰,214237.62090100000
北投區,6301200,秀山里,6301200032,001,6301200032001,秀山里1鄰,457737.85943500000
北投區,6301200,泉源里,6301200039,005,6301200039005,泉源里5鄰,639303.65141700000
北投區,6301200,泉源里,6301200039,008,6301200039008,泉源里8鄰,205384.73442200000
