Category,Category_Name,Classes,Classes_Name,Subcategory,Subcategories_Name,Business_Item,Business_Item_Desc,Business_Item_Content
A,農、林、漁、牧業,A1,農業,A101,農藝及園藝業,A101011,種苗業,依植物種苗法規定，從事繁殖、輸出入、銷售種苗之事業者。
A,農、林、漁、牧業,A1,農業,A101,農藝及園藝業,A101020,農作物栽培業,從事稻米、蔬菜、果樹、甘蔗及雜糧等作物栽培之行業。包括稻作栽培業、雜糧栽培業、蔬菜栽培業、果樹栽培業、甘蔗栽培業。
A,農、林、漁、牧業,A1,農業,A101,農藝及園藝業,A101030,特用作物栽培業,從事纖維料、油料、糖料、嗜好料、香料、藥料及工業原料等特用作物栽培之行業。如棕櫚栽培、苧麻栽培、亞麻栽培、大甲藺栽培、芏苡（三角藺）栽培、向日葵栽培、油菜籽栽培、葛鬱金（粉薯）栽培、甜菜栽培、茶葉栽培、菸草栽培、胡椒栽培、花椒栽培、香茅草栽培、芥末籽栽培、杭菊栽培、除蟲菊栽培、枸杞栽培、黃蓍栽培、麥門冬栽培、桑樹栽培、 棉花栽培、瓊麻栽培、黃麻栽培、洋麻（鐘麻）栽培、芝麻栽培、蓖麻籽栽培、樹薯栽培、甜菊栽培、咖啡栽培、可可豆栽培、蛇麻栽培、茴香栽培、仙草栽培、洛神葵栽培、薄荷栽培、魚藤栽培、當歸栽培、山藥栽培、柴胡栽培、牧草栽培、綠肥作物栽培。
A,農、林、漁、牧業,A1,農業,A101,農藝及園藝業,A101040,食用菌菇類栽培業,從事食用菌菇類栽培及其菌種培育之行業。木耳栽培、香菇栽培、草菇栽培、 靈芝栽培、洋菇栽培、金針菇栽培、食用菌菇類菌種培育。
A,農、林、漁、牧業,A1,農業,A101,農藝及園藝業,A101050,花卉栽培業,從事花卉栽培之行業。如盆花植物栽培、觀葉植物栽培、 切花植物栽培。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102020,農產品整理業,從事農產品收割後未銷售或加工前整理或初步處理之行業。如農產品清洗、農產品分級包裝等。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102030,蠶絲業,經營絲繭、平面繭之行業。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102041,休閒農業,利用田園景觀、自然生態及環境資源，結合農林漁牧生產、農業經營活動、農村文化及農家生活，提供國民休閒活動場所之行業。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102050,作物栽培服務業,從事作物之種植、栽培、保護、採收等服務，包括農地耕整、作物栽培、作物保護、土壤處理及施肥、作物採收等機器或人力操作之行業。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102060,糧商業,經營糧食買賣、經紀、倉儲、加工、輸出及輸入之行業。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102070,菸草整理業,從事含菸鹼之菸葉、菸株、菸苗、菸種子、菸骨、菸砂等初步整理，且整理後尚未達可供吸用、嚼用、含用、聞用或以其他方式使用之行業。
A,農、林、漁、牧業,A1,農業,A102,農事服務業,A102080,園藝服務業,從事花草、樹木之種植、施肥、修整、維護，與觀賞樹木、花草供應等服務之行業。行道樹之移植、修剪、維護亦歸入本類。
A,農、林、漁、牧業,A1,農業,A199,其他農業,A199990,其他農業,從事 A101 至 A102 小類以外之其他農業之行業。
A,農、林、漁、牧業,A2,林業及伐木業,A201,林業,A201010,造林業,從事一般林木之採種、移植、種植、保護及管理之行業。如林木採種、林木栽植、育林、森林保護、森林防火、林相改良、林木病蟲害防治等。
A,農、林、漁、牧業,A2,林業及伐木業,A201,林業,A201030,特殊林木經營業,從事特殊用途林木種植並收取其產品之行業。從事防風林之種植亦歸入本類。
A,農、林、漁、牧業,A2,林業及伐木業,A201,林業,A201040,森林遊樂區經營業,在森林區域內，經中央主管機關核定而設置，為提供遊客休閒及育樂活動之行業。
A,農、林、漁、牧業,A2,林業及伐木業,A202,伐木及林產經營業,A202010,野生物採取業,從事林區野生物採捕之行業。
A,農、林、漁、牧業,A2,林業及伐木業,A202,伐木及林產經營業,A202020,薪炭業,利用林產枝梢製造薪材或燒製木炭之行業，如燒炭、薪材採取。
A,農、林、漁、牧業,A2,林業及伐木業,A202,伐木及林產經營業,A202040,伐木業,從事木材之砍伐、剝皮、切斷等初步處理，生產幹木、圓段、粗劈材等，以及利用索道、溜槽、溪流等集運材木之行業，如包工伐木、薪材砍伐、竹林砍伐、木材溜集、伐木及粗解、山地木材集運。
A,農、林、漁、牧業,A2,林業及伐木業,A299,其他林業,A299990,其他林業,從事 A201 至 A202 小類以外之其他林業之行業。
A,農、林、漁、牧業,A3,漁業,A301,漁撈及水產養殖業,A301010,遠洋漁撈業,使用動力漁船在我國二百浬經濟海域以外，從事漁撈之行業。
