"統一編號","公司名稱","公司地址"
"00036247","本原煤氣有限公司","臺中市大肚區遊園路二段174號"
"00696015","震台工程有限公司","連江縣北竿鄉塘岐村205號"
"00700860","慎昶水電工程有限公司","基隆市七堵區明德一路98號"
"00713078","震祥開發電業有限公司","基隆市暖暖區八堵路二二號"
"00724119","昇原水電工程有限公司","基隆市暖暖區源遠路292巷135號1樓"
"00801614","裕昌水電工程有限公司","基隆市中山區西康里復興路45-1號"
"00852710","富煜資產管理顧問股份有限公司","基隆市中山區中和路85巷5弄30號1樓"
"00862175","行天馬有限公司","基隆市中山區德安里復興路291號底層"
"00883896","航合有限公司","基隆市信義區東信路35巷8之3號"
"00890524","宏權水電工程有限公司","基隆市信義區培德路20號"
"00895289","長業船機工程有限公司","基隆市中正區中船路102之2號3樓"
"01126219","益來工程股份有限公司","臺北市內湖區內湖路3段308號1樓"
"01185764","全辰實業有限公司","臺北市中山區長安東路1段8號3樓"
"01189348","金大地企業有限公司","新北市五股區成泰路1段23號"
"01191610","明美實業有限公司","臺北市松山區復興北路417號1樓及419號1樓"
"01410919","小雅室內裝修有限公司","臺北市中山區長春路65號12樓"
"01509406","尚程企業股份有限公司","新北市汐止區新台五路1段79號17樓"
"01520090","坤義室內裝修設計有限公司","臺北市信義區松隆路159巷39號1樓"
"01871118","神寶生技開發有限公司","新北市新莊區中港路591巷25號1樓"
"01884373","臺灣熱泵能源科技有限公司","新北市汐止區明峰街297巷8號5樓"
"01989427","聯驊燈飾有限公司","新北市三重區中正北路530巷1之1號2樓"
"02280082","一誠水電工程有限公司","新北市新店區建國路55號4樓"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"02361438","龍基工程有限公司","新北市新店區公崙里安忠路57巷5-7號3樓"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"03028404","工信工程股份有限公司","臺北市大安區市民大道4段102號8樓"
"03228304","和成欣業股份有限公司","臺北市內湖區湖元里行善路398號1樓"
"03251000","和泰興業股份有限公司","臺北市內湖區新湖一路36巷18號1至7樓"
"03264336","協達水電工程有限公司","臺北市信義區信義路4段458號4樓"
"03553526","台灣林內工業股份有限公司","桃園市楊梅區梅獅路2段577號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"04240501","誠建室內裝修股份有限公司","臺北市中山區建國北路2段135、137號地下1樓"
"04256025","豪洲建設股份有限公司","臺北市中正區杭州南路１段７１巷１０號"
"04265235","萬達工程顧問股份有限公司","臺北市中正區館前路65號10樓"
"04279694","國雍營造工程股份有限公司","臺北市內湖區新湖一路8號6樓"
"04290234","大力鋁門窗股份有限公司","新北市三重區中興南街27號"
"04309634","雅順工業股份有限公司","新北市三重區光復路2段80號5樓之3"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04362617","日南工程有限公司","新北市板橋區中正路87之3號"
"04388829","大仁室內裝修股份有限公司","臺北市信義區松仁路89號8樓之4"
"04394104","大洋通信工業股份有限公司","臺北市大同區重慶北路3段25巷3之3號2樓"
"04397003","一等美術裝潢工程有限公司","臺北市中山區吉林路404號1樓"
"04416803","神功企業有限公司","臺北市中山區南京西路5之1號9樓之3"
"04452259","翔安興業有限公司","臺北市中正區愛國東路92號"
"04487519","廣彬貿易有限公司","新北市三重區大同北路167巷49弄2號"
"04518338","游氏開發有限公司","臺北市大同區赤峰街27號3樓"
"04525302","裕順水電工程有限公司","桃園市桃園區萬壽路3段63號"
"04532578","天原室內裝修企業有限公司","高雄市小港區明聖街245巷2之1號2樓"
"04543287","廣泉工程有限公司","臺北市萬華區環河南路3段227號"
"04561165","西法室內裝修企業有限公司","臺北市大安區仁愛路3段123巷7號1樓"
"04563558","安啟企業有限公司","新北市中和區員山路三○二號"
"04583689","佑晨機械股份有限公司","新北市樹林區鎮前街269巷20號"
"04585639","隆全工程有限公司","臺北市萬華區萬大路137巷17號1樓"
"04598509","同達水電工程有限公司","臺北市萬華區武成街30號1樓"
"04601259","力安電機水電工程有限公司","臺北市文山區三福街57號1樓"
"04602975","復聲水電工程有限公司","新北市土城區中央路二段三三○號一樓"
"04630254","福全水電材料有限公司","臺北市中正區金華街28號1樓"
"04636573","正芳水電工程股份有限公司","新北市永和區仁愛路301號1樓"
"04641034","永誠興工程企業有限公司","臺北市文山區興隆路3段19號2樓"
"04655780","達衛企業工程有限公司","桃園市龜山區大坑里南上路401號"
"04664471","國印企業有限公司","臺北市萬華區長順街105巷7號3樓"
"04682908","聯忠室內裝修工程有限公司","臺北市信義區吳興街170巷2弄4號4樓"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
"04715871","嘉家企業有限公司","臺北市松山區延壽街151號1樓"
"04720234","宏雄工程股份有限公司","臺北市松山區八德路4段135號4樓之2"
"04721022","星南通信電機工程有限公司","臺北市大安區辛亥路3段157巷10號"
"04736313","川太金屬有限公司","桃園市桃園區文明里大同路112-6號1樓"
"04754613","大台北防水測漏工程有限公司","臺北市中山區八德路2段174巷15弄11號1樓"
"04755893","寬益企業有限公司","臺北市信義區信義路5段150巷16弄6號1樓"
"04784911","福泉工程股份有限公司","臺北市松山區富錦街89號1樓"
"04793101","清河工程有限公司","新北市汐止區福德一路392巷21號之3"
"04824370","駿驊國際實業股份有限公司","新北市汐止區環河里福德一路392巷17號"
"04824575","李奇恩科技股份有限公司","新北市新莊區新北大道2段278號9樓"
"04850123","中祥食品工業股份有限公司","臺北市文山區木新路2段275號1樓"
"04865435","業昌營造股份有限公司","臺北市信義區信義路6段56號7樓"
"04891089","建和製麵工廠有限公司","臺北市文山區指南路1段55之1號"
"04894706","正育國際有限公司","臺北市文山區木新路3段339巷7號"
"04902831","基泰營造股份有限公司","臺北市信義區光復南路495號地下1樓"
"04918897","全永水電工程有限公司","臺北市文山區福興路78巷20弄19號1樓"
"04926849","包豐工程有限公司","臺北市信義區中坡南路243號1樓"
"04938839","日高工程實業股份有限公司","高雄市小港區其美街19巷4號"
"04963288","申華冷氣有限公司","臺北市中山區長春路219號2樓之3"
"04970464","住佳室內裝修設計工程有限公司","臺北市大安區信義路4段187號8樓"
"04983411","惟多有限公司","桃園市龜山區大華里文東五街95號"
"04984832","金鼎櫥櫃有限公司","臺北市大安區仁愛路4段416號1樓"
"04987129","偉盈工程企業有限公司","高雄市鳥松區松埔北巷2之92號15樓之1"
"05002668","挺譽貿易有限公司","臺北市中正區牯嶺街128號3樓"
"05010267","任福企業有限公司","臺北市中正區寧波西街76之1號1樓"
"05022664","必合實業有限公司","新北市新店區松林路6號之9"
"05025711","民芳設計室內裝修工程有限公司","臺北市中正區和平西路1段80號3樓"
"05066108","亞永實業股份有限公司","新北市新店區寶興路45巷8弄1號4樓"
"05075182","博飛實業股份有限公司","臺北市信義區松德路170之7號1樓"
"05077301","超群三溫暖工程有限公司","新北市新莊區化成路113巷86之1號"
"05086625","丹青企業有限公司","臺北市中山區中山北路3段53之6號4樓"
"05090466","中興鑑定顧問股份有限公司","臺北市中正區忠孝西路１段４５號１０樓之６室"
"05106798","歐孚家具股份有限公司","臺北市大安區潮州街104號"
"05129309","泰隆展業有限公司","新北市新莊區新樹路11號1樓"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號"
"05196019","大昌精業有限公司","臺北市中正區汀州路2段10號2樓"
"05423957","東耘室內裝修工程有限公司","臺北市內湖區成功路4段323巷13號2樓"
"05429782","富業工程有限公司","臺北市內湖區民權東路6段280巷43號"
"05432999","行晟企業有限公司","新北市汐止區福德一路405巷25號"
"05628282","虹毅室內裝修興業有限公司","新北市永和區民族街43巷6號1樓"
"05631977","旗峯工程有限公司","新北市中和區莊敬路49巷23號1樓"
"05636608","一城國際實業有限公司","臺北市中正區羅斯福路3段128巷15號地下"
"05643495","尚洪工程有限公司","臺北市萬華區昆明街34號5樓之2"
"05871069","聯虹營造有限公司","新北市板橋區館前東路112之1號7樓"
"06159879","正任營造有限公司","雲林縣斗六市鎮東里警民街102號"
"06669388","總源實業有限公司","高雄市三民區九如一路94號"
"07220401","松大安防股份有限公司","臺北市大同區民族西路205巷4號1樓"
"07505103","福茂國際股份有限公司","臺北市中正區仁愛路2段7號5樓"
"07509662","維興煤氣有限公司","臺北市大同區涼州街1-11號"
"07602724","定信水電工程有限公司","臺北市中山區錦州街50號9樓之19"
"07692746","松大資訊工業股份有限公司","臺北市大同區民族西路205巷2號1樓"
"07716091","皇富水電工程有限公司","新北市新莊區化成路７５２之３號３樓"
"07719479","華旗飲水機有限公司","臺北市大同區承德路3段157號1樓"
"07736857","朱門室內設計工程有限公司","臺北市松山區敦化北路222巷6號3樓"
"07842837","百揚開發股份有限公司","新北市板橋區中山路1段1號19樓之8"
"09406229","海商實業股份有限公司","臺中市西屯區黎明路二段936號1樓"
"09410820","大門設計事業股份有限公司","臺北市中山區新生北路3段93巷37號6樓"
"09414987","金倫設計工程有限公司","臺北市大安區仁愛路4段85號14樓"
"09417865","誠利工程有限公司","臺北市中山區松江路2號12樓之8"
"09435435","造格室內裝修有限公司","臺北市大安區金山南路2段137號2樓"
"09450619","穩立舞台音響燈光工程有限公司","臺北市南港區南港路3段50巷12號5樓"
"09453361","天保工程有限公司","臺北市大安區和平東路3段212巷38號1樓"
"09457269","鉅佳室內裝修有限公司","臺北市大安區信義路4段187號8樓"
"09462538","佳濃實業有限公司","臺北市中山區松江路194巷36號"
"09462663","旭地建設股份有限公司","臺北市內湖區金莊路100號10樓之1"
"09466598","杰群室內裝修設計工程有限公司","臺北市松山區延吉街48巷2號"
"09470565","萬大室內裝修設計工程股份有限公司","臺北市中正區館前路65號10樓"
"09473177","甘氏貿易有限公司","臺北市大安區復興南路2段236號4樓之5"
"09490345","九建工程股份有限公司","臺北市大安區瑞安街208巷53弄2號1樓"
"09490915","達力裝潢設計有限公司","臺北市中正區寧波西街69號6樓"
"09492913","林青室內裝修工程有限公司","臺北市信義區莊敬路289巷8弄30號3樓"
"09498640","御匠設計工程股份有限公司","臺北市大安區仁愛路3段123巷13弄8號1樓"
"11018771","大衆建設企業有限公司","臺北市松山區五常街370號1樓"
"11020030","大嘉企業有限公司","臺北市中山區新生北路2段137巷22號1樓"
"11026506","大同股份有限公司","臺北市中山區集英里21鄰中山北路3段22號"
"11072304","大台北區瓦斯股份有限公司","臺北市松山區光復北路11巷35號1、4、5、13樓"
"11081681","台灣三菱電梯股份有限公司","臺北市大安區復興南路2段363號4樓"
"11106607","太成美術建築有限公司","臺北市中正區仁愛路2段71號12樓之5"
"11236812","百大有限公司","臺北市中山區中山北路2段42巷4號1樓"
"11339710","和睦建設股份有限公司","臺北市中山區龍江路149巷13號1樓"
"11384209","長春美術工程有限公司","臺北市大安區四維路52巷27之2號3樓"
"11428804","幸福室內裝修工程有限公司","臺北市中山區長春路129號4樓3室"
"11457069","盈泉水電工程股份有限公司","臺北市中山區南京東路2段174號11樓"
"11493608","津津股份有限公司","新北市新莊區中山路1段107號16樓之8"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"11645870","及第開發股份有限公司","臺北市松山區南京東路5段47號4樓之2"
"11654630","順光股份有限公司","新北市土城區中央路3段81號"
"11660909","九太營造有限公司","高雄市苓雅區中正一路120號5樓之5"
"11665307","華明工程行有限公司","桃園市桃園區青田街6號"
"11892605","嘉新食品化纖股份有限公司","臺北市大安區忠孝東路4段219號6樓"
"11916803","台灣飛利浦股份有限公司","臺北市南港區園區街3之1號14樓"
"11991703","聯泰工作所有限公司","臺北市中山區中山北路2段59巷29弄8-3號"
"12116028","祐明實業有限公司","臺北市大同區承德路3段230號12樓"
"12116435","聰哲企業有限公司","臺北市中山區農安街2巷5弄18號"
