"統一編號","公司名稱","公司地址"
"00181804","炎隆鐵工廠有限公司","基隆市仁愛區愛四路10巷2號"
"00862175","行天馬有限公司","基隆市中山區德安里復興路291號底層"
"00895289","長業船機工程有限公司","基隆市中正區中船路102之2號3樓"
"01126219","益來工程股份有限公司","臺北市內湖區內湖路3段308號1樓"
"01179799","標一有限公司","臺北市中山區長安西路24號3樓"
"01180085","台灣柏森電機科技工業股份有限公司","新北市淡水區民族路３１巷７４號１樓"
"01185764","全辰實業有限公司","臺北市中山區長安東路1段8號3樓"
"01189348","金大地企業有限公司","新北市五股區成泰路1段23號"
"01410919","小雅室內裝修有限公司","臺北市中山區長春路65號12樓"
"01509406","尚程企業股份有限公司","新北市汐止區新台五路1段79號17樓"
"01520090","坤義室內裝修設計有限公司","臺北市信義區松隆路159巷39號1樓"
"01860554","啟頌鋼鐵工程股份有限公司","新北市土城區中正里裕民路221號10樓"
"01978343","敏昌機械工業股份有限公司","新北市五股區五權七路9號"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"03028404","工信工程股份有限公司","臺北市大安區市民大道4段102號8樓"
"03264336","協達水電工程有限公司","臺北市信義區信義路4段458號4樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"04256025","豪洲建設股份有限公司","臺北市中正區杭州南路１段７１巷１０號"
"04265235","萬達工程顧問股份有限公司","臺北市中正區館前路65號10樓"
"04279694","國雍營造工程股份有限公司","臺北市內湖區新湖一路8號6樓"
"04290234","大力鋁門窗股份有限公司","新北市三重區中興南街27號"
"04328490","大欣順發工程有限公司","臺北市南港區忠孝東路6段278巷22弄4號1樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04362617","日南工程有限公司","新北市板橋區中正路87之3號"
"04397003","一等美術裝潢工程有限公司","臺北市中山區吉林路404號1樓"
"04435512","台灣士敏工程企業股份有限公司","臺北市中山區中山北路2段113號10樓"
"04487519","廣彬貿易有限公司","新北市三重區大同北路167巷49弄2號"
"04518338","游氏開發有限公司","臺北市大同區赤峰街27號3樓"
"04525555","協宏消防實業有限公司","臺北市萬華區雙園街60巷46弄12號1樓"
"04532578","天原室內裝修企業有限公司","高雄市小港區明聖街245巷2之1號2樓"
"04563558","安啟企業有限公司","新北市中和區員山路三○二號"
"04601259","力安電機水電工程有限公司","臺北市文山區三福街57號1樓"
"04640555","九和裝潢有限公司","臺北市中正區中華路２段２８９號１樓"
"04647403","三協聯合企業有限公司","臺北市萬華區西園路2段153號12樓"
"04664471","國印企業有限公司","臺北市萬華區長順街105巷7號3樓"
"04682908","聯忠室內裝修工程有限公司","臺北市信義區吳興街170巷2弄4號4樓"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
"04755893","寬益企業有限公司","臺北市信義區信義路5段150巷16弄6號1樓"
"04757891","廣運機械工程股份有限公司","新北市瑞芳區頂坪路瑞芳工業區69號1樓"
"04777714","鋼興鐵工廠有限公司","臺北市南港區忠孝東路6段185巷4弄12號1樓"
"04799077","正新鋁業股份有限公司","臺北市內湖區成功路5段67號6樓"
"04850123","中祥食品工業股份有限公司","臺北市文山區木新路2段275號1樓"
"04865435","業昌營造股份有限公司","臺北市信義區信義路6段56號7樓"
"04891089","建和製麵工廠有限公司","臺北市文山區指南路1段55之1號"
"04930560","橡遠企業有限公司","臺北市中山區合江街６１巷４４號１樓"
"04938839","日高工程實業股份有限公司","高雄市小港區其美街19巷4號"
"04970464","住佳室內裝修設計工程有限公司","臺北市大安區信義路4段187號8樓"
"05002668","挺譽貿易有限公司","臺北市中正區牯嶺街128號3樓"
"05025711","民芳設計室內裝修工程有限公司","臺北市中正區和平西路1段80號3樓"
"05090466","中興鑑定顧問股份有限公司","臺北市中正區忠孝西路１段４５號１０樓之６室"
"05155896","聚慶實業有限公司","新北市樹林區學勤路546號7樓"
"05198760","樺夏室內裝修有限公司","新北市土城區永豐路98巷22號"
"05423957","東耘室內裝修工程有限公司","臺北市內湖區成功路4段323巷13號2樓"
"05432999","行晟企業有限公司","新北市汐止區福德一路405巷25號"
"05592762","高銘玻璃企業有限公司","臺中市西屯區大河里永輝路75巷49號"
"05628282","虹毅室內裝修興業有限公司","新北市永和區民族街43巷6號1樓"
"05631977","旗峯工程有限公司","新北市中和區莊敬路49巷23號1樓"
"05636608","一城國際實業有限公司","臺北市中正區羅斯福路3段128巷15號地下"
"05643495","尚洪工程有限公司","臺北市萬華區昆明街34號5樓之2"
"05871069","聯虹營造有限公司","新北市板橋區館前東路112之1號7樓"
"05970618","益昌開發事業有限公司","彰化縣大村鄉過溝村過溝三巷29-1號"
"07066420","中國捲門鐵工有限公司","新北市淡水區民生路166之1號3樓"
"07665311","天富事業有限公司","臺北市中正區武昌街１段１６巷２１號"
"07720243","鴻昇捲門有限公司","臺北市中山區長春路219號6樓之2"
"07736857","朱門室內設計工程有限公司","臺北市松山區敦化北路222巷6號3樓"
"08031982","弘盟汽車修護股份有限公司","屏東縣東港鎮興東里沿海路80號"
"08126761","松範工業有限公司","花蓮縣花蓮市富強路114號1樓"
"09414987","金倫設計工程有限公司","臺北市大安區仁愛路4段85號14樓"
"09435435","造格室內裝修有限公司","臺北市大安區金山南路2段137號2樓"
"09448121","東凱工業有限公司","桃園市大園區中山北路276號"
"09457269","鉅佳室內裝修有限公司","臺北市大安區信義路4段187號8樓"
"09460736","田錩股份有限公司","臺北市松山區三民路113巷20號5樓"
"09462663","旭地建設股份有限公司","臺北市內湖區金莊路100號10樓之1"
"09466598","杰群室內裝修設計工程有限公司","臺北市松山區延吉街48巷2號"
"09470565","萬大室內裝修設計工程股份有限公司","臺北市中正區館前路65號10樓"
"09473177","甘氏貿易有限公司","臺北市大安區復興南路2段236號4樓之5"
"09491415","雅緻國際股份有限公司","桃園市蘆竹區大竹里大新一街21巷20號4樓"
"09492532","漢陸企業股份有限公司","新北市淡水區竿蓁里中正東路1段3巷31號5樓"
"09492913","林青室內裝修工程有限公司","臺北市信義區莊敬路289巷8弄30號3樓"
"09498640","御匠設計工程股份有限公司","臺北市大安區仁愛路3段123巷13弄8號1樓"
"11015727","大同鋁業股份有限公司","臺北市中山區南京東路1段92號8樓之1"
"11018771","大衆建設企業有限公司","臺北市松山區五常街370號1樓"
"11106607","太成美術建築有限公司","臺北市中正區仁愛路2段71號12樓之5"
"11339710","和睦建設股份有限公司","臺北市中山區龍江路149巷13號1樓"
"11384209","長春美術工程有限公司","臺北市大安區四維路52巷27之2號3樓"
"11428804","幸福室內裝修工程有限公司","臺北市中山區長春路129號4樓3室"
"11457069","盈泉水電工程股份有限公司","臺北市中山區南京東路2段174號11樓"
"11493608","津津股份有限公司","新北市新莊區中山路1段107號16樓之8"
"11645870","及第開發股份有限公司","臺北市松山區南京東路5段47號4樓之2"
"11660909","九太營造有限公司","高雄市苓雅區中正一路120號5樓之5"
"11833141","福升電子機械企業股份有限公司","桃園市大園區菓林里復興街12號"
"11888807","豪華工程股份有限公司","臺北市中山區中山北路2段42巷38之3號4樓"
"12116435","聰哲企業有限公司","臺北市中山區農安街2巷5弄18號"
"12137656","吉世科股份有限公司","臺北市松山區民權東路3段144號12樓"
"12204232","穎翰企業股份有限公司","臺北市中山區新生北路３段４３號１１樓之２１"
"12204275","亞翔工程股份有限公司","臺北市內湖區內湖路1段120巷17號5樓"
"12212177","博善工業有限公司","花蓮縣壽豐鄉志學村志新街8-1號1樓"
"12220036","捷登工程有限公司","新北市蘆洲區水河里民族路408巷18號"
"12224011","天將廣告事業有限公司","臺北市中山區吉林路216號1樓"
"12247540","九藝企業有限公司","臺北市松山區南京東路4段197號5樓之1"
"12264131","毅太企業股份有限公司","臺北市中山區建國北路2段147號6樓"
"12305787","亮源工程設計股份有限公司","臺北市中正區南昌路2段112號9樓之1"
"12324166","信祥股份有限公司","臺北市南港區南港路3段52號8樓"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12385557","三功租賃股份有限公司","臺北市內湖區民善街89號3樓"
"12418467","歐龍企業股份有限公司","臺北市內湖區內湖路1段411巷12號11樓之2"
"12437324","上元玻璃企業有限公司","臺北市中山區民族東路446之1號1樓"
"12446766","薈綠環境規劃有限公司","臺北市大安區安和路2段5號11樓"
"12460555","東青工程股份有限公司","臺北市中山區中山北路2段79號4樓"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12484276","翔協室內裝修股份有限公司","臺北市內湖區新湖三路191號2樓"
"12515307","美可泰國際股份有限公司","臺北市中山區吉林路314號4樓"
"12527789","優適設計企業有限公司","臺北市松山區復興北路167號8樓之3"
"12535916","上富室內裝修工程有限公司","臺北市北投區懷德街78巷6號1樓"
"12538202","泉鋼企業有限公司","臺北市內湖區瑞光路513巷39號5樓"
"12541044","家王室內裝修股份有限公司","臺北市松山區民生東路5段36巷8弄9之3號"
"12602843","皇喆金屬建材有限公司","嘉義市大溪里北港路七一五巷三三號"
