"統一編號","公司名稱","公司地址"
"00146074","青山有限公司","基隆市義四路14號"
"00659102","海灣兄弟股份有限公司","基隆市中正區港通里義一路208之5號"
"00660446","駿風企業有限公司","基隆市中正區入船里中正路164-18號"
"00665218","源興報關通運有限公司","基隆市中山區西定路38號2樓"
"00842544","坤立實業有限公司","基隆市仁愛區孝四路9號3樓"
"00895289","長業船機工程有限公司","基隆市中正區中船路102之2號3樓"
"00902991","永鉿行氣體有限公司","基隆市中正區中船路112巷59號"
"01069738","岳達有限公司","臺北市萬華區漢中街147巷14號1樓"
"01177510","明騰工業股份有限公司","臺北市大安區忠孝東路4段233號11樓之7"
"01179355","逢陞科技股份有限公司","臺北市信義區基隆路2段109號8樓之1"
"01180352","牟爾化學實業有限公司","新北市中和區中正路七一六號十樓之五　"
"01458820","超技儀器有限公司","新北市中和區中正路716號14樓之7　"
"01519050","楷成企業股份有限公司","臺北市內湖區瑞光路478巷20號4樓"
"01879651","亞琦化粧品股份有限公司","新北市鶯歌區大湖路185巷9弄25號"
"01891000","龍正印刷事業有限公司","新北市板橋區三民路2段正隆巷6之1號2樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03351845","益盛系統科技有限公司","臺北市中山區林森北路479號5樓之2"
"03407910","華東五金企業有限公司","新北市新莊區福基里化成路764巷12號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路2段55號"
"04202062","巨流圖書股份有限公司","高雄市左營區重和路51巷39號"
"04215910","勵維企業有限公司","臺北市大安區大安路1段59號1樓"
"04229920","新光兆豐股份有限公司","臺北市中正區忠孝西路1段66號38樓"
"04249242","一樂園股份有限公司","臺北市萬華區西寧南路24號1樓"
"04263709","龍國企業有限公司","臺北市內湖區石潭路67號12樓"
"04264828","銘嫻興業有限公司","臺北市中山區龍江路65巷24號1樓"
"04276394","海國樂器股份有限公司","臺北市中正區仁愛路1段24號1樓"
"04304770","茂東國際企業有限公司","臺北市中山區長安西路145巷36號"
"04336647","基正企業有限公司","臺北市中山區吉林路407巷9號1樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04364381","世宇實業有限公司","臺北市大安區敦化南路1段161巷69弄6號2樓"
"04380538","威爾森通運股份有限公司","臺北市中山區建國北路1段96號6樓"
"04391839","隆鑫工業有限公司","臺北市中山區八德路2段267巷9弄4號1樓"
"04397411","高銀化學工業股份有限公司","新北市汐止區新台五路1段79號19樓之6"
"04407570","金懋企業股份有限公司","臺北市中山區南京東路2段100號5樓"
"04424206","七星香料股份有限公司","新北市新莊區化成路11巷89弄11號"
"04426366","甘德股份有限公司","臺北市中山區民族東路96號3樓"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04503095","國信傳播事業有限公司","臺北市大同區長安西路56號5樓"
"04567359","萬年百貨股份有限公司","臺北市中山區長安東路1段9號9樓"
"04596707","海鵬影業有限公司","臺北市萬華區昆明街76號7樓之6"
"04630374","名華企業有限公司","新北市永和區中正路412巷20弄19號1樓"
"04644145","貿鴻企業股份有限公司","臺北市文山區興隆路2段220巷53弄26號3樓"
