"統一編號","公司名稱","公司地址"
"02089183","風味食品有限公司","新北市新莊區思源路106號"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03426607","華美大飯店股份有限公司","臺北市中正區重慶南路1段1號"
"03529603","銘泰股份有限公司","臺北市大安區大安路1段101巷10號3樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03583704","樂聲大戲院股份有限公司","臺北市萬華區武昌街2段85號"
"03701104","台灣土地開發股份有限公司","臺北市中正區衡陽路51號14樓之1"
"04229920","新光兆豐股份有限公司","臺北市中正區忠孝西路1段66號38樓"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"05026438","遠流出版事業股份有限公司","臺北市中正區南昌路2段81號6樓"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05714195","遠百企業股份有限公司","新北市板橋區貴興路101號"
"05720231","柏寧企業股份有限公司","新北市永和區秀朗路二段24巷28弄5號1樓"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號"
"07525207","台灣農林股份有限公司","臺北市南港區三重里園區街3號15樓"
"07677386","銀穗國際企業股份有限公司","臺北市中山區民權西路40號、42號5樓"
"09494412","有如股份有限公司","臺北市大安區仁愛路3段125號4樓"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"11746603","建林工業股份有限公司","臺北市中山區松江路82號3樓"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓"
"12015605","馥麗工業股份有限公司","臺北市大安區仁愛路4段376號13樓"
"12167948","金慶實業股份有限公司","臺北市松山區南京東路3段248號10樓之2"
