"統一編號","公司名稱","公司地址"
"00026901","利恩交通股份有限公司","高雄市小港區山明里華山路103號1樓"
"00061717","中台通運股份有限公司","基隆市中正區義一路87號9樓之1"
"00068583","永光興實業股份有限公司","基隆市信義區信一路120號"
"00121406","安達汽車貨運股份有限公司","臺中市大肚區新興里沙田路２段１５９巷６號"
"00172002","和泰汽車貨運股份有限公司","基隆市仁愛區忠三路99號7樓之11"
"00225107","碩山交通股份有限公司","桃園市大溪區福安里頭寮28之1號2樓"
"00281206","和豐汽車貨運股份有限公司","桃園市中壢區三民里15鄰中正路684號4樓"
"00301815","順昌倉儲股份有限公司","新北市三重區仁華街一一八巷三號及五號一、二樓"
"00652419","南昌船務代理有限公司","基隆市仁愛區孝三路81號7樓"
"00662161","永誠報關有限公司","基隆市仁愛區忠二路63號3樓"
"00665218","源興報關通運有限公司","基隆市中山區西定路38號2樓"
"00693734","中僑汽車貨運有限公司","基隆市仁愛區忠三路99號7樓之11"
"00701122","臺聯貨櫃通運股份有限公司","基隆市七堵區堵南里8鄰三合街2號"
"00701755","源泉鋼鐵股份有限公司","臺北市中山區民權東路3段2號12樓"
"00703796","遠志交通有限公司","基隆市仁愛區忠三路99號7樓之9"
"00713302","友亦企業股份有限公司","臺北市中山區德惠街9號6樓"
"00751121","大洋冷凍股份有限公司","臺北市中山區朱崙街15號"
"00784930","建寶食品股份有限公司","基隆市中正區海濱里北寧路69號、71號"
"00819157","羲澍實業股份有限公司","基隆市中山區中山三路173號1樓"
"00828156","大豐通運股份有限公司","新北市汐止區保安里大同路3段400號"
"00828326","巨昇貨運股份有限公司","桃園市平鎮區義興里育達路205號"
"00831547","元群貨運有限公司","新北市新店區錦秀路五十二巷二十六號一樓"
"00852373","慶豐報關股份有限公司","基隆市仁愛區忠三路99號4樓之2"
"00883896","航合有限公司","基隆市信義區東信路35巷8之3號"
"00895008","遠至交通有限公司","基隆市仁愛區忠三路99號7樓之11"
"01128954","華新貿易有限公司","桃園市中壢區裕民街26-1號6樓"
"01176152","中菲行國際物流股份有限公司","臺北市內湖區民權東路6段160號11樓"
"01180260","巨煥興業股份有限公司","臺北市中山區南京東路2段125號8樓之1"
"01193130","哈伯實業有限公司","臺北市中山區建國北路2段88號10樓"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"01506490","邦普企業有限公司","臺北市大安區安居街34巷6號6樓"
"02360677","大川生技企業有限公司","新北市中和區員山路466巷32號(2樓)"
"02381568","贛臺國際貿易開發有限公司","新北市板橋區四川路2段237號5樓之2"
"02425432","鮮品冷凍食品股份有限公司","宜蘭縣蘇澳鎮自強路21號"
"02510346","大榮冷凍股份有限公司","臺北市中山區朱崙街15號"
"02512007","北都冷凍食品工業股份有限公司","基隆市中正區北寧路223號"
"02521815","協鑫造船股份有限公司","基隆市中正區中正路373號"
"02528802","建和冰凍股份有限公司","臺北市中山區朱崙街15號"
"02565708","日福汽車貨運股份有限公司","桃園市桃園區國強二街277巷2弄5號1樓"
"02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號"
"03018200","光勝股份有限公司","新北市三重區重新路3段49號1樓"
"03036501","三泰化工原料股份有限公司","臺北市中正區延平南路82號1樓"
"03043101","三陽金屬工業股份有限公司","臺北市松山區復興北路57號3樓"
"03049512","三德企業股份有限公司","臺北市中正區延平南路82號"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03098301","中華貿易開發股份有限公司","臺北市大安區住安里信義路4段96號6樓"
"03101946","中福國際股份有限公司","新北市中和區廟美里景平路666號2樓 "
"03122301","台北丸台運送股份有限公司","高雄市苓雅區凱旋一路43號2樓"
"03244509","亞洲水泥股份有限公司","臺北市大安區敦化南路2段207號30、31樓"
"03251108","和泰汽車股份有限公司","臺北市中山區松江路121號8~14樓"
"03283306","厚生股份有限公司","臺北市中正區漢口街1段82號8樓"
"03322504","建台水泥股份有限公司","高雄市苓雅區意誠里5鄰自強三路3號24樓之6"
"03353007","益航股份有限公司","臺北市大安區復興南路2段237號14樓"
"03354202","聯億貿易股份有限公司","臺北市中正區延平南路82號2樓"
"03387506","亞東生技有限公司","桃園市中壢區裕民街26-1號6樓"
"03506003","福大化學工業股份有限公司","臺北市中正區延平南路74號1樓"
"03522003","遠東航空股份有限公司","臺北市松山區敦化北路405巷123弄5號"
"03522600","遠東新世紀股份有限公司","臺北市大安區敦化南路2段207號36樓"
"03543210","台榮產業股份有限公司","臺北市中山區南京東路2段206號6樓"
"03555307","台鳳股份有限公司","臺北市中正區重慶南路1段57號11樓之9"
"03556404","台灣中國運通股份有限公司","臺北市中山區長安東路1段25號11樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03564501","台灣三洋電機股份有限公司","臺北市中山區松江路266號10樓"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03626801","佳美貿易股份有限公司","臺北市內湖區瑞光路302號9樓"
"03634302","台灣夾板實業股份有限公司","臺北市松山區南京東路5段31號10樓"
"03634507","台灣通運倉儲股份有限公司","臺北市中山區中山北路2段113號10樓"
