"統一編號","公司名稱","公司地址"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"05068507","祥富管理顧問股份有限公司","新北市板橋區南雅南路1段125號1樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05190649","金盈通信電機有限公司","臺北市中正區杭州南路2段98之1號2樓"
"11456028","南陽實業股份有限公司","臺北市內湖區民權東路6段160號5樓之4"
"12228213","廉美裝璜有限公司","臺北市松山區興安街170號1樓"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12563980","千佑興業有限公司","新北市八里區龍米路2段88之1號6樓"
"12604027","富霖有限公司","臺中市東勢區中寧里文化街115巷32號1樓"
"12619859","晶璽科技有限公司","嘉義縣太保市舊埤里新埤5之18號"
"12656354","金財通商務科技服務股份有限公司","臺北市松山區南京東路3段261號7樓"
"12665065","倍利國際科技股份有限公司","臺北市內湖區內湖路1段91巷17號9樓"
"12707656","美林藝術文創股份有限公司","臺中市南屯區惠文路525號2樓"
"12782731","忠義堂國際有限公司","雲林縣斗南鎮西岐里中興路170巷284號1樓"
"12798190","伊利特活動企劃有限公司","臺北市大同區太原路97巷18號"
"12849711","韋冠科技有限公司","新北市三峽區中正路1段164號3樓"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12900646","澔學學習股份有限公司","新竹市東區復興里自由路111號11樓"
"12906923","民雄國際有限公司","嘉義縣民雄鄉金興村忠義街196號1樓"
"12912875","生洋網路股份有限公司","臺北市松山區復興北路101號11樓、11樓之1之11"
"12923562","東朔有限公司","臺東縣臺東市自強里新生路384號1樓"
"12931021","聯亞全球股份有限公司","臺北市松山區八德路2段374號11樓之8"
"12945123","淳興能量科技有限公司","新北市新莊區新北大道3段5號6樓之1"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"13028396","宏瑋實業有限公司","桃園市八德區茄苳里永豐路206號"
"13031224","萬事達通運有限公司","臺中市北屯區和平里環中東路二段103號1樓"
"13039154","仲霖能源股份有限公司","桃園市龍潭區健行路345巷59弄34號2樓"
"13117186","海帝國際資訊股份有限公司","基隆市中山區德安路116巷68號"
"13119419","麒銘國際股份有限公司","桃園市桃園區中寧里大興西路二段104-1號"
"13127749","銧明科技有限公司","臺北市中山區建國北路1段29號3樓"
"13131413","統一客樂得服務股份有限公司","臺北市松山區東興路8號8樓"
"13133290","浩銅汽車有限公司","臺北市內湖區新明路122之1號1樓"
"13135537","博進國際有限公司","臺北市中山區新生北路3段48號9樓之1"
"13155239","國齡企業有限公司","高雄市苓雅區四維四路3號10樓之1"
"16164859","愛不釋手有限公司","臺北市大安區延吉街159之4號"
"16203276","順益昌商業有限公司","桃園市八德區永豐路332號"
"16292398","高速線電信股份有限公司","新北市中和區建八路16號7樓之1"
"16312789","犇亞商務股份有限公司","臺北市松山區復興北路99號14樓"
"16313302","網際威信股份有限公司","臺北市內湖區港墘路200號7樓"
"16374692","百創生醫有限公司","新北市蘆洲區信義路39號(1樓)"
"16522259","捷來行銷顧問有限公司","臺南市中西區郡王里大埔街63號"
"16563292","名恩資訊有限公司","桃園市中壢區振興里龍岡路三段212號1樓"
"16581854","瑋致營造工程科技有限公司","臺北市南港區三重路19之15號"
"16606102","網路家庭國際資訊股份有限公司","臺北市大安區敦化南路2段105號12樓"
"16622476","鼎泰聖企業有限公司","新北市永和區永元路17巷7弄2號"
"16653287","中陽物流股份有限公司","臺中市西區大隆路20號14樓之1"
"16676444","彩鎮企業有限公司","臺中市梧棲區文華街二八巷二八號"
"16679343","坤威電訊實業有限公司","臺南市安南區安中路2段115巷1號"
"16720434","誠廣企管顧問有限公司","嘉義市東區吳鳳南路25巷5號"
"16756164","微信息股份有限公司","臺北市內湖區環山路1段24巷30號"
"16791985","碧雲山管理顧問有限公司","新北市板橋區南雅東路8號9樓之32"
"16893884","鐳達實業有限公司","臺南市中西區臨安路1段261號2樓"
"16897024","森程企業有限公司","苗栗縣苗栗市維祥里光華街仁愛巷16號"
"16987931","網雲數位有限公司","臺中市西屯區鵬程里逢大路57號17樓之1"
"16990963","融薪生命管理股份有限公司","臺中市西屯區黎明路3段282號2樓"
"16991631","北展有限公司","新北市三重區三和路4段167巷27之3號"
"19097709","歐亞書局有限公司","新北市新店區寶橋路235巷118號5樓"
"20889953","旭華航空貨運承攬有限公司","臺北市中山區民權東路3段75巷11號"
"20909493","中強電子股份有限公司","新北市新店區寶橋路235巷136號1樓"
"21239021","達達國際企業股份有限公司","新北市汐止區大同路3段222號6樓"
"22199357","台灣德樂士股份有限公司","臺北市中山區大直街104號1樓"
"22292234","鎧興有限公司","新北市新莊區自立街79巷22號1樓"
"22347759","宇庭國際文創有限公司","臺北市文山區羅斯福路5段89號3樓"
"22470856","華泰電信工程股份有限公司","臺北市中正區杭州南路2段98之1號2樓"
"22932914","東凌股份有限公司","臺北市南港區南港路3段50巷1號2樓"
"22956274","華磁票券印刷股份有限公司","新北市土城區中央路1段365巷7號2樓"
"23134543","捷元股份有限公司","臺北市內湖區瑞光路66巷36號"
"23378414","艾維士小客車租賃股份有限公司","臺中市西屯區臺灣大道二段718號1、2樓"
"23420861","艾力特科技有限公司","臺北市中山區新生北路2段41巷44號2樓"
"23425492","聖佳科技股份有限公司","臺北市大安區和平東路2段118巷6弄19號1樓"
"23433303","新添實業有限公司","桃園市龍潭區中原路二段378巷7號7樓"
"23581486","訊谷科技股份有限公司","桃園市中壢區正義里中北路2段345號1樓"
"23607325","鋐龍科技有限公司","臺北市大同區庫倫街43號6樓"
"23750519","道昇國際股份有限公司","臺北市文山區羅斯福路6段142巷82號1樓"
"23750757","儒園系統股份有限公司","新北市汐止區康寧街169巷25號10樓之2"
"23761945","道成企業有限公司","臺北市文山區羅斯福路6段142巷82號1樓"
"23887711","一路發國際事業股份有限公司","新北市新莊區西盛里新樹路272之2號"
"23908217","雙向溝通股份有限公司","臺北市松山區松山路421號11樓之1"
"24203808","生鴻網訊有限公司","臺南市永康區安康里大橋一街57-5號14樓之26"
"24232070","仁大科技有限公司","新北市永和區文化路113巷2號3樓"
"24244385","譯典顧問有限公司","桃園市桃園區泰昌一街33巷14號2樓"
"24258697","美澤元國際貿易有限公司","臺中市西屯區臺灣大道三段540號5樓之2"
"24269097","匡集有限公司","臺中市南屯區春社里忠勇路12-23號8樓"
"24301738","派斯克國際有限公司","臺北市大同區承德路3段24巷6號"
"24305278","九鼎國際事業有限公司","臺北市信義區松德路65號11樓之2"
"24310785","瑞康生醫科技股份有限公司","高雄市前金區市中一路9號9樓之4"
"24314207","台灣速達特配有限公司","新北市新莊區五工路70號2樓"
"24314939","安堤斯有限公司","臺北市士林區美德街2之4號1樓"
"24318739","東逸電子股份有限公司","臺北市士林區通河東街1段158號"
"24390014","聚威資訊有限公司","臺中市西區英才路497號1樓"
"24398563","台灣亞太開發網路資訊有限公司","新北市新莊區中華路2段7號12樓"
"24405987","伊特爾媒體傳播有限公司","新北市中和區中正路930號2樓"
"24413488","卡文奇奇文創股份有限公司","新北市中和區中正路82號20樓之2"
"24425219","欣昇貿易有限公司","新北市林口區文化三路1段370號5樓之7"
"24457491","互易網股份有限公司","臺北市信義區松德路12號6樓"
"24457730","勝義科技股份有限公司","臺北市中山區松江路85巷9號"
"24457957","全球綠能科技股份有限公司","臺北市中山區明水路413號"
"24459287","凱亞行銷廣告有限公司","臺北市信義區忠孝東路5段412號18樓之1"
"24462430","酷悠悠網絡有限公司","臺北市中正區公園路26號9樓"
"24470678","墨攻網路科技股份有限公司","臺北市內湖區瑞光路76巷101號3樓"
"24473513","上平管理顧問有限公司","臺北市北投區中和街40號2樓之20"
"24477601","艾克數位科技有限公司","新北市中和區中正路1194巷8號3樓"
"24501692","喜得寶科技有限公司","高雄市鼓山區中華一路164號1樓"
"24502094","創兆科技有限公司","高雄市苓雅區四維四路10號12樓之1"
"24520678","虎克洛克有限公司","高雄市鼓山區大順一路947號13樓之1"
"24522578","崴燦資訊有限公司","高雄市左營區重清路234巷2號2樓之1"
"24529137","遇見科技有限公司","高雄市苓雅區青年一路289號"
"24532203","遺傳軌跡股份有限公司","臺北市中山區民生西路3巷9號9樓"
"24532533","智撼股份有限公司","臺北市信義區信義路5段8號14樓"
"24532631","頂新數位網通有限公司","臺北市中山區南京東路3段201號3樓"
"24532816","泰維電子有限公司","臺北市大同區重慶北路2段207號12樓"
"24533076","釩鼎有限公司","臺北市大安區信義路4段279號8樓"
"24533266","有無科技股份有限公司","臺北市信義區信義路5段100號"
"24533977","亞道網絡科技有限公司","臺北市士林區中山北路6段429號3樓"
