"統一編號","公司名稱","公司地址"
"01190416","模技股份有限公司","新北市新店區中正路四維巷八弄六號二樓"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"01458413","宇田企業有限公司","新北市三重區三德街30號(1樓)"
"01871118","神寶生技開發有限公司","新北市新莊區中港路591巷25號1樓"
"01891000","龍正印刷事業有限公司","新北市板橋區三民路2段正隆巷6之1號2樓"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"03183405","光隆印刷廠股份有限公司","臺北市中正區漢口街1段61號2樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03703503","中央日報社股份有限公司","臺北市中山區八德路2段232號9樓"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04250964","庠隆企業有限公司","新北市新店區中正路六一０號一樓"
"04351631","永乘企業有限公司","臺北市大同區重慶北路3段191巷5號5樓"
"04368767","永光彩色印刷股份有限公司","新北市中和區建三路9號"
"04383129","全華圖書股份有限公司","新北市土城區忠義路21號"
"04449353","東航國際股份有限公司","新北市新店區吉祥里玫瑰路53巷15號"
"04479546","正有打字印刷有限公司","臺北市大同區重慶北路3段136巷31號1樓"
"04489586","衍良設計事業有限公司","臺北市大同區太原路97巷19號"
"04496117","特典有限公司","臺北市中山區新生北路1段62巷1號"
"04518745","大發事務機器有限公司","臺北市信義區松信路3號"
"04531347","正大特殊印刷廠股份有限公司","新北市中和區建一路103號5樓"
"04565795","模你達視聽有限公司","臺北市信義區基隆路2段131之12號5樓"
"04577504","天繡文教科技有限公司","臺北市中山區林森北路413號10樓"
"04589733","華穩企業有限公司","臺北市萬華區貴陽街2段40巷2弄3號1樓"
"04594623","鴻光牀具股份有限公司","臺北市萬華區萬大路359號1樓"
"04601672","鈺龍數位印刷有限公司","新北市中和區橋和路115號2樓117號2樓"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"04651686","郁豐文具印刷有限公司","臺北市中山區民族東路70號1樓"
"04677840","精彩彩色印刷股份有限公司","新北市三重區中興南街三三之一號二樓"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04815219","福同美術印刷有限公司","臺北市南港區福德街339巷3弄3號1樓"
"04846705","三聯彩色印刷有限公司","臺北市文山區辛亥路7段5巷18號1樓"
"05001529","隆盛欣企業有限公司","新北市板橋區松柏里1鄰松柏街36巷2之3號"
"05009655","飛燕印刷有限公司","新北市中和區橋安街一七號六樓"
"05127604","世界翻譯有限公司","臺北市中正區重慶南路1段121號6樓之20"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05137820","煥達包裝股份有限公司","臺北市大安區復興南路1段200號6樓"
"05138362","臺灣資料縮影股份有限公司","臺北市信義區東興路39號2樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05637917","瑞元印刷有限公司","新北市中和區中山路3段118之29號4樓"
"05639056","金將創意有限公司","新北市中和區板南路４９０號３樓之８號"
"05639372","虎山國際股份有限公司","臺北市內湖區內湖路1段91巷23弄4號4樓"
"05795788","勝瓏包裝事業有限公司","臺中市沙鹿區埔子里明秀一街65號"
"07096542","弘明印刷設計股份有限公司","新北市中和區中原里立德街95號"
"07622475","臺新攝影彩色冲印有限公司","臺北市大同區延平北路3段24號1樓"
"09480260","千華數位文化股份有限公司","臺北市大安區金山南路2段138號2樓"
"09493477","春到有限公司","基隆市安樂區內寮里武訓街47號1樓"
"11255964","先鋒打字印刷有限公司","臺北市中山區林森北路133巷16號3樓"
"11464836","美台股份有限公司","臺北市松山區光復北路82號3樓"
"12150833","根園有限公司","宜蘭縣冬山鄉得安村梅林路945號"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12277282","拓昶貿易股份有限公司","臺北市中正區福州街57、59號2樓"
"12290980","亞良企業有限公司","新北市新莊區中正路831號之5(1樓)"
"12326621","定亮企業有限公司","臺北市大同區錦西街170號"
"12341123","芙歐國際股份有限公司","臺北市松山區南京東路3段303巷6弄10號5樓"
"12423010","良機事務機器有限公司","臺北市中山區建國北路2段143-1號"
"12440658","永佳有限公司","臺北市大安區忠孝東路3段201號2樓"
"12448716","佑華印刷有限公司","新北市中和區華順街30巷14號1樓"
"12600704","聯侑事業有限公司","花蓮縣花蓮市主睦里和平路336號1樓之1"
"12601865","卡羅素珠寶設計開發有限公司","桃園市中壢區仁福四街三三巷九號六樓"
"12602034","凡碩科技企業有限公司","新北市三重區重新路五段六三五之二號六樓"
"12604336","耀聯文化事業有限公司","花蓮縣花蓮市和平路336號1樓之1"
"12606849","易點整合行銷有限公司","新北市板橋區四川路2段243號4樓之1"
"12607164","儀昌豐印刷有限公司","新北市中和區建康路一三八號一樓"
"12607489","幻彩數位先進股份有限公司","新北市板橋區東興街3號"
"12608425","承軒視覺設計有限公司","新北市中和區保健路36之3號"
"12608781","新雷達資訊有限公司","桃園市平鎮區金山街七一號一樓"
"12609894","生生實業有限公司","新北市板橋區金門街67巷6號"
"12614117","永方有限公司","屏東縣萬丹鄉上村村上蚶路四一︱二號一樓"
"12614566","鑫世華印刷事業有限公司","新北市中和區華順街三○巷一四號一樓"
"12615431","萬客龍資訊股份有限公司","臺中市西區土庫里華美街二六號一樓"
"12615615","皇強國際股份有限公司","新北市汐止區汐萬路一段一一四號一樓"
"12615636","翌裕印刷有限公司","新北市五股區中興路1段8號9樓"
"12618042","新竹大觀園科技媒體廣告有限公司","新竹市仙水里光復路一段三三三號一一樓之四"
"12618824","興禧慶事業有限公司","新北市永和區福和路三八九號十樓之四"
"12619371","康禾廣告事業有限公司","臺中市西屯區福安里工業區一路五八巷一一弄一○號一樓"
"12622329","驊鈺科技有限公司","新北市汐止區大同路1段263號3樓"
"12624918","隆門彩色印刷有限公司","基隆市七堵區自治北街一號一樓　"
"12625389","萬宇通有限公司","桃園市龍潭區八德里六鄰梅龍一街八巷三一號"
"12631071","宏技文化實業有限公司","桃園市大溪區田心里民權東路77號1樓"
"12634161","全球聯合國際開發有限公司","臺南市永康區鹽行里中正三街455巷5號"
"12635915","皇地企業有限公司","新北市三重區重明里捷運路19巷33號"
"12636490","彩印通事業有限公司","臺中市中區成功路44號1樓"
"12637012","沛宭有限公司","新北市鶯歌區鶯桃路一二九巷二一弄二號一樓"
"12639877","京鈿文化事業有限公司","臺中市太平區新坪六○巷二弄四號一樓"
"12640375","良陞實業股份有限公司","桃園市八德區茄苳里寶豐街26號"
"12641183","安資科技有限公司","南投縣南投市玉井街二巷四號"
"12642824","中樺實業有限公司","新北市新莊區光華里民安西路376號19樓之5"
"12642900","鴻福印刷裝訂有限公司","新北市中和區立德街二八號二樓"
"12643817","易修文化事業有限公司","基隆市七堵區長安街二四七巷四二號一樓"
