"統一編號","公司名稱","公司地址"
"01190416","模技股份有限公司","新北市新店區中正路四維巷八弄六號二樓"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"02848137","奇異鳥國際文教有限公司","新竹市經國路一段五三八號三樓之二"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03134329","生季顧問有限公司","臺北市中正區紹興北街2巷1號3樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03392135","誠安信有限公司","臺北市中山區南京東路1段2號6樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03799802","聯合報股份有限公司","新北市汐止區大同路1段369號"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04351631","永乘企業有限公司","臺北市大同區重慶北路3段191巷5號5樓"
"04363762","哈佛企業管理顧問股份有限公司","臺北市松山區敦化北路88號9樓之1"
"04383129","全華圖書股份有限公司","新北市土城區忠義路21號"
"04409839","和諧影業有限公司","臺北市中山區松江路131號5樓502室"
"04431467","世界專利有限公司","臺北市大安區忠孝東路4段311號12樓之1"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04496806","曾茂行企業股份有限公司","臺北市北投區義理街23號1樓"
"04526822","松谷企業股份有限公司","臺北市信義區信義路5段5號"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"04625576","桂冠圖書股份有限公司","苗栗縣三灣鄉三灣村中山路2號"
"04705402","中國經濟通訊社股份有限公司","新北市汐止區大同路1段369號2樓"
"04738369","翠德實業股份有限公司","臺北市大安區忠孝東路4段142號3樓之2"
"04943495","荃強國際傳播有限公司","臺北市大安區大安路1段188號4樓"
"04980218","華泰文化事業股份有限公司","臺北市內湖區新湖二路201號"
"05024109","仟業國際有限公司","臺北市中正區重慶南路2段88之1號"
"05068507","祥富管理顧問股份有限公司","新北市板橋區南雅南路1段125號1樓"
"05098657","陸松有限公司","新北市中和區興南路2段34巷57弄6號5樓"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05419335","正弦實業股份有限公司","新北市土城區永豐路201號5樓"
"05509949","趨向視覺創意有限公司","臺北市文山區興隆路2段203巷38號7樓"
"05714580","托福顧問有限公司","臺北市中正區南陽街50號4樓"
"07726014","伊索國際有限公司","臺北市大安區大安路1段118號"
"09497781","常在欣業有限公司","臺北市大安區仁愛路4段107號15樓"
"11327307","宙光企業股份有限公司","臺北市大安區雲和街119號"
"11472202","信利國際股份有限公司","臺北市中山區南京東路3段91號5樓"
"11633903","國際專利中心股份有限公司","臺北市大同區重慶北路1段67號3樓"
"12183834","統一數位翻譯股份有限公司","臺北市內湖區民權東路6段23號6樓之2"
"12184019","凌宇有限公司","桃園市桃園區民生路796巷3號"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12196079","邦普股份有限公司","臺北市松山區民權東路3段142號9樓之7"
"12197324","穩成濾材有限公司","臺北市中山區南京東路2段76號2樓"
"12342777","懿鑫實業有限公司","臺北市中山區八德路2段267巷9弄4號"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2"
"12440778","亞廣展覽股份有限公司","臺北市松山區南京東路4段180號10樓之1"
"12479702","台一國際專利商標開發股份有限公司","臺北市中山區長安東路2段112號7樓之3"
"12484418","十傑企業管理顧問股份有限公司","臺北市南港區忠孝東路6段21號6樓之7"
"12488532","金羊企業有限公司","臺北市中山區松江路100巷13-1號3樓"
"12601099","產品線資訊有限公司","桃園市中壢區龍平里龍東路二六四巷三九弄四一號一樓"
"12604960","全正聯合顧問有限公司","臺中市太平區中山路一段二一五南巷二一弄六號"
"12610148","悅高國際有限公司","臺北市中山區民族東路４７２號"
"12611569","漢竔電腦有限公司","基隆市信義區信一路133之7號5樓"
"12615776","希次方科技有限公司","臺中市北區青島一街37之4號"
"12622679","旭欣企業管理有限公司","苗栗縣大湖鄉民生路一○○號　"
"12625389","萬宇通有限公司","桃園市龍潭區八德里六鄰梅龍一街八巷三一號"
"12625825","豐臣秀吉科技有限公司","臺中市豐原區社皮里圓環西路二三號七樓"
"12627719","齊格國際企業有限公司","新北市板橋區三民路1段183號2樓"
"12636098","松橋數位科技股份有限公司","臺中市西屯區台中港路二段一二二︱一九號六樓之一"
"12638194","珈瑪股份有限公司","新北市汐止區福安街二○巷二五弄四號五樓"
"12642681","田喬美容用品企業有限公司","桃園市大園區田心里中正西路二二號一樓"
"12643400","正格管理顧問國際有限公司","苗栗縣竹南鎮新南里維新路60號5樓"
"12643817","易修文化事業有限公司","基隆市七堵區長安街二四七巷四二號一樓"
"12644822","宜卡科技顧問股份有限公司","臺中市沙鹿區竹林里七賢路一００號一樓"
"12651724","英奇達資訊股份有限公司","新北市板橋區三民路1段210號6樓"
"12651935","維德國際開發有限公司","臺北市信義區基隆路2段91號12樓"
"12652110","宇樂娛樂有限公司","臺北市大同區承德路1段41巷17號1樓"
"12653770","奇臻廣告事業股份有限公司","臺北市松山區東興路２６號６樓"
"12653785","巨匠電腦股份有限公司","臺北市中正區公園路30號6樓之1"
"12654905","杰森國際文化事業有限公司","臺北市松山區復興北路１７９號９樓之８"
"12655186","易理圖網路科技股份有限公司","臺北市中正區南海路48號地下樓"
"12655756","冠其企業有限公司","臺中市北區陝西路六三號七樓之一"
"12655778","卓越世界文化股份有限公司","臺北市中山區南京東路２段９６號１２樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12657446","捷邁企業有限公司","臺北市萬華區漢中街157號9樓之3"
"12657852","菁華世界企業股份有限公司","臺北市松山區南京東路5段8號4樓"
"12658212","秉禾資訊商務股份有限公司","新北市新莊區中正路三三四巷一號一樓"
"12662736","石墨工房有限公司","臺北市中山區復興北路402巷28號2樓之1"
"12663123","明漢科技有限公司","臺北市內湖區民權東路6段180巷6號11樓之2"
"12663159","美好樂科技休旅有限公司","臺北市大同區西寧北路78-18號9樓"
"12665071","韶瑞開發股份有限公司","臺北市內湖區基湖路35巷49號6樓之1"
"12665522","南十字星遊學留學有限公司","臺北市中正區忠孝東路1段83號3樓之1"
"12666655","卓越知識管理股份有限公司","臺北市中山區南京東路2段96號12樓"
"12667394","中新國際企業管理有限公司","新北市淡水區中正路二八四之四號"
"12667676","動量數位科技股份有限公司","臺北市中山區復興北路８６號１２樓之１"
"12668491","將群智權科技服務股份有限公司","臺北市中正區羅斯福路2段102號7樓"
"12668561","華繹科技股份有限公司","新北市永和區水源街21巷6號4樓"
"12673017","金禾資訊股份有限公司","臺北市南港區忠孝東路6段32巷1號1樓"
