"統一編號","公司名稱","公司地址"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"12101539","利展企業有限公司","臺北市中山區吉林路279號6樓"
"12154916","吉焮貿易有限公司","臺北市中山區松江路152號9樓之13"
"12183834","統一數位翻譯股份有限公司","臺北市內湖區民權東路6段23號6樓之2"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12218741","士歐有限公司","臺北市大安區復興南路2段125巷20弄3號"
"12605258","捷瑞郵聯有限公司","桃園市桃園區國豐七街64號7樓"
"12625825","豐臣秀吉科技有限公司","臺中市豐原區社皮里圓環西路二三號七樓"
"12652110","宇樂娛樂有限公司","臺北市大同區承德路1段41巷17號1樓"
"12653244","華通國際管理顧問股份有限公司","臺北市中山區民生東路２段１１４號２樓"
"12655756","冠其企業有限公司","臺中市北區陝西路六三號七樓之一"
"12655778","卓越世界文化股份有限公司","臺北市中山區南京東路２段９６號１２樓"
"12655995","智策慧行銷顧問股份有限公司","臺中市西區南屯路一段七五號一樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12658212","秉禾資訊商務股份有限公司","新北市新莊區中正路三三四巷一號一樓"
"12658917","現代視覺管理顧問股份有限公司","新北市永和區福和路159號8樓"
"12663159","美好樂科技休旅有限公司","臺北市大同區西寧北路78-18號9樓"
"12666655","卓越知識管理股份有限公司","臺北市中山區南京東路2段96號12樓"
"12674347","新豐多媒體股份有限公司","新北市新店區寶中路９５之４號"
"12688068","勤耀企業有限公司","臺北市內湖區內湖路1段411巷89弄2號1樓"
"12693055","遠興茂有限公司","臺北市士林區天母西路3號5樓之8"
"12704481","榮通有限公司","嘉義市西區竹圍里北鎮街一八九號"
"12709697","今略行銷股份有限公司","臺北市松山區民生東路5段137巷2號7樓之4"
"12737461","申銀萬國文化事業有限公司","桃園市中壢區自忠二街一一六號"
"12743837","駿鼎國際企業管理顧問有限公司","臺中市南區光輝街74號1樓"
"12748517","景國國際實業有限公司","臺北市松山區南京東路4段100號3樓"
"12749754","新喬文化出版有限公司","臺中市西區精誠十一街二○號三樓"
"12767289","優爾絲有限公司","臺北市信義區忠孝東路５段５０８號６樓"
"12773064","生才網路科技股份有限公司","彰化縣員林鎮新興里新興街二七號二樓　"
"12775226","汎得諾企業有限公司","桃園市桃園區南豐街一九○號一樓"
"12775675","勞倫斯國際有限公司","桃園市八德區忠勇街三七七巷一八號七樓　"
"12778960","力馳企業有限公司","新北市板橋區新海路16之4號5樓"
"12789679","比德凱帝企業管理顧問有限公司","臺中市沙鹿區六路里六路十六街一二號"
"12794856","卉展時尚有限公司","臺北市大同區民族西路283號1樓"
"12817204","君立緁企業有限公司","桃園市中壢區健行里健行路98巷40弄19號1樓"
"12824303","聖藍企業有限公司","臺中市西屯區上石路八六號一樓　"
"12825083","科爾波特有限公司","臺中市北區建興里學士路一七八巷三號一樓"
"12828700","學彣出版股份有限公司","臺中市北區忠明路四九六號一樓"
"12829428","全台報業有限公司","新竹市崇禮里北大路三六九號三樓"
"12837237","真美好公關顧問有限公司","臺中市西區五權西路一段二五七號一一樓之三"
"12861968","曉熊文教藝術事業股份有限公司","臺北市信義區富陽街16號地下室"
"12865514","異視行銷市場調查股份有限公司","臺北市中山區復興北路2號7樓之3"
"12873113","賽特資訊服務股份有限公司","臺北市大安區敦化南路2段105號12樓"
"12880347","全方位數位不動產股份有限公司","新北市永和區勵行街１５號１樓"
"12890252","家瑞隆數位科技有限公司","臺中市南區福平里忠明南路七八九號三八樓之二"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12899768","中莘知識管理股份有限公司","臺中市龍井區新東里新興路九巷一四號一樓"
"12899866","幼堡企業有限公司","臺中市龍井區新庄里中沙路新庄仔巷８３號１樓"
"12906249","導航家有限公司","新北市汐止區大同路三段二二○號五樓"
"12906542","充電發有限公司","新北市汐止區大同路三段二二○號五樓"
"12934147","武陵客資訊股份有限公司","臺北市松山區三民路9號2樓之5"
"12936623","威鋒數位開發股份有限公司","臺北市南港區園區街3-1號5樓"
"12941610","太平洋國際商務中心股份有限公司","臺北市信義區光復南路495號6樓之3"
"12948944","電週文化事業股份有限公司","臺北市大安區敦化南路2段105號12樓"
"12956649","童言股份有限公司","臺北市大安區敦化南路二段七六號七樓之二"
"12961278","瀚仕貿易有限公司","新北市三重區重新路4段63號19樓之1　"
"12962092","百利生股份有限公司","臺北市內湖區內湖路1段737巷49之1號地下室"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"12974436","掌握公關顧問股份有限公司","臺北市信義區松德路65號10樓"
"13002516","龍憶科技企業有限公司","新北市新店區北新路2段27號1樓"
"13003326","好快廣告有限公司","臺東縣臺東市新生路二二八號"
"13011825","豐藍有限公司","桃園市楊梅區大成路二二四號"
"13013035","環鎂翻譯有限公司","臺北市松山區南京東路4段180號5樓之1"
"13025243","振鵬印刷事業有限公司","新北市中和區連城路二二二巷六弄八號"
"13031110","台灣智權代理有限公司","新北市永和區中和路343號12樓之3"
"13039154","仲霖能源股份有限公司","桃園市龍潭區健行路345巷59弄34號2樓"
"13065976","宸剛有限公司","桃園市八德區忠勇一街70巷8號1樓"
"13084740","好運通食材通路股份有限公司","新北市林口區工三路4號"
"13101852","上銀全通電訊股份有限公司","臺北市中山區南京東路1段46號4樓"
"13111916","宏恩印刷事業有限公司","新北市中和區立德街105號8樓"
"13115032","伍室不動產仲介經紀企業有限公司","臺中市清水區三民路1段16號"
"13119895","歐普達企業有限公司","臺北市中山區長春路235號10樓之4"
"13121506","理財周刊股份有限公司","臺北市中正區青島東路7號6樓之4"
"13136228","威瑞生技建設開發股份有限公司","苗栗縣頭份鎮合興里中央路573號"
"13136281","美的廣告有限公司","臺北市中正區重慶南路１段５７號１３樓之５"
"13165026","新如意國際事業有限公司","高雄市前金區民生2路75號4樓之4"
"13172899","南主角文化事業有限公司","高雄市鼓山區明倫路502巷1號6樓之2"
"13177923","思圖組織行為管理顧問有限公司","高雄市前鎮區民權2路92號13樓"
"13190593","恒和國際股份有限公司","高雄市前金區河東路2號7樓之1"
"16031556","家樂利服務有限公司","臺北市中山區德惠街198巷15號1樓"
"16034940","麒文形象設計事業有限公司","新北市三重區平安街40號4樓"
"16060186","優跑企業股份有限公司","新北市新莊區自立街174巷2弄2號1樓"
"16141792","美台華德科技股份有限公司","臺北市松山區復興北路191號7樓之2"
"16157956","松合有限公司","臺北市松山區長安東路2段215號14樓之1"
"16177159","快克利有限公司","臺北市中山區民生西路16號9樓之3"
"16209188","慧智科技股份有限公司","臺南市新市區大社里大社408之70號"
"16220058","澎湖時報股份有限公司","澎湖縣馬公市朝陽里中華路251號"
"16281168","昇永廣告有限公司","臺北市內湖區民權東路6段180巷6號11樓之4"
"16281174","銘望實業有限公司","臺北市松山區南京東路4段11號4樓"
"16281625","中友圖書有限公司","臺北市內湖區瑞光路258巷55號4樓"
"16288802","辰科國際股份有限公司","臺北市松山區敦化北路102號7樓"
"16300637","詢价科技股份有限公司","臺北市大安區東豐街66號3樓"
"16312789","犇亞商務股份有限公司","臺北市松山區復興北路99號14樓"
"16325969","亞仕商國際股份有限公司","臺北市中山區松江路87號10樓之2"
"16337727","盈運財務管理顧問股份有限公司","臺南市東豐路三八七號"
"16362458","亞太國際展覽有限公司","臺中市沙鹿區北勢東路153號1樓"
"16379508","鴻齡國際有限公司","新北市三重區仁義街101巷12之1號"
"16406961","昱維管理顧問有限公司","臺中市北區賴福里進化北路392之2號3樓之2"
"16447772","神乎科技股份有限公司","臺北市內湖區堤頂大道2段201號5樓"
"16486486","百星企管顧問有限公司","臺中市西屯區黎明路三段三七五巷六號五樓之二"
"16491116","東勢資訊有限公司","臺中市東勢區延平里豐勢路260號1樓"
"16571032","淯文揚國際文化事業有限公司","臺南市安南區安中路一段七五七巷一號"
"16584705","照華智本有限公司","臺北市中山區長安東路１段２３號１０樓之１"
"16585789","照華智庫有限公司","臺北市中山區長安東路１段２３號１０樓"
"16588863","雲軟有限公司","臺北市中山區民生西路16號9樓之3"
"16602703","高效有限公司","新北市汐止區崇德里一鄰忠孝東路三八六號二樓"
"16603724","雅思坊廣告有限公司","臺北市中山區長春路235號10樓之4"
"16606102","網路家庭國際資訊股份有限公司","臺北市大安區敦化南路2段105號12樓"
"16607067","維清有限公司","臺北市中山區德惠街198巷15號1樓"
"16636653","太一信通股份有限公司","臺北市大安區新生南路1段133之7號"
"16647504","南彰化廣告有限公司","彰化縣員林鎮三義里惠明街268號2樓"
"16656566","福祥文化事業有限公司","高雄市鳳山區林森路三一○號"
"16672186","中正專利商標有限公司","桃園市中壢區光明里王子街1之1號1樓"
"16676444","彩鎮企業有限公司","臺中市梧棲區文華街二八巷二八號"
"16690889","鳳新電腦有限公司","高雄市鳳山區武營路285號"
"16709445","維妮雅企業股份有限公司","彰化縣永靖鄉五福村中山路一段30號"
"16717037","禾松開發有限公司","彰化縣埤頭鄉合興村稻香路714號1樓"
"16717732","黑天鵝傳播事業有限公司","桃園市桃園區復興路五一號七樓之七"
"16720531","邦立明企業管理顧問有限公司","臺北市中山區新生北路1段108之3號3樓之3"
