"統一編號","公司名稱","公司地址"
"00846160","永安通信股份有限公司","基隆市仁愛區愛三路13號1樓"
"03060311","中外儀器股份有限公司","新北市五股區五權八路16號(3樓)"
"03195514","宏立有限公司","臺北市內湖區瑞光路192號9樓"
"04822794","宏羚股份有限公司","新北市五股區五工二路114號6樓"
"05051822","立和創新有限公司","臺北市中山區長安東路1段16號8樓之3"
"05068507","祥富管理顧問股份有限公司","新北市板橋區南雅南路1段125號1樓"
"07568009","環球水泥股份有限公司","臺北市中山區南京東路2段125號10樓"
"07637364","兆鼎檢驗科技有限公司","新北市新店區中正路556號5樓"
"11633903","國際專利中心股份有限公司","臺北市大同區重慶北路1段67號3樓"
"12172317","世農佑綠有限公司","臺北市松山區復興北路181號3樓之1"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12369971","全國公證檢驗股份有限公司","臺北市內湖區瑞光路417號5樓及6樓419號8樓之1、9樓之1、10樓之1、11樓之1、12樓之1、13樓之1、419號至423號之5樓、6樓、8樓、9樓、10樓、11樓、12樓、13樓"
"12407026","香港商台灣兼股份有限公司","臺北市中山區中山北路3段31號10樓"
"12414455","飛運有限公司","臺北市中山區長安東路2段181號9樓之1"
"12445099","東亞非破壞檢查有限公司","新竹縣湖口鄉長嶺村12鄰中平路2段68號"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12489201","風雷益系統科技有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"12600107","朋笛鑑定顧問有限公司","臺中市南屯區文心路一段三七八號一○樓之三"
"12616826","昇元工程顧問股份有限公司","屏東縣屏東市大連里瑞光路2段264號2樓"
"12617331","智識家資訊有限公司","新北市三重區重新路5段639之1號6樓"
"12619393","宏益品質驗證顧問有限公司","彰化縣二水鄉五伯村過圳路一二二號一樓"
"12619936","英鐠特科技股份有限公司","新北市板橋區重慶路297號1樓"
"12622263","翃浩企業管理顧問股份有限公司","新北市新莊區民安西路三一七號"
"12623283","台灣蓋爾廣告有限公司","桃園市平鎮區金陵路三一○號"
"12626084","祐甡企業有限公司","桃園市桃園區同德二街77號8樓"
"12636554","席瑞技術服務有限公司","基隆市仁愛區愛七路十七巷十四號"
"12639594","統年國際股份有限公司","新北市三重區龍濱路120之3號5樓　"
"12644822","宜卡科技顧問股份有限公司","臺中市沙鹿區竹林里七賢路一００號一樓"
"12646363","翔翼系統科技有限公司","臺南市新營區忠政里中正路39巷119號"
"12658917","現代視覺管理顧問股份有限公司","新北市永和區福和路159號8樓"
"12666120","第一超市股份有限公司","臺北市松山區南京東路4段1號"
"12668561","華繹科技股份有限公司","新北市永和區水源街21巷6號4樓"
"12676957","新強物業有限公司","新北市汐止區崇德里新台五路2段204號地下二層之14"
