"統一編號","公司名稱","公司地址"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"02897523","今瑩企業有限公司","苗栗縣三義鄉勝興村水美52號"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03242002","怡信有限公司","臺北市大同區甘谷街16號7樓之1"
"03450606","新月圖書股份有限公司","臺北市中正區重慶南路1段143號3樓"
"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路2段55號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04203317","百鼎欣業股份有限公司","桃園市龜山區龜山里萬壽路二段622號1樓"
"04245301","高楓有限公司","新北市板橋區文化路1段266號9樓之1"
"04443153","晨東實業股份有限公司","臺北市大同區鄭州路119號2樓之3"
"04681014","新加坡商湯姆遜亞太視訊網絡有限公司","桃園市桃園區大同路11號6樓之2"
"04816792","譽亨企業有限公司","臺北市南港區福德街357號"
"04940005","摩拉頓有限公司","高雄市三民區山東街61號1樓"
"05002386","台灣機電顧問股份有限公司","臺北市信義區嘉興街196號1樓"
"05016369","吉贊實業股份有限公司","臺北市中山區民生東路3段51號16樓"
"05051822","立和創新有限公司","臺北市中山區長安東路1段16號8樓之3"
"05127604","世界翻譯有限公司","臺北市中正區重慶南路1段121號6樓之20"
"05138362","臺灣資料縮影股份有限公司","臺北市信義區東興路39號2樓"
"05160201","劉實科技有限公司","臺北市松山區南京東路4段180號4樓之1"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05190649","金盈通信電機有限公司","臺北市中正區杭州南路2段98之1號2樓"
"05703438","臺灣高階電子電話股份有限公司","臺北市中山區松江路293之511號"
"07061706","中南紡織股份有限公司","臺北市大安區仁愛路4段109號12樓"
"07715918","喬迪興業有限公司","新北市永和區中正路七三八號一樓"
"07729080","台灣原生藥用植物股份有限公司","臺北市內湖區瑞湖街88號5樓"
"09415803","大正傳播事業有限公司","臺北市松山區南京東路5段66巷22弄6號2樓"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09420242","新碩資訊股份有限公司","臺北市大安區金華街239之4號3樓"
"09462452","大門科技工程有限公司","臺北市松山區三民路95巷17號"
"09475098","臺灣易瑪企業股份有限公司","臺北市大安區仁愛路４段４０７之１號１３樓"
"09477027","立固自動化系統股份有限公司","新北市新莊區西盛街417巷9號4樓"
"09480260","千華數位文化股份有限公司","臺北市大安區金山南路2段138號2樓"
"09497781","常在欣業有限公司","臺北市大安區仁愛路4段107號15樓"
"11354802","佳位科技股份有限公司","臺北市中山區長安東路1段23號7樓"
"11633903","國際專利中心股份有限公司","臺北市大同區重慶北路1段67號3樓"
"12172317","世農佑綠有限公司","臺北市松山區復興北路181號3樓之1"
"12214581","如海企業有限公司","臺北市文山區景福街3巷7號"
"12232981","台灣東芝電子零組件股份有限公司","臺北市中山區民生東路3段10號10樓"
"12240080","開泰資訊股份有限公司","臺北市中山區林森北路413號9樓之26室"
"12246562","台俥企業有限公司","臺北市大同區民族西路56號1樓"
"12258784","中國電通股份有限公司","臺北市中山區南京東路3段19號4樓"
"12282481","儀聯貿易有限公司","臺北市大安區仁愛路３段１２１號１樓"
"12293305","愛力實業股份有限公司","新北市林口區公園路203號9樓之1"
"12323906","培基數碼股份有限公司","臺北市內湖區內湖路1段360巷6號10樓"
"12368733","台灣恩益禧股份有限公司","臺北市中山區南京東路2段167號7樓"
"12372201","昱昌貿易股份有限公司","臺北市松山區民族東路737號"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12416329","仲鼎科技股份有限公司","新北市新莊區五權一路3號7樓之1"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12468037","立緯電子科技股份有限公司","臺北市南港區南港路３段８０巷３０號３２號４樓"
"12489201","風雷益系統科技有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"12539552","東立出版社有限公司","臺北市大同區承德路2段81號10樓"
"12601099","產品線資訊有限公司","桃園市中壢區龍平里龍東路二六四巷三九弄四一號一樓"
"12601128","詮普資訊科技股份有限公司","臺中市南屯區黎明東街一二０號"
"12602034","凡碩科技企業有限公司","新北市三重區重新路五段六三五之二號六樓"
"12602858","煜順科技有限公司","新北市樹林區樹德街27號2樓"
"12603316","環宇餐旅顧問有限公司","臺中市南區工學一街167巷22號"
"12603435","忠衛科技股份有限公司","桃園市中壢區環中東路二段一四二號二樓"
"12605572","昇長科技有限公司","臺中市北區進化北路九○號一樓"
"12607002","全台財信管理顧問有限公司","新北市土城區中央路三段一二四號一四樓"
"12608017","浩瀚通科技有限公司","桃園市八德區廣福路廿巷廿一弄十二號"
"12608683","金鑽王數位科技股份有限公司","高雄市楠梓區壽豐路406號9樓之5"
"12609851","尚紀企業有限公司","基隆市仁愛區文昌里忠三路七二號二樓"
"12610127","特工科技股份有限公司","臺北市內湖區民權東路6段23號5樓之3"
"12611976","肯特動畫數位獨立製片股份有限公司","新北市永和區永元路18巷16號"
"12612407","億欣電子商務股份有限公司","臺中市北屯區南京東路三段170號1樓"
"12612856","全國創新育成股份有限公司","臺北市信義區和平東路３段３２５號３樓"
"12613145","敦陽資訊股份有限公司","新竹市東大路二段83號11樓之2"
"12615431","萬客龍資訊股份有限公司","臺中市西區土庫里華美街二六號一樓"
"12615615","皇強國際股份有限公司","新北市汐止區汐萬路一段一一四號一樓"
"12617640","翔颺通信國際有限公司","新北市板橋區廣新里一一鄰太和街五巷一○號二樓"
"12619181","台灣卡萊股份有限公司","新北市板橋區中山路2段101號3樓"
"12619598","宸富國際有限公司","臺南市安平區民權路四段37號"
"12620342","創德科技股份有限公司","桃園市蘆竹區南崁里經國路906號8樓"
"12621449","德方數位科技有限公司","臺中市潭子區頭家里頭張路二段八九巷三四弄三四號"
"12622405","群大科技有限公司","新北市中和區中和路二二五號"
"12623811","伊世紀網路科技股份有限公司","新北市樹林區龍興街三○︱一號二樓"
"12623832","荷盛國際顧問股份有限公司","新北市板橋區景福路41號1樓"
"12624086","奇異菓科技股份有限公司","彰化縣員林鎮光明里民族街七巷二一號"
"12625727","宜立資訊有限公司","新北市中和區民享街八十九巷四弄十一號二樓"
"12628338","群崙資訊科技股份有限公司","臺中市西區土庫里忠明南路二七○號七樓之一"
"12629033","數位時代國際商務股份有限公司","臺中市西屯區大墩十四街１８８號５樓"
"12629532","清晨科技有限公司","臺中市南屯區溝墘里大聖街二四八之一號"
"12630025","才洋科技股份有限公司","新北市新店區北新路一段八九號九樓之三"
"12630334","嘉適福網際行銷有限公司","苗栗縣苗栗市福麗里一○鄰至公路二九六號"
"12632473","佳門國際股份有限公司","新竹市西大路六四三巷六號二樓"
"12632500","新翰科技管理顧問有限公司","新竹市中華路三段九號六樓之四"
"12632683","康泰國際生命事業股份有限公司","新北市新店區三民路九八之一號一樓"
"12633493","縱捷網路科技有限公司","桃園市蘆竹區長壽三街一六號　"
"12635416","冠喆科技股份有限公司","新北市永和區永和路二段四二五巷六四號"
"12637456","世音網絡股份有限公司","新北市中和區秀峰里秀峰街一０三巷三弄五之一號"
"12637842","宏友資訊股份有限公司","新北市永和區永和路1段69號11樓"
"12637884","科羅資訊股份有限公司","基隆市仁愛區曲水街五號三樓　"
"12638194","珈瑪股份有限公司","新北市汐止區福安街二○巷二五弄四號五樓"
"12639594","統年國際股份有限公司","新北市三重區龍濱路120之3號5樓　"
"12639692","琦智資訊商務有限公司","新北市土城區延吉街一七一號二樓"
"12639898","艾利勃股份有限公司","新北市中和區中正路七五三號四樓"
"12640678","風雲際會資訊科技股份有限公司","桃園市桃園區國強十二街二巷廿一號"
"12641108","鏵瑋資訊有限公司","南投縣草屯鎮文化街七五號二樓"
"12641156","名人財信管理顧問有限公司","新北市汐止區復興路五三巷一號二樓"
"12642373","奇蹟生活科技股份有限公司","新北市樹林區保安街二段三三七巷五一號"
"12642541","形邑國際有限公司","新北市三重區集美街126巷38號2樓　"
"12643345","威旋科技有限公司","臺北市中山區南京東路1段25號6樓之3"
"12644301","碇瑩資訊科技顧問股份有限公司","臺中市西區民龍里公益路一一九號一樓"
"12646785","順蓮工程有限公司","臺南市永康區中興里中華路二一六巷三五弄一○號一樓"
"12648405","合逸事業股份有限公司","新北市中和區中正路八○一號四樓"
"12648947","亞盾科技股份有限公司","臺中市西屯區臺灣大道四段925號12樓之1"
"12649853","丞頡資訊股份有限公司","臺中市西區公館里三民西路184號1樓"
"12650008","資眾科技股份有限公司","臺北市南港區忠孝東路6段394號2樓"
"12650751","峻盟國際股份有限公司","臺北市信義區基隆路1段163號8樓之2"
"12651724","英奇達資訊股份有限公司","新北市板橋區三民路1段210號6樓"
"12653384","愛斯汀企業有限公司","臺北市松山區南京東路3段259號11樓"
"12653785","巨匠電腦股份有限公司","臺北市中正區公園路30號6樓之1"
"12654172","神眼國際有限公司","新北市三峽區民生街一四六巷八號九樓之二"
"12654399","台灣絲路數碼科技股份有限公司","新北市中和區景新街347號9樓之1"
"12654813","中華超媒體股份有限公司","臺北市松山區復興北路433號12樓"
"12655186","易理圖網路科技股份有限公司","臺北市中正區南海路48號地下樓"
"12655550","瑋博國際網路多媒體股份有限公司","臺北市松山區南京東路５段２５０巷２弄２５號１樓"
"12656185","日明資訊有限公司","臺北市中山區南京東路３段２０１號４樓"
"12656474","智爾欣科技股份有限公司","臺北市大安區忠孝東路３段３０３號１０樓之３"
"12656729","但以理設計有限公司","臺北市大安區仁愛路3段123巷26弄9號1樓"
"12656811","台灣能必達股份有限公司","臺北市松山區敦化南路１段１號８樓"
"12658212","秉禾資訊商務股份有限公司","新北市新莊區中正路三三四巷一號一樓"
"12658917","現代視覺管理顧問股份有限公司","新北市永和區福和路159號8樓"
"12660548","克美科技有限公司","臺北市中山區新生北路2段31之1號5樓之3"
"12660553","寶發科技股份有限公司","臺北市信義區基隆路1段432號4樓之8"
"12660673","夢想有限公司","新北市板橋區國光里國光路69號9樓"
"12662052","亞太網絡股份有限公司","臺北市信義區虎林街164巷78號1樓"
"12662166","周氏國際企業股份有限公司","臺北市南港區南港路3段50巷11號4樓"
"12662428","臺灣致典股份有限公司","新北市三重區重新路４段８９號８樓"
"12662551","紘琦科技有限公司","臺北市大安區復興南路2段12巷27號1樓"
"12662692","智謀科技股份有限公司","新北市汐止區大同路二段六八七巷七六弄一七號一樓"
"12662742","鈦乙國際有限公司","臺北市中正區新生南路１段６號６樓"
"12663159","美好樂科技休旅有限公司","臺北市大同區西寧北路78-18號9樓"
"12663670","網智通股份有限公司","臺北市文山區景興路258號4樓之7"
"12665261","科新創意股份有限公司","臺北市中山區長安東路２段２４６號８樓"
"12666959","應奇資訊股份有限公司","臺北市大安區安和路１段１０２巷１４號地下１樓"
"12667676","動量數位科技股份有限公司","臺北市中山區復興北路８６號１２樓之１"
"12668561","華繹科技股份有限公司","新北市永和區水源街21巷6號4樓"
"12669153","公誠國際有限公司","臺北市松山區南京東路5段399號12樓"
"12672208","亞立田股份有限公司","臺北市中山區樂群二路189號8樓之1"
"12672214","網頁信息科技服務股份有限公司","臺北市大同區民族西路６２號６樓"
"12673874","高手網電子商業股份有限公司","新北市永和區中正路500號3樓"
"12674705","網信聯通國際股份有限公司","臺北市中山區長安東路２段３１號６樓之２"
"12675747","翔孚科技股份有限公司","臺北市文山區興隆路１段６７之３號"
"12677484","擎天創意科技股份有限公司","臺北市信義區基隆路2段189號17樓之8"
"12677604","網御科技股份有限公司","臺北市中山區南京東路3段19號8樓之1"
"12678505","時邦科技興業有限公司","南投縣南投市營北里仁心街４５巷２弄８號"
"12681641","網訊電通股份有限公司","臺北市信義區東興路45號11樓"
"12683535","光寶匯才資訊服務股份有限公司","臺北市內湖區瑞光路392號8樓"
"12683612","高平榮華財務管理有限公司","臺北市中山區錦州街286號1樓"
"12685288","奇碁亞洲電子商務股份有限公司",""
"12687434","瑞成光電科技股份有限公司","桃園市大溪區月眉里信義路三六五號"
"12688433","德叡股份有限公司","臺北市信義區信義路5段5號"
"12688877","中華龍騰資訊科技股份有限公司","新北市永和區保生路1號18樓之4"
"12689475","甲桔寬頻網路控制有限公司","臺北市大安區和平東路１段６號４樓之１"
"12690108","華德來股份有限公司","臺北市信義區基隆路2段131之11號8樓"
"12690135","宏元資通科技股份有限公司","臺北市內湖區內湖路1段629巷27弄4號"
"12690825","新生活欣業公關行銷顧問有限公司","臺北市松山區三民路113巷22號8樓之1"
"12691079","新寮有限公司","臺北市大安區通化街１２９號１樓"
"12692823","典網國際資訊有限公司","臺北市中正區忠孝東路2段88號16樓"
"12692984","億科國際股份有限公司","臺北市南港區成功路1段70號3樓"
"12694131","遠健實業有限公司","新北市中和區立德街150號"
"12694272","多奇數位創意有限公司","臺北市中正區杭州南路1段6巷5號3樓"
"12694977","都成物業開發有限公司","新北市新店區玫瑰路57巷27號"
"12695928","亞太無線國際股份有限公司","臺北市大安區忠孝東路４段２９５號３樓"
"12696200","騰騵國際有限公司","臺北市大安區復興南路1段66號2樓"
"12696449","金鳳林企業有限公司","臺北市松山區八德路２段３８６號８樓之７"
"12697572","新局數位科技有限公司","臺北市大安區大安路1段191號6樓之1"
"12697685","惟信國際企業有限公司","新北市板橋區深丘里區運路76號1樓"
"12697881","臺灣富百億科技股份有限公司","臺北市中山區復興北路290號3樓之2"
"12697926","萬利包裝企業有限公司","臺北市中正區和平西路1段80號8樓之5"
"12699488","詮力科技股份有限公司","臺北市南港區忠孝東路6段21號10樓之2"
"12700915","數碼國際科技股份有限公司","臺中市大雅區民生路一段一九一巷一一號一樓"
"12701169","晶準電子股份有限公司","新北市中和區中正路880號10樓之3"
"12701196","泛思創意股份有限公司","臺中市北屯區陳平里陳平路２５巷３號１樓"
"12702744","倚庭有限公司","臺南市安南區安東里一四鄰安和路一段二二０巷四十號"
"12703146","法柯特有限公司","臺中市南屯區東興東街六五號一樓"
"12703602","傳丞股份有限公司","臺中市北屯區軍福十三路二四二號一樓"
"12704736","達科網通國際有限公司","臺中市大里區新里里爽文路四八二巷三九號一樓"
"12705587","達瑞科技股份有限公司","新北市板橋區中正路259號之3、4樓"
