"統一編號","公司名稱","公司地址"
"05643495","尚洪工程有限公司","臺北市萬華區昆明街34號5樓之2"
"12861019","威剛科技股份有限公司","新北市中和區連城路258號18樓"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"13002516","龍憶科技企業有限公司","新北市新店區北新路2段27號1樓"
"13056076","富霖管理顧問有限公司","臺北市中山區復興北路2號11樓之6"
"15319335","新東陽股份有限公司","臺北市大安區忠孝東路4段289號8樓"
"16251538","力俞室內裝修科技有限公司","臺中市西屯區何仁里長安路1段46巷23之1號1樓"
"16393852","巨霆企業有限公司","屏東縣長治鄉香揚村香揚路31號1樓"
"16820460","中信物業有限公司","高雄市三民區順昌街89號8樓之5"
"16846927","聖祖股份有限公司","金門縣金寧鄉盤山村伯玉路2段301號"
"16910151","時時樂開發事業有限公司","臺南市中西區友愛街三六三號地下壹樓"
"22433229","欒芳企業有限公司","臺北市信義區忠孝東路5段1之5號6樓"
"22555003","統一超商股份有限公司","臺北市松山區東興路8號8樓"
"22853565","來來超商股份有限公司","臺北市信義區松德路131號地下1樓"
"22868379","金台企業股份有限公司","臺北市文山區興隆路2段244巷1號1樓"
"22980788","泉家企業有限公司","宜蘭縣礁溪鄉吳沙村礁溪路1段283號"
"23060248","全家便利商店股份有限公司","臺北市中山區中山北路2段61號7樓"
"23200418","豐田加油站有限公司","屏東縣內埔鄉豐田村中正路467號"
"23285582","萊爾富國際股份有限公司","臺北市內湖區西湖里瑞光路502號3樓"
"23447756","台興企管顧問有限公司","臺北市中正區忠孝東路1段152號10樓之6"
"23494146","苑北企業股份有限公司","苗栗縣苑裡鎮苑港里中山路450號"
"23505973","中均實業有限公司","臺中市石岡區和盛里豐勢路29號"
"23986254","佳懿建設股份有限公司","臺北市大安區忠孝東路4段209號9樓之5"
"24246813","伊化國際有限公司","臺南市永康區崑山里崑大路225號"
"24266465","優遊吧斯股份有限公司","嘉義縣阿里山鄉樂野村樂野127之2號"
"24275154","沃鑫工程有限公司","基隆市七堵區六堵一街322號"
