"統一編號","公司名稱","公司地址"
"01192110","泛美管理顧問股份有限公司","臺北市大安區忠孝東路4段75之17號"
"01515033","明淵股份有限公司","臺北市松山區南京東路3段311號11樓"
"01811631","新秀國際行銷顧問有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"03178418","吉發企業股份有限公司","臺北市中正區愛國西路9號2樓之9"
"03380503","電通國華股份有限公司","臺北市松山區南京東路5段188號13樓"
"04394033","頂榮實業有限公司","臺北市中山區明水路672巷25號5樓"
"04526822","松谷企業股份有限公司","臺北市信義區信義路5段5號"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"05016500","上合貿易股份有限公司","臺北市中正區愛國西路9號2樓之8"
"05066037","益壽味股份有限公司","臺北市中山區建國北路1段80號5樓"
"05091991","年代網際事業股份有限公司","臺北市內湖區瑞湖街39號2樓"
"05094189","中聯資產管理顧問股份有限公司","臺北市中正區忠孝西路1段50號22樓之15"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05626003","百岳國際股份有限公司","臺北市松山區八德路4段123號3樓"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"11327307","宙光企業股份有限公司","臺北市大安區雲和街119號"
"12184019","凌宇有限公司","桃園市桃園區民生路796巷3號"
"12242756","創新企業管理顧問有限公司","臺北市中山區中山北路3段11號2樓"
"12247540","九藝企業有限公司","臺北市松山區南京東路4段197號5樓之1"
"12297273","上翔企業管理顧問有限公司","臺北市中山區長春路267號4樓之1"
"12420652","大豐工程顧問股份有限公司","臺北市中正區廈門街42號(2樓)、46號(2樓)"
"12446055","銘修企業有限公司","臺北市中山區林森北路100號10樓之7"
"12482376","長揚國際行銷股份有限公司","臺北市大安區信義路4段63號7樓"
"12489201","風雷益系統科技有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"12547173","弘帆股份有限公司","臺北市內湖區內湖路1段360巷17號5樓"
"12629385","純粹創意整合行銷有限公司","新北市板橋區富貴里三民路2段37號22樓之1"
"12646271","金順興室內裝修股份有限公司","雲林縣虎尾鎮芳草里8鄰埔尾12之2號"
"12650921","物件動力有限公司","臺北市大安區羅斯福路3段29號11樓之1"
"12651724","英奇達資訊股份有限公司","新北市板橋區三民路1段210號6樓"
"12655186","易理圖網路科技股份有限公司","臺北市中正區南海路48號地下樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12658917","現代視覺管理顧問股份有限公司","新北市永和區福和路159號8樓"
"12665071","韶瑞開發股份有限公司","臺北市內湖區基湖路35巷49號6樓之1"
"12666888","萬曆管理股份有限公司","臺北市松山區復興北路１５號５樓之４"
"12668561","華繹科技股份有限公司","新北市永和區水源街21巷6號4樓"
"12671427","桑河數位科技股份有限公司","臺北市大安區樂利路72巷21號"
"12699425","禾健有限公司","臺北市文山區羅斯福路4段206巷8號"
"12702759","新星人力仲介國際有限公司","臺北市士林區重慶北路4段251號4樓"
"12719668","全國公信力民意調查股份有限公司","新北市板橋區文化路2段498號8樓"
"12722559","佑勝行銷顧問有限公司","彰化縣員林鎮三和里靜修東路176巷5號"
"12740206","晉驊文化圖書有限公司","臺中市沙鹿區六路里六路９街６８號１樓"
"12741367","迪門企業管理顧問有限公司","新北市板橋區四川路2段241號3樓之3"
"12768040","萊加好房地產有限公司","臺南市六甲區龜港里龜子港三○三巷七○號"
"12772109","笙雅生活科技股份有限公司","臺北市中山區民權東路3段25號2樓"
"12776652","春池文教事業股份有限公司","新北市中和區宜安路112號8樓"
"12777239","益利安企業有限公司","新北市中和區秀峰街127巷11號4樓"
"12790303","聚利國際開發有限公司","新北市中和區華安街21巷5號"
"12790325","金帝國有限公司","臺北市中正區仁愛路１段５９號地下１層"
"12793462","中實國際股份有限公司","新北市三重區重安街132號9樓之1"
"12797615","禾米國際股份有限公司","臺北市信義區光復南路473巷11弄40號4樓之3"
"12803335","環球電資網路股份有限公司","臺中市西區忠誠里大隆路20號13樓之8"
"12819189","亞馬遜環球行銷股份有限公司","臺中市西區公正里公益路367號11樓之2"
"12821707","繹湛室內裝修設計工程有限公司","新北市汐止區中正路105之1號4樓"
"12842463","敦煌興業股份有限公司","臺北市萬華區興寧街8巷6弄8號"
"12847376","黃英文化事業有限公司","臺南市歸仁區許厝里17鄰忠孝北路21號5樓"
"12853622","康泰納仕時尚網有限公司","臺北市信義區基隆路2段51號15樓"
"12855993","京漢國際建築經理股份有限公司","桃園市蘆竹區山鼻里長興路二段26巷1號10樓之2"
"12858990","精準整合行銷有限公司","臺北市松山區南京東路5段188號8樓之8"
"12860047","觀察家行銷研究有限公司","臺北市信義區松德路161號22樓"
"12860721","御碩管理顧問股份有限公司","臺北市中山區松江路129號2樓之3"
"12865514","異視行銷市場調查股份有限公司","臺北市中山區復興北路2號7樓之3"
"12865789","幫浦群網股份有限公司","臺北市內湖區成功路2段8號3樓"
"12869217","珍宇設計工程顧問有限公司","臺北市文山區景福街54巷1之1號1樓"
"12873514","新聞智庫公關顧問有限公司","臺北市中正區忠孝西路１段５０號１４樓之２"
"12876343","普勁國際行銷股份有限公司","臺北市大安區復興南路1段127號12樓之1"
"12878172","帝京媒體有限公司","臺中市西屯區中港路三段101號7樓"
"12880986","正柏科技有限公司","基隆市暖暖區暖西里暖暖街570巷83-1號4樓"
"12882289","倍數整合行銷股份有限公司","新竹市文華里22鄰北大路19號1樓"
"12882529","網婕國際有限公司","新北市新店區檳榔路19巷23號(1樓)"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12892272","逆轉生命科技有限公司","臺中市北屯區舊社里旱溪西路3段298號1樓"
"12898509","詠冠策略行銷顧問有限公司","臺中市中區大墩里三民路二段29號2樓之1"
"12902285","慶圓國際能源科技有限公司","臺中市北區忠明路200號7樓"
"12916133","崇正宏股份有限公司","臺中市太平區建興北路45巷38號1樓"
"12923562","東朔有限公司","臺東縣臺東市自強里新生路384號1樓"
"12940366","共好管理顧問股份有限公司","臺北市中正區青島西路11號4樓之3"
"12943265","頤和文化事業有限公司","臺北市大安區溫州街48巷5號"
"12950687","一點點創意事業有限公司","臺北市中正區辛亥路1段8-2號1樓"
"12953349","菁華人力資源管理顧問股份有限公司","臺北市松山區東興路12號2樓"
"12956232","聯映廣告有限公司","新北市汐止區康寧街161號3樓"
"12959483","康泰納仕綜合媒體事業有限公司","臺北市信義區基隆路2段51號15樓"
"12969047","特緯國際股份有限公司","臺北市士林區天玉街27巷21號2樓"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"12981268","亟泰工程技術顧問有限公司","新北市三重區興德路86號11樓"
"12991266","京融國際有限公司","基隆市仁愛區劉銘傳路43巷3號"
"13005936","師唯星藝術專業有限公司","臺中市太平區大源十五街23號1樓"
"13008814","富元行銷股份有限公司","臺中市南屯區豐樂里文心南五路一段369號3樓"
"13011162","一中科技有限公司","南投縣南投市彰南路三段78號1樓"
"13012818","品嘉工程有限公司","新北市金山區中正路８６號２樓"
"13016814","鑫大業開發股份有限公司","臺北市松山區南京東路4段107號3樓"
"13019707","昌輝機械貿易股份有限公司","臺中市西區柳川西路2段193巷12號1樓"
"13032379","良源科技股份有限公司","新北市樹林區潭底里保安街一段232號"
"13035565","飛騰電子股份有限公司","臺北市信義區基隆路1段176號13樓"
"13038850","群立科技股份有限公司","臺北市中山區南京東路3段215號6樓"
"13039909","樞紐科技顧問股份有限公司","新竹市東區綠水里食品路25巷26號"
"13047653","晶采創意廣告有限公司","新北市板橋區重慶路66號9樓之2"
"13050024","大衆網通科技有限公司","臺中市西屯區台中港路3段128巷20之7號1樓"
"13051332","信實家不動產有限公司","臺中市北屯區大連路二段243號1樓"
"13057336","展智創意策略設計有限公司","臺中市北屯區水湳里文心路四段83號4樓之1"
"13061227","樂學教育顧問有限公司","臺中市西區五權五街190號1樓"
"13064809","栗星廣告傳播有限公司","苗栗縣通霄鎮平元里平新一路115號1樓"
"13082004","富利資產管理顧問有限公司","臺北市松山區敦化北路１６７號６樓之１"
"13085234","亞太旅館管理顧問有限公司","臺北市中山區遼寧街112號5樓之4"
"13088078","舜智文化創意事業有限公司","臺北市大安區羅斯福路3段277號7樓之1"
"13093142","迪爾科技股份有限公司","新北市永和區永貞路10巷8號6樓"
"13095113","迪希數位科技股份有限公司","臺北市士林區承德路4段182號4樓"
"13098322","光明音像出版社有限公司","臺北市信義區光復南路421號1樓"
"13103198","齊霏爾國際生化科技有限公司","臺北市松山區復興北路179號11樓之7"
"13103578","盛發有限公司","臺北市中山區長安東路2段81號12樓之3"
"13104176","大愛徵信有限公司","新北市三重區重陽路4段132號11樓"
"13104318","鼎暉國際股份有限公司","臺北市內湖區新明路460巷18弄19號1樓"
"13107173","惠光傳播股份有限公司","臺北市中正區忠孝西路1段72號8樓之16"
"13110091","富敏科技股份有限公司","臺北市信義區松山路130號7樓之1"
"13113317","太芃國際企業管理股份有限公司","臺北市信義區基隆路1段155號11樓"
"13124074","明采建設股份有限公司","臺北市信義區松德路74號5樓"
"13130006","共玩品牌企畫有限公司","臺北市大安區忠孝東路4段325號12樓"
"13133290","浩銅汽車有限公司","臺北市內湖區新明路122之1號1樓"
"13134431","百彥餐旅行銷整合有限公司","臺北市大安區復興南路2段139號11樓"
"13136698","企盉顧問股份有限公司","臺北市中正區重慶南路1段57號10樓之1"
"13139225","新美林顧問有限公司","新北市五股區成泰路1段32巷46號2樓"
"13163625","三贏醫院管理顧問有限公司","高雄市左營區裕誠路423號1樓"
"13177923","思圖組織行為管理顧問有限公司","高雄市前鎮區民權2路92號13樓"
"13178084","台一科技行銷股份有限公司","高雄市新興區八德一路332號5樓"
"13181476","明誠文化事業股份有限公司","高雄市左營區博愛三路12號23樓"
"13190025","旭傑國際有限公司","高雄市苓雅區光華一路12號12樓之2"
"13196793","誓國科技有限公司","屏東縣瑪家鄉北葉村風景巷46之2號"
"13197081","一零四高欣仲介經紀有限公司","高雄市苓雅區海邊路65號5樓之3"
"13199412","化祿實業有限公司","高雄市苓雅區四維三路121之2號1樓"
"15065108","中華徵信所企業股份有限公司","臺北市信義區東興路57號5樓"
"15460403","台灣電通股份有限公司","臺北市中山區南京東路3段68號13樓"
"15985040","昰皇有限公司","臺北市萬華區西藏路330巷3號1樓"
"16002721","鴻廣傳播事業有限公司","新北市永和區永和路2段316號1樓"
"16015514","信誼創新整合有限公司","臺北市松山區民權東路5段27號2樓"
"16019103","天志有限公司","臺中市北屯區平安里崇德路二段130號14樓"
"16028243","鋊達有限公司","新北市三重區大有里中正北路331巷10弄2號"
"16058148","中慶國際開發有限公司","高雄市苓雅區中山二路489號8樓之5"
"16068547","輝煌海上開發實業有限公司","臺南市佳里區安西里25鄰忠孝路282號"
"16080795","民視文化事業股份有限公司","臺北市松山區八德路３段３０號１４樓"
"16083364","寰宇藥品資料管理股份有限公司","臺北市大安區敦化南路2段216號18樓"
"16087755","萬寶華企業管理顧問股份有限公司","臺北市大安區敦化南路2段105號10、13樓"
"16102720","新觀念資產管理顧問股份有限公司","臺北市中正區忠孝西路1段72號10樓之13"
"16110019","意若思知識互動有限公司","高雄市苓雅區林森2路87號7樓之2"
"16117792","潤麒實業有限公司","高雄市鳳山區光遠路81號"
"16120255","福茂鑑價顧問股份有限公司","高雄市苓雅區廣州1街153之5號11樓"
"16135975","山水民意研究股份有限公司","臺北市松山區八德路3段212號12樓"
"16146255","米地摩爾實業有限公司","臺北市信義區忠孝東路4段553巷46弄3號1樓"
"16149984","耐時企業有限公司","臺北市大同區延平北路2段240之1號"
"16156422","群豪生技股份有限公司","臺北市中山區林森北路263號10樓之4"
"16157837","志上廣告股份有限公司","臺北市松山區八德路2段374號5樓之7"
"16171373","小熊開發股份有限公司","新北市板橋區文化路1段419之6號7樓"
"16172719","美學事業有限公司","新北市淡水區商工路186巷27號"
"16176905","仕冶資訊股份有限公司","新北市板橋區民族路218號4樓"
"16181180","卓越人生企管顧問股份有限公司","臺北市松山區民生東路5段69巷21弄6號"
"16209188","慧智科技股份有限公司","臺南市新市區大社里大社408之70號"
"16220058","澎湖時報股份有限公司","澎湖縣馬公市朝陽里中華路251號"
"16250290","璇利資訊有限公司","桃園市中壢區東興街31號1樓"
"16250361","洲銓企業有限公司","新竹市延平路一段２１４巷２弄３４號１樓"
"16275588","興門實業股份有限公司","臺北市中山區復興北路60號12樓"
"16279780","崇明國際有限公司","臺南市東區中華東路2段185巷14號7樓之1"
"16281701","花鄉開發有限公司","臺北市信義區基隆路1段109之6號3樓之2"
"16282526","現代加州管理顧問有限公司","新北市三重區頂崁里新北大道2段260號5樓"
"16290574","通達經營管理顧問有限公司","臺北市中山區建國北路2段262號2樓"
"16296660","佳事達股份有限公司","新北市新店區安祥路106巷256號2樓"
"16300799","大椽股份有限公司","臺北市松山區民生東路4段133號12樓"
"16304492","高嵩鐵路顧問工程有限公司","臺北市信義區永吉路278巷57弄24之3號"
"16307548","思維國際有限公司","臺北市中正區忠孝西路1段72號7樓之13"
"16307786","全國意向顧問股份有限公司","新北市板橋區文化路1段268號5樓之2"
"16307913","山立工程顧問有限公司","臺北市南港區忠孝東路6段250巷16號1樓"
"16311043","慶立建築物公共安全檢查有限公司","臺北市中正區紹興北街8號5樓"
"16325969","亞仕商國際股份有限公司","臺北市中山區松江路87號10樓之2"
"16373265","耀驛實業有限公司","新竹市頂竹里食品路177巷23號1樓"
"16382341","農視賽薇雅股份有限公司","桃園市桃園區中泰里國際路一段1149號1樓"
"16387372","勝樺有限公司","彰化縣員林鎮新生里福德街14號"
"16409539","昱逢有限公司","臺中市北區原子街135號2樓"
"16458720","大大國際娛樂股份有限公司","高雄市前鎮區中山二路2號15樓之2"
"16462040","台灣榮工國際有限公司","高雄市左營區左營大路2之35號1樓"
"16465623","富爸爸國際管理顧問有限公司","高雄市三民區九如一路58號8樓之2"
"16473399","利菁事業股份有限公司","高雄市三民區民族一路2巷9弄33之4號"
"16485959","敦阜形象策略有限公司","屏東縣屏東市崇蘭里廣東路1408號"
"16491410","幼幼龍歡樂家族有限公司","彰化縣彰化市安溪路432之40號3樓"
"16495582","太毅國際顧問股份有限公司","臺北市內湖區文湖街12號3樓之2"
"16511443","吉歐特工程有限公司","嘉義市東區五福街205號"
"16513075","一泰企業管理顧問有限公司","臺中市西屯區何明里漢口路一段54號4樓"
"16527085","伽碩企業有限公司","臺南市永康區埔園里2鄰中山路96號1樓"
"16539688","高碲設計傳播有限公司","臺中市南屯區豐樂里文心南五路一段632號1樓"
"16541832","尚海國際開發有限公司","臺南市中西區水仙里仁愛街42-1號"
"16549601","新新管理顧問有限公司","南投縣草屯鎮玉峰街61號1樓"
"16570603","昕藝國際事業有限公司","新北市板橋區文化路2段263巷20號"
"16572047","東方傳奇傳媒文化有限公司","新北市三重區三和路四段20巷112之2號"
"16591190","環宇編譯社股份有限公司","新北市新店區民權路60號2樓"
"16594176","蒼林室內裝修有限公司","臺北市松山區敦化北路238巷32號1樓"
"16596934","動腦傳播股份有限公司","臺北市中山區南京東路2段100號12樓"
"16598031","意高國際有限公司","新北市汐止區汐萬路一段４１８巷９號１樓"
"16598567","臺灣智財科技股份有限公司","臺北市中正區羅斯福路2段70號12樓之9"
"16607088","緯城土地規劃工程顧問有限公司","臺北市大安區羅斯福路2段95號4樓之1"
"16607518","旅奇廣告有限公司","臺北市信義區基隆路1段159號4樓"
"16615720","大有可為文創股份有限公司","臺北市中正區忠孝東路1段9號10樓"
"16624951","菁英國際行銷股份有限公司","臺北市內湖區洲子街７２號１樓"
"16647504","南彰化廣告有限公司","彰化縣員林鎮三義里惠明街268號2樓"
"16669605","鴻潔國際有限公司","桃園市桃園區宏昌七街87號"
"16672186","中正專利商標有限公司","桃園市中壢區光明里王子街1之1號1樓"
"16694668","詠登工業股份有限公司","臺中市龍井區竹坑里茄投路一段85巷37號1樓"
"16705546","倍穎資訊股份有限公司","臺中市北屯區北屯路336號"
"16705974","金翔鶴股份有限公司","新北市中和區連城路236號5樓"
"16717037","禾松開發有限公司","彰化縣埤頭鄉合興村稻香路714號1樓"
"16748432","食健美股份有限公司","新北市板橋區四川路2段100之1號12樓"
"16750529","歐聯興股份有限公司","臺北市信義區林口街100號1樓"
"16759508","高森工程顧問股份有限公司","臺北市南港區南港路3段50巷11號3樓"
"16765537","英鳴國際科技股份有限公司","臺北市信義區基隆路2段189號14樓之11"
"16778189","復巨顧問有限公司","臺北市中正區紹興北街2巷1號4樓"
"16778548","會文多媒體設計有限公司","臺北市萬華區環河南路2段211號"
"16780501","順巨顧問有限公司","臺北市中正區紹興北街2巷1號4樓"
"16780805","巨如智庫顧問有限公司","臺北市中正區紹興北街2巷1號4樓"
"16783253","陪伴者事業有限公司","臺北市大安區信義路4段265巷21弄26號1樓"
"16785956","互為主體廣告股份有限公司","臺北市大安區新生南路1段143-1號2樓"
"16793034","寰緯公關顧問股份有限公司","臺北市大安區建國南路1段160號3樓之1"
"16803069","漢瑞企業資產評價有限公司","高雄市前鎮區一心二路119號8樓之3"
"16805741","決策調查有限公司","新北市板橋區文化路1段387巷14號1樓"
"16818984","竹堤國際行銷事業有限公司","高雄市三民區建國三路535號5樓之2"
"16827793","山采堂視覺整合有限公司","高雄市鳳山區鎮東街85號"
"16859576","塔普科技管理股份有限公司","臺南市安平區永華路2段248號22樓之6"
"16887068","暘益科技管理顧問有限公司","臺中市大里區益民路２段２８３–６號"
"16887686","崧益建設有限公司","新北市蘆洲區福安里民族路227巷22弄5號"
"16891915","網達科技股份有限公司","新北市林口區信義路206號8樓"
"16957893","赤將創意有限公司","臺中市烏日區湖日里環河路三段796號1樓"
"16990963","融薪生命管理股份有限公司","臺中市西屯區黎明路3段282號2樓"
"20817282","中鼎工程股份有限公司","臺北市士林區中山北路6段89號"
"20840235","盛川開發有限公司","臺北市松山區復興北路57號11樓之2"
"20905449","遠見天下文化出版股份有限公司","臺北市中山區松江路93巷1號2樓"
"21249029","現場整合行銷有限公司","臺北市信義區基隆路1段141號8樓之7"
"21262541","奧美廣告股份有限公司","臺北市信義區松仁路89號3樓"
"22013057","瑞嶺實業有限公司","新北市中和區中正路716號8樓之4"
"22014443","傑略國際有限公司","臺北市信義區忠孝東路5段508號12樓"
"22037017","生活道文化智庫有限公司","臺北市大安區和平東路2段107巷11弄4之1號"
"22048350","崧江實業有限公司","臺北市中山區松江路122號7樓"
"22102494","安侯企業管理股份有限公司","臺北市信義區信義路5段7號68樓"
"22115097","照弘企業有限公司","新北市板橋區福祿里民族路276巷22號"
"22116531","輝祐實業有限公司","臺北市信義區信義路5段5號"
"22153325","陽光有限公司","臺北市萬華區西園路2段372巷3弄38號1樓"
"22181309","彥星企業有限公司","臺北市大安區和平東路1段192號5樓"
"22187211","開創規劃設計股份有限公司","臺北市大安區忠孝東路4段60號10樓之3"
"22190644","雅聞文化有限公司","臺北市松山區南京東路5段40之1號13樓之1"
"22199292","瀚業國際股份有限公司","新北市中和區中山路2段442號2樓"
"22250451","虹豪企業股份有限公司","高雄市左營區大順1路91號11樓之3"
"22292234","鎧興有限公司","新北市新莊區自立街79巷22號1樓"
"22347759","宇庭國際文創有限公司","臺北市文山區羅斯福路5段89號3樓"
"22422911","茵康國際會議顧問股份有限公司","臺北市信義區基隆路1段333號4樓"
"22433425","智品實業有限公司","臺北市南港區興南街11號3樓"
"22456025","環球七福廣告有限公司","臺北市大安區敦化南路1段245號7樓"
