"統一編號","公司名稱","公司地址"
"04824370","駿驊國際實業股份有限公司","新北市汐止區環河里福德一路392巷17號"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"12376451","力多超音波有限公司","臺北市內湖區內湖路1段91巷24弄16號"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓"
"12641851","吉維納環保科技股份有限公司","臺中市大里區西湖路189號"
"12722559","佑勝行銷顧問有限公司","彰化縣員林鎮三和里靜修東路176巷5號"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"12985145","冠東國際實業有限公司","高雄市三民區九如1路502號13樓之2"
"12991104","金科玉律商店經營顧問股份有限公司","臺南市西港區港東里一一鄰烏竹林五二號之九"
"13001354","鑫豐團膳有限公司","桃園市中壢區三民里下三座屋17-18號1樓"
"13005247","賜鎰企業有限公司","新北市永和區中正路283巷29弄4號"
"13085234","亞太旅館管理顧問有限公司","臺北市中山區遼寧街112號5樓之4"
"13119419","麒銘國際股份有限公司","桃園市桃園區中寧里大興西路二段104-1號"
"13199476","悅誠股份有限公司","高雄市三民區昭良街1號"
"16233791","沐信環境工程有限公司","臺南市永康區鹽行里中正南路640之3號"
"16330554","上斯公寓大廈管理維護有限公司","臺北市中正區忠孝東路1段152號12樓之5"
"16479719","常鳴企業有限公司","高雄市三民區自立一路177巷25號4樓之5"
"16723397","源富食品有限公司","屏東縣潮州鎮蓬萊里江山路５３號"
"16766655","友力國際有限公司","臺北市中山區吉林路393巷23號1樓"
"16885723","皓瀧國際事業有限公司","高雄市鳥松區松埔北巷2之102號8樓"
"16893569","元古科技股份有限公司","臺北市士林區雨聲街38號1樓"
"22292234","鎧興有限公司","新北市新莊區自立街79巷22號1樓"
"22542042","幼華國際股份有限公司","臺中市北屯區文昌三街55號1樓"
"23131264","士林環境淨化股份有限公司","臺北市士林區大東路138號3樓"
"23447756","台興企管顧問有限公司","臺北市中正區忠孝東路1段152號10樓之6"
"23615486","力麗觀光開發股份有限公司","臺北市中山區松江路162號3樓"
"23781415","新欣清潔有限公司","桃園市桃園區成功里園一街56號"
"24202701","寶海科技股份有限公司","高雄市路竹區社南里17鄰大同路204號"
"24208515","清淨家有限公司","臺中市沙鹿區六路里臺灣大道六段773號1樓"
"24224590","鑫鴻太科技有限公司","臺北市內湖區文德路106號5樓之6"
"24239242","立翔物業有限公司","花蓮縣花蓮市民孝里東興街301號1樓"
"24244723","珈山科技有限公司","新北市土城區立德路60號11樓"
"24251738","允承貿易有限公司","臺中市神岡區中山路614巷69弄25號1樓"
"24254192","宏鑫團膳有限公司","桃園市中壢區三民里下三座屋17-18號2樓"
"24285815","廚寶美食股份有限公司","桃園市桃園區龍安里國強一街470號1樓"
"24291719","詠潔興實業有限公司","桃園市八德區大千里東勇街19巷13弄7號11樓"
"24301884","欣滿庭生活管理顧問有限公司","新北市永和區永利路25號1樓"
"24315607","多樂國際餐飲有限公司","臺北市萬華區漢中街157號8樓之5"
"24317008","台罐工貿有限公司","新北市永和區仁愛路249號2樓"
"24322001","金豪清潔有限公司","臺北市中正區許昌街42-1號10樓"
"24338691","多樂屋國際餐飲有限公司","臺北市中山區松江路71號9樓之1"
"24342576","湖旺餐飲有限公司","臺北市信義區基隆路1段155號13樓之5"
"24364347","寶拉寶實業股份有限公司","南投縣魚池鄉魚池街420號1樓"
"24365824","薇閣企業有限公司","桃園市桃園區向善街77號1樓"
"24394172","勤言企業有限公司","新北市板橋區莒光路114巷4號1樓"
"24437550","品亮清潔有限公司","彰化縣二水鄉五伯村過圳路259號1樓"
"24450048","皇后先生餐飲有限公司","臺北市信義區吳興街250號"
"24450770","好處多有限公司","臺北市中山區林森北路85巷57號"
"24490750","滇味廚房有限公司","臺北市文山區指南路2段167號1樓"
"24493118","耘成科技有限公司","臺北市中山區松江路283號5樓之1"
"24493449","長紅清潔有限公司","臺北市大安區四維路186巷5之2號3樓"
"24496446","瑋傑清潔有限公司","臺北市萬華區開封街2段80號4樓之10"
"24501074","淇齡建有限公司","高雄市前鎮區英明1路72巷13之5號"
"24510658","好味道實業有限公司","高雄市苓雅區成功一路210之2號9樓"
"24530351","凱樂生活股份有限公司","臺北市大安區敦化南路2段170號10樓"
"24531675","三勤科技有限公司","臺中市大里區長春路78巷31弄31號1樓"
"24538017","嚴選餐飲股份有限公司","臺北市大同區承德路1段16號"
"24540111","旭謄有限公司","臺北市大安區延吉街137巷7弄5號2樓"
"24541759","山茶屋有限公司","臺北市中山區中山北路1段121巷3號1樓"
"24542173","瑋恩餐飲企業有限公司","臺北市中山區新生北路1段88號"
"24542379","台北城飯店有限公司","臺北市大同區保安街11號及13號"
"24555232","和鉅國際股份有限公司","臺北市中山區松江路261號7樓"
"24557040","玉潔環保清潔有限公司","臺北市信義區忠孝東路5段1之7號9樓"
"24563319","文達有限公司","臺北市中正區汀州路3段104巷5號4樓"
"24563373","庭忠有限公司","臺北市大同區重慶北路2段57巷19號1樓"
"24571818","象園坊有限公司","臺北市士林區美德街3號"
"24571850","奇特國際有限公司","臺北市內湖區成功路4段39號"
"24572443","台灣眏像飯店有限公司","臺北市大同區保安街11號及13號"
"24572458","台灣印像飯店有限公司","臺北市大同區保安街11號及13號"
"24588775","台工開發工程有限公司","臺中市北屯區后庄里新興路6巷1號1樓"
"24589388","有德事業有限公司","臺中市中區大誠街68號1樓"
"24591862","福臻品善有限公司","臺中市豐原區西湳里三豐路877巷74弄32號1樓"
"24594740","登鋒有限公司","臺中市潭子區東寶里7鄰崇德路五段13號"
"24614247","麒銘國際開發有限公司","桃園市桃園區中寧里大興西路2段104之1號"
"24620058","曆新國際有限公司","桃園市平鎮區興華街101巷22弄16號4樓"
"24631225","德順興業有限公司","屏東縣東港鎮朝安里13鄰新生一路37號1樓"
"24648696","潔光環境科技有限公司","嘉義縣民雄鄉東榮村中庄109號3樓之4"
"24655485","瓛綺有限公司","桃園市蘆竹區南崁里中正路130號"
"24668025","富鼎立國際貿易股份有限公司","高雄市新興區五福二路192號3樓之2"
"24680956","嘉新行企業有限公司","高雄市仁武區南勢巷6之1號"
