"統一編號","公司名稱","公司地址"
"01456436","威麥克健康生技股份有限公司","新北市新店區民權路108-3號7樓"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03322504","建台水泥股份有限公司","高雄市苓雅區意誠里5鄰自強三路3號24樓之6"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03631207","國裕開發股份有限公司","臺北市中正區忠孝西路１段３８號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04305052","首善有限公司","臺北市萬華區漢中街127號9樓"
"04468800","美瑜企業股份有限公司","新北市三重區新北大道2段252號4樓"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"04987726","蘋果樹科技有限公司","臺北市大安區金華街223之8號5樓"
"04994965","大輔企業有限公司","臺北市中山區林森北路554號10樓"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05085203","寶豐隆興業股份有限公司","臺北市大安區仁愛路4段71巷36號2樓"
"05104840","鼎鼎大飯店股份有限公司","臺北市大安區敦化南路2段201號、203號1至5樓"
"05125113","英鎮實業有限公司","臺北市松山區復興北路191號8樓之2"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05162046","日光猿馬戲團股份有限公司","臺北市文山區景文街92號6樓之2"
"05163431","勝任工程顧問股份有限公司","臺北市大安區羅斯福路2段75之1號12樓之1"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"07625199","迪樂商旅有限公司","臺北市大同區延平北路1段121號"
"07726014","伊索國際有限公司","臺北市大安區大安路1段118號"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09435815","憲旺企業有限公司","臺北市中山區長安西路26巷8號2樓"
"09452742","肌光有限公司","臺北市大安區復興南路1段126巷1號6樓之2"
"09459870","具冠企業股份有限公司","臺北市內湖區瑞光路513巷22弄5號7樓"
"09462832","萊麗美容專業有限公司","臺北市內湖區瑞光路513巷22弄5號7樓之1"
"09471425","億霸股份有限公司","新北市林口區東明一街121巷3號"
"11081274","六福開發股份有限公司","新竹縣關西鎮仁安里拱子溝60號"
"11636802","國賓大飯店股份有限公司","臺北市中山區中山里4鄰中山北路2段63號"
"12108842","華皇浴室有限公司","臺北市中山區長春路100號地下室"
"12126551","美麗華大飯店股份有限公司","臺北市中山區民權東路3段2號12樓"
"12172317","世農佑綠有限公司","臺北市松山區復興北路181號3樓之1"
"12254844","日日商業股份有限公司","新北市板橋區文化路2段495號20樓"
"12276002","欣儀生化科技股份有限公司","臺北市中山區復興北路290號3樓之1"
"12371287","采盟股份有限公司","臺北市松山區中正里復興北路57號3樓之1、2、7"
"12373243","日勝生活科技股份有限公司","臺北市大同區市民大道1段209號14樓"
"12489011","金沙國際興業股份有限公司","臺北市中正區和平西路１段１６１號４樓"
"12499670","凱撒大飯店股份有限公司","屏東縣恆春鎮墾丁路6號"
"12504152","香港商傑霸國際有限公司","新北市淡水區中山北路3段31巷88號6樓"
"12555807","善德殯儀有限公司","臺北市大安區辛亥路3段284巷7號1樓"
"12556377","臺灣芝寶股份有限公司","臺北市中正區羅斯福路2段140號4樓"
"12605898","姿妳生化科技股份有限公司","臺中市北區頂厝里進化北路261號1、2樓"
"12606209","戎盛股份有限公司","臺中市大里區內新街七二號一樓"
"12606334","長勳管理顧問有限公司","基隆市中山區新建里成功二路1巷3號1樓"
"12608136","聖雅典婚紗攝影有限公司","臺中市中區大墩里三民路二段一二四號一樓"
"12608810","雙迪國際事務有限公司","新北市土城區延吉街一一一巷一二弄一二號一樓"
"12610061","翔舜國際有限公司","新北市中和區中正路六八一號九樓"
"12610597","畢詩麥國際企業有限公司","新竹市新民里一鄰北大路二六○號二樓"
"12614236","映曈視覺有限公司","臺中市西區存中街一六五號一樓"
"12619669","玉湘葳企業股份有限公司","彰化縣花壇鄉白沙村田墘巷70號"
"12626042","安嘉莉實業股份有限公司","新北市深坑區北深路3段141巷10號"
"12627020","亞尼有限公司","臺南市東區凱旋路27號"
"12627149","彭村梅國際美容事業股份有限公司","臺中市南屯區文心南三路222號1樓"
"12635035","橋岡企業有限公司","高雄市橋頭區白樹里樹德路六三號一0樓"
"12635128","菲力美容事業有限公司","臺南市東區東光里東安路一八三號"
"12636724","千禧生活事業股份有限公司","桃園市桃園區北門里三民路二段二六二號"
"12646244","星紀髮型美容有限公司","新北市板橋區新埔里文化路1段421巷9號(1樓)"
"12649827","愛克詩有限公司","臺中市沙鹿區鹿寮里成功東街二九號一樓"
"12652456","豐華國際股份有限公司","臺北市松山區敦化北路220號3樓"
"12654291","風詩韻有限公司","臺北市士林區天母西路４５號２樓"
"12655741","以斯帖企業有限公司","臺北市士林區文林路722之1號1樓"
"12656489","賞欣國際有限公司","新北市新店區寶中路95之12號1樓"
"12658536","愛比森國際股份有限公司","臺北市中山區中山北路2段112號5樓之4"
"12659280","晶麟有限公司","臺北市松山區民生東路５段９號１樓"
"12662911","菲萌生技華髮股份有限公司","臺北市大安區仁愛路4段410號3樓"
"12664740","泓亞生物科技有限公司","臺北市信義區信義路5段5號"
"12665190","喜麗美容企業股份有限公司","臺北市松山區南京東路3段337號11樓"
"12665207","力冠國際股份有限公司","臺中市西屯區惠中一街32號1樓"
"12665804","美麗安生化醫學科技股份有限公司","臺北市大安區忠孝東路4段183號12樓之2"
"12666135","維新美容有限公司","臺北市內湖區康寧路3段189巷93弄13號"
"12670074","新廉亨企業有限公司","臺北市內湖區瑞光路478巷18弄30號8樓之1"
"12673115","馬路通開發股份有限公司","臺北市中山區天祥路48巷2號4樓之3"
"12673353","易勁門道家無極內功有限公司","臺北市大安區羅斯福路2段107號8樓"
"12675346","亞爵國際育樂股份有限公司","臺北市信義區松仁路97、99、101號地下1樓"
"12680191","妙點電商股份有限公司","臺北市萬華區和平西路３段３１２號３樓"
"12685978","太登休閒事業股份有限公司","臺北市松山區敦化北路150號8樓"
"12687716","晶郁國際有限公司","新北市新店區中央路187號2樓"
"12691731","山禾國際有限公司","臺北市中正區臨沂街７５巷８號"
"12693007","普洛達數位科技有限公司","臺北市中山區中山北路2段27巷2號6樓之6"
"12695032","小林美髮美容有限公司","臺北市大安區忠孝東路4段216巷36之1號2樓"
