"統一編號","公司名稱","公司地址"
"00862175","行天馬有限公司","基隆市中山區德安里復興路291號底層"
"01807566","祥發國際傳播有限公司","彰化縣鹿港鎮草中里頂草路四段四六二號"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03090407","中國力霸股份有限公司","臺北市大安區復興南路1段135巷15號7樓"
"03158102","伊士曼攝影事業有限公司","臺北市中山區龍江路239號1樓"
"03322504","建台水泥股份有限公司","高雄市苓雅區意誠里5鄰自強三路3號24樓之6"
"03373812","國都鐘錶攝影有限公司","臺北市中正區紹興南街５之４號"
"03521905","遠東百貨股份有限公司","新北市板橋區新站路16號18樓"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04368767","永光彩色印刷股份有限公司","新北市中和區建三路9號"
"04409839","和諧影業有限公司","臺北市中山區松江路131號5樓502室"
"04491020","盛毅實業股份有限公司","新北市五股區五權三路42號"
"04822350","龍麒機械工程有限公司","基隆市信義區深溪路115號"
"04878163","世全實業有限公司","臺北市文山區興隆路1段70巷11弄7號1樓"
"04987726","蘋果樹科技有限公司","臺北市大安區金華街223之8號5樓"
"05001529","隆盛欣企業有限公司","新北市板橋區松柏里1鄰松柏街36巷2之3號"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05016240","凌鉅企業有限公司","臺北市大安區和平東路1段8號7樓"
"05022664","必合實業有限公司","新北市新店區松林路6號之9"
"05022812","亞宙貿易有限公司","臺北市大安區泰順街50巷11號4樓"
"05023489","榮彥企業股份有限公司","臺北市大安區忠孝東路4段341號6樓之2"
"05026438","遠流出版事業股份有限公司","臺北市中正區南昌路2段81號6樓"
"05061764","佳譽國際音像有限公司","臺北市大安區濟南路3段62之1號2樓"
"05085203","寶豐隆興業股份有限公司","臺北市大安區仁愛路4段71巷36號2樓"
"05110596","貳零零壹育樂有限公司","臺北市信義區忠孝東路5段508號24樓之1"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05162622","懷寧錄影傳播事業有限公司","彰化縣員林鎮博愛路12號2樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
