"統一編號","公司名稱","公司地址"
"00389608","新裕發汽車貨運股份有限公司","基隆市信義區崇法街135巷5弄3號2樓"
"00834805","慶億交通企業有限公司","基隆市信義區崇法街135巷5弄3號2樓"
"00872005","金壽禮儀用品有限公司","基隆市暖暖區八西里八堵路23號1樓"
"01458103","冠帝有限公司","臺北市大同區環河北路２段１８５巷６號２樓"
"01807566","祥發國際傳播有限公司","彰化縣鹿港鎮草中里頂草路四段四六二號"
"01865973","劉益森壽板鮮花殯儀有限公司","新北市樹林區保安二街5號"
"01868009","泰樂禮儀有限公司","新北市板橋區吳鳳路五○巷一一號"
"03351015","泰電電業股份有限公司","臺北市中正區博愛路76號8樓"
"03373502","得恩堂眼鏡有限公司","臺北市中正區羅斯福路1段125號2樓"
"03389125","雪龍眼鏡有限公司","臺北市萬華區漢中街117號1樓"
"03618703","寶島鐘錶股份有限公司","臺北市內湖區瑞光路513巷30號6樓"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04204815","古一堂企業股份有限公司","臺北市中山區新生北路1段23號5樓之1"
"04224170","靈智廣告股份有限公司","臺北市中山區南京東路3段131號8樓"
"04226064","永新精密有限公司","新北市三重區溪尾街5巷47號4樓"
"04237169","常富企業股份有限公司","臺北市大安區敦化南路1段336號8樓之1"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04327387","永全貨運有限公司","臺北市南港區東新街187號"
"04422501","佐佑投資股份有限公司","臺北市中山區中山北路2段96號"
"04449826","更豐盛眼鏡有限公司","臺北市大同區寧夏路26之3號"
"04503362","奇威行有限公司","臺北市大同區太原路11之3號1樓"
"04516628","視華國際有限公司","臺北市中山區長安東路2段31號5樓"
"04526822","松谷企業股份有限公司","臺北市信義區信義路5段5號"
"04533210","宏記寶成鐘錶眼鏡有限公司","臺北市萬華區寶興街71號"
"04655228","富亞企業有限公司","臺北市中正區羅斯福路1段24之1號2樓"
"04666338","大地眼鏡有限公司","臺北市中正區忠孝東路１段７６號１樓"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"04822350","龍麒機械工程有限公司","基隆市信義區深溪路115號"
"04869642","牧友實業有限公司","臺北市文山區羅斯福路5段166號6樓"
"04894754","辛亥殯儀股份有限公司","臺北市大安區臥龍街188巷23號1樓"
"04913416","正一乾冰有限公司","臺北市文山區羅斯福路5段192巷25號1樓"
"04960944","昇遠實業有限公司","新北市新莊區五工五路1號(5樓)"
"04964250","東森國際股份有限公司","臺北市大安區復興南路1段368號5樓、8樓及370號6樓、11樓"
"04987388","乙農企業股份有限公司","臺北市中山區農安街57號2樓之6"
"04987726","蘋果樹科技有限公司","臺北市大安區金華街223之8號5樓"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05051822","立和創新有限公司","臺北市中山區長安東路1段16號8樓之3"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05070588","護目眼鏡有限公司","臺中市北屯區北屯路185號2樓"
"05115635","健答有限公司","臺北市中正區臨沂街25巷11號"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05405206","亞茵企業有限公司","臺北市南港區研究院路3段203號"
"05506582","上毅企業有限公司","臺北市文山區景興路15號2樓"
"05643495","尚洪工程有限公司","臺北市萬華區昆明街34號5樓之2"
"05714195","遠百企業股份有限公司","新北市板橋區貴興路101號"
