"統一編號","商業名稱","商業地址","登記狀態"
"80784222","魚拓水族館","新竹市東區綠水里園後街二號一樓","核准設立"
"14803347","孟瑞商行","臺中市豐原區西安里成功路二一三號【限一樓】","歇業／撤銷"
"36611602","大同寵物生活館","屏東縣潮州鎮永春里興隆路２０１號","歇業／撤銷"
"99880885","李晴吉娃娃犬世界寵物坊","雲林縣虎尾鎮德興里德興路一六五巷一之二號一樓","歇業／撤銷"
"10853800","馡鎷生物科技企業社","嘉義市西區劉厝里玉山路６６９號一樓","核准設立"
"57909066","鬆獅家寵物咖啡店","高雄市三民區德智里自由１路８３號１樓","歇業／撤銷"
"30255612","猋成行","基隆市中山區協和里文化路110號1樓","核准設立"
"25701697","哈利寵物用品店","屏東縣屏東市豐榮里公園東路146號","核准設立"
"10755553","逢瑩犬舍","臺東縣臺東市岩灣里新站路二０四號一樓","廢止"
"19444757","生活水族館","新北市中和區景平路７４８號","歇業／撤銷"
"66992797","汪旺寵物美容用品店","新北市中和區圓通路１８４號１樓","核准設立"
"31585106","狗玩意寵物精品美容坊","桃園市大園區大園里新生路94號1樓","歇業／撤銷"
"49958583","御田寵物生活館","新北市板橋區四川路１段３０號１樓","核准設立"
"09186153","皇家寵物美容坊","彰化縣員林市和平里中山路２段１１１號","核准設立"
"36917250","金林網路商城","高雄市左營區博愛二路２０２號","核准設立"
"26931937","魚博士生態?","彰化縣彰化市西興里辭修路517號","歇業／撤銷"
"26011811","福柏企業行","高雄市彌陀區中正路３５０號１樓","核准設立"
"95918781","櫻花寵物用品店","桃園市龜山區山福里頂興路９８號１樓","核准設立"
"26370246","海淘洋行","臺北市大安區安和路1段70號6樓","歇業／撤銷"
"37838515","書香商行","宜蘭縣宜蘭市復興里神農路一段48號一樓","核准設立"
"39965451","達臨寵物沙龍","基隆市信義區東信路101號1樓","核准設立"
"10862218","艾爾曼數位科技工作室","臺南市北區五福里西門路3段134號5樓之6","核准設立"
"18018734","九久商行","高雄市大寮區大仁街１號１樓","核准設立"
"45405553","獅江商行","雲林縣斗六市榴中里中興路六八之五號","停業"
"09197026","奇買國際商行","臺中市太平區新光里樹德九街１００巷５號１樓","歇業／撤銷"
"57958235","瞄一下鳥園","高雄市小港區高鳳路７號１樓","歇業／撤銷"
"26985258","曲星水族館","臺中市西屯區何仁里西屯路二段96號1樓","核准設立"
"57999849","海帆水族館","高雄市楠梓區和昌里軍校路６７６號","歇業／撤銷"
"15713575","奇巧手寵物用品店","臺南市安平區國平里文平路215號1樓","核准設立"
"37815512","帕妃寵物用品社","桃園市觀音區三和里文化路坑尾段360巷41弄3號","核准設立"
"21741493","妮可寵物工作室","臺北市大安區復興南路2段342號","核准設立"
"15684369","高陞水族寵物店","臺中市大里區仁德里成功二路７９號（限一樓）","核准設立"
"41052403","富利勝實業社","桃園市中壢區林森里環中東路二段770號","核准設立"
"48883635","寵兒幸福森林寵物用品行","臺北市信義區松山路315之4號","核准設立"
"10816382","乾富寵物百貨用品店","臺南市佳里區建南里中山路89號1樓","歇業／撤銷"
"34812082","尚好禮實業社","桃園市觀音區藍埔里十一鄰青埔五二號","核准設立"
"29270679","狗狗喵喵寵物店","新北市新店區安康路２段４０號","歇業／撤銷"
"30131009","愛汀堡寵物美容精品店","新北市三峽區中山路１３２號１樓","核准設立"
"31684801","貓言狗語寵物坊","新北市中和區民享街32巷2號","核准設立"
"45518331","樂活之屋寵物生活館","臺中市北屯區平德里崇德路二段４９號１樓","歇業／撤銷"
"40869625","司普瑞網路行銷企業","臺南市安平區石門里安北路104號2樓","核准設立"
"10187834","杰恩企業社","臺南市安南區海東里海佃路2段602號1樓","歇業／撤銷"
"10455373","呷上漁美食教育企業社","屏東縣枋寮鄉天時村市場街６４巷３２號２樓","廢止"
"25918653","柏林寵物精品館","高雄市苓雅區苓雅1路29號1樓","核准設立"
"14747818","大有寵物用品店","臺北市士林區基河路17號1樓","廢止"
"26449709","愛寵物","臺南市安平區石門里安平路578號1樓","歇業／撤銷"
"13796403","犬貓莊","新北市五股區成泰路１段１３５號１樓","停業"
"09894206","崎麗國際企業社","新北市新莊區思源路４１９巷２５號３樓（現場僅供辦公室使用）","歇業／撤銷"
"39677310","小甜甜寵物店","苗栗縣苗栗市福安里6鄰中華路528號","歇業／撤銷"
"26960398","酷比家族寵物館","臺中市神岡區豐洲里豐洲路170號1、2樓","核准設立"
"10602826","吉達時代工作室","新北市永和區民族街81巷30號2樓","核准設立"
"10602826","吉達時代工作室","桃園市龍潭區建林里民族路２７８巷８８弄３衖８號４樓","遷他縣市"
"77271661","育宸商店","金門縣金城鎮南門里民族路２１９號","核准設立"
"29300879","福星寵物用品商行","桃園市中壢區興國里新生路１６１號１樓","歇業／撤銷"
"26957464","溱溱寵物美容工坊","臺中市北屯區平興里遼寧路一段136號","核准設立"
"39822757","佳群寵物本舖","臺中市西屯區福林里福雅路５１號１樓，２樓","核准設立"
"41114718","優質寵物店","新北市新莊區中正路251巷16號","核准設立"
"38852401","豆豆生活百貨館","臺中市外埔區甲后路３５８號１樓、３６０號１樓","核准設立"
"26753779","明耀鳥園","新北市三重區自強路5段23之1號1樓","核准設立"
"36773893","珍寶貝寵物美容坊","嘉義市西區美源里興業西路１５號一樓","核准設立"
"01619305","神畫世界企業社","桃園市平鎮區新英里新富五街142號4樓","歇業／撤銷"
"99628829","肥肥企業社","臺北市士林區士東路29號1樓","核准設立"
"80815153","銘洋水族?","彰化縣員林市大饒里員集路2段350號","核准設立"
"15768938","珮特斯寵物店","新北市淡水區學府路５１巷２弄２號","核准設立"
"99076918","真善美國際名犬店","臺中市西屯區逢甲里西屯路２段２５８之２５號１樓","歇業／撤銷"
"40714117","汎品整合行銷企業社","臺南市南區文南里仁南二街2號4樓之5","核准設立"
"41121936","遛狗趣寵物生活館","新北市板橋區中山路2段388之4號(1樓)","核准設立"
"09851207","犬太郎寵物美容店","新竹市北區金華里光華一街七號","核准設立"
"08726786","上美寵物坊","新北市新莊區中正路730之11號","核准設立"
"30289900","蔓蒂寵物住宿渡假庭園","新北市新店區直潭二街69號1樓","核准設立"
"41028777","忠皓企業社","桃園市桃園區長美里中山路102號1樓","核准設立"
"31578962","芊蕙寵物美容室","桃園市平鎮區新富里環南路二段273號1樓","核准設立"
"38559510","皂園企業社","臺北市內湖區南京東路6段350之8號10樓之2","停業"
"18456001","怡雯水族企業社","新北市板橋區中山路２段７２號","歇業／撤銷"
"09978612","城市貓寵物生活館","新北市新莊區化成路814巷5號","廢止"
"26019644","逗狗寵物沙龍","高雄市左營區孟子路２９６號１樓","歇業／撤銷"
"98069349","圓圓寵物美容室","宜蘭縣羅東鎮賢文里民權路183號1樓","歇業／撤銷"
"26815923","翔仁寵物工坊","臺中市潭子區聚興里豐興路一段445號1樓","核准設立"
"25364978","承燁生技企業社","彰化縣大村鄉美港村中山路1段187巷166號2樓","核准設立"
"26472594","永懷寵物服務社","高雄市三民區北平二街８巷２２號","歇業／撤銷"
"26353247","藍鉑樂工作室","臺北市士林區承德路4段297巷9號","歇業／撤銷"
"91723954","新大發飼料行","屏東縣屏東市扶風里自由路２５０號一樓","核准設立"
"26801694","多力寵物精品旅館","臺中市南屯區向心里文心南二路398號","核准設立"
"83822973","集客來商行","彰化縣田中鎮中路里福安路二四、二八號","歇業／撤銷"
"08688930","茂穎企業社","新北市永和區竹林路５７號１樓","廢止"
"37875145","愛寶寵物美容工作室","新北市板橋區縣民大道2段200巷35號","歇業／撤銷"
"25961779","甜心樂樂愛狗用品屋","高雄市三民區金山路330巷60號","停業"
"14326149","文雄動物用品行","臺北市大同區民族西路226號","歇業／撤銷"
"99276280","興榮豐家庭五金百貨行","臺南市安南區州南里長和路2段137號","核准設立"
"37875068","愛欣寵物生活館","新北市中和區四維街18號","核准設立"
"02611180","依凡國際貿易商行","新竹縣竹北市斗崙里福興一路132號11樓","核准設立"
"39819612","查理布朗寵物沙龍","臺中市南區永和里五權南路４７８，４８０號１樓","核准設立"
"41225989","宇岱企業社","新竹市東區科園里科學園路106號三樓","核准設立"
"29471161","義傑寵物量販店","桃園市中壢區永光里環北路１７號１樓","核准設立"
"40731349","進強商行","臺南市中西區民主里府前路2段87號1樓","核准設立"
"41427401","仟諭企業社","桃園市蘆竹區五福里五福一路69號1樓","核准設立"
"13878349","漂亮寶貝寵物坊","新竹市東區南市里中華路二段六三０號一樓","歇業／撤銷"
"18120843","威君寵物專業美容","高雄市前鎮區瑞東里瑞隆路４１３號１樓","歇業／撤銷"
"37873511","呼嚕嚕貓旅寵物精品工作室","新北市三重區重新路3段26號3樓","核准設立"
"14526385","祥統寵物百貨用品店","嘉義市西區垂楊里新民路７６５號一樓","核准設立"
"45545442","川鎏水族館","臺中市北屯區北屯里青島路四段２３６號１樓","歇業／撤銷"
"41087178","貓藝家療癒咖啡屋","新北市永和區博愛街5號","核准設立"
"26515691","貓的水族館","新北市三重區重新路5段564號1樓","停業"
"26553097","巨誠企業社","新北市中和區泰和街42之1號","歇業／撤銷"
"10092865","有間寵物店","桃園市桃園區寶慶里中埔二街１１６號１樓","歇業／撤銷"
"26893292","禎祥企業社","南投縣埔里鎮杷城里民有三街9號","歇業／撤銷"
"34937180","蒂芬妮寵物美容店","新竹市東區建華里寶山路33號一樓","歇業／撤銷"
"45521357","漁仙水族空間設計坊","臺中市沙鹿區興仁里鎮南路二段592號1樓","核准設立"
"31716923","原玖百貨商行","桃園市龜山區大同里大同路173號1樓","核准設立"
"10401102","狗仔店","臺東縣臺東市新興里鐵花路二一九號","核准設立"
"41096486","夢遊仙境寵物生活館","新北市中和區南山路171號","核准設立"
"36910427","邦比寵物用品店","高雄市鳥松區本?路９２之８號１樓","歇業／撤銷"
"30269931","祥麟寵物美容坊","新北市泰山區貴子里明志路3段142巷78號","歇業／撤銷"
"92093048","吉利寵物美容","花蓮縣花蓮市國治里中山路二九五號一樓","核准設立"
"99936369","貝樂絲寵物工坊","臺中市北區新北里一中街１０２號","歇業／撤銷"
"37702340","哈妮寵物生活館","嘉義市西區磚?里玉山路１１０號一樓","核准設立"
"10066769","美康藥粧行","新北市土城區延吉街２５４號１樓","核准設立"
"21966767","博泰寵物生活館","臺南市學甲區仁得里建國路27之1號","歇業／撤銷"
"45872233","駿陞寵物沙龍店","臺中市西區忠明里明義街5號","核准設立"
"45547820","大狗寵物美容生活館","彰化縣彰化市新興里自強路179號","核准設立"
"99736708","上買商行","高雄市三民區懷安街１２６號","歇業／撤銷"
"37899934","悠仙商行","新北市汐止區建成路57巷11號","歇業／撤銷"
"29353235","寵愛寶貝寵物生活館","新北市蘆洲區永樂街３８巷５７弄９號","歇業／撤銷"
"99856148","貝比咕咕房商行","臺中市豐原區中山里復興路５９號一樓","歇業／撤銷"
"10863602","酷比寵物精品生活館","臺南市北區大道里北門路2段558號1樓","核准設立"
"10145949","露露個人工作室","臺南市南區竹溪里體育路43巷27之4號5樓（僅供辦公室使用）","歇業／撤銷"
"34937132","巧格趣商行","新竹市東區軍功里光復路二段408號一樓","遷他縣市"
"25581840","馥薇商行","臺北市大安區臨江街102之5號","核准設立"
"45478648","利洋水族寵物店","臺中市南區和平里復興路二段３８之９號１樓","停業"
"10298297","豆可商行","高雄市小港區朝德街128號1樓","歇業／撤銷"
"37843263","九一八商行","宜蘭縣宜蘭市南門里文昌路15號一樓","核准設立"
"26516517","淡海水景館","新北市淡水區中正路1段42號","核准設立"
"10948709","淯誠商行","彰化縣員林市中央里員集路２段４５號","核准設立"
"21300334","日興盛企業社","高雄市苓雅區建國１路２５７號","廢止"
"25492410","瑞士藥粧生活館","雲林縣斗六市成功里成功路342號1樓","核准設立"
"15638751","巨揚服飾店","臺北市松山區敦化北路222巷24號","歇業／撤銷"
"02274194","納米寵物生活館","新北市樹林區大雅路366號","核准設立"
"37589635","酷得工坊","臺南市北區大道里北門路2段547巷57號2樓","核准設立"
"45543492","京橙水族寵物世界","臺中市大甲區平安里文昌街67號","核准設立"
"99973321","冠福寵物用品商行","臺北市士林區文林路64號","歇業／撤銷"
"40874015","日安好生活商行","臺南市佳里區安西里育善街135巷21號1樓","核准設立"
"25536472","愛狗生活館","臺北市中山區松江路372巷28號1樓","核准設立"
"40866319","菁櫻工作室","臺南市南區府南里金華路1段484巷165弄3號1樓","核准設立"
"40731663","祥泰寵物生活館","臺南市永康區大灣里大灣路340號1樓","核准設立"
"26761476","澎澎寵物旅館","新北市板橋區新生街29巷15弄2號1樓","核准設立"
"10859516","鐿兆商行","臺南市中西區法華里健康路1段54號1樓","核准設立"
"38882144","翰葳禮品行","南投縣南投市三和里三和二路82巷7號一樓","核准設立"
"41077360","金源鑫百貨商行","新北市新店區安康路2段365號","核准設立"
"48679198","陳佳琳工作室","臺北市中正區忠孝西路1段50號12樓之23","歇業／撤銷"
"38859158","家居百貨","臺中市北屯區平昌里北平路四段１０２號１樓","核准設立"
"36877659","夯犬美狗沙龍","澎湖縣馬公市中興里文化路23號1樓","核准設立"
"25582030","津璽寵物美容商行","臺北市中山區明水路549號","核准設立"
"80973096","大原動物用品行","苗栗縣竹南鎮正南里一八鄰中正路一五九號一樓","核准設立"
"05971200","員東金泰行","彰化縣員林市浮圳里員東路一段二三三巷十四號","歇業／撤銷"
"41386669","愛保寵物坊","新北市板橋區縣民大道2段200巷35號(1樓)","核准設立"
"10051597","犬貓公園寵物店","基隆市中山區西康里西定路三六０號一樓","歇業／撤銷"
"37881110","雅順企業社","新北市蘆洲區信義路259巷13弄5號4樓","核准設立"
"37792406","中豐寵物商行","桃園市平鎮區南勢里中豐路南勢二段117-3號","核准設立"
"30301931","初能企業社","新北市淡水區淡金路3段366號3樓","歇業／撤銷"
"31860736","鼎原企業社","臺北市士林區永平街76號1樓","歇業／撤銷"
"38468342","貓公爵澡堂","臺北市信義區松山路259之2號","核准設立"
"25570695","龍中龍水族館","臺北市文山區辛亥路4段239號","核准設立"
"26546815","犬家福寵物精品生活館","新北市板橋區南雅南路2段18號","歇業／撤銷"
"45355131","明政興商行","臺中市大肚區新興里沙田路二段２０４號一樓","核准設立"
"37851381","愛加商行","新竹市東區復興里自由路95巷18弄26號三樓之1","歇業／撤銷"
"21731235","辛蒂亞服飾精品行","臺北市萬華區西寧南路72號之1、4樓","歇業／撤銷"
"41396239","天養工程行","新北市汐止區長興街二段50巷30弄17號","核准設立"
