"統一編號","商業名稱","商業地址","登記狀態"
"09518619","最遊釀酒坊","屏東縣長治鄉榮華村和平路３１－１號一樓","核准設立"
"09518619","最遊釀酒坊","屏東縣長治鄉榮華村和平路３１－１號一樓","核准設立"
"25766733","睿吉企業社","臺南市東區文聖里裕農一街180巷28號1樓","核准設立"
"37586428","肚臍凸凸寵物社","臺南市北區成德里文成二路212巷13號","核准設立"
"37586428","肚臍凸凸寵物社","臺南市安平區國平里健康路3段378號","核准設立"
"37586428","肚臍凸凸寵物社","臺南市永康區龍潭里龍埔街150巷6號1樓","核准設立"
"38565029","柴新鮮商行","臺北市信義區信義路5段150巷315弄7號2樓","核准設立"
"38787916","元展科技開發洋行","雲林縣西螺鎮廣福里廣興路162號","核准設立"
"39828730","小狗月亮愛廚房","臺中市西區土庫里福人街４７巷３號１樓","核准設立"
"40716874","由心設計","臺南市永康區勝利里勝利街42巷20號1樓","核准設立"
"40716874","由心設計","臺南市永康區勝利里勝利街42巷20號1樓","停業"
"40866916","敲碗寵物手工創作坊","臺南市東區富裕里裕豐街84巷6號1樓","歇業／撤銷"
"40866916","敲碗寵物手工創作坊","臺南市東區富裕里裕豐街84巷6號1樓","核准設立"
"62944824","奇貝水族館","臺南市新市區永就里中山路159號1樓","核准設立"
"02339181","泇勝企業社","新北市中和區中山路2段578號","核准設立"
"26741492","好運吧精緻寵物旅店","新北市淡水區大仁街33號1樓","核准設立"
"34817994","狗屋寵物美容館","桃園市中壢區普強里十八鄰中山東路二段八二之一號","核准設立"
"37562376","吉快樂寵物蛋糕屋","臺南市北區元寶里開元路485巷41弄3號1樓","核准設立"
"37875659","狗兒莫尼烘焙坊","新北市三重區中興北街150巷17號","歇業／撤銷"
"37902001","比兒漾幸福手創坊","新北市土城區明德路1段291巷20號(1樓)","核准設立"
"38932088","金牌寵物用品社","彰化縣彰化市萬安里永安街196號1樓","核准設立"
"40866303","食二糧生活實業社","臺南市永康區二王里忠孝路410巷70弄10號1樓","核准設立"
"41075193","有紋小商鋪","新北市新店區中央路133巷13號","核准設立"
"41098386","柯昱國際工作室","新北市三峽區復興路367巷1弄35號10樓","核准設立"
"01509834","皂靜手藝工作坊","桃園市八德區大智里永福西街10巷15弄3之3號","核准設立"
"10487065","快樂尾巴專業寵物美容館","臺南市東區崇德里崇道路25號1樓","核准設立"
"25216772","旺寶貝寵物用品","苗栗縣苗栗市綠苗里光復路102號1樓","核准設立"
"25216772","旺寶貝寵物用品","苗栗縣苗栗市綠苗里光復路102號1樓","核准設立"
"26938262","阿尼基頂級寵物鮮食堂","彰化縣福興鄉福興村福三路4段158巷3號2樓","歇業／撤銷"
"31595483","多利寵物時尚生活?","新竹縣竹北市中華路182號1F","核准設立"
"31685647","全宏食品行","新北市樹林區柑園街2段16號","核准設立"
"31685647","全宏食品行","新北市樹林區柑園街2段16號","核准設立"
"36860377","昶富工程行","臺東縣臺東市豐年里中興路三段一七七巷五十三號","廢止"
"37880837","毛毛寵物旅館","新北市三重區永安北路2段107號","歇業／撤銷"
"39682329","張瑞恩寵物美容","臺中市后里區后里里 三豐路３３３－２號１樓","核准設立"
"40731925","央央企業社","臺南市北區成德里文成二路212巷13號","核准設立"
"41054227","艾瑞卡創意甜點","新北市三重區大同南路96巷5號2樓","核准設立"
"41054248","毛小孩手感烘焙坊","新北市三重區仁愛街27巷25號3樓","歇業／撤銷"
"41089886","參拾寵物精品店","新北市板橋區大觀路３段１６０巷１３號","停業"
"41089886","參拾寵物精品店","新北市板橋區大觀路３段１６０巷１３號","核准設立"
"41096850","擠哺企業社","新北市三重區仁愛街26號(1樓)","核准設立"
"41363482","寵寶貝咖啡","新北市永和區保安路292號","核准設立"
"47140679","跳格子創藝工坊","臺中市霧峰區坑口里中正路２６號","核准設立"
"26700746","偉創企業社","連江縣南竿鄉清水村20號","核准設立"
"26855781","女孩狗狗寵物用品坊","苗栗縣頭份鎮文化里建國路2段186號1樓","核准設立"
"31851342","倍加寵物用品店","臺北市北投區中央北路4段501號1樓","歇業／撤銷"
"37746403","好地方創意整合行銷工作室","臺南市北區成德里北成路401號10樓之3","核准設立"
"37746403","好地方創意整合行銷工作室","臺南市北區成德里北成路401號10樓之3","核准設立"
"38580106","及第貿易商行","臺北市中山區中山北路2段85巷15號","核准設立"
"38661347","福春牌商號","高雄市路竹區順安路２１３巷３５號１樓","核准設立"
"38731126","勇聖企業行","高雄市路竹區中山路７８３巷７號１樓","核准設立"
"39965706","果醬時間手作烘焙工作室","基隆市七堵區南興路63巷16-2號3樓","歇業／撤銷"
"39965706","果醬時間手作烘焙工作室","基隆市七堵區南興路63巷16-2號3樓","核准設立"
"47373424","瓦特鮮食坊","彰化縣員林市三橋里三橋街352巷19號","核准設立"
