"統一編號","商業名稱","商業地址","登記狀態"
"31480378","東昇企業社","花蓮縣吉安鄉慶豐村慶北３街４４２巷２號","核准設立"
"36862781","東舖興業社","臺東縣東河鄉都蘭村都蘭路一二一之一號","核准設立"
"97557480","佳福堂食品行","臺中市大肚區福山里沙田路一段564之10號","核准設立"
"41324427","大丸山東饅頭","高雄市湖內區中正路２段３０１號","核准設立"
"02489028","名家精製茶莊","新北市汐止區伯爵街40巷10號3樓","停業"
"41064604","佳饌食品行","新北市板橋區稚暉街46巷16號","停業"
"25466433","五十年代烘焙工房","南投縣埔里鎮薰化里西康路40號","核准設立"
"45409164","中村烘焙坊","雲林縣斗六市信義里鎮北路二五號一樓","歇業／撤銷"
"05820082","喜洋洋西點麵包店","臺中市大肚區蔗?里遊園路二段１１１號","歇業／撤銷"
"10329159","幸福?巧克力工房","臺北市萬華區西昌街143號","廢止"
"66875236","普派西點蛋糕","新竹市東區立功里光復路二段42巷28號一樓","核准設立"
"29390111","祿譜食品社","臺南市歸仁區看東里中山一街119號1樓","歇業／撤銷"
"41098230","葛來美食品行","新北市淡水區忠寮里口湖子1之7號","核准設立"
"88697171","勝家食品行","高雄市梓官區梓義里中崙路２９９巷２４號","歇業／撤銷"
"10433414","山川食品烘焙坊","臺南市南區郡南里德興路139巷56號1樓","歇業／撤銷"
"37893517","上井烘焙坊","新北市三重區中正北路25巷25弄17號","核准設立"
"93685631","吉美麵包廠","臺東縣成功鎮忠智里成功路二十三號一樓","歇業／撤銷"
"77263141","源合","金門縣金城鎮北門里莒光路３４號","歇業／撤銷"
"17275158","立茂工程行","新北市土城區裕民路１４２號２樓（現場僅供辦公室使用）","核准設立"
"41054227","艾瑞卡創意甜點","新北市三重區大同南路96巷5號2樓","核准設立"
"25227573","古記餅舖","南投縣埔里鎮南門里南盛街115號","核准設立"
"41378990","成鴻整合商行","新北市板橋區文化路1段360號地下1層之19","核准設立"
"34960689","阿旺獅料理舖","嘉義縣水上鄉三界村三界埔２６０號附1","核准設立"
"99911677","自然香","新竹市東區育賢里東門街８２–１號","歇業／撤銷"
"71597705","滋養軒食品廠","臺南市新營區民權里中山路254號","核准設立"
"36835265","阿茂烘焙坊","臺南市中西區保安里友愛街264號1樓","核准設立"
"43738958","明園糕餅舖","桃園市龜山區新路里陸光路６１號","核准設立"
"39718494","大城吳媽媽鹼粽","彰化縣大城鄉大城村西平路93號","停業"
"31880803","菲瑞西點手工坊","臺北市文山區興隆路2段96巷2之4號","核准設立"
"55293803","仟億商行","臺中市潭子區潭陽里潭子街１段３１巷６８號１樓","核准設立"
"66578720","來來食品店","嘉義縣朴子市文化里一五鄰山通路六九號","歇業／撤銷"
"26253768","歸綠生活工作室","新北市新店區中正路328巷28號(1樓)","核准設立"
"40164047","德興食品行","宜蘭縣羅東鎮羅東里中正路１００號","歇業／撤銷"
"39704457","賦餘創意實業社","雲林縣斗六市鎮南里中山路555巷8號1樓","停業"
"21361471","天運吐司專賣店","高雄市楠梓區右昌街143巷125弄30之1號","核准設立"
"37598120","大鳥麵包烘焙屋","臺南市東區東光里東興路262號1樓","核准設立"
"34930927","貝克里麵包專門店","新竹市北區潛園里西大路429號一樓","核准設立"
"94737019","美而新食品行","花蓮縣花蓮市中華路二九號","核准設立"
"38848012","沐藏月鍋物料理餐館","臺中市大里區永隆里爽文路９６８號","核准設立"
"78980938","里夫麵包店","臺南市北區西門路3段262號1樓","歇業／撤銷"
"01933753","天一西點麵包工廠","新北市土城區中央路?7段２５之?0號","核准設立"
"26019969","名川行","高雄市鳥松區美山路７０巷９１號","核准設立"
"68768541","新來福","臺南市北區成功里北成路14號1樓","歇業／撤銷"
"26826098","暖陽手工烘焙室","南投縣草屯鎮山腳里虎山路475號一樓","核准設立"
"69032409","舊永瑞珍製餅廠","臺南市中西區建國里永福路2段181號","核准設立"
"96670392","新美發食品行","澎湖縣湖西鄉隘門村１１８–７號","核准設立"
"10536761","百桂食品行","新北市蘆洲區長安街１３１巷２弄３號１樓","遷他縣市"
"50508018","郭乾香餅舖","苗栗縣竹南鎮竹南里二鄰中山路一０三號","歇業／撤銷"
"65662896","東茂珍食品店","嘉義縣梅山鄉梅東村南市五號","歇業／撤銷"
"77655977","玉重美餅店","臺中市豐原區豐田里田心路二段３３９號１樓","核准設立"
"33000070","百里香西點麵包廠","新北市樹林區保安二街９４號","歇業／撤銷"
