"統一編號","商業名稱","商業地址","登記狀態"
"01968014","谷和食品廠","新北市鶯歌區中正三路171之1號","核准設立"
"07906000","長鈺企業社","高雄市美濃區廣德里民族路９２之１號１樓","核准設立"
"09074523","老農農產品加工廠","嘉義縣水上鄉南鄉村牛稠埔８４號","核准設立"
"09929541","禾億實業社","桃園市楊梅區梅溪里新農街二段209巷55號","核准設立"
"10261741","永彩實業社","高雄市新興區民生１路３６３巷１２號１樓","歇業／撤銷"
"10749700","孫記食品廠","高雄市岡山區為隨東路５８巷３１號","核准設立"
"13702433","大智慧企業社","臺南市關廟區新光里新光街210號1樓","核准設立"
"17367332","有騏商行","高雄市鳥松區仁美里美山路３６巷１號","核准設立"
"18021837","裕鈞產業行","高雄市路竹區後鄉里順安路３０５號１、２樓","核准設立"
"18407585","豐達食品行","新北市中和區中山路２段３４０巷３５號（１樓）","核准設立"
"18407585","豐達食品行","臺北市萬華區西昌街82號1樓","遷他縣市"
"19667877","南發珍瓜子行","高雄市大寮區光華路１３２巷２之３號","核准設立"
"19804561","塔加企業社","臺東縣臺東市民生里博愛路一六０號一樓","停業"
"25272181","勝利豆腐店","苗栗縣苑裡鎮田心里2鄰田心7之16號","核准設立"
"25731019","發宇珍味齋","高雄市大寮區三隆里立隆街１２９號","核准設立"
"25913101","恆順商行","高雄市三民區灣興街５０巷１號","核准設立"
"25931918","磐石咖啡烘焙坊","高雄市前鎮區二聖二路４９號１樓","核准設立"
"25990465","愛和健康國際美食企業社","高雄市燕巢區安招里安林４街３４號１樓","核准設立"
"25990465","愛和健康國際美食企業社","高雄市燕巢區安招里安林４街３４號１樓","歇業／撤銷"
"25991324","活量商行","高雄市左營區實踐路7號","停業"
"26011349","印象國際貿易商行","高雄市鳳山區建國路三段２４５之４號","核准設立"
"26144805","大竹北豆花","新竹縣新埔鎮旱坑里義民路1段181巷6弄1號","核准設立"
"26238205","可米商號","臺北市士林區德行東路331巷35號1樓","歇業／撤銷"
"26752547","華揚食品商行","新北市汐止區康寧街141巷47號5樓","歇業／撤銷"
"26784415","江春記豆腐店","宜蘭縣宜蘭市慈安里慈安路49巷69號","核准設立"
"26784415","江春記豆腐店","宜蘭縣宜蘭市慈安里慈安路49巷69號","歇業／撤銷"
"29286898","梵賽司咖啡館","新北市中和區建八路２８號","歇業／撤銷"
"31443509","名閎豆類食品行","新北市樹林區民權街18號","歇業／撤銷"
"31473897","山井食品行","新北市深坑區昇高里王軍寮1號之10","核准設立"
"31790492","海記食品","花蓮縣壽豐鄉溪口村廣玄1之1號1樓","核准設立"
"31850879","饕選咖啡烘焙行","臺北市萬華區東園街67巷5弄12號1樓","核准設立"
"00001280","福興食品原料廠","臺中市西區後龍里中山路４７１之１號１樓","核准設立"
"34762999","多伯特企業社","新北市淡水區大忠街79號(1樓)","核准設立"
"34762999","多伯特企業社","新北市板橋區中山路2段60巷1弄9號","核准設立"
"36832909","宜康食品行","臺南市仁德區仁德里文南街56號2樓","核准設立"
"36832909","宜康食品行","臺南市仁德區仁德里文南街56號2樓","歇業／撤銷"
"36833436","怡東巴山咖啡館","臺南市東區東明里怡東路83號1樓及地下室","歇業／撤銷"
"37716576","買大林手作坊","嘉義縣大林鎮中林里14鄰中林138號附1","核准設立"
"37945418","玄同企業社","新竹縣橫山鄉橫山村中豐路一段96巷8弄2號1樓","核准設立"
