"統一編號","商業名稱","商業地址","登記狀態"
"26436943","富裕田食品廠","臺南市後壁區菁寮里菁寮1之23號","停業"
"93820616","文仁企業社","臺南市善化區東昌里東勢寮95之1號1樓","核准設立"
"45699683","鉅堡國際商行","彰化縣北斗鎮文昌里中興街２７４號１樓","核准設立"
"21393537","皇冠企業社","高雄市前鎮區沱江街２７號９樓","歇業／撤銷"
"85964949","瑋泰企業行","高雄市鳳山區鎮北里鳥松路312號","歇業／撤銷"
"08518226","優利實業社","高雄市鳳山區富甲里南華路171號11樓","歇業／撤銷"
"45277109","立捷商行","彰化縣花壇鄉金墩村金墩街１５０號","歇業／撤銷"
"37891335","靚寶咖啡商行","新北市中和區捷運路135、137號(1樓)","歇業／撤銷"
"25907282","龍祥生物科技企業行","屏東縣內埔鄉豐田村延平路75之1號","停業"
"37591787","晴之商行","臺南市安南區安慶里長溪路1段97號1樓","停業"
"08175191","優等行","花蓮縣玉里鎮國武里民安３街１號１樓","歇業／撤銷"
"38926558","鏗湧工程行","彰化縣員林鎮源潭里三潭巷36-6號1樓","核准設立"
"37677567","唯勝食品行","屏東縣東港鎮新勝里光復路二段113號","核准設立"
"26984194","金力元生命理事經貿服務業社","臺中市北區明德里太原路一段486-1號","核准設立"
"57906574","卡蒂毫六美行","高雄市左營區新上里富民路１６１號１樓","核准設立"
"25263747","璀璨企業社","臺中市北區錦平里五權路４９８－５號１樓","歇業／撤銷"
"38841691","騰耀企業社","臺中市南屯區南屯里河南路四段７０２號７樓","核准設立"
"25538696","華光食品企業社","臺北市大同區迪化街2段426號4樓之3","核准設立"
"09014069","奎展企業社","臺南市安平區怡平里慶平路200號8樓之1","核准設立"
"45466501","京洋商行","臺中市清水區文昌里中山路339-5號1樓","核准設立"
"83992879","丰華企業社","新北市汐止區中興路１６０號１６樓之４（現場僅供辦公室使用）","核准設立"
"34975640","晨曦商行","嘉義市西區劉厝里大義街１７號一樓","停業"
"45669463","浤源企業社","南投縣草屯鎮土城里中正路２１７之１２號一樓﹝現場不得堆棧﹞","核准設立"
"26225623","甫蓉企業社","臺北市大同區承德路1段51號5樓之2","歇業／撤銷"
"45228635","旌寶五金百貨行","苗栗縣竹南鎮營盤里博愛街３２３、３２３之１號","歇業／撤銷"
"14944655","百悅企業社","桃園市蘆竹區五福里仁愛路二段3號8樓之5","核准設立"
"25533257","昌維企業社","臺北市中山區長安東路1段16號8樓之6","歇業／撤銷"
"10195412","勝利鑫企業行","屏東縣潮州鎮三共里振昇路１６０巷２８號一樓","核准設立"
"09271165","友茗坊茶葉店","臺中市西區土庫里五權一街６３之３號","歇業／撤銷"
"40871381","享想工作室","臺南市南區再興里三官路34號1樓","核准設立"
"57949139","沅鉞行","高雄市左營區福山里文天路１００號","核准設立"
"66854289","全迎企業社","新竹市香山區頂褔里頂埔路一三號一樓","核准設立"
"10853800","馡鎷生物科技企業社","嘉義市西區劉厝里玉山路６６９號一樓","核准設立"
"48705323","陽光食品坊","臺北市內湖區內湖路1段323巷21弄22號","核准設立"
"45721186","富舜商行","臺中市北屯區松安里遼寧路一段２４７號１樓","歇業／撤銷"
"38934939","富佳香食品原料行","彰化縣埔心鄉義民村員鹿路2段152號1樓","核准設立"
"34935704","億發水果店","新竹市北區湳中里武陵路175巷9號二十一樓之6","歇業／撤銷"
"10724519","陽明團膳行","臺南市北區國興里南園街19號1樓","廢止"
"37997864","綺緣行","花蓮縣吉安鄉永安村明仁1街71巷13號1樓","核准設立"
"31865036","健瑛行","臺北市中山區民生東路1段25號6樓之24","核准設立"
"30257891","立純企業社","新北市新莊區民安西路３０號","核准設立"
"21320182","明晨企業行","高雄市鳳山區一甲里五甲二路３７４號１樓","歇業／撤銷"
"29349303","豐麟企業社","桃園市龜山區龜山里萬壽路二段７３１號２樓","廢止"
"37576977","菁綠茶飲專賣店","臺南市安平區建平里怡平路123號1樓","停業"
"10981241","一見市晴品牌制作商號","臺中市大里區立德里合信街76巷6號1樓","核准設立"
"10058347","鴻雁食品貿易商行","新竹市東區新莊里新莊街二六一巷一０號一樓（僅供辦公室使用）","歇業／撤銷"
"45605031","水亦企業社","臺中市北屯區平陽里安順北一街７３號１樓","歇業／撤銷"
"31955424","享咖啡企業社","臺北市大安區仁愛路4段71巷9號(1樓)","核准設立"
"09516823","三和食品行","屏東縣屏東市清溪里和生路二段458號1樓","列入廢止中"
"29465421","和生蔬果行","屏東縣屏東市厚生里建民路一一一之一號一樓","歇業／撤銷"
"45815682","飛麥春企業社","彰化縣員林市鎮興里員東路１段６５巷６２號１樓","歇業／撤銷"
"25491284","漢光企業社","雲林縣斗南鎮阿丹里崙子87號1樓","核准設立"
"08940483","炎堂燒肉店","高雄市前金區七賢２路１７７號","歇業／撤銷"
"92045124","隨毅而安行銷企業社","高雄市楠梓區仁昌里惠民路１２４之４號","核准設立"
"09282281","華山泉酒莊","雲林縣斗六市湖山里湖山路一三五之三五號","核准設立"
"09681344","寶秈肉品行","桃園市桃園區大有里寶山街５８巷３１號１３樓","歇業／撤銷"
"80816603","九如寶企業社","臺中市豐原區中山里博愛街６０巷４６號１樓","核准設立"
"45731115","圓通龍泉行","南投縣魚池鄉魚池村瓊文巷１０－１６號","核准設立"
"21480547","翔憶食品行","雲林縣水林鄉土厝村陳厝寮一號","歇業／撤銷"
"62922856","麗綺企業社","臺南市白河區河東里糞箕湖53之2號1樓","遷他縣市"
"10766340","捌?便利商行","臺南市永康區成功里中華路134巷50號1樓","核准設立"
"38837991","暖著企業社","臺中市大里區內新里新南路１０５號１樓","核准設立"
"31692653","協富興商行","新北市三峽區文化路137之1號","核准設立"
"31705854","和連勝國際貿易商行","新北市中和區復興路319號4樓","歇業／撤銷"
"36644110","麻嬸哩公實業社","臺南市安南區梅花里北安路2段463號1樓（營業場所面積：12平方公尺）","歇業／撤銷"
"09242417","豐聖企業社","雲林縣斗南鎮明昌里興華街九號一樓","核准設立"
"38710348","麗雯企業社","高雄市左營區中華一路１號７樓之２","核准設立"
"36835770","愛比歐企業社","臺南市南區文南里永南二街27號1樓","核准設立"
"08117849","健二製麵商行","臺東縣臺東市中正里中華路一段二八六號一樓","歇業／撤銷"
"14402075","惠安藥局","臺南市安南區溪墘里海佃路1段348、350號1樓","核准設立"
"45347941","恩采企業社","臺中市西屯區何厝里漢口路二段１５號１樓","核准設立"
"09927620","亦揚企業社","新北市永和區秀朗路２段１７５號１樓","核准設立"
"29418764","上好來實業社","臺南市佳里區安西里127號4樓之9","歇業／撤銷"
"31481897","琥爺行","基隆市安樂區興寮里基金一路一一二巷一一○弄一八之一號一樓","歇業／撤銷"
"10087716","福童行","新北市土城區中央路１段２５３之１號（１樓）","歇業／撤銷"
"09672963","鎰通企業社","桃園市桃園區明德里中正路１２４９號１７樓之２","廢止"
"31675747","華賓優酪食品坊","新北市中和區建八路203號14樓","歇業／撤銷"
"99588896","永寧茶坊","臺南市安平區億載里平豐路61號1樓（僅供辦公室使用）","歇業／撤銷"
"07881676","業發商行","高雄市鳳山區埤頂里埤頂路21-32號","歇業／撤銷"
"45539639","馬可先生麵包坊","臺中市東區振興里台中路１５１之１號１樓","歇業／撤銷"
"30243074","香璽企業社","桃園市桃園區中聖里國際路一段一一七七號十六樓之三","歇業／撤銷"
"37715339","凱?餐飲部","嘉義縣中埔鄉和美村後庄190之7號1樓","歇業／撤銷"
"21409030","元甄行","苗栗縣頭份鎮後庄里16鄰大雅街9號1樓","核准設立"
"25272231","西品食品店","臺中市北區建興里崇德路一段２１２號１樓","歇業／撤銷"
"38934115","香富商行","彰化縣埔鹽鄉太平村番金路24號","核准設立"
"64814684","佳香實業社","花蓮縣花蓮市國富里中央路３段７５０巷６號","核准設立"
"77372154","羅林電器行","南投縣水里鄉民族街二巷四一號一樓","核准設立"
"13213879","伯貿國際貿易","臺南市歸仁區許厝里大仁街126巷8弄6號1樓","歇業／撤銷"
"37742510","信禕國際商行","臺南市安南區安和里安和路1段18巷11號1樓","核准設立"
"21840228","海芋精緻餐飲館","雲林縣虎尾鎮平和里成和三街一六號一樓","歇業／撤銷"
"48839358","迦南甘泉商行","臺北市內湖區民權東路6段280巷18號2樓之2","歇業／撤銷"
"37583055","鳳凰禮食品商行","臺南市中西區萬昌里城隍街65號1樓","停業"
"45835435","人之初茶坊","臺中市西屯區惠來里河南路四段215號1樓","歇業／撤銷"
"25569917","樸實工作室","臺北市中山區民生東路1段72號7樓之8","遷他縣市"
"37581818","溫欣食品行","臺南市新營區忠政里中正路55號7樓之1","核准設立"
"31480378","東昇企業社","花蓮縣吉安鄉慶豐村慶北３街４４２巷２號","核准設立"
"25900979","探極國際行銷企業管理顧問社","高雄市苓雅區新光路３８號１１樓之２","停業"
"31788221","飴海食品行","新竹縣竹北市十興里勝利七街一段290號","核准設立"
"80985234","德霖蔬果行","臺北市萬華區武成街63巷41號1樓","遷他縣市"
"40735801","立盛企業行","臺南市安定區蘇厝里蘇厝364之3號1樓","核准設立"
"26982338","立宥展商行","臺中市西屯區黎明路456.458號","歇業／撤銷"
"09674596","帝寶商行","花蓮縣吉安鄉永安村明仁２街１７９巷２號","核准設立"
"38688388","嘉軒企業社","高雄市鳳山區國隆路２７巷８之１號２樓","核准設立"
"40861779","友善企業社","臺南市永康區勝利里勝學路87號1樓","核准設立"
"45277966","大熊商行","臺中市北區賴興里山西路二段２１０號１樓","廢止"
"38854273","晉唐商行","臺中市北屯區軍功里軍功路二段３８８號１樓","核准設立"
"08878447","鴻順茶行","高雄市楠梓區德信街２０巷５號３樓","歇業／撤銷"
"37715099","金智休閒館","嘉義縣民雄鄉西安村15鄰保生街211號","核准設立"
"99013724","建庭企業社","新竹縣竹東鎮五豐里２５鄰五豐八莊１６９號１樓","歇業／撤銷"
"10798716","利辰企業社","屏東縣屏東市崇蘭里崇明一街15巷8號","核准設立"
"99390819","德億商行","屏東縣鹽埔鄉洛陽村新南街38號","遷他縣市"
"99159109","鼎愛眼鏡行","臺北市大安區師大路55號","歇業／撤銷"
"10460657","阿迪斯特食品行","臺南市安南區溪心里海佃路2段703號2樓202室","歇業／撤銷"
"45683275","信甫九九企業社","臺中市中區綠川里建國路１２９號１樓","歇業／撤銷"
"34819331","宜賢企業社","桃園市桃園區中平里宏昌五街十五之二號六樓","歇業／撤銷"
"58252411","連發加工社","彰化縣芬園鄉楓坑村坎口巷28號","核准設立"
"45555383","尚芳食品行","雲林縣崙背鄉羅厝村東興七二之一號一樓","核准設立"
"21957319","詠御商行","臺南市北區和順里公園南路338巷23號2樓（僅供辦公室使用）","歇業／撤銷"
"09248480","艾草傳奇生活館","彰化縣花壇鄉長沙村中正路７８號２樓（限辦公室使用）","歇業／撤銷"
"09564633","名力實業社","臺南市仁德區仁義里中清二街35之2號2樓","歇業／撤銷"
"07919096","立昇商行","高雄市橋頭區仕隆里成功南路47號","歇業／撤銷"
"09896680","小孫影音工作室","新北市三重區三和路４段１４５巷６０號１樓（現場僅供辦公室使用）","歇業／撤銷"
"38851249","樂活企業社","臺中市大甲區中山里水美街５號１樓","核准設立"
"99951868","台灣樂庫企業社","臺北市中山區新生北路3段1號4樓之15","歇業／撤銷"
"10297754","飛登企業行","高雄市三民區裕誠路58之1號","核准設立"
"26744596","兆峰體育用品企業社","新北市永和區秀朗路2段24巷21號","歇業／撤銷"
"37688419","益欣行","屏東縣屏東市橋南里民生路79之4號1樓","核准設立"
"26448960","千薏台安生活館","臺南市南區新興里金華路2段2號","核准設立"
"25265843","昇暘食品行","臺中市豐原區北陽里南陽路１６之１號一樓","核准設立"
"10286270","樂活企業行","高雄市三民區更新街102號","歇業／撤銷"
"21844744","裕隆農產行","南投縣竹山鎮延平里集山路２段１２４６號１樓","歇業／撤銷"
"26768273","裕品國際商行","新北市汐止區宜興街59巷27號","核准設立"
"99732294","依麗企業行","高雄市楠梓區德賢路３８０巷２６號１７樓之６","歇業／撤銷"
"44965327","佳佳飲食店","桃園市楊梅區紅梅里秀才路７７號","歇業／撤銷"
"30236411","全冠食品行","桃園市中壢區普仁里中山東路一段三二九號一樓","核准設立"
"99111295","緯群食品行","臺中市大肚區王田里沙田路一段２０８巷２２－４號１樓","歇業／撤銷"
"08298692","建芳商行","臺中市神岡區庄後里中車路７１－３號","核准設立"
"48871650","麵舖子小吃店","新北市永和區中和路435號11樓","歇業／撤銷"
"36709773","秉義商行","嘉義市西區福安里興達路７２０號一樓","核准設立"
