"統一編號","商業名稱","商業地址","登記狀態"
"39672700","冠潤企業社","苗栗縣頭份鎮和平里9鄰中華路850巷9號4樓","歇業／撤銷"
"36706902","田庄食品企業行","嘉義市西區後驛里博愛路二段２８４之２１號一樓","核准設立"
"66951732","華茂食品原料行","花蓮縣吉安鄉勝安村中原路１段１４１號１樓","核准設立"
"31416209","瑪雅廣告設計社","桃園市中壢區三民里中正路一二八０號二樓","廢止"
"01995321","三豐食品工廠","新北市新莊區化成路１００之１號","核准設立"
"31513835","綠川黃金蜆商行","基隆市中山區中山一路223-5號(1樓)","歇業／撤銷"
"26536823","京震食品商行","新北市土城區金城路3段239號8樓","核准設立"
"41369373","揚奇企業社","新北市三重區新北大道1段171號17樓","停業"
"46665606","燈燦?油行","新竹市北區中興里北門街一一九號一樓","核准設立"
"10261741","永彩實業社","高雄市新興區民生１路３６３巷１２號１樓","歇業／撤銷"
"38693122","百味齊貿易","高雄市左營區左營大路４巷９之３號４樓","核准設立"
"37678377","森煬工程行","屏東縣潮州鎮三共里朝昇路32號","核准設立"
"26011349","印象國際貿易商行","高雄市鳳山區建國路三段２４５之４號","核准設立"
"10995701","臻宏食品行","臺中市大里區仁化里仁美路９８號２樓","核准設立"
"39681905","九如食品行","臺中市外埔區中山里東西巷７１號１樓","核准設立"
"26536350","神奇食品行","新北市五股區四維路123巷2號7樓","歇業／撤銷"
"31724640","道生企業社","新北市五股區登林路76之5號11樓","核准設立"
"37749513","昇達食品商行","臺南市北區正風里公園路984號","核准設立"
"38727468","昇鴻商行","高雄市大寮區華二街１２１號","歇業／撤銷"
"34963285","泰源實業行","嘉義縣民雄鄉西安村20鄰西安路１５號","停業"
"37583175","小作行","臺南市東區泉南里林森路1段151號15樓","停業"
"37749513","昇達食品商行","臺南市北區正風里公園路984號","核准設立"
"19380037","日丰商行","新竹市香山區大庄里西濱路三段250號一樓","核准設立"
"25734183","有均實業社","高雄市大樹區興田里興田路２６０號１樓","核准設立"
"26973696","大瑄食品企業社","臺中市大肚區福山里沙田路一段４２８巷三十九弄１４號一樓","核准設立"
"26531144","牛奶立方商行","新北市土城區南天母路18之1號5樓","歇業／撤銷"
"45441349","佳裕企業社","雲林縣莿桐鄉四合村永基二四之三七號","核准設立"
"31405929","穎泰企業社","新北市板橋區民治街７１巷４８號","核准設立"
"38720660","布緯食聊企業社","高雄市苓雅區和平二路３２２巷１弄３７號","核准設立"
"39765968","小龍商行","彰化縣社頭鄉泰安村石坑一巷61號","核准設立"
"26973696","大瑄食品企業社","臺中市大肚區福山里王福街８５８巷２８弄４１號１樓","核准設立"
"77605626","富代行","臺中市北屯區東光里東山路一段１２３巷２３弄１１號１樓","核准設立"
"10890241","登期頤食品行","屏東縣萬丹鄉廣安村西勢尾街156號1樓","核准設立"
"26459781","裕凱貿易企業社","臺南市東區東智里崇德三十四街1號1樓","核准設立"
"09063693","鼎緒洋行","屏東縣東港鎮頂中里中山路８６－１號１樓","核准設立"
"38852177","蘇爾亞企業社","臺中市太平區新城里樹孝路５３號１樓","核准設立"
"31866149","啤瓦多創意行銷商行","臺北市中正區金門街24巷35號","歇業／撤銷"
"41088628","莘園企業社","新北市林口區仁愛路2段62巷20號8樓","歇業／撤銷"
"40745168","蓉豪企業社","臺南市永康區二王里永二街393巷16弄83號1樓","核准設立"
"37679544","順承企業行","屏東縣屏東市楠樹里廈門街82號","核准設立"
"39705667","瀛勝商行","雲林縣虎尾鎮穎川里林森路二段477巷75號1樓","停業"
"26459781","裕凱貿易企業社","臺南市東區東智里崇德三十四街1號1樓","停業"
"37563966","乾隆化工貿易行","臺南市麻豆區油車里23之2號1樓","核准設立"
"37730599","溢辰企業社","臺東縣臺東市豐榮里漢陽南路一五五巷二十號","停業"
"40733183","友竑商行","臺南市南區明興里金華路1段84巷11號1樓","核准設立"
"26352887","天然彩藝國際企業社","臺北市大同區大龍街259巷14號4樓之1","核准設立"
"26370029","鮮帝食品行","臺北市大同區延平北路2段250巷9號3樓","歇業／撤銷"
"36897629","欣統企業社","屏東縣潮州鎮三共里明仁巷36號1樓","歇業／撤銷"
"38720660","布緯食聊企業社","高雄市苓雅區和平二路３２２巷１弄３７號","核准設立"
"39821510","丞皇企業社","臺中市西區吉龍里五權一街２１號１樓","歇業／撤銷"
"26734274","興達企業社","新北市淡水區民生路152之2號14樓","核准設立"
"39858797","卡莫卡巧克力莊園","雲林縣斗六市鎮西里中堅西路268號","核准設立"
"39862005","普遠商行","雲林縣西螺鎮福田里新厝路2之5號","停業"
"59130937","宏泉化工原料行","彰化縣溪州鄉西畔村中西路2段200巷116號","核准設立"
"31694316","閩義昌貿易商行","新北市板橋區中正路360巷23之3號","核准設立"
"26018342","上申商行","高雄市楠梓區土庫一路２２８號１樓","核准設立"
"14603869","松慶行","南投縣南投市軍功里軍功路63之3號一樓","核准設立"
"57937632","元合喬企業行","高雄市鼓山區富農路３０８號１樓","核准設立"
"31869770","糰糰創意烘焙企業社","臺北市信義區永吉路30巷148弄27號","歇業／撤銷"
"40719083","阜皇企業社","臺南市新營區新南里隋唐街31巷42號1樓","歇業／撤銷"
"20270656","忠煜企業社","新北市三重區重陽路１段４４巷１７號４樓","核准設立"
"37685356","旺甜甜美食企業社","屏東縣屏東市新生里和生路一段837號","核准設立"
"05925712","慶光化工原料行","彰化縣彰化市信義里長壽街１６７號","核准設立"
"41375939","露比百寶箱企業社","新北市樹林區潭興街１０７巷３弄１６號４樓","核准設立"
"40701083","十二個籃子國際商行","臺中市神岡區豐洲里豐工中路６３號３樓","核准設立"
"14219491","鼎祐商行","苗栗縣竹南鎮竹南里中山路109號2樓","核准設立"
"38727468","昇鴻商行","高雄市大寮區華二街１２１號","停業"
"39672700","冠潤企業社","苗栗縣頭份鎮和平里9鄰中華路850巷9號4樓","停業"
"40719083","阜皇企業社","臺南市新營區新南里隋唐街31巷42號1樓","核准設立"
"31405929","穎泰企業社","新北市板橋區民治街７１巷４８號","核准設立"
"26236706","磐石國際美學企業社","臺北市松山區饒河街114號2樓","廢止"
"41287696","善知識商行","高雄市三民區明哲路３３號６樓之１５","停業"
"26354175","瑟盟飛企業社","臺北市中山區中山北路2段16巷16號2樓","歇業／撤銷"
