"統一編號","商業名稱","商業地址","登記狀態"
"02118005","尚豐企業社","新北市八里區忠孝路187號(1樓)","核准設立"
"06187642","坤詮企業社","雲林縣水林鄉蘇秦村順安路一一之一號","核准設立"
"09140988","鴻崧企業社","臺東縣臺東市中正里中正路二八一號","核准設立"
"09140988","鴻崧企業社","臺東縣臺東市光明里連航路六十七號","核准設立"
"10821955","平閎食品行","臺南市南區彰南里新忠路1之1號","核准設立"
"14441669","富盛烘焙材料行","基隆市仁愛區曲水里曲水街一八號一樓","核准設立"
"30293664","偉客企業社","新北市中和區中山路3段114巷28弄6之2號","核准設立"
"37659553","布魯斯國際商行","臺東縣臺東市豐榮里仁義北路一五五號","核准設立"
"37659553","布魯斯國際商行","臺東縣臺東市豐榮里仁義北路一五五號","停業"
"37797248","弘味食品行","桃園市蘆竹區瓦窯里南山路一段90巷20號1樓","核准設立"
"37801720","理德寶實業社","桃園市桃園區中德里國際路一段680巷110號","核准設立"
"39712203","雲之南食品行","雲林縣元長鄉瓦?村北安路76號","核准設立"
"40860624","天佑企業社","臺南市後壁區嘉田里12之8號","核准設立"
"41075927","米菲烘焙工作室","新北市瑞芳區一坑路351號","核准設立"
"41383966","旺旺美食坊","新北市林口區竹林路446巷3弄1號","核准設立"
"41460082","吉羽計劃工作室","花蓮縣瑞穗鄉舞鶴村迦納納二路１６９號1樓","核准設立"
"78614243","雙巧密針織廠","彰化縣鹿港鎮海埔里鹿工南三路三號","核准設立"
"01995321","三豐食品工廠","新北市新莊區化成路１００之１號","核准設立"
"26624348","雞大王食品加工廠","桃園市八德區茄苳里永豐路343號","核准設立"
"31866149","啤瓦多創意行銷商行","臺北市中正區金門街24巷35號","歇業／撤銷"
"37563966","乾隆化工貿易行","臺南市麻豆區油車里23之2號1樓","核准設立"
"37873478","祥通商行","新北市土城區明德路1段20巷2弄8號4樓","核准設立"
"37873478","祥通商行","新北市新莊區天泉二街5號1樓","核准設立"
"38580106","及第貿易商行","臺北市中山區中山北路2段85巷15號","核准設立"
"39862005","普遠商行","雲林縣西螺鎮福田里新厝路2之5號","停業"
"39862005","普遠商行","雲林縣西螺鎮福田里新厝路2之5號","停業"
"40743942","喬馨食品坊","臺南市安南區安富里郡安路5段164巷14弄15號1樓","核准設立"
"41309410","承昌蔬果行","高雄市鳳山區中山東路５８巷５０號１樓","核准設立"
"45783289","金利食品行","雲林縣元長鄉長南村中山路二六一號之一","核准設立"
"59130937","宏泉化工原料行","彰化縣溪州鄉西畔村中西路2段200巷116號","核准設立"
"10109394","聰欽企業行","高雄市湖內區公?里保生路９２號１樓","核准設立"
"37816575","提督興業","桃園市中壢區普慶里中山東路二段545號3樓","核准設立"
"37866407","韓道食品實業商行","新北市板橋區大觀路1段28巷4弄28號之5","申覆（辯）期"
"37866407","韓道食品實業商行","新北市板橋區大觀路1段28巷4弄28號之5","核准設立"
"37866407","韓道食品實業商行","新北市板橋區大觀路1段28巷4弄28號之5","核准設立"
"37912417","行義企業社","臺北市北投區石牌路2段357巷1號1樓","核准設立"
