"統一編號","商業名稱","商業地址","登記狀態"
"34838317","固德生機園","桃園市桃園區玉山里秀山路一二一號一樓","歇業／撤銷"
"25747526","星農場實業","嘉義縣民雄鄉三興村陳厝寮1之4號1樓","核准設立"
"66951732","華茂食品原料行","花蓮縣吉安鄉勝安村中原路１段１４１號１樓","核准設立"
"01995321","三豐食品工廠","新北市新莊區化成路１００之１號","核准設立"
"31513835","綠川黃金蜆商行","基隆市中山區中山一路223-5號(1樓)","歇業／撤銷"
"26536823","京震食品商行","新北市土城區金城路3段239號8樓","核准設立"
"10956427","傳香油坊","彰化縣員林市仁美里浮圳路2段541號","核准設立"
"46665606","燈燦?油行","新竹市北區中興里北門街一一九號一樓","核准設立"
"41289189","瑞僑企業社","高雄市苓雅區泰順街６６號５樓之２","核准設立"
"38504065","梨山農場蔬果行","臺北市大安區安和路1段78巷37號","歇業／撤銷"
"10261741","永彩實業社","高雄市新興區民生１路３６３巷１２號１樓","歇業／撤銷"
"38837232","久保健健康館","臺中市烏日區九德里中華路６１號１樓","核准設立"
"38963027","澄淨食品行","南投縣信義鄉明德村玉山路82之1號一樓","核准設立"
"25979341","立晨商號","高雄市三民區鼎信街２６號１３樓","停業"
"26011349","印象國際貿易商行","高雄市鳳山區建國路三段２４５之４號","核准設立"
"77904413","熊樣小舖","臺北市大同區延平北路2段19號","核准設立"
"10995701","臻宏食品行","臺中市大里區仁化里仁美路９８號２樓","核准設立"
"01485517","勤記商店","桃園市平鎮區華安里平東路239巷48號1樓","核准設立"
"38797457","上勝商號","雲林縣口湖鄉梧南村文光路210號","核准設立"
"39128639","佩琪家居生活館","新北市汐止區中正路１３０號１樓","核准設立"
"26997445","境轉隨心工作室","臺中市南區新榮里信義南街８１巷２６號１樓","核准設立"
"38987246","灣麗小吃店","苗栗縣苑裡鎮山腳里7鄰彎麗路99號2樓","核准設立"
"26569680","望彤創意影像工作室","宜蘭縣頭城鎮新建里新忠路20號四樓","歇業／撤銷"
"31865161","米琪棗精坊","臺北市大同區民生西路218號","核准設立"
"20133128","展福商行","新竹市東區龍山里長春街一六五巷七號一樓（僅供辦公室使用）","遷他縣市"
"02121424","葛瑞妮可手作坊","新北市三重區光復路1段99巷11號","停業"
"38837232","久保健健康館","臺中市大里區立德里立中二街１１號１樓","核准設立"
"26986496","牛佬牛肉麵專門店","臺中市北屯區北屯里興安路一段20號","核准設立"
"26538940","一口食品行","新北市樹林區長壽街23之4號","核准設立"
"37749513","昇達食品商行","臺南市北區正風里公園路984號","核准設立"
"40985434","甜蜜蜜釀皂工作室","新竹縣新豐鄉崎頂村十六鄰新庄子４８號","核准設立"
"37734238","三豐商行","臺東縣卑南鄉泰安村泰安路六十六號一樓","核准設立"
"38503452","旅憩咖啡工作坊","臺北市信義區黎平里崇德街10號","核准設立"
"31842647","唐瑤精緻養生館","臺北市士林區承德路4段56號1樓及58巷1號1樓","核准設立"
"41302269","維多麗亞百貨館","高雄市左營區新莊一路２４２號１樓","核准設立"
"34963285","泰源實業行","嘉義縣民雄鄉西安村20鄰西安路１５號","停業"
"26639855","龍申小吃店","桃園市龜山區文化里文化二路152號1樓","歇業／撤銷"
"37583175","小作行","臺南市東區泉南里林森路1段151號15樓","停業"
"37749513","昇達食品商行","臺南市北區正風里公園路984號","核准設立"
"37806921","中原商行","桃園市中壢區普忠里大仁二街13號","歇業／撤銷"
"01478086","富鴻商行","桃園市新屋區新生里中山路533、535號","核准設立"
"19380037","日丰商行","新竹市香山區大庄里西濱路三段250號一樓","核准設立"
"93390067","福昌行","臺東縣臺東市自強里新生路三四一號一樓","核准設立"
"20133128","展福商行","新竹縣竹東鎮大鄉里10鄰中豐路3段101巷15弄16號","核准設立"
"37887304","甘心食堂","新北市汐止區龍安路173號(1樓)","核准設立"
"26531144","牛奶立方商行","新北市土城區南天母路18之1號5樓","歇業／撤銷"
"39784563","晹明健康生活館","南投縣埔里鎮南村里桃南路9號一樓及9-1號一樓","核准設立"
"31405929","穎泰企業社","新北市板橋區民治街７１巷４８號","核准設立"
"26213555","佳豐富食品行","臺北市大同區甘州街44之1號","核准設立"
"36932816","冠宏實業社","高雄市左營區重文街２號１４樓","核准設立"
"38720660","布緯食聊企業社","高雄市苓雅區和平二路３２２巷１弄３７號","核准設立"
"26987869","鎮州紅麴坊","臺中市西區後龍里民權路213巷4號一樓","停業"
"39765968","小龍商行","彰化縣社頭鄉泰安村石坑一巷61號","核准設立"
"37797654","八分滿小舖","桃園市桃園區寶慶里同德七街46號1樓","核准設立"
"26361915","老杜府手感烘焙坊","新北市板橋區四維路２３４號","核准設立"
