"統一編號","商業名稱","商業地址","登記狀態"
"34953723","全騏企業行","屏東縣內埔鄉豐田村興中一巷27號1樓","核准設立"
"26501704","東湧企業行","連江縣東引鄉中柳村42號","核准設立"
"26010453","天下創意實業社","高雄市苓雅區正言路１１５之１號","核准設立"
"25559050","興家邦美食廳","臺北市文山區木新路3段339巷3弄5號2樓","遷他縣市"
"99806252","桃園佩語工作室","桃園市桃園區文化里成功路一段31之9號","核准設立"
"26157815","新怡盛中藥行","新竹市東區復中里民生路180巷2號","核准設立"
"41086369","阿胖桑咖啡烘焙館","新北市蘆洲區長安街274巷11號4樓","核准設立"
"45766774","曾家莊食品廠","雲林縣西螺鎮正興里福安街111號1樓、113號1樓","核准設立"
"41304251","諄爵企業社","高雄市小港區山明路３０７巷１６０號","核准設立"
"26147991","巧思烘焙材料行新竹分行","新竹縣竹北市嘉豐三街30號","停業"
"30276692","如意門健康養生坊","新北市新莊區中宏里中和街113號5樓","核准設立"
"09702333","飛燁企業社","新北市板橋區南雅南路２段４巷８號４樓（現場僅供辦公室使用）","歇業／撤銷"
"26755592","雲霞大餛飩館","新北市中和區華新街143巷106弄19之2號","歇業／撤銷"
"10292408","紘泰健康餐飲店","高雄市新興區洛陽街75之1號","核准設立"
"31862880","逸蓮企業社","臺北市內湖區內湖路1段1巷9弄73號2樓","歇業／撤銷"
"25765903","彩宏企業社","臺南市安南區頂安里北安路3段122巷2弄2號1樓","歇業／撤銷"
"25271401","喜多食品行","臺中市東區新庄里台中路61號1樓","歇業／撤銷"
"36608542","世勝企業社","臺南市東區小東里東和路55號1樓","廢止"
"41195578","咖灰米包行銷顧問企業社","宜蘭縣羅東鎮信義里興東路280號9樓之3","核准設立"
"41299969","水蓮秀工作坊","高雄市鼓山區鼓山二路１２１巷３０號","核准設立"
"10766524","兌八達企業社","臺南市學甲區明宜里信義路43之1號1樓","歇業／撤銷"
"30194904","鈞寶企業社","新北市新店區中正路７００巷４５號１３樓（現場僅供辦公室使用）","歇業／撤銷"
"45875724","冠賀企業社","臺中市西屯區何仁里寧夏路195之9號10樓","停業"
"39817678","利百加企業社","臺中市南屯區五權西路二段６６０號７樓之２","核准設立"
"42020680","吉城熱炒小吃店","新北市三峽區復興路179號","核准設立"
"26442868","尚鶴味商行","臺南市東區泉南里慶東街31號11樓","歇業／撤銷"
"39870639","富莉達國際企業社","苗栗縣苗栗市建功里21鄰府前路135之1號1樓","核准設立"
"99138647","良佑食品商行","臺南市歸仁區七甲里南丁路591巷37弄18號1樓","核准設立"
"37756675","鏸蓮企業社","基隆市暖暖區碇內街189號5樓","歇業／撤銷"
"26237698","宇宙網企業社","臺北市大安區大安路1段31巷20號","核准設立"
"25667564","朝幸福工作室","臺北市內湖區民權東路6段280巷102號11樓","遷他縣市"
"49963214","全鑫企業社","新北市板橋區光華街１９巷２４之２號４樓（現場僅供辦公室使用）","歇業／撤銷"
"57948413","五銘食品行","高雄市苓雅區三多３路２２２號９樓之４","核准設立"
"26253438","將進酒日本料理店","臺北市中山區建國北路1段60號","歇業／撤銷"
"09615534","康麗適能工作室","新竹市北區金華里田美三街六０號一樓","停業"
"10199135","小妞魯味店","嘉義市西區文化里文化路１７－３８號一樓","核准設立"
"09956700","顯淑養生美容生活館","新北市板橋區龍興街７３巷８號","歇業／撤銷"
"21732826","單調時尚企業社","臺北市內湖區港墘路75號1樓","歇業／撤銷"
"39816093","漢薪坊","臺中市南屯區向心里南屯路二段２０５號３樓","停業"
"41100518","鼎珍饌企業社","新北市土城區中央路2段50巷2弄5之3號","核准設立"
"10961765","同心商行","彰化縣芳苑鄉文津村芳草路文津段1218巷9號","核准設立"
"34761416","小巴商行","新北市新莊區新樹路79號","核准設立"
"49854742","華美家企業社","新北市新店區新店路１７８號１樓","歇業／撤銷"
"26182618","四季滷味食品行","金門縣金城鎮北門里民生路32號","核准設立"
"09912892","岩城茶道餐飲坊","新北市板橋區板新路６５號","歇業／撤銷"
"48812816","席丹企業社","臺北市內湖區港墘路103號4樓","歇業／撤銷"
"45850913","健杏管理顧問科技企業社","臺中市北區崇德里榮華街212號1樓","停業"
"67829680","佳達食品行","屏東縣屏東市安鎮里大勇街４０巷１３號１樓","歇業／撤銷"
"26193447","幸典工作室","新北市新店區三民路75巷12號2樓","核准設立"
"26538913","泰康樂美容館","新北市三重區自強路1段220號","歇業／撤銷"
