"統一編號","商業名稱","商業地址","登記狀態"
"02118005","尚豐企業社","新北市八里區忠孝路187號(1樓)","核准設立"
"02762074","新昌米粉廠","新竹縣芎林鄉上山村六鄰文山路八六九巷三號","核准設立"
"02862334","益大行","新竹市東區新興里西大路９７巷１９弄６號","核准設立"
"02863880","台灣米粉加工社","新竹市北區南勢里延平路１段３５７巷２８弄１２號","歇業／撤銷"
"02904480","銅鑼製米麵店","苗栗縣銅鑼鄉銅鑼村一五鄰中正路二三之二號","核准設立"
"02927006","湘記商店","桃園市八德區大愛里重慶街177巷32號","核准設立"
"06162305","弘祥農產加工廠","雲林縣斗六市溪洲里竹圍路四０三號","核准設立"
"06506821","東昇製麵店","臺南市安南區海佃里國安街56巷77弄10號1樓","核准設立"
"07941739","新強行","高雄市岡山區嘉興里嘉興路２３１巷５６號","歇業／撤銷"
"07946642","尚品商行","高雄市岡山區竹圍里大仁北路１４７號１樓","核准設立"
"08403272","連群加工廠","桃園市蘆竹區錦興里南崁下４１–８號１樓","歇業／撤銷"
"08433141","台一便當廠","臺南市仁德區保安里車路墘54之36號","歇業／撤銷"
"08961249","力群製麵廠","臺東縣臺東市民生里四維路二段二十一號","核准設立"
"09182044","尚新食品工廠","臺中市太平區太平里永豐路１０８巷２１號","核准設立"
"09594236","上等商行","高雄市鳳山區鎮北里鳳仁路９２之１５號１樓","核准設立"
"09852727","祥奘健康生活館","新北市新店區復興路４３巷６弄１號１樓","歇業／撤銷"
"09944228","友麥企業社","新北市新店區寶橋路２３５巷１６弄６號１樓","歇業／撤銷"
"10632363","鍋爸食品企業社","新北市新店區民權路１３１號１樓","核准設立"
"10667209","香村食坊","新竹市香山區大庄里大庄路七三號","歇業／撤銷"
"10713082","協原企業社","臺南市關廟區東勢里東安街43、45號1樓","核准設立"
"10835917","乙才食品廠","臺南市仁德區太子里太子四街73巷1號1樓","核准設立"
"10887225","山明企業行","屏東縣屏東市橋南里工業路24號","列入廢止中"
"10980279","恩德沉香坊","臺中市霧峰區吉峰里吉峰路８８之８號","核准設立"
"10987147","鴻福堂糧商號","臺中市北屯區軍功里東山路１段２２０－１５號２樓","歇業／撤銷"
"13336534","三可實業社","高雄市岡山區嘉興里興北巷６２弄１２號１樓","核准設立"
"13378576","隆源企業社","新北市新店區寶興路３９號１樓","歇業／撤銷"
"13691219","悟饕小吃店","新北市新莊區新樹路１７８號１樓","歇業／撤銷"
"13715789","新日光企業社","臺南市關廟區東勢里東榮街226號1樓","核准設立"
"14264973","馥茂企業社","新北市鶯歌區大湖路249號1樓","核准設立"
"14394053","允成製麵廠","臺南市西港區後營里後營394之20號1樓","核准設立"
"14852424","廣友農產行","彰化縣大村鄉加錫村加錫二巷五號","歇業／撤銷"
"15522029","名喜企業社","高雄市大寮區義和里鳳屏二路３７７之７號１樓","歇業／撤銷"
