"統一編號","公司名稱","公司地址","登記狀態"
"04279300","三鼎貿易有限公司","臺北市士林區天母北路87巷1號1樓","核准設立"
"04367916","有怡企業有限公司","臺北市內湖區內湖路1段91巷62號1樓","核准設立"
"04412124","欣臨企業股份有限公司","臺北市中山區南京東路3段70號4樓","核准設立"
"04644145","貿鴻企業股份有限公司","臺北市文山區興隆路2段220巷53弄26號3樓","核准設立"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號","核准設立"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室","核准設立"
"06234976","鴻升食品有限公司","嘉義縣民雄鄉北斗村中正路52號","核准設立"
"07219903","東盈農牧股份有限公司","臺北市中山區松江路283號6樓之2","核准設立"
"09472141","祥田實業有限公司","臺北市中正區信義路2段79巷36號","核准設立"
"12603293","政觀企業有限公司","臺中市南屯區大同里大墩七街101巷11號1樓","核准設立"
"12609347","艨凱國際有限公司","臺中市北屯區松強里松竹路2段362-10號","核准設立"
"12613525","英利華有限公司","桃園市桃園區和平路一四二號","解散"
"12623208","笙佑國際股份有限公司","臺南市永康區永康里三○鄰永華路七三○號","解散"
"12636745","羅倫提諾國際有限公司","新北市三重區河邊北街一○○巷二號三樓","解散"
"12641563","網客龍股份有限公司","新北市樹林區龍興街三十之一號二樓","解散"
"12674640","千億國際開發有限公司","臺北市大同區重慶北路3段223巷1弄18號1樓","核准設立"
"12681071","世紀自動化股份有限公司","新北市新莊區五權一路1號5樓之5","核准設立"
"12688671","沙藝斯股份有限公司","新北市汐止區新台五路1段79號13樓之8","解散"
"12698397","台灣擇優股份有限公司","新北市新店區中興路三段一三五號三樓","解散"
"12701196","泛思創意股份有限公司","臺中市北屯區陳平里陳平路２５巷３號１樓","核准設立"
"12703568","智慧水事業有限公司","臺中市太平區長安七街40巷2號2樓","核准設立"
"12747974","軒瀧興業有限公司","桃園市桃園區桃一街六三之四號一樓","廢止"
"12824492","鈞沅企業有限公司","彰化縣福興鄉福南村沿海路四段五七九號","解散"
"12840991","揚昶科技股份有限公司","桃園市中壢區文化里六鄰吉林二路79巷23號1樓","核准設立"
"12866324","三達勝生化科技有限公司","臺北市中山區新生北路２段９６號３樓之１０","解散"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓","核准設立"
"12900435","蒂美特企業有限公司","臺北市中山區明水路397巷7弄38號","核准設立"
"12903566","光能水族器材有限公司","臺中市西屯區安和路八三之一號","解散"
