"統一編號","公司名稱","公司地址","登記狀態"
"01809229","建麗實業股份有限公司","臺北市北投區承德路7段302號4樓","核准設立"
"01983423","北誠實業股份有限公司","臺北市大同區重慶北路3段199號7樓","核准設立"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓","核准設立"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號","核准設立"
"04408775","武昌貿易有限公司","臺北市中山區南京西路13號8樓","核准設立"
"04974813","大芹實業有限公司","桃園市桃園區瑞慶里寶慶路426號1樓","核准設立"
"05115804","巨鴻股份有限公司","新北市新店區民權路100號5樓","核准設立"
"07096509","立昇實業股份有限公司","新北市新莊區新樹路268巷18號","核准設立"
"11383200","忠信實業股份有限公司","臺北市內湖區民權東路6段272號10樓","核准設立"
"11879413","洗王企業股份有限公司","桃園市蘆竹區蘆竹里18鄰南工路58號","核准設立"
"12342777","懿鑫實業有限公司","臺北市中山區八德路2段267巷9弄4號","核准設立"
"12525712","群群實業股份有限公司","臺北市中山區民生東路3段94號2樓","核准設立"
"12552055","豐盈美術印刷有限公司","臺北市中山區民權東路2段135巷29弄4號1樓","核准設立"
"12611961","亞諾美斯股份有限公司","新北市新莊區豐年街二０巷一三號","廢止"
"12642205","賓客食品貿易有限公司","新北市板橋區光華街四六號","解散"
"12645580","寶鎂生活館有限公司","臺南市南區文南里中華西路一段189號","核准設立"
"12666830","益瑞國際有限公司","臺北市大安區忠孝東路4段320號5樓","核准設立"
"12679032","瑪丁實業有限公司","臺北市北投區裕民六路114巷25之1號1樓","核准設立"
"12680122","邦代股份有限公司","臺北市大安區忠孝東路4段222號4樓之5","核准設立"
"12692416","華將整合行銷有限公司","基隆市中正區砂子里觀海街48號16樓","核准設立"
"12722713","珈瑋精品國際有限公司","臺中市西屯區福安里台中港路三段一○八之六號四樓之二","解散"
"12724450","江澧實業股份有限公司","新北市中和區中山路二段一一六巷二號","解散"
"12729011","首龍年股份有限公司","新北市深坑區萬順寮八四號","廢止"
"12749348","耐斯貝比網路股份有限公司","臺中市東區旱溪西路一段一九○巷七︱一號二樓","解散"
"12773682","大盛企業有限公司","桃園市桃園區忠義里民光東路194號10樓","解散"
"12782514","晶鼎國際股份有限公司","高雄市楠梓區惠豐街２７８號","核准設立"
"12782916","名隆事業有限公司","臺中市北區明德里太原北路130號5樓之2","核准設立"
"12794954","豐聖生活館有限公司","新北市板橋區四維路二四七、二四九、二五一、二五三、二五五號一樓","解散"
"12818689","佳德瑞實業有限公司","臺中市北區錦平里五權路三三六之五號三樓","解散"
"12848190","網頻國際股份有限公司","臺中市西區民龍里台中港路一段一三三號八樓之一","解散"
"12848620","祥芳股份有限公司","桃園市楊梅區永寧里環南路三○九巷九弄一號","解散"
"12862592","台灣保麗國際有限公司","臺北市信義區松仁路188號1樓","解散"
"12873113","賽特資訊服務股份有限公司","臺北市大安區敦化南路2段105號12樓","核准設立"
"12874106","墨色國際股份有限公司","臺北市內湖區瑞光路300號4樓","核准設立"
"12897163","衛橋事業有限公司","新北市永和區永貞路379號2樓","核准設立"
"12897776","大子宸有限公司","新北市永和區中正路五二二號九樓之五","廢止"
"12910623","黛豐服飾有限公司","桃園市桃園區中正路九二號地下室及一｜四樓、九四號地下室及一｜四樓","解散"
"12912137","泛信德企業股份有限公司","臺中市西屯區文心路三段二三六號九樓","核准設立"
"12931726","全民生物科技股份有限公司","臺北市大同區民生西路249號","核准設立"
"12943547","象陽國際有限公司","臺北市萬華區西寧南路７２號之１、４樓","解散"
"12962522","雅歌丹生化科技股份有限公司","臺北市內湖區行愛路169號4樓","核准設立"
"12963851","亞洲芙綠樂國際股份有限公司","臺北市信義區基隆路2段51號14樓","核准設立"
"12963901","萬旺寵物用品股份有限公司","臺北市中山區林森北路516號","解散"
"12966392","利兆得有限公司","臺北市文山區景文街42號4樓","核准設立"
"12973041","泰豪國際股份有限公司","臺北市大安區忠孝東路4段320號5樓","核准設立"
"12985953","寶評有限公司","新北市永和區竹林路239號","核准設立"
"13003450","帕格黎黎貿易有限公司","臺中市霧峰區本堂里中正路六九七號一樓","核准設立"
"13046373","均鎧企業有限公司","桃園市桃園區龍山里龍壽街119號","核准設立"
"13047561","柏邦生物科技企業有限公司","臺中市東區東英里東英路三七○號一樓","廢止"
"13064765","豐資生活館有限公司","臺北市大同區寧夏路11號1樓","核准設立"
"13070231","全發國際股份有限公司","桃園市楊梅區環東路五○○號","廢止"
"13082095","巧比事業股份有限公司","臺北市中山區松江路67號9樓之1","核准設立"
"13087845","華妍科技有限公司","基隆市暖暖區東碇路728號","解散"
"13101109","熱帶嶼海洋科技國際有限公司","臺北市中山區中山北路３段５３之４號４樓之６","解散"
"13104008","基多生物科技有限公司","臺中市北屯區水景里景和街29巷22號2樓","核准設立"
"13110748","自然世家身心健康教育股份有限公司","臺北市大同區承德路3段58號7樓之1","核准設立"
"13114152","克麗比努爾傢飾有限公司","臺北市大安區大安路1段169巷8號","核准設立"
"13123764","卓衛企業有限公司","臺北市松山區三民路108之20號1樓","解散"
"13126122","宜輝企業有限公司","新北市三重區新生街88號","核准設立"
"13138915","國際影視有限公司","臺北市中山區中山北路2段129號12樓之2","核准設立"
"13186269","恰恰寵物有限公司","高雄市三民區民族一路710號","解散"
"13199715","海神水族有限公司","高雄市楠梓區德民路1390號","核准設立"
"15409440","新雄企業有限公司","臺北市中山區松江路70巷3之1號1樓","核准設立"
"15900084","佳祥印刷有限公司","臺北市萬華區雙園街152巷6號1樓","核准設立"
"04279300","三鼎貿易有限公司","臺北市士林區天母北路87巷1號1樓","核准設立"
"04367916","有怡企業有限公司","臺北市內湖區內湖路1段91巷62號1樓","核准設立"
"04597950","大恩國際貿易有限公司","臺北市中正區臨沂街26號1樓","核准設立"
"04644145","貿鴻企業股份有限公司","臺北市文山區興隆路2段220巷53弄26號3樓","核准設立"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號","核准設立"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室","核准設立"
"05501334","郁斯企業有限公司","新北市新店區中正路337號1樓","核准設立"
"06281956","農家樂股份有限公司","嘉義縣竹崎鄉鹿滿村水景頭13號","核准設立"
"07219903","東盈農牧股份有限公司","臺北市中山區松江路283號6樓之2","核准設立"
"12649896","行者網路科技有限公司","新北市中和區圓通路三六七巷廿弄一九之三號","核准設立"
"12674640","千億國際開發有限公司","臺北市大同區重慶北路3段223巷1弄18號1樓","核准設立"
"12688671","沙藝斯股份有限公司","新北市汐止區新台五路1段79號13樓之8","解散"
"12698397","台灣擇優股份有限公司","新北市新店區中興路三段一三五號三樓","解散"
"12701196","泛思創意股份有限公司","臺中市北屯區陳平里陳平路２５巷３號１樓","核准設立"
"12713658","田納西書店有限公司","雲林縣斗六市鎮西里民生南路6號1樓、2樓　鎮西里雲林路一段197號1樓、2樓","核准設立"
"12747974","軒瀧興業有限公司","桃園市桃園區桃一街六三之四號一樓","廢止"
"12774388","寶聯生活館有限公司","高雄市鳳山區誠德里中山東路180號","核准設立"
"12782731","忠義堂國際有限公司","雲林縣斗南鎮西岐里中興路170巷284號1樓","核准設立"
"12788833","富群寵物用品有限公司","新北市土城區裕民路200號4樓","廢止"
"12791008","丁泉實業有限公司","臺南市安平區育平里郡平路二七四巷三十號","核准設立"
"12799395","好康國際物流有限公司","新北市新店區民族路一九○號Ｂ一","廢止"
"12803996","弘鈺生活館有限公司","臺南市東區東明里東安路16號1樓","核准設立"
"12824492","鈞沅企業有限公司","彰化縣福興鄉福南村沿海路四段五七九號","解散"
"12840991","揚昶科技股份有限公司","桃園市中壢區文化里六鄰吉林二路79巷23號1樓","核准設立"
"12863706","勤力國際股份有限公司","新北市新店區寶高路20號","核准設立"
"12903566","光能水族器材有限公司","臺中市西屯區安和路八三之一號","解散"
"12907330","亞洲購股份有限公司","臺中市豐原區南村里水源路345號1樓","解散"
"12932788","欣亞沛特優有限公司","臺北市信義區松德路１９７號１樓","廢止"
"12933745","淞羚有限公司","新北市板橋區三民路一段一巷四二號","解散"
"12937117","國際極舞藝股份有限公司","臺北市大安區敦化南路１段１６１巷４９號１樓","廢止"
"12943265","頤和文化事業有限公司","臺北市大安區溫州街48巷5號","核准設立"
"12948944","電週文化事業股份有限公司","臺北市大安區敦化南路2段105號12樓","核准設立"
"12958858","之華國際貿易有限公司","臺北市內湖區成功路４段５６號５樓","解散"
"12962234","家家通活動量販有限公司","臺北市信義區莊敬路325巷4號1樓","解散"
"12969573","宙斯行銷有限公司","臺北市中正區中華路2段75巷1弄33號","核准設立"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓","核准設立"
"12973437","大亮國際有限公司","臺北市大安區復興南路2段125巷22號1樓","核准設立"
"12992672","遠達國際有限公司","臺南市安平區育平路505號","核准設立"
"12997917","達美逸國際事業有限公司","新北市三重區重陽路三段一九二之二號六樓","廢止"
"12998887","健元興業有限公司","桃園市中壢區環中東路206巷34號10樓","廢止"
"13001636","佰侖生化科技有限公司","南投縣埔里鎮大湳里虎山路3之7號1樓","核准設立"
"13003108","喜樂威國際有限公司","彰化縣永靖鄉永北村永坡路四０巷三一號","核准設立"
"13056771","瑋駿國際有限公司","臺南市新營區太北里太子宮5之14號二樓","核准設立"
"13072738","統軍聯股份有限公司","桃園市桃園區長沙街七十號","廢止"
"13073856","九保實業有限公司","新北市中和區中山路二段116巷2號1樓","廢止"
