"統一編號","公司名稱","公司地址","登記狀態"
"16130471","生展生物科技股份有限公司","臺南市新營區開元路154號Ａ棟","核准設立"
"22375826","忠瑩股份有限公司","臺中市東區台中路325號5樓","核准設立"
"22422010","台忠企業股份有限公司","臺北市松山區民生東路3段118號8樓之2","核准設立"
"22522670","全能營養技術股份有限公司","臺南市永康區蔦松二街3號","核准設立"
"24535118","量智國際科技有限公司","臺北市大安區光復南路578號12樓之1","核准設立"
"24537452","璽傳國際有限公司","臺北市中山區吉林路360號1樓","核准設立"
"24553403","晨杏生醫有限公司","臺北市內湖區康寧路3段75巷222號","核准設立"
"24555296","辰宏事業有限公司","臺北市萬華區桂林路242巷81號","核准設立"
"24603086","亞筆生技股份有限公司","彰化縣彰化市西興里辭修路502巷6號","核准設立"
"24619572","定展有限公司","桃園市中壢區復興里北園二路3號","核准設立"
"24634840","鮮鍠食品有限公司","桃園市平鎮區雙連里民族路雙連二段118巷53弄6號","核准設立"
"24657483","欣利杰寵物食品國際有限公司","彰化縣彰化市永生里中山路二段407號","核准設立"
"24686396","京澄國際餐飲有限公司","高雄市鼓山區明華路237號1樓","核准設立"
"24731385","兆發開發國際實業有限公司","新北市汐止區翠峰街2巷11弄4號","解散"
"24734094","圓寵有限公司","新北市五股區中興路1段137號2樓","核准設立"
"24831960","五更物產有限公司","臺中市大里區塗城路33巷7號","核准設立"
"24851509","世紀犬居有限公司","花蓮縣花蓮市國風里11鄰林森路164號一樓","核准設立"
"24864912","富懋國際實業有限公司","彰化縣和美鎮鎮平里輝南路197號","核准設立"
"24901986","首富好茶有限公司","臺南市安南區東和里長和路一段551號1樓","核准設立"
"24915855","綠沛雅生醫事業股份有限公司","臺南市安平區永華路2段248號13樓之6","核准設立"
"24917967","勝鉦實業有限公司","臺南市安定區中榮里許中營24之17號","核准設立"
"24936752","愛蜜莉寵物有限公司","臺北市松山區南京東路5段393號3樓","解散"
"25086068","宏泰生技股份有限公司","彰化縣田尾鄉饒平村四維巷93號1樓","核准設立"
"25118245","健筌國際有限公司","臺北市大安區仁愛路4段345巷5弄15號4樓","核准設立"
"27852967","中圓寵物股份有限公司","桃園市桃園區同安里中正路836號","核准設立"
"28141157","鴻騏國際有限公司","高雄市新興區中正三路93號8樓之3","核准設立"
"28515134","滙特生物科技股份有限公司","臺北市內湖區內湖路1段248號3樓","核准設立"
"28931286","承大國際股份有限公司","新北市新莊區中正路853之5號1樓","核准設立"
"29177651","一茂開發有限公司","新北市新莊區中原東路182號(1樓)","核准設立"
"33115502","艾德蒙海外股份有限公司","新北市中和區中正路716號12樓之3","核准設立"
"34113502","伍弘實業有限公司","新北市板橋區大觀路3段36巷89弄8號","核准設立"
"42570642","嵩軒有限公司","宜蘭縣員山鄉金泰路300巷73弄27號","核准設立"
"42678783","聖平有限公司","臺中市大肚區沙田路三段624巷25號","核准設立"
"42682674","清新草業有限公司","臺中市大里區長榮里中興路二段249巷13弄9號2樓","核准設立"
"42683385","清新草業有限公司","臺中市大里區長榮里中興路二段249巷13弄9號2樓","核准設立"
"42833933","必康生技股份有限公司","臺北市內湖區洲子街58號1樓","核准設立"
"53255001","德和貿易有限公司","高雄市鳳山區鳳甲路519號3樓","核准設立"
"53436670","澳亞貿易有限公司","新北市林口區麗園一街9巷3號10樓之2","核准設立"
"53499604","達特恩萊生物科技有限公司","屏東縣屏東市大連里建豐路282巷6號1樓","核准設立"
