"統一編號","公司名稱","公司地址","登記狀態"
"12233406","三褔食品有限公司","雲林縣虎尾鎮廉使里17鄰廉使226號","核准設立"
"03375001","國泰化工廠股份有限公司","臺北市大安區忠孝東路4段320號12樓","核准設立"
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號","核准設立"
"12292039","大江生醫股份有限公司","臺北市內湖區港墘路187號8樓","核准設立"
"11310208","振誠貿易股份有限公司","臺北市中正區師大路181號","核准設立"
"12485205","臺北坤生貿易有限公司","臺北市萬華區西昌街89號","核准設立"
"11086525","中美火腿食品工業股份有限公司","臺北市中山區吉林路24號11樓之1","核准設立"
"11072509","三福氣體股份有限公司","臺北市中山區中山北路2段21號5樓","核准設立"
"07448315","新和興海洋企業股份有限公司","臺北市信義區忠孝東路4段560號9樓","核准設立"
"12562770","汎歌化粧品事業有限公司","雲林縣斗六市榴中里工業路79號","核准設立"
"12160255","新竹化工實業股份有限公司","臺北市中山區松江路82號3樓","核准設立"
"12108630","世易水泥股份有限公司","花蓮縣新城鄉順安村北三棧49之1號","核准設立"
"11880517","葡萄王生技股份有限公司","桃園市中壢區龍岡路3段60號","核准設立"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓","核准設立"
"09441366","光聯興業股份有限公司","桃園市楊梅區高榮里電研路190巷108號","核准設立"
"07228207","昌泰實業廠有限公司","臺北市大同區重慶北路3段76號10樓之2","核准設立"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號","核准設立"
"04211978","國際農畜股份有限公司","高雄市路竹區中華路518號","核准設立"
"12469465","洪國實業股份有限公司","宜蘭縣蘇澳鎮德興七路7號","核准設立"
"01180260","巨煥興業股份有限公司","臺北市中山區南京東路2段125號8樓之1","核准設立"
"12618134","建榳養生事業有限公司","新北市鶯歌區建國路596巷68、70號","核准設立"
"04827003","乾恩工廠有限公司","臺北市南港區南港路1段4之2號","核准設立"
"04742997","寶齡富錦生技股份有限公司","臺北市南港區園區街3號16樓","核准設立"
"04217017","乖乖股份有限公司","桃園市中壢區東園路48號","核准設立"
"12401698","增你強股份有限公司","臺北市內湖區新湖二路250巷8號","核准設立"
"12618269","世鋒生物科技有限公司","高雄市大樹區龍目路143-2號1樓","核准設立"
"07569627","聯華食品工業股份有限公司","臺北市大同區迪化街1段148號","核准設立"
"07410900","景新製藥股份有限公司","臺北市大同區重慶北路3段244號","核准設立"
"04610454","順華藥品工業股份有限公司","臺北市中正區重慶南路3段36巷12號1樓","核准設立"
"03351015","泰電電業股份有限公司","臺北市中正區博愛路76號8樓","核准設立"
"03341208","振芳股份有限公司","臺北市中正區新生南路1段116號3樓","核准設立"
"12747361","上佳食品有限公司","彰化縣秀水鄉安溪村安鶴路46號","核准設立"
"12802645","迪普達股份有限公司","新北市中和區立德街109號7樓","核准設立"
"12770545","東杭畜產有限公司","彰化縣埤頭鄉大湖村中央路241之9號","核准設立"
"04605797","得記食品有限公司","臺北市中正區羅斯福路4段26號1樓","核准設立"
"12738715","加樂科技有限公司","臺中市太平區中興里東平路七一五巷一一號","廢止"
"12826338","萱展企業股份有限公司","新北市中和區建康路63號","核准設立"
"12665635","台灣咖哩好侍餐廳股份有限公司","新北市中和區橋安街11號(1樓)","核准設立"
"12675612","唐和生化科技有限公司","雲林縣土庫鎮石廟里公園路67號1樓","核准設立"
"12677724","台灣比菲多食品股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1","核准設立"
"12698729","傑登生研有限公司","新北市新店區北新路3段46號2樓","核准設立"
"12644668","聖亞生技有限公司","臺中市北屯區水景里景賢路308巷10號1樓","核准設立"
"12641992","伸倡企業有限公司","新北市三重區河邊北街一００巷一三號","解散"
"12786883","關強貿易有限公司","新北市淡水區八勢二街53巷17號","核准設立"
"12644225","振鈁有限公司","新竹市香山區港南里海埔路171巷73號1樓","核准設立"
"12827934","安森立生物科技有限公司","彰化縣北斗鎮西德里公所街124號","核准設立"
"12713215","東阪國際有限公司","新北市中和區中原里立德街148巷38號7樓","核准設立"
"12749430","亞洲虎食品股份有限公司","嘉義縣太保市嘉太工業區和順路6號","核准設立"
"12832134","中唯有限公司","新竹縣竹北市泰和里博愛街711巷13號1樓","核准設立"
"12774227","台青能量農業股份有限公司","屏東縣長治鄉德和村農科路33號","解散"
"12724851","永成蛋品股份有限公司","新北市林口區工四路12號","核准設立"
"12779068","上緣食品企業有限公司","臺中市南屯區干城街240巷2弄29號1樓","核准設立"
"12819414","統久企業有限公司","臺南市北區大港里大興街192巷58號1樓","核准設立"
"12822614","震翰大智群生物科技有限公司","新竹市中華路六段七四九巷廿二號","廢止"
"12849389","傑陽生物科技股份有限公司","彰化縣員林市大饒里員集路二段三八六巷一五弄四四號　　　","核准設立"
"12849965","宜興素食有限公司","新北市中和區永和路一八五號","廢止"
"12783648","七品蓮有限公司","臺南市安南區新順里開安路2號","核准設立"
"12721637","布雷瓦國際股份有限公司","桃園市龍潭區中正里一二鄰神龍路一九七號","廢止"
"12811031","竹坊食品股份有限公司","桃園市蘆竹區海湖東路一七三巷一八弄二二號","解散"
"12848945","昇上宏貿易有限公司","彰化縣員林鎮三義里惠安街73號","核准設立"
"12891029","台酒縣股份有限公司","新北市土城區中央路2段101號","解散"
"13009335","瑟繽達斯生物科技有限公司","高雄市梓官區赤崁北路131之3號","核准設立"
