"統一編號","公司名稱","公司地址","登記狀態"
"01515462","寬友股份有限公司","臺北市內湖區陽光街345巷16號2樓","核准設立"
"02925838","德一食品工業股份有限公司","苗栗縣竹南鎮崎頂里仁愛路1445號","核准設立"
"03538906","臺隆工業股份有限公司","臺北市中山區松江路261號12樓","核准設立"
"04313172","光泉牧場股份有限公司","臺北市內湖區瑞光路502號4樓","核准設立"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓","核准設立"
"05162783","台灣優生股份有限公司","新北市五股區五權六路30號","核准設立"
"05834987","頂裕食品股份有限公司","臺中市南屯區文山里工業區23路24號","核准設立"
"06499265","豐生製藥生物科技股份有限公司","臺南市官田區二鎮里成功街６０號１樓","核准設立"
"07067309","味王股份有限公司","臺北市中山區聚盛里中山北路2段79號5樓","核准設立"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號","核准設立"
"09477650","勇信貿易股份有限公司","臺北市大安區忠孝東路3段227之3號2樓","核准設立"
"11892605","嘉新食品化纖股份有限公司","臺北市大安區忠孝東路4段219號6樓","破產程序終結(終止)"
"12133650","台灣美強股份有限公司","臺北市中山區南京東路2段66號4樓","核准設立"
"12264131","毅太企業股份有限公司","臺北市中山區建國北路2段147號6樓","核准設立"
"12302156","天騰工業股份有限公司","新竹市北區演藝路27號3樓","核准設立"
"12331589","萬能股份有限公司","雲林縣斗南鎮大業路30-10號","核准設立"
"12370668","綠湖股份有限公司","臺北市內湖區民善街83、85、87、89號7樓","核准設立"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓","核准設立"
"12619909","元晟食品有限公司","高雄市前鎮區千富街241巷7號","核准設立"
"12622290","晨欣食品有限公司","屏東縣屏東市勝利里廣東路998號11樓之2","核准設立"
"12624472","沂晟企業有限公司","新北市中和區建康路六三號","解散"
"12624635","金平陽實業有限公司","彰化縣溪湖鎮太平里太平街新市巷28號","核准設立"
"12642795","漢碩食品有限公司","彰化縣大村鄉美港村美港路130巷25號","核准設立"
"12648735","天龍食品有限公司","臺南市仁德區三甲里三甲子８０號","核准設立"
"12653053","睿聯生醫有限公司","臺北市內湖區港墘路187號9樓","核准設立"
"12660483","真好家食品股份有限公司","臺北市大安區復興南路2段355號2樓","核准設立"
"12676561","柏胤有限公司","臺北市大安區辛亥路１段８２號１樓","廢止"
"12680278","鬥揚股份有限公司","新北市五股區五工一路101號","解散"
"12683198","台灣比菲多醱酵股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1","核准設立"
"12692605","小倉和風有限公司","新北市八里區龍米路一段一○○巷一○號一樓","解散"
"12711645","呂氏栢記雪花齋實業有限公司","臺中市西區民生里民權路31號","核准設立"
"12711912","源寶珍食品有限公司","彰化縣彰化市富貴里民權路二０五號","廢止"
"12745672","湘鄉食品有限公司","新北市汐止區福德一路四三○巷五號","核准設立"
"12757640","孝青食品香料有限公司","臺南市永康區東橋里中正路277之2號1樓","核准設立"
"12769857","蓮香蔬食股份有限公司","臺北市松山區八德路4段245巷56弄23號","核准設立"
"12770003","欣境國際事業有限公司","新北市樹林區樹西里中山路一段一四六號一樓","解散"
"12775014","芽王生技有限公司","臺南市仁德區太子里太子路152號1樓","核准設立"
"12798749","鬥冠股份有限公司","臺中市梧棲區中棲路一段六九九號二四樓","解散"
"12805994","蜂健生化科技股份有限公司","高雄市楠梓區後昌路590巷3號1樓","解散"
"12807705","上鼎食品有限公司","臺中市清水區南社里忠孝西路一０九號","解散"
