"統一編號","公司名稱","公司地址","登記狀態"
"01180260","巨煥興業股份有限公司","臺北市中山區南京東路2段125號8樓之1","核准設立"
"02425432","鮮品冷凍食品股份有限公司","宜蘭縣蘇澳鎮自強路21號","核准設立"
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號","核准設立"
"03351015","泰電電業股份有限公司","臺北市中正區博愛路76號8樓","核准設立"
"04217017","乖乖股份有限公司","桃園市中壢區東園路48號","核准設立"
"04240501","誠建室內裝修股份有限公司","臺北市中山區建國北路2段135、137號地下1樓","核准設立"
"04275228","立民物產企業有限公司","桃園市龍潭區工五路191巷67弄71號","核准設立"
"04359802","海霸王餐廳股份有限公司","臺北市大同區西寧北路62號2至7樓","核准設立"
"04498591","孟伸企業有限公司","苗栗縣苗栗市南勢里國馨1號","核准設立"
"04742997","寶齡富錦生技股份有限公司","臺北市南港區園區街3號16樓","核准設立"
"05174211","頂記食品股份有限公司","新北市五股區興珍里五工路144號1樓","核准設立"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號","核准設立"
"05698174","味榮食品工業股份有限公司","臺中市豐原區三村里西勢路701號","核准設立"
"06785231","國昌興業有限公司","高雄市苓雅區正義路52號1樓","廢止"
"07569627","聯華食品工業股份有限公司","臺北市大同區迪化街1段148號","核准設立"
"07710527","品佶企業股份有限公司","宜蘭縣員山鄉尚惠路242號","核准設立"
"08126951","露寶有限公司","花蓮縣花蓮市福建街一一五號","核准設立"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓","核准設立"
"09441366","光聯興業股份有限公司","桃園市楊梅區高榮里電研路190巷108號","核准設立"
"11086525","中美火腿食品工業股份有限公司","臺北市中山區吉林路24號11樓之1","核准設立"
"11298318","伸盈泰股份有限公司","新北市汐止區大同路3段196之2號7樓","核准設立"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓","核准設立"
"12108630","世易水泥股份有限公司","花蓮縣新城鄉順安村北三棧49之1號","核准設立"
"12160255","新竹化工實業股份有限公司","臺北市中山區松江路82號3樓","核准設立"
"12233406","三褔食品有限公司","雲林縣虎尾鎮廉使里17鄰廉使226號","核准設立"
"12238887","聯溢實業股份有限公司","臺北市中山區松江路32之1號2樓","核准設立"
"12353675","禾鑽興企業有限公司","臺北市大同區迪化街2段149巷6號2樓","核准設立"
"12375919","三崧貿易有限公司","新北市中和區橋安街41號4樓","核准設立"
"12469465","洪國實業股份有限公司","宜蘭縣蘇澳鎮德興七路7號","核准設立"
"12485205","臺北坤生貿易有限公司","臺北市萬華區西昌街89號","核准設立"
"12618134","建榳養生事業有限公司","新北市鶯歌區建國路596巷68、70號","解散"
"12640446","金灃食品有限公司","臺北市中正區和平西路1段57-2號","核准設立"
"12677724","台灣比菲多食品股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1","核准設立"
"12696969","松鱗冷凍海產有限公司","新北市蘆洲區民權路3巷16號1樓","廢止"
"12698729","傑登生研有限公司","新北市新店區北新路3段46號2樓","核准設立"
"12699558","台灣寶利來生物科技有限公司","新北市新莊區思源路169號11樓","核准設立"
"12734561","基香食品有限公司","桃園市觀音區崙坪里1鄰崙坪1之10號","核准設立"
"12747361","上佳食品有限公司","彰化縣秀水鄉安溪村安鶴路46號","核准設立"
"12749430","亞洲虎食品股份有限公司","嘉義縣太保市嘉太工業區和順路6號","核准設立"
"12764109","鬥岩股份有限公司","新北市五股區五工一路101號","核准設立"
"12765206","優然食品生技股份有限公司","臺中市大雅區四德里中山八路122號","核准設立"
"12778167","詠悅國際有限公司","新北市三重區中興北街164號","核准設立"
"12779068","上緣食品企業有限公司","臺中市南屯區干城街240巷2弄29號1樓","核准設立"
"12783648","七品蓮有限公司","臺南市安南區新順里開安路2號","核准設立"
"12804664","台灣橄欖生技股份有限公司","新竹縣寶山鄉油田村三峰路一段88號","核准設立"
"12826338","萱展企業股份有限公司","新北市中和區建康路63號","核准設立"
"12830635","今元肉品股份有限公司","彰化縣二林鎮後厝里永定街23號","核准設立"
"12857325","天成開發股份有限公司","臺北市中正區忠孝西路1段41號5樓之16","核准設立"
"12916197","承究實業有限公司","臺中市梧棲區頂寮里四維東路149巷10號1樓","核准設立，但已命令解散"
"12927188","祥九企業股份有限公司","高雄市鳳山區大東二路58號1樓","核准設立"
"12980562","全泰食品有限公司","新北市新莊區自強街７０巷４弄３之３號（４樓）","解散"
"12981886","惠興國際有限公司","新北市土城區金城路3段101巷10號(1樓)","核准設立"
"12997000","御隆食品有限公司","臺中市太平區中和街102巷3號1樓","核准設立"
"13012726","忠將有限公司","桃園市中壢區普忠里普忠路347號","核准設立"
"13027066","普惠食品企業有限公司","苗栗縣竹南鎮大厝里國泰路13號","核准設立"
"13038839","探索戶外國際股份有限公司","新北市土城區大安里忠承路89號11樓","核准設立"
"13039041","囍緣國際事業有限公司","臺中市太平區長安11街11號2樓","核准設立"
"13046492","立暉食品有限公司","宜蘭縣蘇澳鎮新城里中山路二段395號1樓","核准設立"
"13055999","津悅食品有限公司","臺中市西屯區協和里工業區41路33號1樓","核准設立"
"13065498","仲麟實業有限公司","高雄市鳳山區杭州西街164號3樓","核准設立"
"13069369","生發生物科技有限公司","彰化縣芬園鄉竹林村彰南路4段398號2樓","核准設立"
"13071457","山竹果生物科技有限公司","臺北市大安區忠孝東路4段285號2樓","核准設立"
"13077895","聞品香實業有限公司","彰化縣福興鄉橋頭村東隆路11號","核准設立"
"13082519","冠品華通國際股份有限公司","臺北市大安區敦化南路1段344號5樓之4","核准設立"
"00940067","救人實業股份有限公司","臺北市萬華區洛陽街9號9樓之1","核准設立"
"01515462","寬友股份有限公司","臺北市內湖區陽光街345巷16號2樓","核准設立"
"02512007","北都冷凍食品工業股份有限公司","基隆市中正區北寧路223號","核准設立"
"02925838","德一食品工業股份有限公司","苗栗縣竹南鎮崎頂里仁愛路1445號","核准設立"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號","核准設立"
"03538906","臺隆工業股份有限公司","臺北市中山區松江路261號12樓","核准設立"
