"統一編號","公司名稱","公司地址","登記狀態"
"03341208","振芳股份有限公司","臺北市中正區新生南路1段116號3樓","核准設立"
"04605797","得記食品有限公司","臺北市中正區羅斯福路4段26號1樓","核准設立"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號","核准設立"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓","核准設立"
"12353675","禾鑽興企業有限公司","臺北市大同區迪化街2段149巷6號2樓","核准設立"
"12698729","傑登生研有限公司","新北市新店區北新路3段46號2樓","核准設立"
"12749430","亞洲虎食品股份有限公司","嘉義縣太保市嘉太工業區和順路6號","核准設立"
"12826338","萱展企業股份有限公司","新北市中和區建康路63號","核准設立"
"12981886","惠興國際有限公司","新北市土城區金城路3段101巷10號(1樓)","核准設立"
"13055999","津悅食品有限公司","臺中市西屯區協和里工業區41路33號1樓","核准設立"
"13065498","仲麟實業有限公司","高雄市鳳山區杭州西街164號3樓","核准設立"
"13082519","冠品華通國際股份有限公司","臺北市信義區信義路5段5號","核准設立"
"13101895","豆穌朋食品股份有限公司","新北市新店區寶興路45巷6弄10號1樓","核准設立"
"13125284","仲暘企業有限公司","新北市深坑區北深路3段240號","核准設立"
"13132428","金豐生物科技股份有限公司","臺北市中山區林森北路479號6樓之5","核准設立"
"13160155","海洋維義食品股份有限公司","高雄市鳳山區國泰路2段3巷11號","核准設立"
"13187561","宏偉冷凍食品股份有限公司","屏東縣高樹鄉新南村大和路1-15號","核准設立"
"15892970","信芳股份有限公司","桃園市龜山區嶺頂里茶專路19號","核准設立"
"16216505","山水米實業股份有限公司","苗栗縣苑裡鎮玉田里玉田91之2號","核准設立"
"16395577","正豐農畜產品有限公司","嘉義縣新港鄉南港村菜園28號","核准設立"
"16507784","賀洲國際企業有限公司","花蓮縣花蓮市國興里建興街71號1樓","核准設立"
"16737765","震菖實業有限公司","高雄市楠梓區藍昌路463號1樓","核准設立"
"16759248","台灣景兆豐股份有限公司","臺北市中正區忠孝西路1段50號22樓之18","核准設立"
"16961469","浩群開發股份有限公司","臺東縣臺東市光明里蘭州街86號1樓","核准設立"
"20815812","承成企業有限公司","臺北市南港區八德路4段931號1樓","核准設立"
"22004085","集山實業股份有限公司","宜蘭縣五結鄉成興村五濱路1段18號","核准設立"
"22165244","永詮食品股份有限公司","臺北市信義區基隆路1段186號6樓之6","核准設立"
"22338153","遠哲有限公司","桃園市楊梅區高青路36號","核准設立"
"22660856","長興育樂股份有限公司","桃園市大溪區康莊路96號","核准設立"
"23735308","呷七碗健康生技股份有限公司","新北市中和區中正路907號","核准設立"
"23794404","輝綠科技有限公司","新北市新莊區中正路829巷22弄9號3樓","核准設立"
"23967361","鼎永企業有限公司","屏東縣萬丹鄉社上村萬丹路3段332巷12號","核准設立"
"24214116","秉瀚食品股份有限公司","新北市三重區新北大道2段139巷27號","核准設立"
"24215683","台灣矽能能源股份有限公司","臺中市西屯區臺灣大道三段658號9樓之5","核准設立"
"24252390","源泰食品實業有限公司","桃園市蘆竹區蘆竹里南崁路2段147之18號1樓","核准設立"
"24273260","日紳食品有限公司","臺中市豐原區社皮里一心路169號1樓","核准設立"
"24330874","利口樂通路有限公司","臺北市北投區大業路490號1樓","核准設立"
"24336602","鑫湛國際管理顧問股份有限公司","臺北市中正區忠孝東路2段35號","核准設立"
"24369413","鼎發國際有限公司","新北市三峽區嘉添里嘉添181-12號2樓","核准設立"
"24376759","廣仁國際通商有限公司","臺南市安南區功安一街278號","核准設立"
"24402102","力康捷生技醫學股份有限公司","屏東縣潮州鎮永春里長春路29號1樓","解散"
"24406873","茶月食品有限公司","嘉義市東區後湖里保順路327號1樓","核准設立"
"24424252","金味屋食品股份有限公司","臺中市西屯區港尾里20鄰中清路二段1250巷41號1樓","核准設立"
"24427498","潔心國際貿易有限公司","桃園市中壢區普忠里普忠路211巷8弄20號","核准設立"
"24441506","精鵠股份有限公司","花蓮縣玉里鎮中城里忠孝路27號1樓","核准設立"
"24511615","速達國際企業有限公司","高雄市三民區遼寧2街269號夾層","核准設立"
"24512403","樂活新宇宙有限公司","高雄市三民區平等路27號","解散"
"24529072","高穩食品有限公司","高雄市三民區建武路53巷20號","核准設立"
"24539661","薏麗生技有限公司","臺北市大安區信義路4段281號11樓","解散"
"24551974","北大莊飲食有限公司","臺北市南港區南港路1段105、107號","核准設立"
"24568139","台灣四葉食品科技股份有限公司","新北市汐止區新台五路1段79號19樓之11、12","核准設立"
"24568285","松強食品有限公司","臺北市中山區松江路2號11樓","核准設立"
"24578994","齊芳食業有限公司","臺中市神岡區豐原大道七段522號3樓","核准設立"
"24583309","世界環球交通股份有限公司","臺中市北屯區北屯路360號17樓之2","核准設立"
"24594740","登鋒有限公司","臺中市潭子區東寶里7鄰崇德路五段13號","核准設立"
