"統一編號","公司名稱","公司地址","登記狀態"
"02279634","大享藥品有限公司","新北市新店區中央里中央路208之1號2樓","核准設立"
"03379506","國華貿易股份有限公司","臺北市中正區新生南路1段116號4樓","核准設立"
"03543210","台榮產業股份有限公司","臺北市中山區南京東路2段206號6樓","核准設立"
"03564609","台灣武田藥品工業股份有限公司","臺北市中山區南京東路3段217號7樓","核准設立"
"03626801","佳美貿易股份有限公司","臺北市內湖區瑞光路302號9樓","核准設立"
"04293133","員和工業股份有限公司","臺北市中山區德惠街9號6樓","核准設立"
"04389073","葡其實業股份有限公司","臺北市中山區南京西路1之3號1樓","核准設立"
"04404855","昭元化成股份有限公司","臺北市中山區松江路129號9樓","核准設立"
"04412124","欣臨企業股份有限公司","臺北市中山區南京東路3段70號4樓","核准設立"
"04925285","大寬貿易有限公司","新北市新店區民權路141號1樓","核准設立"
"04982807","子億貿易有限公司","臺北市大安區信義路3段178號11樓","核准設立"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號","核准設立"
"05379565","友勵藥業有限公司","臺中市西屯區臺灣大道三段660號9樓之3","核准設立"
"07138923","同欣有限公司","臺北市中山區新生北路3段20號","核准設立"
"07209709","協明化工股份有限公司","新北市板橋區文化路1段268號14樓","核准設立"
"09418745","有泰香料化學有限公司","臺北市大安區信義路3段178號11樓","核准設立"
"11505604","美商美國新美股份有限公司","臺北市大安區龍雲里敦化南路2段76號9樓之2","核准設立"
"11589006","第一化工原料股份有限公司","臺北市大同區天水路43號1至4樓","核准設立"
"12154916","吉焮貿易有限公司","臺北市中山區松江路152號9樓之13","核准設立"
"12212985","幸生實業股份有限公司","臺北市中山區松江路520號6樓","核准設立"
"12338577","寶祥貿易股份有限公司","桃園市桃園區春日路1434巷158號","核准設立"
"12504821","尹太有限公司","臺北市中山區吉林路168巷2號1樓","核准設立"
"12509662","信意企業股份有限公司","臺北市松山區復興北路57號7樓之2","核准設立"
"12528149","輻達股份有限公司","桃園市蘆竹區五福里仁愛路二段7號10樓之1","核准設立"
"12605102","嘉品生物科技股份有限公司","雲林縣斗六市榴南里斗工十二路17號","核准設立"
"12614777","森永實業有限公司","新北市板橋區三民路1段3巷23之1號","核准設立"
"12626113","美食家食材通路股份有限公司","臺南市安平區永華路二段373號","核准設立"
"12661814","聯辰生技有限公司","新北市淡水區中正東路2段69之11號","核准設立"
"12671051","力納資源整合股份有限公司","臺北市松山區東興路19號7樓","核准設立"
"12722559","佑勝行銷顧問有限公司","彰化縣員林鎮三和里靜修東路176巷5號","核准設立"
"12730951","拜爾汀生技營養有限公司","臺南市歸仁區八甲里大明街3號","核准設立"
"12754242","元吉利有限公司","花蓮縣吉安鄉東昌村東里十一街6號1樓","核准設立"
"12831064","德良科技股份有限公司","臺南市永康區鹽洲里正南六街105巷5號1樓","核准設立"
"12861019","威剛科技股份有限公司","新北市中和區連城路258號18樓","核准設立"
"12862636","銓昇企業管理顧問有限公司","臺北市信義區莊敬路325巷60號3樓","核准設立"
"12870220","長谷川食品有限公司","新北市新莊區福興里五權一路5號8樓之9","核准設立"
"12871826","摩多摩數位科技有限公司","臺北市中山區復興北路400號2樓之1","核准設立"
"12883111","佑松生態科技塗料有限公司","彰化縣花壇鄉橋頭村彰員路二段37號","核准設立"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓","核准設立"
"12898655","慶揚實業股份有限公司","桃園市桃園區中路里中山路798巷1號6樓之2","核准設立"
"12953452","基龍米克斯生物科技股份有限公司","新北市汐止區文化里新台五路1段100號14樓","核准設立"
"12954430","天香回味有限公司","臺北市中山區南京東路1段16號2樓","核准設立"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓","核准設立"
"12992271","喜鉞企業有限公司","彰化縣彰化市阿夷里金馬路一段519號一樓","核准設立"
