"統一編號","公司名稱","公司地址","登記狀態"
"03543210","台榮產業股份有限公司","臺北市中山區南京東路2段206號6樓","核准設立"
"03564609","台灣武田藥品工業股份有限公司","臺北市中山區南京東路3段217號7樓","核准設立"
"04293133","員和工業股份有限公司","臺北市中山區德惠街9號6樓","核准設立"
"07209709","協明化工股份有限公司","新北市板橋區文化路1段268號14樓","核准設立"
"09418745","有泰香料化學有限公司","臺北市大安區信義路3段178號11樓","核准設立"
"11589006","第一化工原料股份有限公司","臺北市大同區天水路43號1至4樓","核准設立"
"12509662","信意企業股份有限公司","臺北市松山區復興北路57號7樓之2","核准設立"
"12605102","嘉品生物科技股份有限公司","雲林縣斗六市榴南里斗工十二路17號","核准設立"
"12614777","森永實業有限公司","新北市板橋區三民路1段3巷23之1號","核准設立"
"12653722","御享生技股份有限公司","臺北市內湖區瑞光路188巷52號4樓","核准設立"
"12722559","佑勝行銷顧問有限公司","彰化縣員林鎮三和里靜修東路176巷5號","核准設立"
"12898655","慶揚實業股份有限公司","桃園市桃園區中路里中山路798巷1號6樓之2","核准設立"
"13110212","博古企業有限公司","新北市新莊區五權二路22號4樓之8","核准設立"
"13120149","益昌實業有限公司","臺北市大同區西寧北路98號1樓","核准設立"
"15980404","永加企業有限公司","臺北市萬華區西藏路284號1樓","核准設立"
"16642803","宇馨生技食品股份有限公司","新北市樹林區俊安街31巷7號(1、2層)","核准設立"
"16932388","巧舜企業有限公司","新北市土城區中華路1段56巷51號","核准設立"
"20790729","青峰實業股份有限公司","新北市中和區中正路1226號5樓之1","核准設立"
"22749178","誌滿興業有限公司","臺北市大安區和平東路2段53巷2號3樓","核准設立"
"22835504","八千食品有限公司","高雄市苓雅區廣州二街86巷26號","核准設立"
"22857149","百鮮企業有限公司","新北市林口區工四路8號","核准設立"
"23063189","中聯環境生技股份有限公司","新北市淡水區中正東路2段69之5號5樓","核准設立"
"23691370","嘉年生化產品有限公司","雲林縣斗六市榴南里斗工十二路17號","核准設立"
"23750519","道昇國際股份有限公司","臺北市文山區羅斯福路6段142巷82號1樓","核准設立"
"24258697","美澤元國際貿易有限公司","臺中市西屯區臺灣大道三段540號5樓之2","核准設立"
"24298380","五松興業股份有限公司","桃園市楊梅區中山里新農街162號1樓","核准設立"
"24440957","龍琦國際股份有限公司","新北市中和區連城路5之3號","核准設立"
"24537679","碩英生醫股份有限公司","臺北市大同區酒泉街34之1號6樓","核准設立"
"24545283","金凱食品有限公司","臺北市信義區吳興街85號","核准設立"
"24547114","龍潭食品股份有限公司","臺北市內湖區基湖路35巷16號8樓之4","核准設立"
"24561305","健裕生技股份有限公司","臺北市中正區林森南路4之3號2樓","核准設立"
"24565386","禾盟企業股份有限公司","臺北市中正區鎮江街7號4樓之1","核准設立"
"24569502","佳寶國際企業有限公司","臺北市內湖區舊宗路2段181巷2之1號3樓","核准設立"
"24572627","有嘉農業科技股份有限公司","臺北市大同區重慶北路3段165號3樓","解散"
"24587375","偉哥食品有限公司","臺中市龍井區台中市龍井區中山一路一段120巷12弄11號","核准設立"
"24598719","潤康國際食品有限公司","臺中市北屯區松勇里松明街66號1樓","核准設立"
"24608218","富宥生技有限公司","雲林縣土庫鎮越港里大同路1之2號1樓","核准設立"
"24630154","淳雁企業股份有限公司","新竹縣竹北市嘉豐十路5號4樓之3","廢止"
"24650643","津棧食品有限公司","彰化縣彰化市延平里文心街18號1樓","核准設立"
"24670394","合盛發貿易有限公司","高雄市小港區翠亨南路223號10樓之2","核准設立"
"24687016","愛爾信有限公司","高雄市鼓山區文信路332號8樓","核准設立"
"24692427","年輕人食品有限公司","新北市樹林區三俊街84號(1樓)","核准設立"
"24694558","御美姿國際實業有限公司","新北市新莊區幸福路683之2號","核准設立"
"24707701","崇仁草本農業有限公司","新北市五股區登林路貿商巷6弄11號13樓","核准設立"
"24717320","高高高有限公司","臺北市中山區中山北路2段93巷7之3號","核准設立"
"24717546","明威食品企業有限公司","新北市新店區北新路3段222號3樓","核准設立"
"24734799","艾露兒生技有限公司","新北市土城區中央路2段191號15樓之1","核准設立"
"24737085","翔井生技有限公司","新北市三重區朝陽街26巷1弄15號","核准設立"
"24746541","遠合生物科技股份有限公司","臺北市信義區信義路5段150巷2號13樓之8","核准設立"
"24759518","台灣愛謝謝股份有限公司","臺北市內湖區內湖路1段91巷14號2樓","核准設立"
"24782047","一品國際生物技術股份有限公司","臺北市中正區重慶南路1段43號3樓之1","核准設立"
"24839246","翔大食品股份有限公司","臺中市潭子區豐栗路166巷8號","核准設立"
"24840519","方成圓國際有限公司","臺中市南屯區同心里大墩五街302號1樓","核准設立"
"24846350","老沅豐生物科技有限公司","臺中市太平區育賢路97號1樓","核准設立"
"24865074","彩志有限公司","新竹縣竹北市斗崙里福興路979之21號","核准設立"
"24865953","井泉食品有限公司","屏東縣萬丹鄉社上村社上路16巷30號1樓","核准設立"
"24866242","人化食品有限公司","新竹縣芎林鄉文林村文山路51巷26號1樓","核准設立"
"24869206","寶島鮮有限公司","新竹市西大路180號1樓","核准設立"
"24878866","瑞騏股份有限公司","彰化縣員林鎮大榮街51號2樓","核准設立"
"24879470","佳世福有限公司","桃園市大園區大觀路14巷2號","核准設立"
"24879767","喜嘉國際有限公司","桃園市中壢區普仁里力行北街53號2樓之3","核准設立"
"24888745","赫群生技有限公司","臺中市西屯區福泰街119號1樓","核准設立"
"24906785","文元生技有限公司","臺南市仁德區太子里太子四街25巷17號","核准設立"
"03341208","振芳股份有限公司","臺北市中正區新生南路1段116號3樓","核准設立"
"05174211","頂記食品股份有限公司","新北市五股區興珍里五工路144號1樓","核准設立"
"06377538","長壽化工廠有限公司","臺南市南區新樂路66號","核准設立"
"11310208","振誠貿易股份有限公司","臺北市中正區師大路181號","核准設立"
"11454725","南嘉有限公司","臺北市中山區南京東路2段206號4樓","核准設立"
"12692534","沅哲有限公司","新北市林口區粉寮路2段24號","核准設立"
"12734561","基香食品有限公司","桃園市觀音區崙坪里1鄰崙坪1之10號","核准設立"
"12826338","萱展企業股份有限公司","新北市中和區建康路63號","核准設立"
"12848945","昇上宏貿易有限公司","彰化縣員林鎮三義里惠安街73號","核准設立"
"12917371","勵儀科技股份有限公司","臺北市中正區重慶南路1段121號6樓之12","核准設立"
"12971536","立弘生化科技股份有限公司","臺北市大安區敦化南路2段71號13樓","核准設立"
"13065498","仲麟實業有限公司","高雄市鳳山區杭州西街164號3樓","核准設立"
"13125284","仲暘企業有限公司","新北市深坑區北深路3段240號","核准設立"
"13141432","立和生醫股份有限公司","臺北市中山區中山北路2段93巷19號9樓","核准設立"
"13192234","鴻昌科技實業有限公司","高雄市旗山區光復二街10號","核准設立"
"13199784","東樺食品原料有限公司","高雄市小港區廠前路64號1樓","核准設立"
"15395706","義芳化學工業股份有限公司","臺北市萬華區莒光路310號7樓","核准設立"
"15465603","廣成香料化學股份有限公司","新北市八里區頂寮一街28巷1號","核准設立"
"16053122","東佳貿易有限公司","臺中市北屯區太順路250號1樓","核准設立"
"16519141","德啟實業有限公司","桃園市桃園區大業路2段237號7樓","核准設立"
"16783795","佳美樂實業有限公司","臺北市中山區吉林路218巷10號1樓","核准設立"
"16820335","遠信國際實業有限公司","嘉義縣新港鄉潭大村潭子墘26-2號","核准設立"
"16861308","嘉振企業有限公司","臺南市佳里區鎮山里鎮山162-16號","核准設立"
"16876554","淞富香料食品聯合有限公司","彰化縣員林鎮萬年里員水路二段421巷17號","核准設立"
"16892977","同富開發有限公司","新北市三重區大勇街72號","核准設立"
"22160732","億元食品股份有限公司","基隆市七堵區工建路5號","核准設立"
"22165244","永詮食品股份有限公司","臺北市信義區基隆路1段186號6樓之6","核准設立"
"22208715","資川有限公司","雲林縣北港鎮吉祥路10號","核准設立"
"22607585","久益化工股份有限公司","新北市新莊區新樹路268巷72號2樓","核准設立"
"23420497","德麥食品股份有限公司","新北市五股區五權五路31號","核准設立"
"23443294","登盛企業股份有限公司","臺北市內湖區港墘路189號9樓","核准設立"
