"統一編號","公司名稱","公司地址","登記狀態"
"01179849","嘉雨有限公司","嘉義市東區後湖里2鄰保成路67號1樓","核准設立"
"01406366","第一化成股份有限公司","新北市板橋區信義里信義路26巷10號","核准設立"
"01884009","金益化學工廠有限公司","新北市土城區中央路1段365巷16號","核准設立"
"04417508","冠軍股份有限公司","臺北市中山區中山北路2段79號7樓","核准設立"
"04424206","七星香料股份有限公司","新北市新莊區化成路11巷89弄11號","核准設立"
"04427533","双安有限公司","臺北市中山區長安東路1段2之1號3樓","核准設立"
"04472136","立業貿易股份有限公司","臺北市大同區南京西路22號12樓","核准設立"
"04696749","友發化工股份有限公司","臺北市中正區忠孝東路1段85號16樓","核准設立"
"05077169","新騰貿易股份有限公司","臺北市中山區林森北路612號7樓","核准設立"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓","核准設立"
"05183083","盛霖國際貿易有限公司","臺北市大安區和平東路1段6號3樓","核准設立"
"06081486","方冠生物科技股份有限公司","南投縣名間鄉濁水村員集路1-13號","核准設立"
"11027322","久好企業股份有限公司","臺北市中山區南京東路3段201號10樓","核准設立"
"11347802","味全食品工業股份有限公司","臺北市中山區松江路125號","核准設立"
"11845505","遠東香料股份有限公司","臺北市中山區松江路309號7樓","核准設立"
"11907184","台灣曾田香料股份有限公司","臺北市中山區松江路309號7樓","核准設立"
"12298913","富凰企業股份有限公司","臺北市大同區承德路3段123號","核准設立"
"12516468","有棵蕃茄有限公司","臺北市大安區四維路154巷31號1樓","核准設立"
"12637527","原菘生物科技有限公司","臺北市松山區南京東路4段50號7樓(A室)","核准設立"
"12679096","歐德默股份有限公司","高雄市三民區漢口街２５之４號４樓之１","解散"
"12758731","仁勝工業有限公司","嘉義縣義竹鄉龍蛟村龍蛟潭186附1號","核准設立"
"12777239","益利安企業有限公司","新北市中和區秀峰街127巷11號4樓","核准設立"
"12797827","亞世欣實業股份有限公司","新北市樹林區柑園街2段122巷5號5樓","核准設立"
"12866437","綠恩生醫科技股份有限公司","臺北市中正區八德路1段50號","核准設立"
"12953312","宇笛生物科技股份有限公司","臺北市中正區羅斯福路2段11號4樓","核准設立"
"12979122","微晶電通有限公司","臺北市大安區信義路3段150號6樓之1","核准設立"
"12990739","花王興實業有限公司","花蓮縣吉安鄉慶豐村慶北二街514巷2弄2號1樓","核准設立"
"13039909","樞紐科技顧問股份有限公司","新竹市東區綠水里食品路25巷26號","核准設立"
"13045085","新城國際實業股份有限公司","新北市汐止區福德二路19巷6號","核准設立"
"13048338","愛康興生物科技有限公司","苗栗縣頭份鎮成功里18鄰忠孝二路119號5樓之1","核准設立"
"13117849","新台灣聯合科技有限公司","新北市蘆洲區民族路292號2樓","核准設立"
"13119419","麒銘國際股份有限公司","桃園市桃園區中寧里大興西路二段104-1號","解散"
"13125926","中道康有限公司","臺北市中正區忠孝西路1段72號9樓之11","核准設立"
"15011407","大申貿易有限公司","臺北市萬華區康定路242號","核准設立"
"15810422","瀧增有限公司","臺北市大安區安和路2段20巷6號1樓","核准設立"
"16068413","寬庚有限公司","臺中市北區中正里原子街一之一號一樓","核准設立"
"16183912","滿奇股份有限公司","彰化縣永靖鄉瑚璉村中山路二段310號","核准設立"
"16267551","雲陽科技有限公司","新北市中和區華新街232巷37號3樓","核准設立"
"16448250","台灣泰華施股份有限公司","臺北市松山區富錦街421號2樓","核准設立"
"16507454","崴達國際股份有限公司","高雄市前鎮區復興四路12號6樓之20","核准設立"
"16587793","聯安健康事業股份有限公司","臺北市松山區南京東路4段16號地下1層","核准設立"
"16759583","漢吉生技股份有限公司","桃園市龜山區頂湖路9之5號2樓","核准設立"
"16894172","友和貿易股份有限公司","新北市林口區文化一路1段93號3樓之2","核准設立"
"16903617","全寶國際有限公司","新北市三重區重新路5段615號1樓","核准設立"
"16993455","昇揚食品有限公司","新北市三重區福祉里重新路4段244巷32號1樓","核准設立"
"16993650","弘綠有限公司","臺中市北屯區平安里崇德路二段128號6樓之2","核准設立"
"20651901","黑松股份有限公司","臺北市大安區信義路4段296號3樓","核准設立"
"21229543","海州企業股份有限公司","臺北市內湖區瑞光路258巷50號6樓","核准設立"
"22369438","森由企業股份有限公司","雲林縣虎尾鎮平和里光明路56號","核准設立"
"22425683","日正食品工業股份有限公司","臺北市文山區萬芳路21號1樓","核准設立"
"22519963","富藏貿易有限公司","桃園市楊梅區秀才里新江路227巷8號","核准設立"
"22706760","星潤實業有限公司","新北市五股區成泰路2段49巷7號6樓","核准設立"
"22849227","英立興業股份有限公司","高雄市楠梓區旗楠路885之21號4樓","核准設立"
"23029129","晶禾國際有限公司","新北市永和區保生路22巷14號","核准設立"
"23048998","寬能企業有限公司","臺北市北投區承德路7段352號6樓","核准設立"
"23355263","康王有限公司","高雄市前鎮區育樂路39號","核准設立"
