"統一編號","公司名稱","公司地址","登記狀態"
"01128954","華新貿易有限公司","桃園市中壢區裕民街26-1號6樓","核准設立"
"04630374","名華企業有限公司","新北市永和區中正路412巷20弄19號1樓","核准設立"
"04807040","元皇興業有限公司","臺北市南港區興華路76巷1號1樓","解散"
"04822990","弘專有限公司","臺北市大安區新生南路3段2號10樓","核准設立"
"05016500","上合貿易股份有限公司","臺北市中正區愛國西路9號2樓之8","核准設立"
"05027915","景華生技股份有限公司","新北市新店區寶強路6之3號4樓","核准設立"
"05051822","立和創新有限公司","臺北市中山區長安東路1段16號8樓之3","核准設立"
"06182604","懋偉實業有限公司","嘉義縣太保市嘉太工業區光復路4號","核准設立"
"06499265","豐生製藥生物科技股份有限公司","臺南市官田區二鎮里成功街６０號１樓","核准設立"
"09410069","協和養生股份有限公司","臺北市大安區和平東路1段216號12樓之2","核准設立"
"11087101","方大股份有限公司","臺北市中山區中山北路2段21號7樓","核准設立"
"12172317","世農佑綠有限公司","臺北市松山區復興北路181號3樓之1","核准設立"
"12207667","維舟集通路有限公司","臺北市松山區光復北路26巷3號4樓","核准設立"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓","核准設立"
"12650921","物件動力有限公司","臺北市大安區羅斯福路3段29號11樓之1","核准設立"
"12694913","迎馨女性健康管理有限公司","臺北市北投區東華街2段182-2號1樓","核准設立"
"12734078","國賓環保科技有限公司","新北市新店區北宜路1段158號6樓之1","核准設立"
"12738638","大翊柏科技股份有限公司","臺中市南屯區大墩一街241之3號3樓","核准設立"
"12754263","嵐頂實業有限公司","臺北市中山區林森北路85巷86號5樓","核准設立"
"12756522","寶萊詩三才靈芝科技股份有限公司","新北市石碇區中民里十八重溪52-1號","核准設立"
"12776301","愛爾思健康生技股份有限公司","桃園市龍潭區龍祥里工一路210-1號1樓","核准設立"
"12777815","甘全生物科技有限公司","臺中市北區淡溝里育德路178號1樓","核准設立"
"12800631","優生生物科技股份有限公司","中部科學工業園區臺中市西屯區科園路26號","核准設立"
"12802201","葳妮絲國際有限公司","臺中市西區精誠二十三街43號1樓","核准設立"
"12807260","冠廚食品股份有限公司","臺中市西屯區港尾里中清路152-30號1樓","核准設立"
"12816937","日月明生化科技有限公司","屏東縣屏東市公勇路123號1樓","核准設立"
"12827857","興鵬國際興業有限公司","桃園市八德區廣興里新興路342巷54弄29號","解散"
"12829433","立岡國際股份有限公司","臺南市安定區海寮里海寮132-38號2樓","解散"
"12847376","黃英文化事業有限公司","臺南市歸仁區許厝里17鄰忠孝北路21號5樓","核准設立"
"12857747","廣知工程科技股份有限公司","臺北市大安區忠孝東路3段52號2樓","核准設立"
"12908513","松下開發實業有限公司","新北市樹林區柑園街1段343號1樓","核准設立"
"12956129","子辰國際開發股份有限公司","臺北市大安區羅斯福路3段245號7樓之1","核准設立"
"12964795","金銓國際股份有限公司","臺北市中山區吉林路433巷18號1樓","核准設立"
"12967619","裕之盛有限公司","臺北市大同區民生西路365號1樓","核准設立"
"12972985","格子珠寶有限公司","新竹縣竹北市竹義里博愛街431號1樓","核准設立"
"12973197","鐙毅國際事業有限公司","彰化縣田中鎮西路里自強街25號1樓","核准設立"
"12973324","創盛科技股份有限公司","新北市中和區連城路268號13樓之8","核准設立"
"12985145","冠東國際實業有限公司","高雄市三民區九如1路502號13樓之2","核准設立"
"12992808","龍之友餐飲機器有限公司","新北市汐止區福德二路329號","核准設立"
"13023863","景騰生物科技開發有限公司","彰化縣北斗鎮中寮里斗苑路2段780號","解散"
"13035122","宏昌國際有限公司","臺中市北區永興街１１８號１樓","解散"
"13081259","明家科技產業股份有限公司","臺北市大安區信義路4段250之1號","核准設立"
"13086141","政彥實業股份有限公司","臺北市士林區中山北路7段223號5樓","核准設立"
"13104268","富維蓄股份有限公司","臺北市大同區市民大道1段209號11樓之1","核准設立"
"13112056","弘雅國際有限公司","臺北市中正區新生南路1段56號3樓之1","核准設立"
"13117524","標達生醫事業股份有限公司","新北市汐止區大同路3段222號7樓","核准設立"
"13118571","環宇靜電工程有限公司","臺北市北投區公館路87號5樓","核准設立"
"13123271","錦福健康管理顧問股份有限公司","臺北市中山區龍江路152號地下1層之1","核准設立"
"13129964","百瑞生化科技有限公司","臺北市北投區北投路1段5號","核准設立"
"13140124","鎧瑞國際有限公司","臺北市中山區長安東路2段230號5樓之6","核准設立"
"13166144","南客招來成有限公司","臺北市大安區復興南路2段336號","核准設立"
"13177825","健康美世界有限公司","高雄市三民區寶興路86號1樓","核准設立"
"13185830","品如國際開發事業有限公司","高雄市三民區建工路778號7樓","核准設立"
"13186845","佐佐沐有限公司","高雄市前鎮區瑞隆路253號","核准設立"
"13193368","吉新國際股份有限公司","高雄市三民區建興路351號","核准設立"
"15917374","合倫工業股份有限公司","新北市中和區建康路5號3樓","核准設立"
"16024464","廸雅實業有限公司","臺北市內湖區成功路5段45巷56號5樓","解散"
"16077073","翔緯有限公司","南投縣草屯鎮石川里碧興路2段446號1樓","核准設立"
"16082288","飛鳳興業股份有限公司","新竹縣芎林鄉新鳳村1鄰倒別牛23號1樓","核准設立"
"16145452","加登精密科技股份有限公司","臺中市西屯區臺灣大道四段925號16樓之1","核准設立"
"16160663","力屋國際股份有限公司","臺北市大安區忠孝東路4段177號3樓之3","解散"
"16168406","建鹽企業有限公司","新北市八里區博物館路199號","核准設立"
"16226692","卡力佳企業有限公司","臺中市北區五順街9號1樓","核准設立"
"02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號","核准設立"
"04252013","立滋實業股份有限公司","臺北市中正區北平東路20號3樓","核准設立"
"04263969","明園企業有限公司","臺北市中正區中華路2段75巷1弄7號","解散"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2","核准設立"
"04850123","中祥食品工業股份有限公司","臺北市文山區木新路2段275號1樓","核准設立"
"05007903","金車股份有限公司","臺北市中正區羅斯福路3段230號","核准設立"
"06081486","方冠生物科技股份有限公司","南投縣名間鄉濁水村員集路1-13號","核准設立"
"07723733","立台貿易有限公司","臺北市松山區復興北路369號6樓之2","核准設立"
"09499839","歐立食品股份有限公司","臺北市萬華區桂林路26號8樓之2","核准設立"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1","核准設立"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2","核准設立"
"12604378","高佃實業有限公司","嘉義縣民雄鄉金興村惠安街77巷4號","核准設立"
"12629131","瑞春醬油有限公司","雲林縣西螺鎮中興里延平路438號","核准設立"
"12653624","優為科技股份有限公司","臺北市大安區大安路1段116巷15號","解散"
"12666120","第一超市股份有限公司","臺北市松山區南京東路4段1號","核准設立"
"12673972","爾薇國際股份有限公司","臺北市中正區衡陽路51號9樓之1","核准設立"
"12690629","宏億世界開發股份有限公司","臺中市中區公園里民族路64號5樓之2","核准設立"
"12708992","川井生物科技股份有限公司","臺中市北屯區平和里安順東二街七號一樓","解散"
"12727371","捷健國際股份有限公司","桃園市蘆竹區錦興里中正路311號12樓之5","核准設立"
"12728224","葡萄田生技有限公司","桃園市桃園區民光東路87號5樓之1","核准設立"
"12731240","九果文創有限公司","臺中市西屯區臺灣大道四段767號6樓之2","核准設立"
"12769569","贏德國際股份有限公司","臺中市北屯區和祥五街121號","核准設立"
"12772109","笙雅生活科技股份有限公司","臺北市中山區民權東路3段25號2樓","核准設立"
"12777239","益利安企業有限公司","新北市中和區秀峰街127巷11號4樓","核准設立"
"12798945","百歐生物科技股份有限公司","桃園市龜山區萬壽路1段163-1號18樓之1","核准設立"
"12823655","皇朝工程顧問股份有限公司","新北市樹林區俊英街207號12樓之2","核准設立"
"12850250","天外天農業生技股份有限公司","桃園市楊梅區大平里中山南路502巷2號","核准設立"
"12855966","欣欣生物科技股份有限公司","臺北市松山區復興南路1段57號7樓之5","核准設立"
"12864402","台明國際科技股份有限公司","臺北市大安區杭州南路2段67之6號2樓","核准設立"
"12871987","漢馨科技有限公司","新北市中和區板南路665號13樓","核准設立"
"12875745","台灣生命科學技術開發有限公司","臺北市中正區忠孝東路1段85號10樓之3","核准設立"
"12926630","裕鑫國際行銷有限公司","臺北市信義區中坡南路２２巷１號１樓","解散"
"12952171","闊喜窩餐飲股份有限公司","臺北市大安區敦化南路1段151號","核准設立"
"12953170","鑫翰林企管顧問有限公司","桃園市桃園區會稽里大興路318巷5號1樓","廢止"
"12953312","宇笛生物科技股份有限公司","臺北市中正區羅斯福路2段11號4樓","核准設立"
"12954810","逢興生物科技股份有限公司","新北市中和區立德街148巷26號4樓","核准設立"
"12966007","臺灣多企業有限公司","臺北市大安區忠孝東路4段162號10樓之2","核准設立"
"13013443","美食映象整合行銷顧問股份有限公司","新北市新莊區五權一路90號","核准設立"
"13016504","傑恩聚開發股份有限公司","臺中市大甲區中山路一段1253號","核准設立"
"13039909","樞紐科技顧問股份有限公司","新竹市東區綠水里食品路25巷26號","核准設立"
"13070719","曜星企管顧問有限公司","臺中市潭子區頭家里得福街132號1樓","核准設立"
"13088078","舜智文化創意事業有限公司","臺北市大安區羅斯福路3段277號7樓之1","核准設立"
"13090031","昕穎生醫技術股份有限公司","新北市中和區立德街121號8樓","核准設立"
"13092235","瀚元網路事業股份有限公司","新北市板橋區中山路2段101號3樓","解散"
"13108124","阿爾發全球生技基因有限公司","基隆市基金一路135巷21弄26號","核准設立"
"13116573","元來水產股份有限公司","新北市新莊區中興街61之1號","廢止"
"13119419","麒銘國際股份有限公司","桃園市桃園區中寧里大興西路二段104-1號","解散"
"13130370","德礎生物科技股份有限公司","臺北市士林區中山北路5段455號2樓","核准設立"
"13133518","聞甜芒果有限公司","臺北市文山區興隆路4段105巷29號地下之12","核准設立"
"13138008","正暘生化科技股份有限公司","臺北市中正區漢口街１段１１０號９樓之３","撤銷"
"13149912","正大機電工程有限公司","高雄市三民區有光路163號1樓","核准設立"
"13195035","仕奇生技股份有限公司","新北市樹林區大安路528號6樓","核准設立"
"14020267","富康國際生技股份有限公司","新北市瑞芳區瑞芳工業區頂坪路115號","核准設立"
"15810422","瀧增有限公司","臺北市大安區安和路2段20巷6號1樓","核准設立"
"16009597","財同實業有限公司","桃園市八德區茄苳里中華路275巷17號1之2樓","廢止"
"16010855","好媽媽盒餐有限公司","臺中市西屯區大河里長安路一段152號","核准設立"
"16055450","臺釱生技有限公司","屏東縣屏東市擇仁里延平一路51號1樓","核准設立"
"16134820","蕃茄主義企業有限公司","新北市新店區中央五街55號","核准設立"
"16166907","仕特餐飲開發有限公司","臺北市北投區文林北路60巷3弄11號5樓","核准設立"
"16233791","沐信環境工程有限公司","臺南市永康區鹽行里中正南路640之3號","核准設立"
"16271458","瑞辰翔企業有限公司","臺中市大里區益民路一段一四一號","解散"
"16323723","嘉慶豐企業有限公司","臺北市大安區忠孝東路4段248巷29號10樓之1","核准設立"
"16239090","文誠有限公司","桃園市八德區大成里廣福路111號","解散"
"16288900","拓宏國際企業股份有限公司","臺北市大安區復興南路1段90號2樓之3","廢止"
"16295212","台灣活曼特有限公司","臺北市北投區文林北路94巷15號1樓","核准設立"
"16301376","中華海洋生技股份有限公司","新北市汐止區新台五路1段81號12樓之3","核准設立"
"16303640","旭嶺有限公司","臺北市中山區松江路2號6樓之3","解散"
"16303682","帛仕通有限公司","臺北市大安區復興南路2段316號1樓","核准設立"
"16316693","卡塔摩納貿易有限公司","臺中市西屯區惠來里市政路386號12樓之3","核准設立"
"16326910","煜坪企業有限公司","新北市淡水區淡金路38巷94號10樓","核准設立"
"16327988","豪軒國際開發有限公司","臺北市中山區新生北路3段68巷37號","核准設立"
"16343853","百秦有限公司","新北市蘆洲區永平街32巷63號1樓","核准設立"
"16407814","凱氏國際有限公司","桃園市中壢區民族路六段576巷39弄28號","核准設立"
"16409904","柚子花花股份有限公司","桃園市桃園區莊敬里中正路1268巷1號1樓","核准設立"
"16429839","綠蜻蜓企劃顧問有限公司","宜蘭縣員山鄉同樂村蘭城路38之30號","核准設立"
"16434853","宜華國際股份有限公司","臺北市中山區樂群二路199號","核准設立"
"16513006","國棟國際股份有限公司","彰化縣福興鄉橋頭村9鄰東興路3號","核准設立"
"16560099","旺慶生物科技有限公司","臺北市萬華區東園街28巷50號2樓之3","核准設立"
"16579793","合巧香料有限公司","苗栗縣竹南鎮佳興里2鄰公義路178巷1號","核准設立"
"16588863","雲軟有限公司","臺北市中山區民生西路16號9樓之3","核准設立"
"16616024","勤合協股份有限公司","桃園市新屋區埔頂里中華南路2段161號1樓","核准設立"
"16678864","華森健康國際有限公司","新北市樹林區俊英街81巷61之2號(1樓)","核准設立"
"16680313","野菜村生技股份有限公司","高雄市苓雅區同慶路136號1、2樓","核准設立"
"16701555","十饌餐飲股份有限公司","臺中市南區南門路51、53號1、2樓","核准設立"
"16708591","祐邦興業有限公司","桃園市中壢區新明里中央西路2段164巷6號","核准設立"
"16725655","易舒寶實業有限公司","臺中市西區華美西街一段59號2樓","廢止"
"16737913","威雄營造有限公司","嘉義縣中埔鄉同仁村同仁10鄰141-1號","核准設立"
"16878461","愛恩科技股份有限公司","屏東縣東港鎮新勝里新勝街138號","核准設立"
"16964275","統笙國際實業有限公司","新北市中和區中山路二段三五九巷五號三樓","解散"
"16982772","齊瓦哥國際事業有限公司","臺北市中正區南陽街10號1樓","解散"
"16985856","億駿興業股份有限公司","臺中市南區美村路二段181號4樓之1","廢止"
"20991177","慧名有限公司","臺北市松山區南京東路5段162號6樓之1","核准設立"
"22002565","西華大飯店股份有限公司","臺北市松山區民生東路3段111號","核准設立"
"22026665","欣群實業股份有限公司","臺南市官田區二鎮里成功街48號","核准設立"
