"統一編號","公司名稱","公司地址","登記狀態"
"02925838","德一食品工業股份有限公司","苗栗縣竹南鎮崎頂里仁愛路1445號","核准設立"
"03538906","臺隆工業股份有限公司","臺北市中山區松江路261號12樓","核准設立"
"04313172","光泉牧場股份有限公司","臺北市內湖區瑞光路502號4樓","核准設立"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓","核准設立"
"05834987","頂裕食品股份有限公司","臺中市南屯區文山里工業區23路24號","核准設立"
"06499265","豐生製藥生物科技股份有限公司","臺南市官田區二鎮里成功街６０號１樓","核准設立"
"07067309","味王股份有限公司","臺北市中山區聚盛里中山北路2段79號5樓","核准設立"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號","核准設立"
"12302156","天騰工業股份有限公司","新竹市北區演藝路27號3樓","核准設立"
"12624635","金平陽實業有限公司","彰化縣溪湖鎮太平里太平街新市巷28號","核准設立"
"12644196","金達國際食品有限公司","桃園市中壢區中豐路五七號二樓","核准設立"
"12648735","天龍食品有限公司","臺南市仁德區三甲里三甲子８０號","核准設立"
"12650865","宏勃科技股份有限公司","臺北市內湖區瑞光路３５８巷３６號","解散"
"12660483","真好家食品股份有限公司","臺北市大安區復興南路2段355號2樓","核准設立"
"12683198","台灣比菲多醱酵股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1","核准設立"
"12754290","龍寶開發有限公司","彰化縣北斗鎮東光里東斗路二八號","廢止"
"12807705","上鼎食品有限公司","臺中市清水區南社里忠孝西路一０九號","解散"
"12826132","地天泰國際實業有限公司","屏東縣屏東市橋南里工業二路3號1樓","核准設立"
"12881129","天莨奈米製藥股份有限公司","新北市樹林區東興街23號2樓","廢止"
"12908577","千口美企業有限公司","臺南市永康區龍潭里中山北路264巷11弄12號","核准設立"
"12959239","松珍生物科技股份有限公司","桃園市龜山區文化里復興三路452號及452號3樓","核准設立"
"13076066","急食鮮調理食品有限公司","臺中市太平區鵬儀路296巷6弄45號","核准設立"
"13086141","政彥實業股份有限公司","臺北市士林區中山北路7段223號5樓","核准設立"
"13107244","台灣國宴開發實業有限公司","新北市林口區林口里中山路37號2樓","廢止"
"15319335","新東陽股份有限公司","臺北市大安區忠孝東路4段289號8樓","核准設立"
"15969273","美元蜜餞食品有限公司","宜蘭縣宜蘭市梅洲里梅洲一路18-1號","核准設立"
"16177094","虎牌食品有限公司","臺北市文山區興隆路4段195巷11號1樓","核准設立"
"16351614","逸馨實業有限公司","新北市三重區新生街65號1樓","廢止"
"16373413","綠益康生物科技實業股份有限公司","雲林縣元長鄉下寮村經建街29-1號","核准設立"
"16387161","紅柿子食品有限公司","桃園市中壢區永光里民權路3段334巷46號3樓","核准設立"
"16407618","盛偉食品股份有限公司","彰化縣北斗鎮七星里十四鄰神農路一之八號","撤銷"
"16409545","尼愛食品有限公司","臺中市霧峰區北柳里國中路二二○號一樓","撤銷"
"16412844","晉宏食品工業股份有限公司","高雄市鳳山區林森路二三九號","解散"
"16481377","旺昌食品有限公司","新北市三重區新北大道2段139巷26號(1樓)","核准設立"
"16529892","義香食品有限公司","桃園市中壢區中山東路二段五二六巷五號、七號","撤銷"
"16560674","誠益製麵有限公司","桃園市八德區永豐路418號","核准設立"
"16614449","煜橋有限公司","臺北市中正區懷寧街64號7樓","核准設立"
"16680860","王府軒食品股份有限公司","臺中市沙鹿區洛泉里光華路212號1樓","核准設立"
"16711672","米洲食品廠有限公司","臺南市麻豆區大埕里中正路251號3樓","核准設立"
"16734697","全福興食品企業有限公司","臺南市七股區義合里義合82之2號","核准設立"
"16769479","大悅國際股份有限公司","臺北市中山區復興北路66號4樓","核准設立"
"16787075","楷群企業有限公司","臺北市萬華區西昌街142號8樓之5","核准設立"
"16791845","統一武藏野股份有限公司","新北市土城區中興路16號","核准設立"
"16873774","新欣發食品有限公司","高雄市美濃區吉洋里精忠新村7號","核准設立"
"16878461","愛恩科技股份有限公司","屏東縣東港鎮新勝里新勝街138號","核准設立"
"16888278","良盛食品有限公司","高雄市燕巢區安招里安林二街三八號","解散"
"16982772","齊瓦哥國際事業有限公司","臺北市中正區南陽街10號1樓","解散"
"22102473","佳格食品股份有限公司","臺北市大安區仁愛路3段136號5樓","核准設立"
"22257736","聚耀低溫食品廠股份有限公司","高雄市前金區中華三路77之1號10樓之2","核准設立"
"22265497","皇家可口股份有限公司","臺北市中正區懷寧街64號7樓","核准設立"
"22736075","虎牌正通實業股份有限公司","宜蘭縣五結鄉利興三路5號","核准設立"
"23115546","蔡合旺事業股份有限公司","臺北市大同區西寧北路72號4樓","核准設立"
"23374058","忠益食品工業股份有限公司","臺中市大雅區上楓里民富街106號","核准設立"
"23409330","得荔企業有限公司","新竹市東區復中里經國路一段379巷10弄21號","核准設立"
"23539782","西螺大同醬油股份有限公司","新北市板橋區中山路2段416巷32弄5號","核准設立"
"23553475","永大昌食品股份有限公司","高雄市岡山區後協里介壽西路2號","核准設立"
"23719882","頂立貿易興業有限公司","桃園市龜山區優美街50號1樓","廢止"
"23896562","景溙實業有限公司","新北市中和區中山路2段359巷5號4樓","核准設立"
"24172045","新建美興業股份有限公司","彰化縣芳苑鄉仁愛村斗苑路芳苑段157號","核准設立"
"24209465","禾康生技製藥股份有限公司","屏東縣屏東市大連里興豐路161號7樓之3","核准設立"
"24216260","臺陽生技有限公司","彰化縣線西鄉頂犁村和線路879號","核准設立"
"24223092","調味大師展業有限公司","新北市中和區立德街98巷60號","核准設立"
"24262405","沛騰食品有限公司","新北市汐止區福德一路392巷22弄3號1樓","核准設立"
"01180260","巨煥興業股份有限公司","臺北市中山區南京東路2段125號8樓之1","核准設立"
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號","核准設立"
"03341208","振芳股份有限公司","臺北市中正區新生南路1段116號3樓","核准設立"
"04275228","立民物產企業有限公司","桃園市龍潭區工五路191巷67弄71號","核准設立"
"04498591","孟伸企業有限公司","苗栗縣苗栗市南勢里國馨1號","核准設立"
"04827003","乾恩工廠有限公司","臺北市南港區南港路1段4之2號","核准設立"
"05174211","頂記食品股份有限公司","新北市五股區興珍里五工路144號1樓","核准設立"
"07548308","龍口食品企業股份有限公司","臺北市大安區敦化南路1段376號12樓之2","核准設立"
"09441366","光聯興業股份有限公司","桃園市楊梅區高榮里電研路190巷108號","核准設立"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓","核准設立"
"12160255","新竹化工實業股份有限公司","臺北市中山區松江路82號3樓","核准設立"
"12469465","洪國實業股份有限公司","宜蘭縣蘇澳鎮德興七路7號","核准設立"
"12618134","建榳養生事業有限公司","新北市鶯歌區建國路596巷68、70號","解散"
"12640446","金灃食品有限公司","臺北市中正區和平西路1段57-2號","核准設立"
"12677724","台灣比菲多食品股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1","核准設立"
"12749430","亞洲虎食品股份有限公司","嘉義縣太保市嘉太工業區和順路6號","核准設立"
"12783648","七品蓮有限公司","臺南市安南區新順里開安路2號","核准設立"
"12811588","鶴昌股份有限公司","臺南市佳里區建南里一二鄰新生路四四一巷二五號一樓","解散"
"12826338","萱展企業股份有限公司","新北市中和區建康路63號","核准設立"
"12834581","福嶺股份有限公司","新北市汐止區新台五路一段七七號一一樓之一","解散"
"12895989","泉威食品有限公司","臺南市西港區劉厝里14鄰劉厝114號1樓","核准設立"
"12897375","三泰開發股份有限公司","彰化縣北斗鎮光復里光復路四六六巷一號","廢止"
"13019875","金御園食品有限公司","高雄市大寮區林厝路32之2號1樓","核准設立"
"13054387","天瑞食品有限公司","新竹市香山區香山里一三鄰香北路二四七號一樓","廢止"
"13059708","東廠興業有限公司","高雄市大寮區會社里鳳林三路一之二五號","廢止"
"13064913","輔大聯有限公司","新北市新莊區建國一路六三號","廢止"
"13065498","仲麟實業有限公司","高雄市鳳山區杭州西街164號3樓","核准設立"
"13072630","紅蘋果食品有限公司","桃園市大溪區和平路24號","核准設立"
"13104540","全球綠色食品股份有限公司","臺北市大安區敦化南路2段97號17樓","核准設立"
"13132644","博研生技有限公司","新北市泰山區明志路1段122巷59號","核准設立"
"13187561","宏偉冷凍食品股份有限公司","屏東縣高樹鄉新南村大和路1-15號","核准設立"
"16173288","上統食品股份有限公司","臺北市大安區忠孝東路4段222號3樓","核准設立"
"16216505","山水米實業股份有限公司","苗栗縣苑裡鎮玉田里玉田91之2號","核准設立"
"16327951","加大能健康有限公司","臺北市中山區敬業一路128巷39號1樓","核准設立"
"16370295","錢龍股份有限公司","新北市汐止區南陽街九一巷三六號二樓","解散"
"16379401","天恩開發國際企業股份有限公司","嘉義縣中埔鄉和興村平實街29巷35號","核准設立"
"16391910","麵象學科技食品股份有限公司","臺中市太平區鵬儀路296巷6弄45號","核准設立"
"16419918","金大禾實業股份有限公司","高雄市大樹區大樹里長春路三一巷三三號","廢止"
"16522011","和瀚興業股份有限公司","彰化縣社頭鄉崙雅村民生路４１９巷２２號","解散"
"16523882","金鶴國際食品有限公司","桃園市中壢區民權路3段334巷46號4樓","核准設立"
"16649067","吉登食品企業有限公司","高雄市燕巢區安招路439巷5號","核准設立"
"16720244","福晟有限公司","屏東縣恆春鎮中正路85號","核准設立"
"16723397","源富食品有限公司","屏東縣潮州鎮蓬萊里江山路５３號","廢止"
"16727746","億來香食品工業有限公司","臺南市關廟區龜洞里8鄰官崙街68號","核准設立"
"16737765","震菖實業有限公司","高雄市楠梓區藍昌路463號1樓","核准設立"
"16783887","詮甲股份有限公司","臺北市中山區復興北路48號5樓","核准設立"
"16875400","新永隆實業有限公司","新北市中和區立德街九八巷八八號（一樓）","解散"
"16889776","大莉企業有限公司","臺南市南區文華里美南街一○九之二號","解散"
"16889972","百慶食品企業股份有限公司","彰化縣大村鄉村上村中山路二段六號","撤銷"
"16918169","富預實業有限公司","新北市新莊區化成路364巷3號","解散"
"16920593","旺寶食品有限公司","臺南市永康區崑山里大灣路1102巷17弄140號","核准設立"
"16973394","向德食品有限公司","桃園市楊梅區大同里裕成南路三五六號一一樓","解散"
"16975365","佳味新實業有限公司","新北市鶯歌區文化路１４１號","廢止"
"20976106","偉豐製麵廠股份有限公司","新北市三峽區橫溪路99巷16弄3號","廢止"
"22165244","永詮食品股份有限公司","臺北市信義區基隆路1段186號6樓之6","核准設立"
"22360437","碁富食品股份有限公司","桃園市觀音區樹林里經建四路21號","核准設立"
"22660856","長興育樂股份有限公司","桃園市大溪區康莊路96號","核准設立"
"22662904","昶洧股份有限公司","臺北市信義區基隆路2段149號11樓","核准設立"
"22700858","翔美食品興業股份有限公司","高雄市苓雅區中正一路315號10樓之2","核准設立"
"22977643","先麥食品股份有限公司","臺中市西屯區上安里臺灣大道三段570號1樓","核准設立"
"23061936","方奕企業有限公司","新北市中和區立德街98巷72號1樓","核准設立"
"23071527","賀業有限公司","新北市新莊區福營路227巷33號","核准設立"
"23140643","華福食品股份有限公司","新北市林口區宏昌街8巷1號","核准設立"
"23221455","唯陽股份有限公司","臺北市信義區基隆路1段186號6樓之7","核准設立"
"00403405","福元化學製藥股份有限公司","新北市瑞芳區大寮路95之1號","核准設立"
"03601013","聯夏企業股份有限公司","臺北市中正區仁愛路1段22號5樓","核准設立"
"04351626","光泉食品股份有限公司","臺北市內湖區瑞光路502號4樓","核准設立"
"04380066","盛益貿易有限公司","新北市汐止區新台五路1段75號7樓之7","核准設立"
"04583689","佑晨機械股份有限公司","新北市樹林區鎮前街269巷20號","解散"
"04891089","建和製麵工廠有限公司","臺北市文山區指南路1段55之1號","核准設立"
"05072544","聯企食品股份有限公司","臺北市中正區仁愛路1段22號5樓","核准設立"
"07046620","中日國際企業股份有限公司","臺北市中山區力行里12鄰復興北路48號7樓","核准設立"
"12339702","大漢酵素生物科技股份有限公司","新北市板橋區四川路2段16巷10號10樓","核准設立"
"12509662","信意企業股份有限公司","臺北市松山區復興北路57號7樓之2","核准設立"
"12616065","同勝源實業股份有限公司","新北市新莊區思源路38號3樓","廢止"
"12622382","傳益貿易有限公司","嘉義縣中埔鄉隆興村十字路三九號","解散"
"12640142","金正利食品廠有限公司","基隆市安樂區武訓街四二號　　","核准設立"
"12706642","潮樹有限公司","新竹縣新豐鄉松林村康樂路一段299號1樓","廢止"
"12713067","巧品食品股份有限公司","新北市中和區莒光路二二二之五號一樓","解散"
"12732780","金福華食品貿易有限公司","臺中市東區東光園路66號1樓","核准設立"
"12734696","尚吉康興業有限公司","基隆市七堵區長興里東新街91號1樓　","核准設立"
"12754221","藍潔國際開發有限公司","彰化縣溪州鄉舊眉村中山路四段228號2樓","核准設立"
"12754242","元吉利有限公司","花蓮縣吉安鄉東昌村東里十一街6號1樓","核准設立"
"12758704","綠元寶有限公司","彰化縣溪州鄉舊眉村中山路４段２２８號１樓","解散"
"12772163","鮑記食品有限公司","桃園市八德區永豐路二七六巷一一號","核准設立"
"12784816","詠宏食品有限公司","臺中市北區健行里華興街９０號１樓","解散"
"12804480","九烽股份有限公司","雲林縣虎尾鎮中山里仁愛路38號","核准設立"
"12812876","唐圓實業有限公司","桃園市平鎮區新安里星友街三三巷一號","廢止"
"12815156","凰翔食品有限公司","新北市土城區亞洲路一一巷三弄一號","解散"
"12826914","華師父企業有限公司","臺中市南區樹義里樹義六巷三︱二號一樓","解散"
"12915654","丘彼特麵包有限公司","臺北市松山區八德路4段788號","核准設立"
"12930536","三朋食品有限公司","臺中市神岡區庄前里庄前路五一︱六號","廢止"
"12941914","弼聖科技股份有限公司","臺北市南港區重陽路198號3樓","核准設立"
"12972079","新知行國際股份有限公司","臺北市中正區忠孝東路２段８５號１樓","廢止"
"12993412","日辰股份有限公司","彰化縣北斗鎮大新里四海路一段九三號","廢止"
"13022479","麥可利食品有限公司","臺中市神岡區社口里社口街10巷10號","核准設立"
"13059025","天聖食品股份有限公司","桃園市平鎮區新光路六六巷三二號","解散"
"13067685","永耀電通有限公司","新北市新店區民權路42巷6弄23號","解散"
"13098792","珍香食品有限公司","臺北市南港區忠孝東路6段185巷2弄3號","核准設立"
"13149645","鴻德食品工業股份有限公司","高雄市鼓山區文忠路46號6樓","解散"
"13193965","冠均食品有限公司","高雄市岡山區嘉華路135號1樓","核准設立"
"16038994","庚成企業有限公司","高雄市鳳山區中和里信義街二八五號一樓","廢止"
