"統一編號","公司名稱","公司地址"
"00694868","千樺有限公司","臺北市松山區光復南路32巷10號"
"01175409","聖力室內裝修股份有限公司","臺北市中山區松江路42號4樓之3"
"01410919","小雅室內裝修有限公司","臺北市中山區長春路65號12樓"
"01520090","坤義室內裝修設計有限公司","臺北市信義區松隆路159巷39號1樓"
"01520248","宜紀行銷有限公司","臺北市松山區南京東路5段54號2樓之1"
"01993371","順綠室內裝修有限公司","新北市三重區後竹圍街一七五巷二二號一樓"
"02626830","茗廬企業有限公司","桃園市桃園區成功路二段33之1號"
"03020108","申茂企業股份有限公司","臺北市松山區民族東路672號1樓"
"03058504","今日美術建築股份有限公司","臺北市大安區仁愛路４段２９號３樓"
"03193403","宏川企業有限公司","臺北市大安區忠孝東路4段112號11樓"
"03394318","偉因美術裝潢工程有限公司","臺北市中正區汀州路1段87號1樓"
"03550014","台灣富士全錄股份有限公司","臺北市松山區敦化北路88號7樓"
"04240501","誠建室內裝修股份有限公司","臺北市中山區建國北路2段135、137號地下1樓"
"04256025","豪洲建設股份有限公司","臺北市中正區杭州南路１段７１巷１０號"
"04388829","大仁室內裝修股份有限公司","臺北市信義區松仁路89號8樓之4"
"04393132","雅威室內設計裝修有限公司","臺北市大安區和平東路2段203號11樓之2"
"04397003","一等美術裝潢工程有限公司","臺北市中山區吉林路404號1樓"
"04532578","天原室內裝修企業有限公司","高雄市小港區明聖街245巷2之1號2樓"
"04561165","西法室內裝修企業有限公司","臺北市大安區仁愛路3段123巷7號1樓"
"04580156","龍美設計科技有限公司","新北市汐止區龍安路三十六號二樓之三"
"04623937","再傑室內裝修工程設計有限公司","臺北市中正區新生南路1段108之1號2樓"
"04677145","巨吉室內裝修工程有限公司","臺北市信義區永吉路201號地下1層"
"04682908","聯忠室內裝修工程有限公司","臺北市信義區吳興街170巷2弄4號4樓"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
"04750004","儀昌家具裝潢有限公司","臺北市松山區八德路3段200號7樓之1"
"04871083","頂協企業有限公司","新北市新店區北宜路二段一二五之二號一樓"
"04884067","美住室內裝修設計有限公司","臺北市文山區指南路3段33巷54號"
"04935143","興國室內設計工程有限公司","臺北市大安區忠孝東路3段201號3樓"
"04970464","住佳室內裝修設計工程有限公司","臺北市大安區信義路4段187號8樓"
"04973271","衡美室內裝修企業股份有限公司","臺北市松山區復興北路99號4樓之6"
"05011596","恆藝室內裝修有限公司","新北市五股區成泰路三段三三七號之三"
"05025711","民芳設計室內裝修工程有限公司","臺北市中正區和平西路1段80號3樓"
"05054285","新派室內裝修工程有限公司","臺北市士林區大南路343號2樓"
"05106798","歐孚家具股份有限公司","臺北市大安區潮州街104號"
"05133155","樺辰室內裝修股份有限公司","新北市汐止區新台五路１段１８３號１５樓"
"05133660","山隱建築室內裝修設計有限公司","臺北市松山區富錦街77巷2弄2號"
"05136527","東龍室內裝修工程有限公司","臺北市士林區大南路343號2樓"
"05150484","新慶元電機工程有限公司","臺北市中正區汀州路１段３４６號"
"05157536","蘭滋達企業有限公司","臺北市信義區忠孝東路5段1-10號11樓"
"05198760","樺夏室內裝修有限公司","新北市土城區永豐路98巷22號"
"05423957","東耘室內裝修工程有限公司","臺北市內湖區成功路4段323巷13號2樓"
"05628282","虹毅室內裝修興業有限公司","新北市永和區民族街43巷6號1樓"
"05631977","旗峯工程有限公司","新北市中和區莊敬路49巷23號1樓"
"05707309","國舜室內裝修設計有限公司","臺北市大安區杭州南路2段61巷28號"
"05717587","虹喬設計事業有限公司","臺北市中正區南昌路1段163號2樓"
"05833592","巧能設計企業有限公司","臺中市太平區中山路二段400號1樓"
"06666306","般若室內裝修設計股份有限公司","高雄市苓雅區民權一路34號4樓之3"
"07505103","福茂國際股份有限公司","臺北市中正區仁愛路2段7號5樓"
"07716108","翔鈺企業股份有限公司","臺北市大安區和平東路3段63號12樓之4"
"07736857","朱門室內設計工程有限公司","臺北市松山區敦化北路222巷6號3樓"
"09414987","金倫設計工程有限公司","臺北市大安區仁愛路4段85號14樓"
"09416198","超翔室內裝修設計工程有限公司","臺北市中正區臨沂街52之4號1樓"
"09434153","燿震企業有限公司","新北市中和區圓通路232巷8號(1樓)"
"09435435","造格室內裝修有限公司","臺北市大安區金山南路2段137號2樓"
"09437638","年代室內設計工程有限公司","臺北市大安區仁愛路4段230號4樓"
"09447925","尚亨裝潢工程股份有限公司","臺北市中山區八德路2段174巷11弄11號1樓"
"09454565","雍康室內裝修有限公司","臺北市大安區敦化南路1段289號2樓之5"
"09457269","鉅佳室內裝修有限公司","臺北市大安區信義路4段187號8樓"
"09458154","翰普國際室內裝修有限公司","新北市汐止區新台五路一段七七號十四樓之七"
"09459219","光慧設計室內裝修有限公司","臺北市北投區關渡路56號3樓"
"09460497","雨田室內裝修設計有限公司","臺北市松山區南京東路5段123巷1弄28號1樓"
"09462538","佳濃實業有限公司","臺北市中山區松江路194巷36號"
"09466598","杰群室內裝修設計工程有限公司","臺北市松山區延吉街48巷2號"
"09470565","萬大室內裝修設計工程股份有限公司","臺北市中正區館前路65號10樓"
"09485455","造境空間設計有限公司","臺北市中正區仁愛路2段48-6號地下之1"
"09490915","達力裝潢設計有限公司","臺北市中正區寧波西街69號6樓"
"09491506","偉騰企業有限公司","臺北市大安區安居街107巷4號3樓"
"09492913","林青室內裝修工程有限公司","臺北市信義區莊敬路289巷8弄30號3樓"
"09498640","御匠設計工程股份有限公司","臺北市大安區仁愛路3段123巷13弄8號1樓"
"11106607","太成美術建築有限公司","臺北市中正區仁愛路2段71號12樓之5"
"11384209","長春美術工程有限公司","臺北市大安區四維路52巷27之2號3樓"
"11428804","幸福室內裝修工程有限公司","臺北市中山區長春路129號4樓3室"
"11645870","及第開發股份有限公司","臺北市松山區南京東路5段47號4樓之2"
"12116028","祐明實業有限公司","臺北市大同區承德路3段230號12樓"
"12118573","崗古室內裝修股份有限公司","新北市汐止區長青路191巷29號"
"12134356","璋林室內裝修設計工程股份有限公司","臺北市內湖區成功路2段312巷39號1樓"
"12175659","匠門室內裝修有限公司","新北市五股區成泰路3段577巷27號"
"12181168","群英室內裝修股份有限公司","臺北市中山區建國北路1段90號9樓"
"12204275","亞翔工程股份有限公司","臺北市內湖區內湖路1段120巷17號5樓"
"12204726","上尚室內裝修有限公司","臺北市中山區新生北路2段108號14樓之14"
"12224011","天將廣告事業有限公司","臺北市中山區吉林路216號1樓"
"12247540","九藝企業有限公司","臺北市松山區南京東路4段197號5樓之1"
"12349075","瑞端室內裝修設計有限公司","臺北市信義區信義路4段401號7樓"
"12427521","尚儷室內裝修股份有限公司","臺北市信義區信安街149號2樓之1"
"12434467","美翔室內裝修有限公司","臺北市北投區大度路怡和巷4弄11號1樓"
"12439370","雍上企業有限公司","臺北市內湖區內湖路1段91巷17號10樓之2"
"12461554","楓雅室內裝修設計有限公司","臺北市中山區明水路379號1樓"
"12484276","翔協室內裝修股份有限公司","臺北市內湖區新湖三路191號2樓"
"12509749","世群室內裝修設計工程有限公司","臺北市大同區敦煌路臨49號"
"12527789","優適設計企業有限公司","臺北市松山區復興北路167號8樓之3"
"12535916","上富室內裝修工程有限公司","臺北市北投區懷德街78巷6號1樓"
"12538619","欣邑室內裝修工程股份有限公司","臺北市內湖區洲子街76號8樓"
"12541044","家王室內裝修股份有限公司","臺北市松山區民生東路5段36巷8弄9之3號"
"12603651","和松室內裝修有限公司","臺中市西屯區中清路一五四巷三十號一樓"
"12607039","上濱室內裝修工程有限公司","新北市中和區永和路185號"
"12607208","天合利室內裝修設計有限公司","臺南市安平區文平里健康路3段28-6號1樓"
"12607782","科昶室內裝修有限公司","新北市中和區中正路七三八號十一樓之三"
"12608305","圓太室內裝修有限公司","高雄市鳳山區中山西路10號4樓之2"
"12609108","御柏室內裝修有限公司","高雄市鳳山區新富路四九○號"
"12609156","宗立室內裝修股份有限公司","桃園市平鎮區高雙路八巷40號"
"12610365","上賢室內裝修有限公司","新北市蘆洲區長安街22巷3弄1號"
"12611271","佑大勝室內裝修有限公司","臺中市南屯區大墩十一街346巷10號1樓"
"12613721","樺穎室內裝修有限公司","新北市中和區枋寮里中山路2段131巷10弄10號"
"12613911","信利工程有限公司","新北市蘆洲區民族路二五七巷一七號一樓"
"12615586","金富瑞有限公司","彰化縣員林鎮振興里山腳路二段九七號一樓"
"12616494","郭宇倫室內裝修有限公司","桃園市桃園區復興路二九九號九樓之三"
"12617676","櫃之友室內裝修設計工程有限公司","新竹縣竹北市鹿場里自強五路279號4樓"
"12619083","雅創室內裝修設計有限公司","桃園市平鎮區龍恩里游泳路44巷12弄6號"
"12621052","允誠室內裝修設計有限公司","臺中市烏日區九德里中華路二九四巷一六弄一號一樓"
"12621969","櫻花室內裝修設計工程有限公司","臺中市南屯區河南路4段449號1樓"
"12632608","澄一室內裝修有限公司","臺中市西屯區政北一路七七號七樓之一"
"12639314","藍岸室內裝修工程有限公司","臺南市安平區億載里永華11街17巷25號6樓之4"
"12640895","濃樺室內裝修企業有限公司","臺南市歸仁區六甲里六甲路366號"
"12645483","潔淨室內裝修有限公司","新竹市龍山里光復路1段472號5樓之3"
"12646271","金順興室內裝修股份有限公司","雲林縣虎尾鎮芳草里8鄰埔尾12之2號"
"12646440","冠于室內裝修工程有限公司","高雄市三民區巿中一路443巷33號"
"12646498","佰室室內裝修有限公司","新北市中和區文元里員山路148巷36-1號"
"12647308","禾強室內裝修有限公司","新竹市寶山路４５２巷７弄３９號"
"12648587","雅楓坊室內裝修設計工程有限公司","新北市新店區達觀路6號地下1樓"
"12651029","璿禾室內裝修設計工程有限公司","臺北市內湖區堤頂大道1段327號3樓"
"12653238","大石亦方室內裝修有限公司","臺北市大安區仁愛路４段４號５樓"
"12655088","帝凡內室內裝修有限公司","臺北市大安區通化街200巷31號1樓"
"12658557","藍芽室內裝修有限公司","臺北市大同區重慶北路1段87之1號4樓"
"12659042","大譯室內裝修設計有限公司","臺北市松山區健康路１７０之１號"
"12664283","匯亞室內裝修有限公司","臺北市中正區汀州路２段２３３號１樓"
"12665570","力斌室內裝修實業有限公司","臺北市大同區寧夏路115號"
"12666769","王象室內裝修設計工程有限公司","臺北市士林區文林路765號6樓之3"
"12666819","里奧室內裝修設計工程股份有限公司","臺北市南港區向陽路162巷1號1樓"
"12668274","逸豐室內裝修設計有限公司","臺北市北投區西安街1段183號2樓"
"12670145","方圓室內裝修有限公司","臺北市大安區永康街１２之１號"
"12670709","沅禧室內裝修企業股份有限公司","高雄市苓雅區中正一路208號1樓"
"12671600","津成室內裝修工程有限公司","臺北市信義區永吉路200巷41弄12號"
"12673494","羽翎室內裝修設計有限公司","臺北市中山區南京東路３段２０１號３樓之１"
"12676289","敦麗室內裝修設計工程有限公司","臺北市大安區敦化南路2段32號11樓之1"
"12678527","三商美福室內裝修股份有限公司","臺北市中山區建國北路2段145號18樓"
"12683021","泛邑室內裝修設計有限公司","臺北市松山區敦化北路２２２巷３２號１樓"
"12686076","閎奕國際室內裝修股份有限公司","臺北市松山區復興北路181號5樓之4"
"12686364","上元室內裝修工程股份有限公司","新北市汐止區祥雲街廿六號二樓"
"12690851","台灣金明室內裝修設計國際有限公司","臺北市大安區忠孝東路4段178之1號12樓"
"12691964","辰翰室內裝修有限公司","新北市新莊區建興街41巷3之1號"
"12694250","滙豐室內裝修工程股份有限公司","臺北市中山區林森北路50號6樓之3"
"12696166","活石室內裝修設計有限公司","臺北市松山區富錦街356號5樓"
"12696588","日谷室內裝修設計有限公司","臺北市松山區延壽街385號1樓"
"12697329","冠衡室內裝修工程股份有限公司","臺北市信義區仁愛路4段440號2樓"
"12697545","悅華室內裝修設計工程有限公司","臺北市中正區忠孝東路1段152號9樓之3"
"12698381","際新室內裝修工程有限公司","新北市中和區中和路358號7樓之1"
"12699380","冠廷室內裝修工程有限公司","臺北市信義區基隆路1段149號7樓之1"
"12701512","佑合室內裝修有限公司","新北市三重區溪尾街126巷12號1樓"
"12702012","勝億室內裝修工程有限公司","新北市樹林區文化街七九巷八號三樓　"
"12704150","微遠室內裝修設計工程有限公司","新北市林口區仁愛路２段１７０號１樓"
