"統一編號","公司名稱","公司地址"
"00103408","自立鐵工廠股份有限公司","基隆市中正區信三路28巷3號"
"00468357","顏氏有限公司","基隆市中正區正義路64號"
"00681370","啟睦機械工業有限公司","基隆市安樂區樂一路76巷6號3樓"
"00701381","良家企業有限公司","基隆市信義區仁壽里義4路19號"
"00820295","隆湧機械有限公司","基隆市中山區文化路96號"
"00852710","富煜資產管理顧問股份有限公司","基隆市中山區中和路85巷5弄30號1樓"
"00862175","行天馬有限公司","基隆市中山區德安里復興路291號底層"
"00895289","長業船機工程有限公司","基隆市中正區中船路102之2號3樓"
"01126219","益來工程股份有限公司","臺北市內湖區內湖路3段308號1樓"
"01179094","倡鐵實業有限公司","新北市蘆洲區和平路114巷5號"
"01179799","標一有限公司","臺北市中山區長安西路24號3樓"
"01185764","全辰實業有限公司","臺北市中山區長安東路1段8號3樓"
"01189348","金大地企業有限公司","新北市五股區成泰路1段23號"
"01410919","小雅室內裝修有限公司","臺北市中山區長春路65號12樓"
"01509406","尚程企業股份有限公司","新北市汐止區新台五路1段79號17樓"
"01520090","坤義室內裝修設計有限公司","臺北市信義區松隆路159巷39號1樓"
"01860554","啟頌鋼鐵工程股份有限公司","新北市土城區中正里裕民路221號10樓"
"02292313","元昌機械有限公司","新北市汐止區中興路110巷9弄4號2樓"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"03028404","工信工程股份有限公司","臺北市大安區市民大道4段102號8樓"
"03228304","和成欣業股份有限公司","臺北市內湖區湖元里行善路398號1樓"
"03264336","協達水電工程有限公司","臺北市信義區信義路4段458號4樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"04256025","豪洲建設股份有限公司","臺北市中正區杭州南路１段７１巷１０號"
"04265235","萬達工程顧問股份有限公司","臺北市中正區館前路65號10樓"
"04279694","國雍營造工程股份有限公司","臺北市內湖區新湖一路8號6樓"
"04290234","大力鋁門窗股份有限公司","新北市三重區中興南街27號"
"04328490","大欣順發工程有限公司","臺北市南港區忠孝東路6段278巷22弄4號1樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04362617","日南工程有限公司","新北市板橋區中正路87之3號"
"04397003","一等美術裝潢工程有限公司","臺北市中山區吉林路404號1樓"
"04427169","東群五金防火門股份有限公司","新北市三重區興德路123號4樓"
"04435512","台灣士敏工程企業股份有限公司","臺北市中山區中山北路2段113號10樓"
"04487519","廣彬貿易有限公司","新北市三重區大同北路167巷49弄2號"
"04518338","游氏開發有限公司","臺北市大同區赤峰街27號3樓"
"04525555","協宏消防實業有限公司","臺北市萬華區雙園街60巷46弄12號1樓"
"04532578","天原室內裝修企業有限公司","高雄市小港區明聖街245巷2之1號2樓"
"04533513","東鐵企業股份有限公司","臺北市中山區長安東路1段81號4樓"
"04563558","安啟企業有限公司","新北市中和區員山路三○二號"
"04601259","力安電機水電工程有限公司","臺北市文山區三福街57號1樓"
"04612381","慶和圖書館企業股份有限公司","新北市新店區寶高路七二號一樓"
"04640555","九和裝潢有限公司","臺北市中正區中華路２段２８９號１樓"
"04647403","三協聯合企業有限公司","臺北市萬華區西園路2段153號12樓"
"04664471","國印企業有限公司","臺北市萬華區長順街105巷7號3樓"
"04682908","聯忠室內裝修工程有限公司","臺北市信義區吳興街170巷2弄4號4樓"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
"04720446","永新油漆有限公司","新北市石門區尖鹿里尖子鹿88號1樓"
"04736313","川太金屬有限公司","桃園市桃園區文明里大同路112-6號1樓"
"04750004","儀昌家具裝潢有限公司","臺北市松山區八德路3段200號7樓之1"
"04755893","寬益企業有限公司","臺北市信義區信義路5段150巷16弄6號1樓"
"04772422","偉鑫有限公司","新北市汐止區樟樹一路155巷3號1樓"
"04774977","德如機械廠有限公司","臺北市內湖區安康路139號1樓"
"04777714","鋼興鐵工廠有限公司","臺北市南港區忠孝東路6段185巷4弄12號1樓"
"04789471","進誠機械有限公司","臺北市大安區忠孝東路4段176號7樓"
"04793101","清河工程有限公司","新北市汐止區福德一路392巷21號之3"
"04793658","玉瑞有限公司","臺北市南港區成福路79巷2弄16號"
"04799077","正新鋁業股份有限公司","臺北市內湖區成功路5段67號6樓"
"04805985","通宇工業有限公司","基隆市仁愛區南新街1-11號2樓"
"04824370","駿驊國際實業股份有限公司","新北市汐止區環河里福德一路392巷17號"
"04828045","華家鋁業股份有限公司","桃園市楊梅區高獅路303巷3號"
"04850123","中祥食品工業股份有限公司","臺北市文山區木新路2段275號1樓"
"04865435","業昌營造股份有限公司","臺北市信義區信義路6段56號7樓"
"04887162","一展工程有限公司","新北市新店區寶橋路154巷6號1樓"
"04891089","建和製麵工廠有限公司","臺北市文山區指南路1段55之1號"
"04898288","源森實業有限公司","臺北市中山區中山北路2段16巷15之1號2樓"
"04930560","橡遠企業有限公司","臺北市中山區合江街６１巷４４號１樓"
"04938839","日高工程實業股份有限公司","高雄市小港區其美街19巷4號"
"04970464","住佳室內裝修設計工程有限公司","臺北市大安區信義路4段187號8樓"
