"統一編號","公司名稱","公司地址"
"01181346","小叮噹科學股份有限公司","新竹縣新豐鄉松柏村6鄰康和路199號"
"01871546","楹峰實業股份有限公司","新北市土城區中華路2段214號"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"02633683","聯開企業有限公司","新竹縣芎林鄉中坑村中坑19號"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"04229920","新光兆豐股份有限公司","臺北市中正區忠孝西路1段66號38樓"
"04249242","一樂園股份有限公司","臺北市萬華區西寧南路24號1樓"
"04263969","明園企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"04265349","永欣豐華股份有限公司","臺北市中山區松江路398號2樓"
"04286999","輝昌有限公司","臺北市大同區迪化街1段136號"
"04294935","三永綜合商店有限公司","臺北市大同區延平北路2段243號"
"04313172","光泉牧場股份有限公司","臺北市內湖區瑞光路502號4樓"
"04351626","光泉食品股份有限公司","臺北市內湖區瑞光路502號4樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04387005","優美股份有限公司","臺北市萬華區雙園里莒光路310號3樓"
"04468800","美瑜企業股份有限公司","新北市三重區新北大道2段252號4樓"
"04480635","台灣美奇龍股份有限公司","臺北市大同區太原路81號1樓"
"04792742","甘霖國際物流股份有限公司","臺北市中山區中山北路2段68號3樓"
"04927158","陸海股份有限公司","臺北市松山區復興北路99號13樓"
"04991860","津秋企業股份有限公司","臺北市內湖區成功路3段171號2樓"
"05007903","金車股份有限公司","臺北市中正區羅斯福路3段230號"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05024585","聯運股份有限公司","臺北市中正區羅斯福路3段230號1樓"
"05065749","台灣奧黛莉股份有限公司","臺北市大同區長安西路342號5樓"
"05066108","亞永實業股份有限公司","新北市新店區寶興路45巷8弄1號4樓"
"05074331","新竣發企業有限公司","新北市林口區麗園路99號1樓"
"05099591","茗陽企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05251357","承暘有限公司","臺北市南港區玉成街166巷22弄15號"
"05418363","誠記有限公司","臺北市內湖區東湖路４３巷３２弄２號１樓"
"05714195","遠百企業股份有限公司","新北市板橋區貴興路101號"
"05720231","柏寧企業股份有限公司","新北市永和區秀朗路二段24巷28弄5號1樓"
"05836562","勤翔股份有限公司","臺中市大里區中興路二段446號2、3樓"
"07067309","味王股份有限公司","臺北市中山區聚盛里中山北路2段79號5樓"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號"
"07712932","義美股份有限公司","臺北市大同區延平北路2段29號2樓"
"07715558","烘焙雅集食品有限公司","新北市汐止區大同路1段302巷18號"
"08058399","二禮企業有限公司","屏東縣潮州鎮三星里三林路80號"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09427322","碩勇股份有限公司","新北市汐止區新台五路1段110號18樓"
"09467787","麥帥工業有限公司","臺北市大安區忠孝東路4段130號5樓"
"09482892","好家庭興業有限公司","臺北市大安區建國南路2段320號1樓"
"11121403","中美聯合實業股份有限公司","臺北市大安區敦化南路2段76號12樓"
"11298318","伸盈泰股份有限公司","新北市汐止區大同路3段196之2號7樓"
"11347802","味全食品工業股份有限公司","臺北市中山區松江路125號"
"11493608","津津股份有限公司","新北市新莊區中山路1段107號16樓之8"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"11654630","順光股份有限公司","新北市土城區中央路3段81號"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓"
"11892605","嘉新食品化纖股份有限公司","臺北市大安區忠孝東路4段219號6樓"
"12139612","潤泰創新國際股份有限公司","臺北市中山區八德路2段308號11樓之1"
"12156668","特林企業股份有限公司","新北市汐止區大同路1段300號"
"12157771","咸安企業有限公司","臺北市中山區吉林路３９３巷２號"
"12160255","新竹化工實業股份有限公司","臺北市中山區松江路82號3樓"
"12343656","振夏實業有限公司","臺北市士林區雨聲街8巷18號1樓"
"12360599","中國青年商店股份有限公司","臺北市中山區松江路127號9樓"
"12361817","增明有限公司","臺北市中山區長安東路1段13號5樓"
"12371287","采盟股份有限公司","臺北市松山區中正里復興北路57號3樓之1、2、7"
"12435753","擁潔股份有限公司","臺北市萬華區西園路2段157號9樓"
"12457398","代統企業股份有限公司","臺北市中山區合江街100巷17號1樓"
"12489201","風雷益系統科技有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"12502112","江松股份有限公司","臺北市中山區南京東路3段118號11樓"
"12522692","池袋股份有限公司","臺北市內湖區洲子街194號2樓、2樓之1、196號1、2樓"
"12601273","北鑫有限公司","新北市永和區永平路八號"
"12601844","便利客實業有限公司","臺中市南屯區大同里東興路二段六八號一樓"
"12602246","全民通實業有限公司","臺中市南區南門里南門路三號一樓"
"12602631","豐霖有限公司","新竹市建華里建華街廿九號一樓"
"12602956","兆圓有限公司","臺南市安南區安富里安富街199巷8弄22號"
"12603603","杰朋有限公司","新北市板橋區龍泉街57號"
"12603878","民爾有限公司","新北市新店區柴埕里安興路五號"
"12606101","芳源有限公司","新北市三重區大勇街二號一樓"
"12606783","億萬優質科技股份有限公司","臺中市北區東光路四○六號一樓"
"12606854","圓林農產生鮮股份有限公司","彰化縣員林鎮三條里大同路一段一九九號"
"12607473","梅成企業有限公司","桃園市平鎮區德育路二段一二四巷二八號五樓"
"12607501","吉立有限公司","桃園市中壢區華勛街七九巷六弄五八號"
"12607663","超健康實業有限公司","新北市三重區重陽路三段一九二之三號五樓"
"12608353","斗工福利有限公司","雲林縣斗南鎮南昌里民族路四一號一樓"
"12608656","勇秀有限公司","臺中市西屯區光明路五五之廿六號一樓"
"12609445","新主張國際事業有限公司","新北市三重區重陽路三段一九二之三號"
"12610647","名鉅有限公司","新北市汐止區秀峰路一○九巷一弄三二號"
"12611060","新榮富有限公司","桃園市楊梅區梅新里新成路一八九號"
"12611511","美麗人生空中超市股份有限公司","臺中市西屯區潮洋里朝貴一街148號1樓"
"12612899","潤昌超商有限公司","宜蘭縣蘇澳鎮聖湖里聖賢路二○九號"
"12613187","美康健康事業股份有限公司","桃園市八德區桃鶯路95號　"
"12614221","永倢企業有限公司","新北市板橋區光正街45巷30號2樓"
