"統一編號","公司名稱","公司地址"
"00422000","臺陽股份有限公司","臺北市大安區新生南路3段4號3樓"
"00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓"
"00701755","源泉鋼鐵股份有限公司","臺北市中山區民權東路3段2號12樓"
"00784930","建寶食品股份有限公司","基隆市中正區海濱里北寧路69號、71號"
"01074922","糖福育樂股份有限公司","臺南市南區大林里大同路二段402號2樓"
"01177434","優尼士國際股份有限公司","臺北市大安區仁愛路3段26之3號4樓"
"01181346","小叮噹科學股份有限公司","新竹縣新豐鄉松柏村6鄰康和路199號"
"01184603","統一大飯店股份有限公司","臺北市中山區農安街36號"
"01456436","威麥克健康生技股份有限公司","新北市新店區民權路108-3號7樓"
"01516574","霈翰國際股份有限公司","臺北市萬華區成都路66號2樓"
"01805526","石牌實業有限公司","臺北市北投區承德路7段223號1樓"
"02043223","統勝工業股份有限公司","臺北市南港區南港路3段137號(1樓)"
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號"
"02624278","野味食品企業有限公司","桃園市桃園區中和里中正路242、244號1樓"
"02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號"
"03064512","中元實業股份有限公司","臺北市大安區仁愛路4段2號3樓"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03149202","幼獅文化事業股份有限公司","臺北市中正區重慶南路1段66-1號3樓"
"03166335","百利康企業股份有限公司","臺北市中正區懷寧街30、32號1樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03354104","悅賓樓股份有限公司","臺北市中正區忠孝東路1段45號1樓"
"03362603","啟立食品工業股份有限公司","桃園市桃園區中山里中山路777號1樓之4"
"03426607","華美大飯店股份有限公司","臺北市中正區重慶南路1段1號"
"03522600","遠東新世紀股份有限公司","臺北市大安區敦化南路2段207號36樓"
"03538906","臺隆工業股份有限公司","臺北市中山區松江路261號12樓"
"03543210","台榮產業股份有限公司","臺北市中山區南京東路2段206號6樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03562308","台火開發股份有限公司","臺北市中正區延平南路75號2、3樓"
"03564100","國正實業股份有限公司","臺北市中山區林森北路646號"
"03571138","黎明文化事業股份有限公司","臺北市中正區重慶南路1段49號3樓"
"03581305","養樂多股份有限公司","臺北市中山區松江路261號3樓"
"03583704","樂聲大戲院股份有限公司","臺北市萬華區武昌街2段85號"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03631207","國裕開發股份有限公司","臺北市中正區忠孝西路１段３８號"
"03701104","台灣土地開發股份有限公司","臺北市中正區衡陽路51號14樓之1"
"03795101","台灣肥料股份有限公司","臺北市中山區南京東路2段88號6樓"
"04204049","日暉池上股份有限公司","臺北市中正區中華路1段59號8樓"
"04217017","乖乖股份有限公司","桃園市中壢區東園路48號"
"04229920","新光兆豐股份有限公司","臺北市中正區忠孝西路1段66號38樓"
"04240501","誠建室內裝修股份有限公司","臺北市中山區建國北路2段135、137號地下1樓"
"04247125","合歡野營有限公司","新北市坪林區水柳脚28號1樓"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04263969","明園企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"04265349","永欣豐華股份有限公司","臺北市中山區松江路398號2樓"
"04267450","威尼仕股份有限公司","臺北市松山區民生東路５段１８８之２號１樓"
"04271089","建德有限公司","臺北市中正區金山南路1段110巷14號1樓"
"04274804","兄弟大飯店股份有限公司","臺北市松山區南京東路3段255號"
"04285437","福益實業股份有限公司","臺北市中正區愛國東路22號15樓"
"04359802","海霸王餐廳股份有限公司","臺北市大同區西寧北路62號2至7樓"
