"統一編號","公司名稱","公司地址"
"00652874","柯達大飯店股份有限公司","基隆市中正區義一路7、9號"
"00665218","源興報關通運有限公司","基隆市中山區西定路38號2樓"
"00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓"
"01176548","世塑有限公司","臺北市松山區南京東路5段50號7樓"
"01516574","霈翰國際股份有限公司","臺北市萬華區成都路66號2樓"
"01805526","石牌實業有限公司","臺北市北投區承德路7段223號1樓"
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03362603","啟立食品工業股份有限公司","桃園市桃園區中山里中山路777號1樓之4"
"03426607","華美大飯店股份有限公司","臺北市中正區重慶南路1段1號"
"03480405","新陸書局股份有限公司","臺北市中正區重慶南路1段47號1樓"
"03539102","豪華大戲院股份有限公司","臺北市萬華區武昌街2段89號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03564100","國正實業股份有限公司","臺北市中山區林森北路646號"
"03581305","養樂多股份有限公司","臺北市中山區松江路261號3樓"
"03583704","樂聲大戲院股份有限公司","臺北市萬華區武昌街2段85號"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03631207","國裕開發股份有限公司","臺北市中正區忠孝西路１段３８號"
"03701104","台灣土地開發股份有限公司","臺北市中正區衡陽路51號14樓之1"
"04204049","日暉池上股份有限公司","臺北市中正區中華路1段59號8樓"
"04229920","新光兆豐股份有限公司","臺北市中正區忠孝西路1段66號38樓"
"04247125","合歡野營有限公司","新北市坪林區水柳脚28號1樓"
"04249242","一樂園股份有限公司","臺北市萬華區西寧南路24號1樓"
"04263969","明園企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"04265349","永欣豐華股份有限公司","臺北市中山區松江路398號2樓"
"04271089","建德有限公司","臺北市中正區金山南路1段110巷14號1樓"
"04338531","高峯股份有限公司","臺北市大同區承德路3段210號1樓至7樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04490660","蘭庭商務旅店有限公司","臺北市大同區太原路64號"
"04673318","遠雄建設事業股份有限公司","臺北市信義區松高路1號29樓"
"04688092","希而頓股份有限公司","新北市新莊區五工五路9號6樓"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"04728658","東金龍實業股份有限公司","桃園市觀音區金湖里中山路一段一一七五號"
"04807040","元皇興業有限公司","臺北市南港區興華路76巷1號1樓"
"04820917","史曼斯有限公司","桃園市龜山區文二一街16號8樓之2"
"04898597","厚恆企業有限公司","臺北市中山區中山北路2段112號13樓之1"
"04937233","大業倉儲股份有限公司","臺北市大安區敦化南路2段76號6樓之2"
"04956337","俊昇科技有限公司","臺北市大安區羅斯福路2段41號10樓之4"
"04964250","東森國際股份有限公司","臺北市大安區復興南路1段368號5樓、8樓及370號6樓、11樓"
"04982433","麗正國際科技股份有限公司","新北市土城區中山路71號"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05026438","遠流出版事業股份有限公司","臺北市中正區南昌路2段81號6樓"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05066108","亞永實業股份有限公司","新北市新店區寶興路45巷8弄1號4樓"
"05077301","超群三溫暖工程有限公司","新北市新莊區化成路113巷86之1號"
"05077421","陸羽茶藝股份有限公司","臺北市中正區衡陽路64號3樓"
"05094245","新卓安有限公司","新北市中和區中山路2段450號6樓"
"05099591","茗陽企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"05102527","百錄股份有限公司","臺北市南港區南港路3段50巷5號地下"
"05105904","精石國際股份有限公司","臺北市中正區汀州路3段184號"
"05135956","邱氏鼎食品企業股份有限公司","臺北市中正區博愛路99號1、2樓"
"05152321","火得實業股份有限公司","桃園市龍潭區烏樹林里中豐路324號"
"05155452","王月國際開發有限公司","臺北市大安區溫州街79號1樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05193998","信明食品股份有限公司","新北市中和區中山路3段120之25號10樓"
"05408631","好消息建設科技股份有限公司","臺北市中山區長安東路2段169號3樓之2"
"05513232","銘風有限公司","臺北市文山區車前路29巷4號1樓"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號"
"05705533","講古實業股份有限公司","臺北市中正區衡陽路２０號４樓"
"05714195","遠百企業股份有限公司","新北市板橋區貴興路101號"
"05720231","柏寧企業股份有限公司","新北市永和區秀朗路二段24巷28弄5號1樓"
"05871997","神木谷遊樂興業股份有限公司","臺中市和平區博愛里東關路１段溫泉巷７號"
"07126004","國茶企業股份有限公司","臺北市大同區延平北路2段83號10樓"
"07138923","同欣有限公司","臺北市中山區新生北路3段20號"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號"
"07488110","福潤食品股份有限公司","新北市三重區中正北路514號4樓"
"07525207","台灣農林股份有限公司","臺北市南港區三重里園區街3號15樓"
"07625199","迪樂商旅有限公司","臺北市大同區延平北路1段121號"
"07663290","力麗企業股份有限公司","臺北市中山區松江路162號11樓"
"07677386","銀穗國際企業股份有限公司","臺北市中山區民權西路40號、42號5樓"
"07708830","花仙子企業股份有限公司","臺北市大同區承德路3段230號13樓"
"07712932","義美股份有限公司","臺北市大同區延平北路2段29號2樓"
"07729080","台灣原生藥用植物股份有限公司","臺北市內湖區瑞湖街88號5樓"
"07737130","因思銳企業股份有限公司","臺北市南港區三重路19之2號11樓"
"09401477","香江港式飲茶有限公司","新竹市成功里林森路３２號９樓"
"09427322","碩勇股份有限公司","新北市汐止區新台五路1段110號18樓"
"09433154","聲岳行實業有限公司","新北市永和區雙和里中和路335巷18弄8號(1樓)"
"09433485","隨緣居有限公司","臺北市松山區南京東路4段11號2樓"
"09464521","晟翔股份有限公司","臺北市大同區長安西路106號9樓之1"
"09467787","麥帥工業有限公司","臺北市大安區忠孝東路4段130號5樓"
"09494412","有如股份有限公司","臺北市大安區仁愛路3段125號4樓"
"09499839","歐立食品股份有限公司","臺北市萬華區桂林路26號8樓之2"
"11087101","方大股份有限公司","臺北市中山區中山北路2段21號7樓"
"11347802","味全食品工業股份有限公司","臺北市中山區松江路125號"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"11594351","培英科技有限公司","臺北市中山區八德路2段174巷10弄5號1樓"
"11623807","祥森行有限公司","臺北市中山區新生北路2段74號8樓之10"
"11636802","國賓大飯店股份有限公司","臺北市中山區中山里4鄰中山北路2段63號"
"11658137","華泰大飯店企業股份有限公司","臺北市中山區中山里林森北路369號"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓"
"11825825","嘉裕股份有限公司","臺北市大安區仁愛路4段25號7樓"
"11892605","嘉新食品化纖股份有限公司","臺北市大安區忠孝東路4段219號6樓"
"12015605","馥麗工業股份有限公司","臺北市大安區仁愛路4段376號13樓"
"12108630","世易水泥股份有限公司","花蓮縣新城鄉順安村北三棧49之1號"
"12133321","日星科技興業有限公司","臺北市松山區南京東路5段250巷18弄16號1樓"
"12133645","敏宏工業有限公司","新竹縣關西鎮東光里十六張113號"
"12139612","潤泰創新國際股份有限公司","臺北市中山區八德路2段308號11樓之1"
"12156668","特林企業股份有限公司","新北市汐止區大同路1段300號"
"12167948","金慶實業股份有限公司","臺北市松山區南京東路3段248號10樓之2"
"12186136","華新橡膠工業股份有限公司","彰化縣田中鎮沙崙里中州路二段751號"
"12186184","喜之軒股份有限公司","臺北市中山區林森北路353巷20號地下室"
"12204275","亞翔工程股份有限公司","臺北市內湖區內湖路1段120巷17號5樓"
"12208321","南聯國際貿易股份有限公司","臺北市信義區忠孝東路4段560號12樓"
"12232595","固昌通訊股份有限公司","臺北市士林區承德路4段150號12樓"
"12243299","逢佳實業有限公司","臺北市中山區龍江路45巷13號"
"12254844","日日商業股份有限公司","新北市板橋區文化路2段495號20樓"
"12290980","亞良企業有限公司","新北市新莊區中正路831號之5(1樓)"
"12294867","永連企業有限公司","臺北市士林區福榮街22號2樓"
"12319086","綺麗珊瑚有限公司","臺北市中山區林森北路604號1樓"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2"
"12355266","瑞泰茶業有限公司","臺北市中山區新生北路2段62巷34之1號1樓"
"12370668","綠湖股份有限公司","臺北市內湖區民善街83、85、87、89號7樓"
"12371287","采盟股份有限公司","臺北市松山區中正里復興北路57號3樓之1、2、7"
"12378129","大東山樂活股份有限公司","臺北市中山區南京東路3段90號6樓"
"12396724","禾榮產業股份有限公司","臺北市中山區南京東路2段206號7樓"
"12401402","老爺大酒店股份有限公司","臺北市中山區中山北路2段37之1號"
"12401846","拓腦新科技股份有限公司","臺北市大安區光復南路５７４之１號５樓"
"12420175","台灣普聯股份有限公司","臺北市大安區仁愛路3段30號11樓"
"12435753","擁潔股份有限公司","臺北市萬華區西園路2段157號9樓"
"12436471","嘉威生物科技股份有限公司","臺北市信義區基隆路2段181號1樓"
"12472258","婦友建設股份有限公司","臺中市公益路二段一三一號"
"12483749","祥圃實業股份有限公司","臺北市中山區南京東路2段98號9樓之2"
"12489011","金沙國際興業股份有限公司","臺北市中正區和平西路１段１６１號４樓"
"12498877","滿心企業股份有限公司","新北市五股區五權六路18號"
"12499670","凱撒大飯店股份有限公司","屏東縣恆春鎮墾丁路6號"
"12502112","江松股份有限公司","臺北市中山區南京東路3段118號11樓"
"12565312","喜悅食品有限公司","臺北市大安區復興南路2段336號1樓"
"12600660","奇果有限公司","新北市板橋區館前西路一三一、一三三、一三五、一三七號"
"12600871","網路帝國科技有限公司","新北市三重區正義北路二二三號"
"12601273","北鑫有限公司","新北市永和區永平路八號"
"12605073","中華遊戲網股份有限公司","新北市永和區中和路三四五號九樓"
"12605530","人間仙境有限公司","新北市三重區重新路二段四一號二樓及四三號二樓"
"12605692","八條企業有限公司","南投縣埔里鎮北梅里信義路三二六號一樓"
"12605778","長鮮食品股份有限公司","花蓮縣花蓮市國安里林森路四○三號"
"12606209","戎盛股份有限公司","臺中市大里區內新街七二號一樓"
"12606783","億萬優質科技股份有限公司","臺中市北區東光路四○六號一樓"
"12607360","紅龍科技有限公司","花蓮縣花蓮市中山路二三一號三樓"
"12607684","宣喬股份有限公司","桃園市桃園區經國路一三○號一樓"
"12607869","寰統企業有限公司","新北市永和區永和路二段一六三號一樓、二樓"
"12608635","喜世企業有限公司","新竹市科園里科學園路六之六號一樓"
"12609016","意萊生活有限公司","桃園市蘆竹區南華一街一四○號"
"12609064","日月光生機企業有限公司","桃園市桃園區永安路三九二號"
"12609536","盈溱豐業股份有限公司","臺中市長安路一段二九巷一○號一樓"
"12609661","宴美企業有限公司","臺北市內湖區新湖一路79號6樓"
"12610148","悅高國際有限公司","臺北市中山區民族東路４７２號"
"12610724","普棧撞球有限公司","新北市中和區秀朗路三段一七五巷二號地下一層"
"12611574","奧薰有限公司","苗栗縣苗栗市青苗里中山路602號602-1號606號2、3、4、4-15.6.7樓︱"
"12611907","冠杰資訊有限公司","新北市三重區中正北路三二六號"
"12613481","捷驛科技有限公司","臺中市南屯區文山九街一○八號一樓"
"12615208","享意國際有限公司","桃園市中壢區六和路三六號一樓、三八號一樓、四○號一樓"
"12616873","正悅食堂有限公司","苗栗縣頭份鎮民族里中華路九六五號"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓"
"12617445","亦大利實業有限公司","新北市五股區五股里成泰路2段91巷23號4樓之1"
"12618893","佳瑤美實業股份有限公司","新北市蘆洲區集賢路二七五號"
"12619788","豪百佳健康育樂事業股份有限公司","新北市新店區安祥路一三一號二樓"
"12619865","貴族派食品有限公司","宜蘭縣宜蘭市文化里復興路２段１２號"
"12620595","錡岸餐飲有限公司","新北市板橋區重慶路八號二樓、二樓之一及一○號二樓"
"12620650","講義咖啡有限公司","臺中市北區永興街三五六之二號一二樓"
"12620906","太監雞股份有限公司","桃園市大園區菓林里崁下６５–３４號"
"12621530","戰網網路科技有限公司","新竹市大�鸗竷|○號一樓"
"12621715","龍紳育樂有限公司","新北市樹林區中山路一段三五號"
"12622685","網路雄峰網路科技有限公司","新北市三重區長元街七號一樓"
"12624419","駿億實業有限公司","新北市板橋區館前西路139號3、4樓"
"12627149","彭村梅國際美容事業股份有限公司","臺中市南屯區文心南三路222號1樓"
"12628230","富得康有限公司","臺中市北區金華里興進路一三五號一樓"
"12630242","聖七美有限公司","屏東縣恆春鎮山腳里恆南路六四巷六○弄二號一樓"
"12630735","親淨海國際股份有限公司","宜蘭縣羅東鎮樹林里公正路340巷29號1樓"
"12631333","皇城汽車商務旅館有限公司","新北市中和區連城路77號"
"12631713","哈啦網資訊有限公司","新北市板橋區仁愛路二五號一樓"
"12632017","瀚宇餐飲有限公司","桃園市桃園區中正路二七九號"
"12632494","跨異業公關股份有限公司","臺中市西屯區何厝里何厝街二二之三號"
"12635035","橋岡企業有限公司","高雄市橋頭區白樹里樹德路六三號一0樓"
"12635226","廣記企業有限公司","新北市新莊區四維路二○五︱二號"
"12635324","搖錢樹西點麵包有限公司","新北市新莊區中港里幸福路六八０號"
"12636127","海港時尚股份有限公司","基隆市中正區義一路114號10樓"
"12637104","東方數網資訊股份有限公司","桃園市中壢區大仁一街一號二樓"
"12637651","城市玩家網路科技股份有限公司","新北市板橋區重慶路八號三樓、三樓之一及一○號三樓"
"12638883","御品台塑牛排館股份有限公司","新北市新莊區新泰路二四０號一樓"
"12640446","金灃食品有限公司","臺北市中正區和平西路1段57-2號"
"12640776","三皇六家餐飲事業有限公司","嘉義市美源里新民路618號1、2樓"
"12642021","戰略悍將科技股份有限公司","臺南市永康區大橋里大橋二街二四號八樓之三"
"12642916","合浦興業有限公司","臺中市大里區內新里新明路30號1樓"
"12643422","水舞饌實業有限公司","臺中市南屯區大業里公益路二段一號一之二樓"
"12643464","茶博士企業股份有限公司","臺南市南區彰南里17鄰新義南路1號"
"12644647","竹緣有限公司","嘉義市西區保生里北興街400巷8號之6一樓"
"12645174","加洲椰林有限公司","臺中市西屯區惠來路二段二四○號一樓"
"12645189","盟唐有限公司","臺中市大里區東湖里仁化路七六四、七六六、七六八號"
"12646194","如田國際藝術股份有限公司","新北市鶯歌區同慶里重慶街一一二號四樓"
"12647291","千方國際股份有限公司","臺中市西區忠明里華美街410號2樓之1"
"12648849","大正開發事業股份有限公司","臺北市松山區八德路2段374號9樓之1"
"12651029","璿禾室內裝修設計工程有限公司","臺北市內湖區堤頂大道1段327號3樓"
"12652202","享壺茶薌股份有限公司","新北市三重區光明里重新路四段九八號"
"12652364","鎮鑫求美有限公司","新北市林口區中山路522號3樓之1"
"12653336","久開企業有限公司","臺北市中山區長安東路２段１８９之３號"
"12654428","溢登體育事業有限公司","臺北市信義區福德街１１５號１樓"
"12655593","全日上股份有限公司","臺北市文山區景興路２００號２樓"
"12655637","唐威餐飲有限公司","臺北市信義區忠孝東路5段372巷27弄3號1樓"
"12656832","新點子休閒娛樂股份有限公司","臺北市中山區中山北路2段79號4樓"
"12657229","鋐堃科技股份有限公司","臺北市士林區文林路２８１號１至３樓"
"12657488","太平洋國際遊艇股份有限公司","宜蘭縣蘇澳鎮福德路366巷8號"
"12657945","世青開發股份有限公司","臺北市信義區松隆路１０２號４樓之１"
"12661808","三佶實業有限公司","新北市中和區建八路125巷3號2樓"
"12662412","鴻發達企業有限公司","新北市土城區中央路4段281之7號4樓之2"
"12666120","第一超市股份有限公司","臺北市松山區南京東路4段1號"
"12666901","紅錵餐廳股份有限公司","臺北市中山區農安街32號2樓"
"12667633","仲望國際管理顧問股份有限公司","臺北市大安區仁愛路４段１０７號８樓"
"12668041","快活谷有限公司","臺北市大安區敦化南路２段６３巷２８號１樓"
"12670980","君泰國際股份有限公司","新北市五股區興珍里中興路一段116號"
"12671926","鬥嬅股份有限公司","臺北市大安區羅斯福路２段３２５號２樓之１至１０"
"12672002","鬥鑫股份有限公司","臺北市文山區景興路195號2樓"
"12672116","八樂企業股份有限公司","臺北市內湖區瑞湖街199號5樓"
"12673142","永豐棧麗緻酒店股份有限公司","臺北市信義區忠孝東路5段669號"
"12674212","立天世紀數位行銷有限公司","臺北市內湖區康寧路1段136號"
"12674846","安正刺繡有限公司","臺北市士林區葫蘆街34號"
"12675346","亞爵國際育樂股份有限公司","臺北市信義區松仁路97、99、101號地下1樓"
"12677724","台灣比菲多食品股份有限公司","臺中市北區淡溝里臺灣大道二段360號5樓之1"
"12678441","地壹創媒股份有限公司","新北市中和區員山路512之5號4樓"
"12680024","帕多瓦有限公司","臺北市大安區羅斯福路3段283巷14弄16號1樓"
"12680278","鬥揚股份有限公司","新北市五股區五工一路101號"
"12680495","藝馨股份有限公司","臺北市大安區信義路４段５３巷１４號地下樓"
"12680544","平耕企業有限公司","臺北市文山區福興路52號"
