"統一編號","公司名稱","公司地址"
"00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓"
"01512107","歐艾斯公寓大廈管理維護股份有限公司","臺北市松山區八德路3段20號10樓之1"
"01516574","霈翰國際股份有限公司","臺北市萬華區成都路66號2樓"
"02624278","野味食品企業有限公司","桃園市桃園區中和里中正路242、244號1樓"
"02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03273617","東龍大飯店有限公司","臺北市萬華區漢口街2段23號1、2、3、4、5、6、7樓"
"03354104","悅賓樓股份有限公司","臺北市中正區忠孝東路1段45號1樓"
"03583704","樂聲大戲院股份有限公司","臺北市萬華區武昌街2段85號"
"03601013","聯夏企業股份有限公司","臺北市中正區仁愛路1段22號5樓"
"03631207","國裕開發股份有限公司","臺北市中正區忠孝西路１段３８號"
"04249242","一樂園股份有限公司","臺北市萬華區西寧南路24號1樓"
"04359802","海霸王餐廳股份有限公司","臺北市大同區西寧北路62號2至7樓"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04634884","百鳴企業股份有限公司","臺北市文山區車前路１２號７樓"
"05026438","遠流出版事業股份有限公司","臺北市中正區南昌路2段81號6樓"
"05066108","亞永實業股份有限公司","新北市新店區寶興路45巷8弄1號4樓"
"05072544","聯企食品股份有限公司","臺北市中正區仁愛路1段22號5樓"
"05094245","新卓安有限公司","新北市中和區中山路2段450號6樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號"
"05642340","錦鈺國際股份有限公司","臺北市松山區忠孝東路4段270號11樓之4"
"05720231","柏寧企業股份有限公司","新北市永和區秀朗路二段24巷28弄5號1樓"
"06722139","味帝企業股份有限公司","高雄市大寮區興業路12號"
"07305506","南僑化學工業股份有限公司","臺北市大同區延平北路4段100號"
"07488110","福潤食品股份有限公司","新北市三重區中正北路514號4樓"
"09476836","興銘企業股份有限公司","臺北市文山區車前路１２號７樓"
"09499839","歐立食品股份有限公司","臺北市萬華區桂林路26號8樓之2"
"11121403","中美聯合實業股份有限公司","臺北市大安區敦化南路2段76號12樓"
"11511090","皇冠金屬工業股份有限公司","臺北市中山區復興南路1段2號8樓之1"
"11653034","甲天下股份有限公司","臺北市大同區西寧北路62號8樓之11"
"12156668","特林企業股份有限公司","新北市汐止區大同路1段300號"
"12170866","雙園建設股份有限公司","臺北市中山區南京東路1段66號1至10樓及地下1至4樓"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2"
"12360599","中國青年商店股份有限公司","臺北市中山區松江路127號9樓"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12401402","老爺大酒店股份有限公司","臺北市中山區中山北路2段37之1號"
"12600916","勝昌國際事業有限公司","臺中市北屯區四平路82號1樓"
"12608971","樹仁食品有限公司","新北市樹林區中山路一段三○六巷五一弄九號一樓"
"12611651","群宏實業有限公司","新北市板橋區三民路2段123巷35之2號"
"12613861","至芃企業有限公司","桃園市中壢區三民里中正路708號"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓"
"12627149","彭村梅國際美容事業股份有限公司","臺中市南屯區文心南三路222號1樓"
"12628864","佳沛股份有限公司","新北市土城區中正路一號八樓"
"12632059","上八實業有限公司","臺中市沙鹿區正英路385巷15號1樓"
"12635226","廣記企業有限公司","新北市新莊區四維路二○五︱二號"
"12637596","福神世家便當有限公司","臺中市西屯區協和里工業區四十路三八號"
"12639671","吉哩軒有限公司","新北市中和區景平路六三二號二樓"
"12644082","泉成食品有限公司","新北市樹林區鎮前街七七之九號"
"12644196","金達國際食品有限公司","桃園市中壢區中豐路五七號二樓"
"12646434","鼎膳有限公司","新北市中和區景新街四一八巷一八弄一○號一樓"
"12647237","承香有限公司","臺南市永康區復華三街九○巷一二號一五樓之三"
"12649679","三榮鴻有限公司","臺南市府安路六段四五巷五七弄九號"
"12654222","菠丹妮國際事業有限公司","臺北市中山區中山北路２段１１８之１號１樓"
"12655209","朋達開發股份有限公司","臺北市信義區永吉路278巷27弄28號1樓"
"12662412","鴻發達企業有限公司","新北市土城區中央路4段281之7號4樓之2"
"12665683","湯頭好企業有限公司","臺北市大安區辛亥路２段１３９號"
"12666120","第一超市股份有限公司","臺北市松山區南京東路4段1號"
"12674212","立天世紀數位行銷有限公司","臺北市內湖區康寧路1段136號"
"12674846","安正刺繡有限公司","臺北市士林區葫蘆街34號"
"12683211","六合國際實業有限公司","新北市汐止區大同路3段196之9號7樓"
"12683541","天然風食品有限公司","臺北市大安區杭州南路2段19號3樓"
"12688882","情報販股份有限公司","臺北市中正區羅斯福路３段２６６號１樓"
"12700703","詠珍食品有限公司","桃園市桃園區北門里北華街60號1樓"
"12703687","好尚美美食館有限公司","屏東縣屏東市瑞光里民生東路五六巷二弄一一號　"
"12704790","奧斯汀企管顧問有限公司","臺中市東區富台里富台街二八號二樓"
"12708085","緻宏食品股份有限公司","新北市中和區中山路2段380巷17號"
"12712567","楊丘股份有限公司","臺南市北區民德路九○巷三六號四樓"
"12713860","豐茂生技有機食品股份有限公司","新北市新莊區五權三路4號之2"
"12718149","仁心圓食品企業有限公司","新竹市光華里二三鄰光華街九三號二樓之三"
"12719870","綠亭企業有限公司","桃園市中壢區普仁里三和一街二七號一樓"
"12722559","佑勝行銷顧問有限公司","彰化縣員林鎮三和里靜修東路176巷5號"
"12722880","山川冷凍食品有限公司","嘉義市蘭井里一八鄰光彩街一四一號一樓"
"12725612","艾立印企業有限公司","臺中市西屯區烈美街81號1樓"
"12730018","潔芳生活事業有限公司","臺中市南屯區忠勇路107之3號7樓之2"
"12730729","羅浮水晶宮溫泉會館股份有限公司","桃園市復興區羅浮里4鄰羅浮129號"
"12730994","漢銳國際有限公司","高雄市岡山區後協里協德街二○號六樓"
"12732727","國廷事業有限公司","苗栗縣公館鄉玉泉村一○鄰玉泉二八八之六號"
"12733155","富山伙食企業有限公司","新竹縣新豐鄉松林村莊敬街一二號　"
"12733893","奇咖有限公司","臺南市仁德區後壁里德崙路71號"
"12735301","膳美有限公司","屏東縣長治鄉香楊路三三號七樓之一"
"12735750","茗吉企業有限公司","高雄市大樹區竹寮路104之3號"
