"統一編號","公司名稱","公司地址"
"00668524","人祥印刷文具股份有限公司","基隆市仁愛區孝二路93巷11號"
"00813935","欣光印刷事業有限公司","基隆市中正區義二路266號1樓"
"00862175","行天馬有限公司","基隆市中山區德安里復興路291號底層"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02630927","鑫國企業有限公司","新竹縣竹北市竹北里9鄰中山路178號"
"03134329","生季顧問有限公司","臺北市中正區紹興北街2巷1號3樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03421510","博達華商廣告股份有限公司","臺北市松山區南京東路5段1號4樓"
"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路2段55號"
"03799802","聯合報股份有限公司","新北市汐止區大同路1段369號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04224170","靈智廣告股份有限公司","臺北市中山區南京東路3段131號8樓"
"04327247","匯安建設股份有限公司","臺北市中山區民生東路1段23巷16號4樓"
"04424022","環宙航空貨運有限公司","臺北市內湖區瑞光路258巷55號4樓"
"04496117","特典有限公司","臺北市中山區新生北路1段62巷1號"
"04503095","國信傳播事業有限公司","臺北市大同區長安西路56號5樓"
"04580156","龍美設計科技有限公司","新北市汐止區龍安路三十六號二樓之三"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"04630374","名華企業有限公司","新北市永和區中正路412巷20弄19號1樓"
"04704023","聯經出版事業股份有限公司","臺北市信義區基隆路1段178、180號4樓"
"04705402","中國經濟通訊社股份有限公司","新北市汐止區大同路1段369號2樓"
"04707611","一一一車行股份有限公司","新北市汐止區新台五路二段204號地下一層之21"
"04727010","政德廣告事業有限公司","臺北市信義區虎林街202巷64號1樓"
"04754590","慶宜國際網路科技股份有限公司","臺北市松山區敦化南路１段５７號２樓之１"
"04776665","協固國際股份有限公司","臺北市中山區民權西路79號4樓之5"
"04817954","英波電子有限公司","新北市汐止區南陽街１２０巷１７號"
"04886136","哈盆實業有限公司","新北市新店區光明街１５４號"
"04913416","正一乾冰有限公司","臺北市文山區羅斯福路5段192巷25號1樓"
"04997787","發翔工業有限公司","新北市板橋區光武街48巷29之3號4樓"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05026583","新名華行銷物流有限公司","新北市永和區得和里中正路412巷20弄21號"
"05061286","大亞電腦股份有限公司","臺北市中正區重慶南路1段99號2樓"
"05132374","元大企業管理顧問有限公司","臺北市信義區基隆路1段420號2樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05251357","承暘有限公司","臺北市南港區玉成街166巷22弄15號"
"05408294","快立潔有限公司","臺北市中山區龍江路328巷7號"
"05642340","錦鈺國際股份有限公司","臺北市松山區忠孝東路4段270號11樓之4"
"07608781","有志貨運物流有限公司","臺北市士林區承德路4段33巷10號2樓"
"07673311","永明開發廣告工程有限公司","臺北市中山區民族東路206號"
"07737482","霖億企業有限公司","臺北市大同區酒泉街232號1樓"
"09404334","旭海國際科技股份有限公司","臺北市中山區中山北路2段115巷47號2樓"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09440697","敦煌樂器有限公司","臺北市中山區建國北路2段1號1樓"
"09460715","業峰有限公司","臺北市大同區伊寧街9巷11號6樓"
"09462164","呈達科技股份有限公司","臺北市大安區忠孝東路4段223巷5號11樓之1"
"11255964","先鋒打字印刷有限公司","臺北市中山區林森北路133巷16號3樓"
"11354704","協志工業叢書出版股份有限公司","臺北市中山區中山北路3段22號"
"11694204","華都霓虹廠有限公司","臺北市內湖區瑞光路583巷31號4樓"
"11833141","福升電子機械企業股份有限公司","桃園市大園區菓林里復興街12號"
"12101539","利展企業有限公司","臺北市中山區吉林路279號6樓"
"12185381","酋比有限公司","臺北市中山區安東街16巷32號1樓之1"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12218741","士歐有限公司","臺北市大安區復興南路2段125巷20弄3號"
"12224011","天將廣告事業有限公司","臺北市中山區吉林路216號1樓"
"12242756","創新企業管理顧問有限公司","臺北市中山區中山北路3段11號2樓"
"12246872","超際企業有限公司","新北市中和區景平路784之1號11樓"
"12258784","中國電通股份有限公司","臺北市中山區南京東路3段19號4樓"
"12266412","雙喜汽車貨運有限公司","新北市中和區永和路69-6號"
"12355322","永承文具印刷有限公司","臺北市中山區中山北路2段115巷27號1樓"
"12396105","三上實業股份有限公司","臺北市中山區雙城街19巷21號1樓"
"12401846","拓腦新科技股份有限公司","臺北市大安區光復南路５７４之１號５樓"
"12403696","中美霓虹企業有限公司","臺北市中山區合江街17巷12號1樓"
"12410628","精明有限公司","臺中市西區民龍里臺灣大道二段220號9樓"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12482376","長揚國際行銷股份有限公司","臺北市大安區信義路4段63號7樓"
"12489011","金沙國際興業股份有限公司","臺北市中正區和平西路１段１６１號４樓"
"12489201","風雷益系統科技有限公司","臺北市中山區中山北路2段27巷3之3號3樓"
"12515812","威迪影視傳播有限公司","臺北市大安區光復南路672號8樓之2"
"12527789","優適設計企業有限公司","臺北市松山區復興北路167號8樓之3"
"12600015","利得安企業管理有限公司","新北市蘆洲區長安街一二五號二樓"
"12600704","聯侑事業有限公司","花蓮縣花蓮市主睦里和平路336號1樓之1"
"12601128","詮普資訊科技股份有限公司","臺中市南屯區黎明東街一二０號"
"12601576","鈺電通建設開發有限公司","嘉義市永福三街21號1樓"
"12603060","三禾創意企業有限公司","桃園市中壢區龍東路二五五巷二二弄九一號一樓"
"12604336","耀聯文化事業有限公司","花蓮縣花蓮市和平路336號1樓之1"
"12604779","巨能國際廣告有限公司","苗栗縣頭份鎮大同路1號2樓"
"12605258","捷瑞郵聯有限公司","桃園市桃園區國豐七街64號7樓"
"12606658","哿令廣告事業有限公司","新北市永和區民權路92號4樓"
"12606806","華達廣告有限公司","新北市中和區安邦街二之二號三樓"
"12609114","金和吉國際租賃有限公司","臺中市龍井區東海里遠東街五二巷一三號"
"12609780","台灣大京廣告股份有限公司","臺中市北屯區綏遠路一段二六之五號一樓"
"12611152","美麗海廣告事業有限公司","臺南市安平區建平五街22巷36弄48號1樓"
"12611511","美麗人生空中超市股份有限公司","臺中市西屯區潮洋里朝貴一街148號1樓"
"12614117","永方有限公司","屏東縣萬丹鄉上村村上蚶路四一︱二號一樓"
"12614691","埜揚廣告有限公司","新北市三芝區忠孝街137號1樓"
"12617629","興傑盟廣告有限公司","新北市土城區中央路4段185巷55弄2號1樓"
"12618042","新竹大觀園科技媒體廣告有限公司","新竹市仙水里光復路一段三三三號一一樓之四"
"12618824","興禧慶事業有限公司","新北市永和區福和路三八九號十樓之四"
"12619371","康禾廣告事業有限公司","臺中市西屯區福安里工業區一路五八巷一一弄一○號一樓"
"12619400","發裕廣業股份有限公司","新北市新莊區新泰路十五號五樓"
"12619892","集志成廣告企劃有限公司","臺中市西區民權路217巷13號1樓"
"12622003","幻象電訊有限公司","高雄市鳳山區鎮西里中山西路4號"
"12622263","翃浩企業管理顧問股份有限公司","新北市新莊區民安西路三一七號"
"12622741","冠霖領袖股份有限公司","高雄市鳳山區文山里八德路１５０號"
"12623283","台灣蓋爾廣告有限公司","桃園市平鎮區金陵路三一○號"
"12623609","康禾建設股份有限公司","臺中市北區博館一街一二號二樓"
"12625640","易適房資訊有限公司","新北市板橋區漢生東路二九九巷二三號"
"12625825","豐臣秀吉科技有限公司","臺中市豐原區社皮里圓環西路二三號七樓"
"12626182","坤南股份有限公司","臺中市南屯區田心里南屯路2段383號1樓"
"12627041","寰宇開發有限公司","南投縣草屯鎮炎�閮膜丰蕈穭說部酗坐T號一樓"
"12627817","麗君國際財經行銷有限公司","新北市泰山區明志路三段一九六巷二一弄三三號"
"12627859","大竑企業管理顧問有限公司","新北市新店區民權路一一五號一樓"
"12628127","智通策略有限公司","新北市新店區力行路4巷6號(1樓)"
"12628533","新聯多媒體股份有限公司","雲林縣虎尾鎮光復路64號6樓"
"12629385","純粹創意整合行銷有限公司","新北市板橋區富貴里三民路2段37號22樓之1"
"12629982","瑞頡資訊有限公司","臺中市北區陜西路七六號一樓"
"12630159","京宇國際有限公司","新北市永和區永利路三二號一樓"
"12632776","東日團隊有限公司","新北市汐止區大同路1段111巷16號5樓"
"12632895","精緻廣告有限公司","新北市永和區秀朗路一段八一巷二︱一號一樓"
"12633156","昇兌國際企業有限公司","新北市土城區中央路3段4之10號"
"12634676","楓達國際股份有限公司","新北市三重區五華街五七巷三六號四樓　"
"12635470","全郁有限公司","新北市汐止區水源路1段188號4樓"
"12635915","皇地企業有限公司","新北市三重區重明里捷運路19巷33號"
"12637147","築善建設有限公司","新北市三重區自強路二段八四巷七號（四樓）"
"12637420","瑨源廣告企劃有限公司","臺中市北屯區僑孝街一九五號"
"12637884","科羅資訊股份有限公司","基隆市仁愛區曲水街五號三樓　"
"12638764","彩碩企業有限公司","臺中市北屯區平興里興安路二段142巷32號1樓"
"12639975","遠信行銷有限公司","臺中市西區忠誠里忠明南路四０號四樓"
"12640945","祺子廣告有限公司","桃園市桃園區春日里春日路９２０號６樓之２"
"12641536","東盛創意有限公司","新北市新莊區永安街147號"
"12642042","三碩資訊股份有限公司","新竹縣竹北市縣政十一街七四號"
"12642373","奇蹟生活科技股份有限公司","新北市樹林區保安街二段三三七巷五一號"
"12642583","啟德不動產仲介經紀有限公司","臺中市西區忠明里中美街三七九巷一二號三樓"
"12644409","元渼印刷有限公司","苗栗縣竹南鎮大埔里六鄰仁愛路881號1樓"
"12644560","成泰企管顧問有限公司","桃園市桃園區中山路七七九號三樓之一"
"12644750","岩手設計有限公司","臺南市安平區建平里怡平路一四○巷一七弄七號"
"12644983","高愿廣告有限公司","臺中市西區民龍里台中港路1段133號11樓之6"
"12645511","傳導廣告有限公司","桃園市中壢區龍川二街一○五號二樓"
"12646666","禾岦廣告事業有限公司","臺中市北屯區國校巷五七號一樓"
"12647314","宏楊國際資訊有限公司","臺中市潭子區中山路一段一巷三二號"
"12649642","新世代廣告有限公司","桃園市蘆竹區南福街19號1樓"
"12650422","偉博國際股份有限公司","臺北市中山區中山北路3段47號8樓"
"12650909","潗濠電訊科技有限公司","臺北市大安區八德路2段22號"
"12651409","東昇訊息有限公司","臺北市大安區信義路3段157巷10弄10號1樓"
"12651702","聯合創意網股份有限公司","臺北市大安區復興南路1段103號12樓之6"
"12651816","寶雄國際科技有限公司","臺北市士林區承德路４段２９２巷９號１樓"
"12653384","愛斯汀企業有限公司","臺北市松山區南京東路3段259號11樓"
"12653949","亞洲三禧科技股份有限公司","新北市永和區中山路一段311號16樓"
"12654399","台灣絲路數碼科技股份有限公司","新北市中和區景新街347號9樓之1"
"12655186","易理圖網路科技股份有限公司","臺北市中正區南海路48號地下樓"
"12655741","以斯帖企業有限公司","臺北市士林區文林路722之1號1樓"
"12655756","冠其企業有限公司","臺中市北區陝西路六三號七樓之一"
"12655995","智策慧行銷顧問股份有限公司","臺中市西區南屯路一段七五號一樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12656262","意思整合溝通有限公司","臺北市松山區健康路280號2樓"
"12657190","一一康馨搬家貨運有限公司","臺北市南港區研究院路3段86巷27弄1號1樓"
"12657608","藤蘿科技股份有限公司","臺北市大安區羅斯福路3段261號12樓"
"12658917","現代視覺管理顧問股份有限公司","新北市永和區福和路159號8樓"
"12659394","極元多媒體股份有限公司","臺北市中山區八德路2段312巷19號1樓"
"12659401","寄居蟹製作有限公司","臺北市大安區仁愛路４段３００巷３１弄５號２樓"
"12660548","克美科技有限公司","臺北市中山區新生北路2段31之1號5樓之3"
"12660673","夢想有限公司","新北市板橋區國光里國光路69號9樓"
"12662428","臺灣致典股份有限公司","新北市三重區重新路４段８９號８樓"
"12662877","文辰廣告有限公司","新北市三重區竹圍子街一七之一號　"
"12664093","新誼整合科技股份有限公司","臺北市內湖區新湖二路128號3樓"
"12664609","日電科技股份有限公司","臺北市信義區忠孝東路5段19號5樓之1"
"12667970","常泓廣告企業有限公司","臺北市大安區新生南路１段１４３巷１８之１號"
"12670356","彩之坊科技股份有限公司","新北市中和區中山路2段323號"
"12670399","點子王數位科技股份有限公司","臺北市大安區安和路2段217巷6號"
"12670715","邦臣廣告設計有限公司","臺北市信義區基隆路2段23號10樓之4"
"12672208","亞立田股份有限公司","臺北市中山區樂群二路189號8樓之1"
"12672592","華靜數位有限公司","臺北市中山區南京東路１段２號１１樓之１"
"12672967","統營企業有限公司","臺北市大同區錦西街５２巷１１號１樓"
"12673115","馬路通開發股份有限公司","臺北市中山區天祥路48巷2號4樓之3"
"12673348","吉家網股份有限公司","臺北市松山區八德路2段386號5樓之4"
"12673889","互助廣告事業有限公司","臺北市松山區撫遠街374號5樓"
"12674212","立天世紀數位行銷有限公司","臺北市內湖區康寧路1段136號"
"12674310","宇宙村科技股份有限公司","新北市三重區福德北路五三巷八號四樓"
"12674584","四海科技股份有限公司","臺北市大安區敦化南路1段161巷70號1樓"
"12674711","工時廣告有限公司","臺北市中山區南京東路１段２號１１樓之１"
"12674965","自然包裝科技事業有限公司","臺北市大安區敦化南路１段３７６號２樓"
"12675459","壹体創意顧問股份有限公司","臺北市松山區民生東路５段２０４號２樓之１"
"12675893","笑傲江湖管理顧問有限公司","臺北市信義區基隆路２段５１號８樓之３"
"12676112","傳達廣告事業有限公司","臺北市大安區敦化南路２段１２８號１６樓之１"
"12676366","華薌國際股份有限公司","臺北市文山區景後街１２９號５樓"
"12677365","維思整合行銷有限公司","臺北市松山區南京東路3段303巷6弄11號"
"12677528","視影實業股份有限公司","臺北市信義區忠孝東路5段71巷26之1號"
"12677576","網店通科技有限公司","臺北市松山區南京東路５段４０號８樓之１１"
"12677772","衣航企業有限公司","臺北市中山區林森北路485巷14號1樓"
"12678596","摩太創意開發有限公司","臺北市大安區忠孝東路4段216巷27弄4號1樓403室"
"12678809","鉅震網路事業有限公司","臺北市萬華區西藏路１２５巷１７號１樓"
"12679504","法興實業有限公司","臺北市大安區復興南路1段128號"
"12679820","新中國際網路報業有限公司","臺北市中正區博愛路25號8樓之14"
"12680544","平耕企業有限公司","臺北市文山區福興路52號"
"12680609","星海傳播有限公司","臺北市大安區光復南路260巷24號2樓"
"12681641","網訊電通股份有限公司","臺北市信義區東興路45號11樓"
"12682212","順風企劃股份有限公司","臺北市中山區長安東路２段１８９號１０樓之１３"
"12682590","禹達有限公司","臺北市信義區忠孝東路５段４１２號１５樓之４"
"12682705","艾立門國際有限公司","臺北市大安區辛亥路2段109號1樓"
"12684226","鑫瑞廣告事業有限公司","臺北市大安區忠孝東路4段142號11樓"
"12684422","楷思行銷有限公司","臺北市大同區延平北路1段54號4樓"
"12684942","志瑾傳播有限公司","臺北市松山區八德路４段９１巷３弄９號７樓"
"12684979","豐禎電視事業股份有限公司","臺北市信義區基隆路1段155號5樓之9"
"12685288","奇碁亞洲電子商務股份有限公司",""
"12685610","集源廣告事業有限公司","臺北市中正區延平南路61號9樓之9"
"12686553","唐月活動行銷有限公司","臺北市松山區敦化南路1段102號3樓"
"12686955","吉尼爾管理顧問有限公司","臺北市中山區長春路３２８號５樓之３"
"12687125","博利特公關顧問有限公司","臺北市信義區松德路12號9樓"
"12687574","豐裘廣告有限公司","臺北市中山區興安街100號3樓之5"
