"統一編號","公司名稱","公司地址"
"00658429","國聯報關有限公司","基隆市仁愛區孝二路21-1號2樓"
"00662161","永誠報關有限公司","基隆市仁愛區忠二路63號3樓"
"01129588","億皇實業有限公司","桃園市桃園區中聖里國聖一街３７號７樓"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"01456007","文禮印刷有限公司","臺北市中正區羅斯福路４段１６２號９樓之２"
"01458413","宇田企業有限公司","新北市三重區三德街30號(1樓)"
"01515863","偉立防震顧問有限公司","臺北市大安區敦化南路1段183號5樓"
"01871118","神寶生技開發有限公司","新北市新莊區中港路591巷25號1樓"
"01891000","龍正印刷事業有限公司","新北市板橋區三民路2段正隆巷6之1號2樓"
"01978499","甲尚打字印刷有限公司","新北市新莊區公園路42號1樓"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02360199","天皇企業有限公司","新北市中和區大智街55巷30弄25號之一"
"02626992","楷瑞科技印刷股份有限公司","桃園市桃園區汴洲里春日路1414巷13號1樓"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03134329","生季顧問有限公司","臺北市中正區紹興北街2巷1號3樓"
"03183405","光隆印刷廠股份有限公司","臺北市中正區漢口街1段61號2樓"
"03539216","台貿旺有限公司","基隆市安樂區樂利三街263巷19弄11之4號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"04202062","巨流圖書股份有限公司","高雄市左營區重和路51巷39號"
"04250964","庠隆企業有限公司","新北市新店區中正路六一０號一樓"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04383129","全華圖書股份有限公司","新北市土城區忠義路21號"
"04443153","晨東實業股份有限公司","臺北市大同區鄭州路119號2樓之3"
"04489586","衍良設計事業有限公司","臺北市大同區太原路97巷19號"
"04496117","特典有限公司","臺北市中山區新生北路1段62巷1號"
"04518745","大發事務機器有限公司","臺北市信義區松信路3號"
"04601672","鈺龍數位印刷有限公司","新北市中和區橋和路115號2樓117號2樓"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"04677840","精彩彩色印刷股份有限公司","新北市三重區中興南街三三之一號二樓"
"04815219","福同美術印刷有限公司","臺北市南港區福德街339巷3弄3號1樓"
"04846705","三聯彩色印刷有限公司","臺北市文山區辛亥路7段5巷18號1樓"
"04882639","維福企業有限公司","臺北市大安區基隆路2段230號1樓"
"04900812","宏華有限公司","臺北市文山區羅斯福路5段88之5號1樓"
"04924217","吉信圖書文具有限公司","臺北市大安區和平東路1段75巷1號1樓"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05105904","精石國際股份有限公司","臺北市中正區汀州路3段184號"
"05132796","興騎企業有限公司","臺北市中正區羅斯福路4段24巷1號"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05138362","臺灣資料縮影股份有限公司","臺北市信義區東興路39號2樓"
"05154073","美育企業管理顧問有限公司","臺北市中正區羅斯福路2段8巷1號4樓"
"05163946","凱星電通科技有限公司","臺北市萬華區環河南路2段250巷3弄2號"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05627615","金品工藝實業有限公司","臺北市中正區博愛路191巷6號1樓"
"07613308","亞東開發科技有限公司","臺北市士林區前港街120巷1號1樓"
"07622475","臺新攝影彩色冲印有限公司","臺北市大同區延平北路3段24號1樓"
"07708830","花仙子企業股份有限公司","臺北市大同區承德路3段230號13樓"
"07723157","鴻邦印刷事業有限公司","臺北市大同區貴德街3號"
"09423971","宏旭文化有限公司","新北市板橋區中山路2段416巷54弄6號　"
"09497781","常在欣業有限公司","臺北市大安區仁愛路4段107號15樓"
"11039306","士林電機廠股份有限公司","臺北市士林區忠誠里19鄰中山北路6段88號16樓"
"11090513","今日數位彩印有限公司","臺北市大同區長安西路33號2樓"
"11255964","先鋒打字印刷有限公司","臺北市中山區林森北路133巷16號3樓"
"11725115","台華船務代理股份有限公司","新北市八里區中山路2段500巷8號"
"11768704","義美食品股份有限公司","臺北市大同區延平北路2段31號1樓"
"12032908","耀豐股份有限公司","臺北市中正區中華路2段59、61號3樓"
"12183834","統一數位翻譯股份有限公司","臺北市內湖區民權東路6段23號6樓之2"
"12184778","慧豐行有限公司","臺北市中山區錦州街２４５號１樓"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12258779","公成興股份有限公司","臺北市中正區紹興北街31巷4號"
"12342777","懿鑫實業有限公司","臺北市中山區八德路2段267巷9弄4號"
"12355322","永承文具印刷有限公司","臺北市中山區中山北路2段115巷27號1樓"
"12387540","信立事務機器有限公司","臺北市中山區新生北路2段141巷33號1樓"
"12400810","台灣歐力士股份有限公司","臺北市大安區復興南路1段303號11樓"
"12423010","良機事務機器有限公司","臺北市中山區建國北路2段143-1號"
"12440658","永佳有限公司","臺北市大安區忠孝東路3段201號2樓"
"12514855","六通通信科技有限公司","桃園市中壢區光輝街13號1樓"
"12565143","欣九國際有限公司","臺北市中山區長安東路2段50號5樓之5"
"12600704","聯侑事業有限公司","花蓮縣花蓮市主睦里和平路336號1樓之1"
"12602317","近春傳訊科技股份有限公司","臺中市潭子區勝利一三街八號"
"12604336","耀聯文化事業有限公司","花蓮縣花蓮市和平路336號1樓之1"
"12607333","峻愷企業顧問有限公司","新北市中和區國光街215巷4弄17號5樓"
"12611364","新昌沖印事業有限公司","臺南市中西區金華路四段五二號"
"12614117","永方有限公司","屏東縣萬丹鄉上村村上蚶路四一︱二號一樓"
"12614566","鑫世華印刷事業有限公司","新北市中和區華順街三○巷一四號一樓"
"12617629","興傑盟廣告有限公司","新北市土城區中央路4段185巷55弄2號1樓"
"12618465","協聲企業有限公司","新北市中和區中山路二段431號"
"12619077","久岱興業有限公司","臺中市大里區東興里東明路300號1樓"
"12619366","蕎聲科技有限公司","臺中市西屯區何安里四川一街四○號一樓"
"12619371","康禾廣告事業有限公司","臺中市西屯區福安里工業區一路五八巷一一弄一○號一樓"
"12622329","驊鈺科技有限公司","新北市汐止區大同路1段263號3樓"
"12624918","隆門彩色印刷有限公司","基隆市七堵區自治北街一號一樓　"
"12625249","真工藝術事業有限公司","臺中市東區東英里旱溪街三九七號一樓"
"12631071","宏技文化實業有限公司","桃園市大溪區田心里民權東路77號1樓"
"12634676","楓達國際股份有限公司","新北市三重區五華街五七巷三六號四樓　"
"12638552","優佳立廣告企劃有限公司","臺中市南區積善里國光路二二八號一樓"
"12639530","謙達事務機器有限公司","臺中市后里區義德里中興街一一五巷二六號一樓"
"12639980","晉和印刷有限公司","臺中市潭子區栗林里民生街150號"
"12641254","捷米羅運動用品有限公司","臺中市西屯區至善路一二一巷一號一樓"
"12642900","鴻福印刷裝訂有限公司","新北市中和區立德街二八號二樓"
"12644409","元渼印刷有限公司","苗栗縣竹南鎮大埔里六鄰仁愛路881號1樓"
"12646477","太而浦科技有限公司","新竹市關東里光復路一段一八二號"
"12651816","寶雄國際科技有限公司","臺北市士林區承德路４段２９２巷９號１樓"
"12653048","雲集印刷股份有限公司","新北市中和區中原里橋安街41號5樓"
"12653770","奇臻廣告事業股份有限公司","臺北市松山區東興路２６號６樓"
"12654454","乘隆彩色印刷有限公司","新北市中和區中山路二段530號7樓之1"
"12655186","易理圖網路科技股份有限公司","臺北市中正區南海路48號地下樓"
"12655778","卓越世界文化股份有限公司","臺北市中山區南京東路２段９６號１２樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12660364","上閤企業有限公司","新北市淡水區中山北路1段71號3樓"
"12660505","第一街數位影像有限公司","臺北市大安區和平東路2段102號"
"12663159","美好樂科技休旅有限公司","臺北市大同區西寧北路78-18號9樓"
"12665071","韶瑞開發股份有限公司","臺北市內湖區基湖路35巷49號6樓之1"
"12665240","博捷視覺設計有限公司","臺北市大同區寧夏路107號1樓"
"12665699","泳森國際有限公司","桃園市蘆竹區新莊里大興路20巷8號(2樓)"
"12666120","第一超市股份有限公司","臺北市松山區南京東路4段1號"
"12666655","卓越知識管理股份有限公司","臺北市中山區南京東路2段96號12樓"
"12667330","虎躍國際股份有限公司","臺北市中山區民生東路1段29號6樓之5"
"12670356","彩之坊科技股份有限公司","新北市中和區中山路2段323號"
"12671600","津成室內裝修工程有限公司","臺北市信義區永吉路200巷41弄12號"
"12671876","丰翔電腦排版有限公司","臺北市大安區新生南路3段76巷12弄13號1樓"
"12672431","灃沛實業有限公司","臺北市文山區萬盛街２６號１樓"
"12674347","新豐多媒體股份有限公司","新北市新店區寶中路９５之４號"
"12674965","自然包裝科技事業有限公司","臺北市大安區敦化南路１段３７６號２樓"
"12681425","西仕旅廣有限公司","臺北市信義區基隆路1段155號5樓之3"
"12683090","宸易多媒體文化事業股份有限公司","臺北市大同區重慶北路1段24號4樓"
"12683205","耶勒克設計有限公司","新北市林口區中興街16號4樓"
"12683752","麥田資訊股份有限公司","新北市中和區板南路496-6號(1樓)"
"12684035","宏盛文具印刷有限公司","臺北市中山區中原街48號"
"12686630","智略諾雅顧問有限公司","臺北市中山區林森北路131號5樓"
"12686765","宇學企業股份有限公司","臺北市中正區許昌街42之1號11樓"
"12688068","勤耀企業有限公司","臺北市內湖區內湖路1段411巷89弄2號1樓"
"12688953","鉅富霖有限公司","臺北市大安區忠孝東路4段176號7樓"
"12689046","秀銘科技有限公司","臺北市中正區林森南路4號7樓"
"12690276","昆承有限公司","臺北市內湖區大湖街131巷2弄6號2樓之1"
"12695167","展新益企業有限公司","臺北市信義區基隆路1段155號7樓"
"12695286","鈞嶽文化事業有限公司","新北市中和區景平路四九三巷七之三號"
"12696481","淂旭彩藝印刷有限公司","新北市中和區永和路九○巷二弄一二之四號"
"12699494","櫞騰有限公司","臺北市信義區莊敬路201號1樓"
"12700324","阡辰企業有限公司","桃園市平鎮區新勢里新榮路72號1樓"
"12703568","智慧水事業有限公司","臺中市太平區長安七街40巷2號2樓"
"12707207","林冠企業有限公司","臺中市南屯區大同里大墩五街159號1樓"
"12708206","伊世代企業管理顧問有限公司","新北市板橋區文化路一段一三三號三樓"
"12714474","壹得有限公司","臺中市潭子區頭家東里中山路一段288號"
