"統一編號","公司名稱","公司地址"
"00662161","永誠報關有限公司","基隆市仁愛區忠二路63號3樓"
"00668524","人祥印刷文具股份有限公司","基隆市仁愛區孝二路93巷11號"
"00852373","慶豐報關股份有限公司","基隆市仁愛區忠三路99號4樓之2"
"01129588","億皇實業有限公司","桃園市桃園區中聖里國聖一街３７號７樓"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"01456007","文禮印刷有限公司","臺北市中正區羅斯福路４段１６２號９樓之２"
"01458413","宇田企業有限公司","新北市三重區三德街30號(1樓)"
"01978499","甲尚打字印刷有限公司","新北市新莊區公園路42號1樓"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02626992","楷瑞科技印刷股份有限公司","桃園市桃園區汴洲里春日路1414巷13號1樓"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03134329","生季顧問有限公司","臺北市中正區紹興北街2巷1號3樓"
"03183405","光隆印刷廠股份有限公司","臺北市中正區漢口街1段61號2樓"
"03351845","益盛系統科技有限公司","臺北市中山區林森北路479號5樓之2"
"03539216","台貿旺有限公司","基隆市安樂區樂利三街263巷19弄11之4號"
"03583009","宜茂事業有限公司","新北市樹林區學勤路426號3樓"
"03584817","雍興實業股份有限公司","臺北市中山區吉林路100號7樓"
"04250964","庠隆企業有限公司","新北市新店區中正路六一０號一樓"
"04261738","滋味珍企業有限公司","臺南市中西區國華街二段165號2樓"
"04383129","全華圖書股份有限公司","新北市土城區忠義路21號"
"04443153","晨東實業股份有限公司","臺北市大同區鄭州路119號2樓之3"
"04479546","正有打字印刷有限公司","臺北市大同區重慶北路3段136巷31號1樓"
"04496117","特典有限公司","臺北市中山區新生北路1段62巷1號"
"04518745","大發事務機器有限公司","臺北市信義區松信路3號"
"04565795","模你達視聽有限公司","臺北市信義區基隆路2段131之12號5樓"
"04601672","鈺龍數位印刷有限公司","新北市中和區橋和路115號2樓117號2樓"
"04616226","神鵬實業有限公司","臺北市文山區木新路2段69巷2號2樓"
"04738369","翠德實業股份有限公司","臺北市大安區忠孝東路4段142號3樓之2"
"04815219","福同美術印刷有限公司","臺北市南港區福德街339巷3弄3號1樓"
"04846705","三聯彩色印刷有限公司","臺北市文山區辛亥路7段5巷18號1樓"
"04900812","宏華有限公司","臺北市文山區羅斯福路5段88之5號1樓"
"04924217","吉信圖書文具有限公司","臺北市大安區和平東路1段75巷1號1樓"
"05001529","隆盛欣企業有限公司","新北市板橋區松柏里1鄰松柏街36巷2之3號"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05024109","仟業國際有限公司","臺北市中正區重慶南路2段88之1號"
"05026964","勝昱打字排版印刷有限公司","新北市板橋區光武街３６巷１７之３號"
"05154073","美育企業管理顧問有限公司","臺北市中正區羅斯福路2段8巷1號4樓"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05259323","駿逸企業有限公司","臺北市大同區環河北路2段213巷10號1樓"
"05419335","正弦實業股份有限公司","新北市土城區永豐路201號5樓"
"05714580","托福顧問有限公司","臺北市中正區南陽街50號4樓"
"07096542","弘明印刷設計股份有限公司","新北市中和區中原里立德街95號"
"07723157","鴻邦印刷事業有限公司","臺北市大同區貴德街3號"
"07839798","統潔企業有限公司","高雄市鳳山區凱旋路8號2樓"
"09497781","常在欣業有限公司","臺北市大安區仁愛路4段107號15樓"
"11090513","今日數位彩印有限公司","臺北市大同區長安西路33號2樓"
"11255964","先鋒打字印刷有限公司","臺北市中山區林森北路133巷16號3樓"
"11464836","美台股份有限公司","臺北市松山區光復北路82號3樓"
"11603443","基洲企業股份有限公司","臺北市中山區松江路363號7樓"
"11725115","台華船務代理股份有限公司","新北市八里區中山路2段500巷8號"
"12150833","根園有限公司","宜蘭縣冬山鄉得安村梅林路945號"
"12183834","統一數位翻譯股份有限公司","臺北市內湖區民權東路6段23號6樓之2"
"12184778","慧豐行有限公司","臺北市中山區錦州街２４５號１樓"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12204232","穎翰企業股份有限公司","臺北市中山區新生北路３段４３號１１樓之２１"
"12258779","公成興股份有限公司","臺北市中正區紹興北街31巷4號"
"12308932","龍檳企業有限公司","臺北市中山區南京東路1段86號10樓之5"
"12326621","定亮企業有限公司","臺北市大同區錦西街170號"
"12355322","永承文具印刷有限公司","臺北市中山區中山北路2段115巷27號1樓"
"12447337","德威運通股份有限公司","臺北市大安區復興南路1段204號4樓之1及4樓之2"
"12448716","佑華印刷有限公司","新北市中和區華順街30巷14號1樓"
"12488532","金羊企業有限公司","臺北市中山區松江路100巷13-1號3樓"
"12565143","欣九國際有限公司","臺北市中山區長安東路2段50號5樓之5"
"12600704","聯侑事業有限公司","花蓮縣花蓮市主睦里和平路336號1樓之1"
"12602317","近春傳訊科技股份有限公司","臺中市潭子區勝利一三街八號"
"12603152","龍琦文化事業有限公司","臺中市豐原區北陽里豐東路八六號"
"12604336","耀聯文化事業有限公司","花蓮縣花蓮市和平路336號1樓之1"
"12607333","峻愷企業顧問有限公司","新北市中和區國光街215巷4弄17號5樓"
"12608425","承軒視覺設計有限公司","新北市中和區保健路36之3號"
"12608781","新雷達資訊有限公司","桃園市平鎮區金山街七一號一樓"
"12611293","吉發有限公司","嘉義市西區湖邊里博愛路1段392號"
"12611569","漢竔電腦有限公司","基隆市信義區信一路133之7號5樓"
"12614117","永方有限公司","屏東縣萬丹鄉上村村上蚶路四一︱二號一樓"
"12614566","鑫世華印刷事業有限公司","新北市中和區華順街三○巷一四號一樓"
"12617156","通華管理顧問股份有限公司","臺北市大安區金山南路２段１４８號３樓"
"12624918","隆門彩色印刷有限公司","基隆市七堵區自治北街一號一樓　"
"12625389","萬宇通有限公司","桃園市龍潭區八德里六鄰梅龍一街八巷三一號"
"12627112","恭正資訊有限公司","彰化縣員林鎮中正路375號"
"12631071","宏技文化實業有限公司","桃園市大溪區田心里民權東路77號1樓"
"12636490","彩印通事業有限公司","臺中市中區成功路44號1樓"
"12638194","珈瑪股份有限公司","新北市汐止區福安街二○巷二五弄四號五樓"
"12642900","鴻福印刷裝訂有限公司","新北市中和區立德街二八號二樓"
"12643817","易修文化事業有限公司","基隆市七堵區長安街二四七巷四二號一樓"
"12651724","英奇達資訊股份有限公司","新北市板橋區三民路1段210號6樓"
"12651816","寶雄國際科技有限公司","臺北市士林區承德路４段２９２巷９號１樓"
"12651935","維德國際開發有限公司","臺北市信義區基隆路2段91號12樓"
"12653173","陞瑞國際有限公司","臺北市中山區松江路５２０之１號１樓"
"12653244","華通國際管理顧問股份有限公司","臺北市中山區民生東路２段１１４號２樓"
"12653770","奇臻廣告事業股份有限公司","臺北市松山區東興路２６號６樓"
"12654454","乘隆彩色印刷有限公司","新北市中和區中山路二段530號7樓之1"
"12655778","卓越世界文化股份有限公司","臺北市中山區南京東路２段９６號１２樓"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
