"統一編號","公司名稱","公司地址"
"00026901","利恩交通股份有限公司","高雄市小港區山明里華山路103號1樓"
"00061717","中台通運股份有限公司","基隆市中正區義一路87號9樓之1"
"00145701","東方通運有限公司","基隆市仁愛區文昌里孝三路30巷30號5樓"
"00172002","和泰汽車貨運股份有限公司","基隆市仁愛區忠三路99號7樓之11"
"00281206","和豐汽車貨運股份有限公司","桃園市中壢區三民里15鄰中正路684號4樓"
"00658429","國聯報關有限公司","基隆市仁愛區孝二路21-1號2樓"
"00660608","華興報關有限公司","基隆市仁愛區新店里孝二路93巷6號"
"00662161","永誠報關有限公司","基隆市仁愛區忠二路63號3樓"
"00664338","平安運輸有限公司","臺北市士林區德行東路266巷8號2樓"
"00665483","長豐報關有限公司","基隆市仁愛區孝二路三九號五樓一二室"
"00670198","允明企業有限公司","基隆市仁愛區忠三路99號6樓之6、7"
"00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓"
"00682568","瑞豐行關有限公司","基隆市信義區花源五街5之1號7樓"
"00688438","惠眾報關有限公司","基隆市義二路181號"
"00693734","中僑汽車貨運有限公司","基隆市仁愛區忠三路99號7樓之11"
"00701122","臺聯貨櫃通運股份有限公司","基隆市七堵區堵南里8鄰三合街2號"
"00701755","源泉鋼鐵股份有限公司","臺北市中山區民權東路3段2號12樓"
"00703796","遠志交通有限公司","基隆市仁愛區忠三路99號7樓之9"
"00801776","大順報關行股份有限公司","臺北市中山區林森北路50號8樓之5"
"00802769","新億通運股份有限公司","新北市新莊區雙鳳路102號11樓"
"00819683","上承交通有限公司","基隆市中正區義一路二一二號七樓"
"00828156","大豐通運股份有限公司","新北市汐止區保安里大同路3段400號"
"00828326","巨昇貨運股份有限公司","桃園市平鎮區義興里育達路205號"
"00842024","永信報關有限公司","基隆市中山區安一路1號7樓"
"00850109","新中旅通運股份有限公司","基隆市中正區義一路18號13樓（A）棟　"
"00852373","慶豐報關股份有限公司","基隆市仁愛區忠三路99號4樓之2"
"00872547","僑泰汽車貨運股份有限公司","基隆市仁愛區忠三路99號7樓之11"
"00895008","遠至交通有限公司","基隆市仁愛區忠三路99號7樓之11"
"01128954","華新貿易有限公司","桃園市中壢區裕民街26-1號6樓"
"01176152","中菲行國際物流股份有限公司","臺北市內湖區民權東路6段160號11樓"
"01176385","新州電腦股份有限公司","臺北市大安區復興南路1段380號11樓"
"01177440","蘭潔有限公司","臺北市中山區錦州街124號2樓"
"01193130","哈伯實業有限公司","臺北市中山區建國北路2段88號10樓"
"01193862","馭航股份有限公司","臺北市內湖區瑞湖街103號5樓之2"
"01405633","榮德彩色印刷有限公司","臺北市萬華區東園街35巷62號(1樓)"
"01409976","恒業事務用品股份有限公司","新北市林口區工二區工四路3號"
"02565708","日福汽車貨運股份有限公司","桃園市桃園區國強二街277巷2弄5號1樓"
"02627134","佑崧交通股份有限公司","桃園市蘆竹區大興路335號2樓"
"02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號"
"02637175","桃立塑膠企業股份有限公司","桃園市龜山區南上里民生北路1段2巷2弄10號"
"03122301","台北丸台運送股份有限公司","高雄市苓雅區凱旋一路43號2樓"
"03244509","亞洲水泥股份有限公司","臺北市大安區敦化南路2段207號30、31樓"
"03283306","厚生股份有限公司","臺北市中正區漢口街1段82號8樓"
"03322504","建台水泥股份有限公司","高雄市苓雅區意誠里5鄰自強三路3號24樓之6"
"03351845","益盛系統科技有限公司","臺北市中山區林森北路479號5樓之2"
"03387506","亞東生技有限公司","桃園市中壢區裕民街26-1號6樓"
"03522600","遠東新世紀股份有限公司","臺北市大安區敦化南路2段207號36樓"
"03539216","台貿旺有限公司","基隆市安樂區樂利三街263巷19弄11之4號"
"03584817","雍興實業股份有限公司","臺北市中山區吉林路100號7樓"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路2段55號"
"03799802","聯合報股份有限公司","新北市汐止區大同路1段369號"
"04146610","國成國際物流股份有限公司","新北市汐止區大同路2段240號9樓之3"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04206709","士盟國際通運股份有限公司","臺北市南港區八德路4段778號2樓"
"04230623","亞太國際物流股份有限公司","高雄市小港區東亞路2號"
"04256284","億采交通股份有限公司","高雄市小港區高鳳路276號1樓"
"04287483","立益紡織股份有限公司","桃園市平鎮區雙連里雙福路1段65號"
"04327387","永全貨運有限公司","臺北市南港區東新街187號"
"04345414","玟志企業有限公司","臺北市中山區北安路458巷47弄2號1樓"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04368767","永光彩色印刷股份有限公司","新北市中和區建三路9號"
"04398474","貿聯企業股份有限公司","臺北市中正區濟南路一段15號"
"04400226","帝國通運股份有限公司","臺北市松山區民族東路695號"
"04400295","擎天通運有限公司","臺北市大安區復興南路1段135巷15號3樓之3"
"04412124","欣臨企業股份有限公司","臺北市中山區南京東路3段70號4樓"
"04413904","遠弘實業有限公司","新北市土城區中正路67巷27號"
