"統一編號","公司名稱","公司地址"
"00067509","友聯公證股份有限公司","基隆市信義區信一路133之5號7樓"
"00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓"
"00692046","瑞聯公證股份有限公司","基隆市信義區信一路133之5號7樓"
"00852710","富煜資產管理顧問股份有限公司","基隆市中山區中和路85巷5弄30號1樓"
"04460997","中國不動產鑑定中心股份有限公司","臺北市松山區松江路50號11樓"
"05024641","造鑫企業有限公司","臺北市北投區明德路113巷4弄2號1樓"
"05127604","世界翻譯有限公司","臺北市中正區重慶南路1段121號6樓之20"
"05133444","中建公證有限公司","臺北市中正區杭州南路1段27號11樓"
"11616101","國泰公證股份有限公司","臺北市中山區中山北路2段129號4樓"
"12105486","七洋聯運股份有限公司","臺北市中山區南京東路2段206號11樓"
"12208011","伍峰企業有限公司","臺北市松山區南京東路5段336號4樓之5"
"12369971","全國公證檢驗股份有限公司","臺北市內湖區瑞光路417號5樓及6樓419號8樓之1、9樓之1、10樓之1、11樓之1、12樓之1、13樓之1、419號至423號之5樓、6樓、8樓、9樓、10樓、11樓、12樓、13樓"
"12445099","東亞非破壞檢查有限公司","新竹縣湖口鄉長嶺村12鄰中平路2段68號"
"12461442","鈺翔廣告股份有限公司","臺北市中山區建國北路3段79號7樓"
"12514551","中亞資產鑑定股份有限公司","臺北市中山區松江路26巷5號6樓"
"12600107","朋笛鑑定顧問有限公司","臺中市南屯區文心路一段三七八號一○樓之三"
"12604238","台西公共關係管理顧問股份有限公司","新北市板橋區民生路3段229號"
"12619393","宏益品質驗證顧問有限公司","彰化縣二水鄉五伯村過圳路一二二號一樓"
"12632558","麒鴻財務管理顧問有限公司","嘉義市西區保安里一○鄰八德路三一七號三樓　"
"12640754","裕展實業有限公司","嘉義市垂楊里新建街八巷一七號六樓一"
"12659388","立詮資產鑑定管理有限公司","臺北市中山區中山北路1段72號3樓之3"
"12660548","克美科技有限公司","臺北市中山區新生北路2段31之1號5樓之3"
"12681136","強立國際有限公司","臺北市松山區南京東路５段３３６號９樓之６"
"12683612","高平榮華財務管理有限公司","臺北市中山區錦州街286號1樓"
"12683768","誠安質量檢驗股份有限公司","臺北市內湖區新湖三路23號5樓"
"12701652","峰日建設開發有限公司","新竹市北區客雅里北新街131號3樓之39"
"12703146","法柯特有限公司","臺中市南屯區東興東街六五號一樓"
"12708108","勝德企業有限公司","臺中市大肚區王田里沙田路一段320巷54之1號"
"12716769","獵戶星企業股份有限公司","臺中市北區錦祥里北屯路18號11樓之6"
"12730045","快好貨運有限公司","高雄市鳳山區南京路250號"
"12732206","綜理有限公司","臺中市梧棲區頂寮里四維東路一六三號一樓"
"12738659","寶發誠綜商文書處理有限公司","新北市鶯歌區永明街１０９之１號１樓"
"12743837","駿鼎國際企業管理顧問有限公司","臺中市南區光輝街74號1樓"
"12748447","日鼎檢測事業股份有限公司","桃園市蘆竹區新興里上興路54號2樓"
"12757228","莨蓁國際有限公司","彰化縣彰化市寶廍里寶廍路87號1樓"
"12762073","聯合國環球事業有限公司","雲林縣西螺鎮河南里河南五五之十九號"
"12772712","賓聯國際財務顧問有限公司","臺中市梧棲區中棲路一段一巷七六號一樓"
"12776724","聯德管理顧問有限公司","新北市中和區大勇街三一巷二七弄四之一號"
"12782113","嘉德檢驗科技有限公司","嘉義市西區保安里自由路四九二號"
"12788799","匯佳企業有限公司","臺中市西區忠誠里大隆路廿號九樓之九"
"12828547","亞克晟企業有限公司","新北市新莊區建安街17巷10號"
"12831326","清厚資源整合股份有限公司","嘉義縣民雄鄉建國路三段８３之１號"
"12833886","禾名實業有限公司","新北市中和區中山路３段２９號１樓"
"12842604","歐吉公證有限公司","臺中市西區忠誠里忠明南路一六號一○樓之七"
"12842837","元麒船舶機械有限公司","臺中市梧棲區草湳里文昌路七五二號"
"12865514","異視行銷市場調查股份有限公司","臺北市中山區復興北路2號7樓之3"
"12868343","知識經濟股份有限公司","臺北市大安區基隆路2段164號2樓之1"
"12872661","先知國際企業有限公司","臺北市中山區德惠街34號11樓之25"
"12885666","順薪投資顧問有限公司","臺中市南區樹義里文心南路七二九號二樓"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12908513","松下開發實業有限公司","新北市樹林區柑園街1段343號1樓"
"12910969","金達國際管理顧問有限公司","臺中市南屯區文心路一段三七八號一０樓之六"
"12921163","達亞國際實業股份有限公司","高雄市鳳山區忠義里光復路2段327號1樓"
"12927151","京魁系統股份有限公司","新北市汐止區莊敬街38號10樓"
"12933766","誌軍智慧系統股份有限公司","臺北市中山區民生東路1段43號4樓"
"12935650","資皓科技股份有限公司","新北市永和區秀安街13巷3號3樓"
"12944519","惠航船舶管理股份有限公司","臺北市大安區復興南路2段237號12樓之3"
"12949850","揚昇企業顧問有限公司","臺北市中山區長安東路2段80號8樓之4"
"12956731","穎川管理顧問有限公司","臺北市北投區大業路382號10樓之1"
"12967625","城泰實業有限公司","新北市鶯歌區鳳鳴街１８０號"
"12972161","東方日星國際興業股份有限公司","新北市新店區寶中路76號3樓"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"12976791","富華實業有限公司","臺北市松山區南京東路４段１８６號１３樓之６"
"12982127","台灣威爾國際驗證有限公司","新北市鶯歌區永吉里鶯桃路二六八巷一六弄六號"
"13001544","居禮語文學習顧問有限公司","臺中市大里區新里里德芳南路三七○號一樓"
"13003389","鴻仁科技有限公司","新北市汐止區大同路三段196-11號3樓"
"13010847","萬達佛國際驗證有限公司","新北市新莊區建中街一六二號五樓"
"13024743","特點企業管理顧問有限公司","新北市三重區重新路四段九七號一四樓之二"
"13031110","台灣智權代理有限公司","新北市永和區中和路343號12樓之3"
"13037938","全亞東不動產仲介經紀有限公司","新北市淡水區民生里民權路25號7樓之3"
"13038084","廣達成不動產仲介經紀有限公司","臺南市北區大豐里武聖路一四二號一樓"
"13046021","祥輔企業管理顧問有限公司","嘉義縣水上鄉寬士村崎子頭27之262號1樓"
"13048999","郡達國際有限公司","新北市萬里區愛三街一七號三樓"
"13054302","精通工程顧問有限公司","桃園市桃園區國際路二段一五六巷二之三號"
"13056651","生昇企業管理諮詢顧問有限公司","桃園市桃園區守法路三六號"
"13059989","民富企業管理顧問有限公司","桃園市桃園區國際路2段49號"
"13065976","宸剛有限公司","桃園市八德區忠勇一街70巷8號1樓"
"13066757","太和建經資產管理股份有限公司","臺中市南區學府路一三三︱八號一樓"
"13072511","永椿實業有限公司","新北市汐止區忠孝東路三一二號四樓"
"13076973","赫姿國際開發有限公司","臺中市北區頂厝里崇德路一段六二九號一一樓之二"
"13079303","台灣中檢有限公司","臺中市北區賴興里文心路四段二０八之一號九樓之二"
"13080596","銘陞專業顧問有限公司","花蓮縣花蓮市國治里復興街五九號一樓"
"13090905","數位資財管理有限公司","新北市板橋區鄕雲里大華街124號1樓"
"13097702","陸台國際有限公司","臺北市松山區南京東路5段40號17樓之7"
"13103057","鴻霖貿易股份有限公司","臺北市松山區南京東路５段２６８號１樓"
"13109643","貞觀生醫科技股份有限公司","新北市中和區中正路736號4樓之6"
"13122527","中天聯合企業股份有限公司","臺北市中山區民權東路1段48號11樓之2"
"13128851","富儀國際科技股份有限公司","臺北市內湖區瑞光路188巷48號7樓"
"13133587","木易國際有限公司","新北市三重區仁愛街二七巷二號"
"13134523","承智國際有限公司","臺北市中山區吉林路142號5樓"
"13135939","永新國際商業諮詢股份有限公司","新北市永和區永和路1段69號11樓"
"13175707","科寶公證有限公司","高雄市前鎮區明道北街51號"
"13185347","日昇科技有限公司","高雄市三民區自立一路340號1樓"
"13187197","信誠理財顧問有限公司","高雄市前鎮區瑞隆里崗山南街277巷46號5樓"
"13190593","恒和國際股份有限公司","高雄市前金區河東路2號7樓之1"
"15065108","中華徵信所企業股份有限公司","臺北市信義區東興路57號5樓"
"16011550","名亨國際企業有限公司","臺中市北屯區三民路二段一號四樓之二"
"16060186","優跑企業股份有限公司","新北市新莊區自立街174巷2弄2號1樓"
"16097254","英商麥理倫國際公證有限公司","臺北市中山區南京東路2段76號6樓"
"16112065","亞太港灣工程有限公司","高雄市前鎮區鎮海路64號13樓"
"16162965","台灣摩迪國際有限公司","臺北市信義區文昌街316號3樓"
"16177003","詠翰公證有限公司","臺北市中山區龍江路１５５巷１３號３樓"
"16232028","海森驗證股份有限公司","桃園市八德區永興街89號"
"16325969","亞仕商國際股份有限公司","臺北市中山區松江路87號10樓之2"
"16350972","巴路西亞國際事業股份有限公司","臺中市北區明德里忠明路二一一號四樓之五"
"16354627","信強工程顧問有限公司","桃園市桃園區益壽二街28號2樓"
"16376002","名捷國際實業有限公司","臺中市大連路三段十號三樓之二"
"16379508","鴻齡國際有限公司","新北市三重區仁義街101巷12之1號"
"16404746","建利開發企業股份有限公司","臺中市清水區槺榔里信義二街140號1樓"
"16472244","登昂企業有限公司","高雄市鹽埕區江西里五福4路327號1樓"
"16478535","聯豐裝卸有限公司","高雄市苓雅區民權一路87號6樓之1"
"16484023","慶鴻科技顧問有限公司","新竹縣竹北市十興里東興路1段71號"
"16487106","全佳不動產顧問有限公司","基隆市信義區培德路2巷49號"
"16503555","圳鎰股份有限公司","臺中市西屯區西屯路2段126巷7-5號1樓"
"16504013","翔成國際股份有限公司","桃園市桃園區中正路一三七九號十樓之二"
"16520528","榮泰不動產鑑定有限公司","新北市土城區中央路三段九十三號"
"16534614","巨匠管理顧問有限公司","新北市鶯歌區鶯桃路二六八巷廿四號"
"16547527","長泰公証有限公司","臺中市南區仁和一街九二號二樓"
"16549601","新新管理顧問有限公司","南投縣草屯鎮玉峰街61號1樓"
"16568249","興大不動產鑑定有限公司","桃園市桃園區青溪里春日路三三五號一樓"
"16569887","慶聯工程顧問股份有限公司","臺中市北區長青里陝西四街32號1樓"
"16581762","恆康工程顧問股份有限公司","臺北市信義區基隆路1段135之2號2樓"
"16600992","拓理貿易股份有限公司","臺北市中正區濟南路1段7之5號"
"16615833","國家不動產鑑定顧問有限公司","臺中市西屯區永昌街五七號五樓"
"16623670","中奧國際股份有限公司","臺北市大安區復興南路１段２５９號８樓之１"
"16641810","廣逸計量科技有限公司","臺南市北區育德二路200巷5號1樓"
"16645977","世界通全球驗證股份有限公司","新北市新店區中興路3段88號4樓"
"16672186","中正專利商標有限公司","桃園市中壢區光明里王子街1之1號1樓"
"16682157","世員企業有限公司","臺中市沙鹿區竹林里中山路紅竹巷25-2號1樓"
"16687809","力宇資產開發管理有限公司","臺南市南區日新里鹽埕路277號1樓"
"16695907","暐凱國際檢驗科技股份有限公司","臺北市內湖區內湖路1段120巷15弄28號"
"16717846","安佳益國際開發有限公司","臺中市潭子區潭陽里中山路二段３０７號１樓"
"16738188","中華聯合鑑定產業科技中心有限公司","嘉義縣水上鄉龍德村３鄰１１指厝２７號"
"16758402","泛洋公證有限公司","新北市淡水區自強路291之1號11樓"
"16763159","億通智慧科技股份有限公司","臺北市松山區南京東路5段213號4樓之1"
"16765537","英鳴國際科技股份有限公司","臺北市信義區基隆路2段189號14樓之11"
"16781353","國仁不動產鑑定顧問有限公司","臺北市大安區樂業街７６號１樓"
"16783253","陪伴者事業有限公司","臺北市大安區信義路4段265巷21弄26號1樓"
"16823109","喬治亞國際開發股份有限公司","高雄市鳳山區鳳南路26號14樓"
"16833731","新加坡商恩立國際有限公司","臺北市大安區忠孝東路四段一五五號八樓之九"
"16839257","異康股份有限公司","臺北市大安區敦化南路2段67號19樓"
"16895454","三義檢驗有限公司","臺中市中區光復里民權路102號3樓之4"
"16897609","承億企管顧問有限公司","臺中市北屯區水景里水景巷十五之五號"
"16901300","得統交通股份有限公司","桃園市大園區航翔路107號2樓"
"16901651","台灣網路運氣遊戲股份有限公司","新北市樹林區文化街七九巷九號"
"16911399","振貿股份有限公司","臺中市南屯區文山里保安六街102號"
"16930451","政揚不動產鑑定有限公司","臺中市西屯區西屯路二段二九七之八巷四五弄一三號一樓"
"16930488","誠順管理顧問有限公司","彰化縣彰化市崙平里平和五街83號"
"16936808","遠誠人力資源顧問股份有限公司","新北市中和區板南路655號18樓"
"16957325","圓通速递有限公司","桃園市大園區航翔路101號5樓T5010室"
"16972493","惠凱實業有限公司","桃園市桃園區文中里益壽二街28號1樓"
"16972970","台灣慕迪國際有限公司","桃園市中壢區六和路五六號十樓"
"16973319","昇田實業有限公司","新北市土城區福仁街六十巷三號五樓"
"16979643","宏揚國際企管顧問股份有限公司","桃園市桃園區經國路八八八號八樓之四"
"16984625","輔達文化事業有限公司","臺北市信義區基隆路2段189號14樓之12"
"16988312","中華資產管理股份有限公司","臺北市中山區南京東路3段189號8樓"
"22000813","香港商立德國際商品試驗有限公司","臺北市北投區中央南路2段37號、37號5樓、37號6樓之7"
"22069740","甫仁企業有限公司","新北市林口區中湖里中北一街12號"
"22159812","今盛企業有限公司","臺北市松山區南京東路4段197號5樓"
"22292234","鎧興有限公司","新北市新莊區自立街79巷22號1樓"
"22528843","光興國際租賃有限公司","高雄市前鎮區竹東里凱旋三路231號1樓"
"22550204","上進大聯合租賃有限公司","高雄市前鎮區凱旋三路89號"
"22552435","安泰租賃有限公司","高雄市前鎮區一心一路246號"
"22575351","嘉晟建築經理股份有限公司","高雄市前鎮區自強三路3號35樓之8"
"22662799","台灣美加金屬股份有限公司","高雄市大寮區大發工業區建民街23號"
"22723108","金頓科技股份有限公司","新北市深坑區北深路3段270巷3號5樓"
"22724747","紹青科技檢驗顧問有限公司","金門縣金湖鎮蓮庵村三谿橋１－１號"
"22760834","永慶房屋仲介股份有限公司","臺北市大安區敦化南路2段77號12樓"
"22841750","尚品聯合股份有限公司","新北市樹林區樹德街１３０號１樓"
"22843188","長榮租車股份有限公司","高雄市前鎮區凱旋三路115號"
"22918595","祥發小客車租賃有限公司","澎湖縣馬公市東文里文山路1號1樓"
"23163167","世聯國際資產顧問股份有限公司","臺北市松山區南京東路5段202號10樓之4"
"23233038","吉田國際網路娛樂企業有限公司","新北市新莊區新泰路３０８號５樓"
"23353770","羽惠企業股份有限公司","高雄市苓雅區昇平街49號1樓"
"23384513","赫茲租賃有限公司","高雄市燕巢區中西路７之１號１樓"
"23416579","美商聯邦快遞股份有限公司","臺北市中山區中山北路2段61號9樓"
"23421480","亞奇環保有限公司","新北市板橋區四維路112巷10號1樓"
"23447756","台興企管顧問有限公司","臺北市中正區忠孝東路1段152號10樓之6"
"23458211","中華青松科技股份有限公司","臺北市中山區松江路50號11樓"
"23602193","環富鑫有限公司","桃園市平鎮區延平路三段314巷11弄8號"
"23625631","遠東生物科技股份有限公司","臺北市南港區園區街3號13樓"
"23669026","明洋船舶機械有限公司","高雄市前鎮區鎮興路60巷16號"
"23746190","瑞登國際有限公司","臺北市內湖區堤頂大道2段477號8樓之1"
"23762796","中華資產鑑定中心股份有限公司","臺北市松山區復興北路1號13樓之4"
"23789774","環宇資產評估顧問股份有限公司","臺中市西區民權路185號12樓之5"
"23837614","松崗水務有限公司","臺中市南區五權南路175號1樓"
"23928467","台灣檢驗科技股份有限公司","新北市五股區(新北產業園區)五工路136之1號"
"23962838","旺旺國際有限公司","高雄市前鎮區凱旋3路197號1樓"
"24205496","東華遊戲設備檢驗有限公司","新竹縣竹北市新崙里縣政二十一街13巷17號"
"24224629","竣葦科技檢驗有限公司","嘉義縣太保市安仁里太保二路30號1樓"
"24253074","日笙檢測科技有限公司","新北市汐止區中興路150巷20號"
"24261285","開拓電波企業有限公司","桃園市龜山區楓樹里光明街290巷35號"
"24270377","能高國際驗證有限公司","臺中市西屯區逢福里河南路2段270號2樓"
"24274710","策略發展有限公司","臺中市西屯區潮洋里朝貴一街82之8號2樓"
"24285765","春辰管理顧問有限公司","基隆市七堵區堵南街12-5號7樓"
"24289312","聯宇網路多媒體有限公司","高雄市鳳山區五甲二路５２９巷４０號"
"24294912","勗佑有限公司","桃園市八德區大勇里東勇北路540號"
"24313100","元甜有限公司","臺北市松山區復興北路101號5樓之1"
"24317963","鴻囍不動產有限公司","臺北市大安區復興南路2段13號"
"24319202","麒麟國際企管顧問有限公司","新北市淡水區中正路2段10號15樓"
"24321220","懷得國際有限公司","臺北市內湖區行愛路140巷27號5樓"
"24323120","若魚整合行銷有限公司","臺北市大安區信義路2段208號8樓之3"
"24326415","國暉開發股份有限公司","臺北市中正區忠孝西路1段50號11樓之15"
"24329237","全通翻譯有限公司","臺北市信義區基隆路1段432號11樓之4"
"24331677","精英翻譯有限公司","臺北市大安區敦化南路2段46號5樓之6"
"24339592","鑫舟財務顧問有限公司","臺北市信義區吳興街500巷6號"
"24340367","東亞翻譯有限公司","臺北市士林區劍潭路16號8樓"
"24346215","山水聯合有限公司","臺北市松山區南京東路4段93號12樓"
"24364043","鴻達管理顧問有限公司","桃園市桃園區慈文里慈文路266號5樓之1"
"24368744","晶悅不動產開發有限公司","桃園市中壢區興南里延平路356-11號14樓"
"24377899","綠象社會企業有限公司","新北市淡水區自強路295之1號"
"24390871","開鑫國際行銷有限公司","新竹市中正路107號8樓之12"
"24392414","應用模式開發有限公司","新北市中和區佳和里中山路二段64巷16弄6之3號"
"24401315","震坤不動產顧問有限公司","新北市土城區中央路1段260之3號"
"24403664","台霖開發不動產有限公司","新竹縣竹北市東平里3鄰六家二街2號1樓"
"24403995","金豐開發資產管理有限公司","彰化縣彰化市平和里中華西路264號"
"24406888","建成欣業有限公司","臺中市北屯區太原路三段187號1樓"
"24407900","永森國際股份有限公司","桃園市桃園區新埔三街2巷8號四樓"
"24411587","海寧管理顧問有限公司","新北市三峽區龍埔里國際2街9號11樓之20"
"24413683","鑫榮資通有限公司","臺中市西屯區福和里中工三路151號2樓"
"24415535","元豐保險公證有限公司","新北市新店區北新路2段121巷15號4樓"
"24442842","國麟顧問有限公司","臺北市信義區松智路1號11樓"
"24444829","永創國際開發有限公司","新北市三重區成功路41巷25弄7號5樓"
"24459651","敦仁管理顧問有限公司","臺北市大安區忠孝東路4段169號6樓之1"
"24464084","中華新女人國際徵信有限公司","臺北市中山區林森北路381號8樓之10"
"24467759","天石創新有限公司","臺北市中山區林森北路356號5樓"
"24468928","朋德電子股份有限公司","臺北市內湖區內湖路1段388號4樓"
"24472958","開店壹貳參科技有限公司","臺北市松山區復興北路101號5樓之2"
"24475483","萇源創意室內裝修設計工程有限公司","臺北市大安區敦化南路2段267號14樓之2"
"24478708","國泰企業管理顧問有限公司","臺北市士林區福國路21號4樓"
"24480036","密碼資訊科技股份有限公司","臺北市中山區松江路152號11樓之11"
"24483934","普菲特環宇國際有限公司","臺北市中山區中山北路3段36巷2號9樓"
"24484384","巴夏股份有限公司","臺北市信義區永吉路187巷17號12樓"
"24485525","台灣電子商務股份有限公司","臺北市松山區南京東路3段346號4樓之5"
"24494566","口藝國際翻譯有限公司","臺北市中山區南京東路2段97號6樓"
"24499274","玉造作國際有限公司","臺北市大同區民生西路77號3樓"
"24499422","台灣聯合珠寶玉石鑑定有限公司","臺北市萬華區成都路155號8樓之1"
"24511853","全球亞瑟國際事業有限公司","高雄市左營區光興街53號6樓"
"24512277","萬訊科技有限公司","高雄市前鎮區武德街47號3樓"
"24514541","漢繼企業有限公司","高雄市三民區教仁路60之5號13樓"
"24517250","寶島全球保險公證有限公司","高雄市前鎮區民權二路6號26樓之1"
"24524766","晶鼎檢驗科技有限公司","高雄市小港區崇敬街42號"
"24527428","固銓企業有限公司","高雄市苓雅區林泉街98巷2號1樓"
"24528762","倍律國際風險管理顧問有限公司","高雄市三民區遼寧一街143巷42之1號"
"24529586","生活通國際有限公司","高雄市苓雅區憲昌路53巷1之1號2樓之3"
"24534265","仁愛福華有限公司","臺北市大安區仁愛路3段127號4樓"
"24535807","梨本企業有限公司","臺北市信義區忠孝東路5段363號7樓之2"
"24541110","長富財富管理顧問有限公司","臺北市中正區衡陽路51號11樓之4"
"24549035","丞皓事業有限公司","臺北市萬華區西藏路352號2樓"
"24551067","謝仲偉寶石鑑定有限公司","臺北市中山區民生西路16號9樓之2"
"24555900","博納實業有限公司","臺北市松山區健康路20巷7號"
"24563417","巨金認證科技有限公司","臺北市中山區中原街22號6樓之11"
"24566060","頂暉專案管理顧問有限公司","臺北市士林區大南路424號2樓"
"24576068","匯矩整合國際商仲有限公司","臺北市中山區松江路185號6樓"
"24586684","包德貿易股份有限公司","臺中市南屯區惠中里文心路一段378號13樓之1及13樓之2"
"24589155","俐舍租賃有限公司","臺中市南屯區溝墘里大墩路653號2樓"
"24589303","欣泰工貿有限公司","臺中市北區健行里忠明路424號6樓之1"
"24589388","有德事業有限公司","臺中市中區大誠街68號1樓"
"24594208","勤瑋科技有限公司","臺中市北屯區旱溪西路三段295巷65號1樓"
"24613789","文明有限公司","新竹縣竹東鎮忠孝里康寧街285號1樓"
"24614020","桽勝工程有限公司","桃園市龍潭區高原里中原路一段564號"
"24619377","三家一整合設計有限公司","雲林縣斗六市保庄里保長路77巷14號1樓"
"24623512","全聯徵信有限公司","新竹市東區復興里自由路95巷18弄15號4樓之1"
"24624809","鑫鴻實業有限公司","花蓮縣吉安鄉永興村6鄰永興八街109號1樓"
"24631941","瑋力資產管理有限公司","新竹縣竹北市福德里三民路503號1樓"
"24634362","晨福實業有限公司","嘉義市西區育英里永安街242號"
"24637749","御鑫實業有限公司","彰化縣二林鎮頂厝里二溪路三段451巷22號"
"24638769","睿智綠色解決方案有限公司","彰化縣彰化市阿夷里6鄰建國東路368號1樓"
"24639134","金色大地股份有限公司","彰化縣永靖鄉永靖街67號"
"24639774","全國汽車股份有限公司","彰化縣埔心鄉經口村中山路129號"
"24640245","品揚國際事業有限公司","桃園市桃園區宏昌六街18-3號6樓"
"24653493","華中國際開發股份有限公司","臺中市西屯區潮洋里朝貴路16號1樓"
"24662578","翡翠遊艇有限公司","高雄市旗津區上竹巷77號"
"24668904","成大貨車租賃有限公司","高雄市苓雅區凱旋三路481號1樓"
"24671372","明昌不動產有限公司","高雄市左營區崇德路17號"
"24674906","楷創管理顧問有限公司","高雄市三民區松江街243號1樓"
"24675433","嘉信船舶機械有限公司","高雄市鳳山區三誠路65號15樓"
"24678635","八季國際驗證股份有限公司","高雄市三民區金山路283號1樓"
"24679819","統一租賃有限公司","高雄市苓雅區凱旋三路481號1樓"
"24681147","所羅門王資產管理有限公司","高雄市苓雅區自強三路3號26樓之10"
"24684518","立榮公證有限公司","高雄市鼓山區伊犁街75號1樓"
"24688660","新生活不動產顧問有限公司","新北市新店區北新路1段89號14樓之1"
"24689730","仲準工程科技有限公司","新北市永和區環河西路2段209巷11號12樓之6"
"24694234","詠僖國際有限公司","新北市板橋區大同街8巷14號(1樓)"
"24697268","秒創超網股份有限公司","新北市中和區中正路700號2樓之4"
"24701919","太平洋城股份有限公司","新北市新莊區萬安街1號6樓之5"
"24707147","演澤國際有限公司","新北市永和區福和里永利路2號6樓之3"
"24709861","史考特前鋒科技有限公司","新北市汐止區新台五路1段77號20樓之7"
"24709905","瑞群有限公司","新北市板橋區民生路2段232號4樓之1"
"24716574","亞勗認證服務有限公司","新北市中和區中原里中山路2段448號5樓"
"24718860","僑奕開發有限公司","新北市板橋區溪福里篤行路3段78之2號"
"24721529","高豐不動產顧問有限公司","新北市泰山區泰林路2段183號(1樓)"
"24727220","聯禾國際顧問有限公司","新北市三峽區國際二街9號3樓之12"
"24728207","睿軒檢驗科技股份有限公司","新北市新店區北新路3段207之2號15樓"
"24730870","永浤財富管理顧問有限公司","新北市三重區仁德里重新路2段78號15樓"
"24732976","昱森行銷管理顧問有限公司","新北市板橋區民生路2段232號4樓之1"
"24740271","鑫鼎國際股份有限公司","臺北市信義區莊敬路391巷16弄3號4樓"
"24742067","創捷資產管理股份有限公司","臺北市大安區羅斯福路3段309號4樓之7"
"24749195","浩天投資顧問有限公司","臺北市中正區愛國東路22號"
"24749250","創顧媒合諮商有限公司","臺北市大安區忠孝東路4段107號12樓之3"
"24749435","倍科檢驗科技有限公司","新北市汐止區大同路2段169巷68之3號"
"24749673","麒昌企業管理顧問有限公司","臺北市中山區民權東路3段58號5樓"
"24752732","環球微藻股份有限公司","臺北市中正區忠孝東路2段130號5樓之3"
"24758757","協和新藥股份有限公司","臺北市松山區敦化南路1段3號4樓之1"
"24761599","燊樺資產鑑定股份有限公司","臺北市中山區吉林路12-3號5樓之2"
"24764815","正解國際管理諮詢股份有限公司","臺北市中山區復興北路164號11樓"
"24766193","天地養時尚藝術文化有限公司","臺北市大同區庫倫街51-5號"
"24767881","資誠永續發展服務股份有限公司","臺北市信義區基隆路1段333號27樓"
"24768299","翰躍國際有限公司","臺北市大安區忠孝東路4段221號10樓"
"24771652","本捷企業有限公司","臺北市中山區南京東路1段34號7樓"
"24774784","台灣美利堅驗船有限公司","臺北市中山區松江路146號3樓"
"24775708","全欣有限公司","新北市三峽區國慶路166號8樓"
"24781194","日安翻譯有限公司","臺北市中正區連雲街26巷24之2號4樓"
"24781737","墣禹科技有限公司","臺北市南港區舊莊街1段3巷30號2樓之5"
"24786199","深耕國際管理顧問有限公司","臺北市大安區和平東路1段200號4樓"
"24791209","威京電氣技術服務有限公司","金門縣金城鎮民生路45巷8弄5-1號"
"24827585","凱騰國際事業有限公司","臺中市北區淡溝里民權路416之2號3樓"
"24827712","岦維實業有限公司","臺中市北屯區平安里天津路四段15巷10之1號"
"24831960","五更物產有限公司","臺中市大里區塗城路33巷7號"
"24833427","居安心科技檢驗股份有限公司","臺中市大里區永隆里國光路二段751號1樓"
"24837269","順全國際開發有限公司","臺中市南屯區寶山東一街8號"
"24845818","易明有限公司","臺中市北區興進路117號二樓之1"
"24846128","全威有限公司","臺中市北區五順街30號1樓"
"24853507","榮成檢測有限公司","桃園市中壢區幸福里福州二街408號1樓"
"24858221","達興駿業開發有限公司","桃園市中壢區仁和里華美新村63號"
"24858860","百家房屋股份有限公司","桃園市中壢區興仁里12鄰興仁路二段99號5樓之28"
"24860009","德凱認證有限公司","新竹縣新豐鄉松林村潤泰街1巷8號2樓"
"24861470","恩之福國際有限公司","桃園市中壢區環北路71號6樓"
"24864716","鎮億不動產仲介經紀股份有限公司","桃園市中壢區普慶里環中東路927號"
"24874236","圆通速递運通有限公司","桃園市桃園區中成里永安路403巷24號5樓"
"24877260","易家人人力仲介有限公司","新竹市育英里四維路130號9樓之3"
"24878205","千億興建設開發有限公司","桃園市楊梅區永平里梅獅路一段488號1樓"
"24882432","双圓智慧有限公司","苗栗縣頭份鎮興隆里花園北路133號1樓"
"24883811","學洋管理顧問有限公司","南投縣草屯鎮玉峰街59號1樓"
"24884023","全輝生物醫學股份有限公司","基隆市安樂區基金二路1巷178號"
"24890989","禾仲人力資源有限公司","桃園市桃園區文中路28巷26號1樓"
"24892733","海天國際流通事業股份有限公司","桃園市桃園區莊敬里同安街605號2樓"
"24898357","遠方偵防科技有限公司","臺南市永康區復興路23號"
"24944248","臺灣品牌發展股份有限公司","臺北市松山區寶清街31號8樓"
"24946098","安基懷生股份有限公司","臺北市內湖區行愛路140巷27號5樓"
"24957480","勤業眾信風險管理諮詢股份有限公司","臺北市松山區民生東路3段156號15樓"
"24957828","森維科技企業有限公司","臺北市大安區復興南路1段368號13樓"
"24962651","代展國際有限公司","臺北市中山區長安東路2段72號2樓"
"24970152","宇誠管理顧問股份有限公司","臺北市信義區吳興街600巷76弄68號2樓"
"24974354","允晨國際運動行銷有限公司","臺北市北投區中和街507巷6弄8號1樓"
"24975380","茂發木業股份有限公司","臺北市松山區八德路2段385號1樓"
"24981572","亞詩國際生技有限公司","高雄市鳳山區光復路2段317號1樓"
"24987800","名揚有限公司","高雄市前鎮區林森三路195號"
"24992590","欣祐開發實業有限公司","高雄市小港區桂園路53號"
"24995457","沃德國際開發股份有限公司","高雄市三民區九如一路463號地下層"
