"統一編號","公司名稱","公司地址"
"05072925","中租迪和股份有限公司","臺北市內湖區瑞光路362號8樓至12樓"
"06785231","國昌興業有限公司","高雄市苓雅區正義路52號1樓"
"09490008","唯登股份有限公司","新北市永和區福和路一八四號一樓"
"12400810","台灣歐力士股份有限公司","臺北市大安區復興南路1段303號11樓"
"12452844","匯欣實業股份有限公司","臺北市中山區中山北路2段112號13樓之2"
"12524875","金諾有限公司","臺中市西屯區中清路一五二之一八號一樓"
"12600015","利得安企業管理有限公司","新北市蘆洲區長安街一二五號二樓"
"12601422","錢源財務管理有限公司","桃園市桃園區宏昌七街六八號一樓"
"12602034","凡碩科技企業有限公司","新北市三重區重新路五段六三五之二號六樓"
"12603358","安泰應收帳款有限公司","臺中市北區大雅路二三七號八樓之一"
"12603770","權威帳務管理有限公司","雲林縣四湖鄉四湖村中正路四○九號"
"12604130","財禾有限公司","屏東縣屏東市北勢里信義路三二三號二樓"
"12604238","台西公共關係管理顧問股份有限公司","新北市板橋區民生路3段229號"
"12604510","福隆帳務催收有限公司","新北市三重區福隆路四三號"
"12604618","立吉管理顧問有限公司","桃園市平鎮區廣德街六九號一樓"
"12604960","全正聯合顧問有限公司","臺中市太平區中山路一段二一五南巷二一弄六號"
"12605861","金豪財信管理顧問有限公司","桃園市中壢區環北路三九八號七樓之三"
"12607002","全台財信管理顧問有限公司","新北市土城區中央路三段一二四號一四樓"
"12607050","大之榮企業股份有限公司","雲林縣斗南鎮西岐里順安街二五三號一樓"
"12608086","連達應收帳款管理顧問有限公司","新竹縣寶山鄉水仙路一一三號"
"12608403","永旭債務處理有限公司","高雄市岡山區華崗里大埔一街一○七號一樓"
"12609114","金和吉國際租賃有限公司","臺中市龍井區東海里遠東街五二巷一三號"
"12609206","民好逾期應收帳款管理有限公司","新北市新莊區自強街七○巷三弄五號"
"12609590","金順利租賃有限公司","高雄市大樹區興田里興田路二五二號"
"12610267","乃迪財務管理顧問有限公司","桃園市桃園區建國路二三二號"
"12610392","大中華綜合財務管理顧問有限公司","臺南市安平區健康三街一九三號"
"12610702","聯合世華商業有限公司","臺中市南區和平里忠明南路七六○號三六樓"
"12611293","吉發有限公司","嘉義市西區湖邊里博愛路1段392號"
"12611462","龍也企業有限公司","新北市板橋區文聖街一○一巷十號一樓"
"12612482","通財顧問有限公司","桃園市桃園區中山路375之11號12樓"
"12614278","萬業達有限公司","新竹市頂埔里牛埔路二八號一樓"
"12614355","龍騰商務有限公司","新北市永和區永貞路三七九號二樓"
"12615615","皇強國際股份有限公司","新北市汐止區汐萬路一段一一四號一樓"
"12616945","萬仕達企業有限公司","臺南市永康區中華一路二０三巷二三號一樓"
"12617682","佳一投資管理顧問有限公司","嘉義市東區建國里中正路四一二號八樓一六"
"12618113","日晟國際開發事業有限公司","雲林縣虎尾鎮公安里水源路六之三號一樓"
"12618394","金鐉科技有限公司","南投縣草屯鎮明正里中山街三九三號"
"12618486","富銘財務管理顧問有限公司","嘉義縣東石鄉蔦松村湖底二０之一二號"
"12619149","真實在有限公司","高雄市湖內區湖內里民生街二三八巷二四號"
"12620440","偉大企業有限公司","新竹市西門里西大路五○六︱二號"
"12620455","欣盛財信管理顧問有限公司","臺東縣臺東市自強里二八鄰開封街七四九號一樓"
"12620862","文龍財信管理顧問有限公司","臺南市白河區永安里一八鄰新厝子一五二號一樓"
"12622263","翃浩企業管理顧問股份有限公司","新北市新莊區民安西路三一七號"
"12622637","名盟應收帳款處理有限公司","南投縣名間鄉濁水村員集路1之25號"
"12622714","興洪聯事業有限公司","臺中市南屯區大墩六街九二號一樓"
"12622741","冠霖領袖股份有限公司","高雄市鳳山區文山里八德路１５０號"
"12623018","台期企業有限公司","臺中市西屯路二段二五六巷六號十七樓之八"
"12625114","尚榮綜合財務管理顧問有限公司","臺南市永康區尚頂里南台街一二八號一樓"
"12625373","德信企業有限公司","臺南市安平區府前三街一三五號"
"12626818","金友利有限公司","臺中市中區自由路二段九號"
"12626824","昊昇逾期應收帳款管理服務有限公司","桃園市觀音區中正路九八號二樓"
"12627817","麗君國際財經行銷有限公司","新北市泰山區明志路三段一九六巷二一弄三三號"
"12628512","興誠有限公司","高雄市路竹區社南里道德街五九號"
"12628837","錢塘江有限公司","新北市永和區保平路一一一巷三號"
"12629168","匯陞企業有限公司","臺北市中正區金山南路1段123巷1號1樓"
"12629218","飛答有限公司","臺中市潭子區潭陽里十一鄰光陽路一六八號"
"12629420","富昇財務管理顧問有限公司","桃園市中壢區東興里新興路一八六號六樓之九"
"12629553","大亨資產管理服務有限公司","臺南市北區六甲里公園路591之1號"
"12629809","鉅祥國際開發事業有限公司","雲林縣斗南鎮新光里光華路廿六號一樓"
"12630215","尚典商業服務有限公司","宜蘭縣羅東鎮信義里中華路二二五號一樓"
"12630411","天良企業管理顧問有限公司","彰化縣彰化市阿夷里金馬路一段六二五號二樓"
"12630616","牧野財務管理顧問有限公司","臺中市北區忠明南路二三七號五樓︱三"
"12631283","台欣租賃股份有限公司","臺南市永康區大橋里中華路七○○號一樓"
"12631501","安家徵信事業有限公司","臺南市東區龍山里崇德路五八號五樓"
"12631973","尊元財務信用管理顧問有限公司","基隆市七堵區光明路七二號"
"12632558","麒鴻財務管理顧問有限公司","嘉義市西區保安里一○鄰八德路三一七號三樓　"
"12633347","金世界企業有限公司","高雄市湖內區湖內里中山路一段三○一巷二一弄七三號"
"12633472","第一速企業有限公司","高雄市路竹區社西里信義路一四二號"
"12633965","証騏建設有限公司","桃園市桃園區中正里中山路６９８號１樓"
"12634009","九吉昌理財管理顧問有限公司","桃園市桃園區泰山里中山路359號1樓"
"12634113","正昇企管財務顧問有限公司","新北市板橋區中山路二段六二號五樓之一"
"12634346","京鴻資產管理顧問有限公司","臺中市西區公民里五廊街三六號七樓"
"12634676","楓達國際股份有限公司","新北市三重區五華街五七巷三六號四樓　"
"12635598","永順財信帳款催收有限公司","新北市板橋區東興街一九號一樓"
"12637414","固安特管理顧問有限公司","臺中市西區明義街七一號一樓"
"12638125","易冠通有限公司","臺中市豐原區南陽里永康路一○六號一樓"
"12638151","政鑫財務管理顧問有限公司","桃園市桃園區永安北路二八０號"
"12638342","華興應收帳款有限公司","桃園市桃園區大興西路2段261號3樓之1"
"12638440","財辰企管顧問有限公司","屏東縣屏東市大武路四一一號"
"12639047","天喜豐理財管理顧問有限公司","桃園市桃園區春日路九八五之五號六樓"
"12640017","漢權顧問有限公司","桃園市中壢區新生路六三一號一樓"
"12640121","銀凱股份有限公司","新北市三重區重陽路3段99號4至7樓"
"12640473","法冠財務管理顧問有限公司","臺中市西區福龍里五權路一一七號四樓"
"12640874","東啟企業有限公司","新竹縣新埔鎮文山里陽明街九二巷一號"
"12641156","名人財信管理顧問有限公司","新北市汐止區復興路五三巷一號二樓"
"12641402","海玥財務顧問有限公司","桃園市平鎮區中豐路山頂段３０９號１樓"
"12642916","合浦興業有限公司","臺中市大里區內新里新明路30號1樓"
"12643020","承邑財務管理顧問有限公司","臺中市太平區宜祥街一九巷一四號一樓"
"12643555","永勗管理顧問有限公司","臺中市西屯區福安里工業區一路二巷三號四樓之四"
"12645478","翔豐實業有限公司","新北市新店區北新路3段40號1樓"
"12646841","鴻翔財務顧問有限公司","新北市三重區中正北路七一巷廿八號三樓"
"12647124","惠通顧問有限公司","臺中市西區三民路一段一二五之一號三樓"
"12647709","宏展財務管理顧問有限公司","臺中市西屯區漢口路一段一○號二樓"
"12648088","佳弘應收帳款管理服務有限公司","屏東縣佳冬鄉玉光村中山路六○之一八號"
"12657261","金鼎順企業有限公司","臺北市松山區民生東路５段２０４號２樓之１"
"12657945","世青開發股份有限公司","臺北市信義區松隆路１０２號４樓之１"
"12661440","致辰國際有限公司","桃園市桃園區民生路四九六號二樓"
"12662525","六六國際管理顧問企業有限公司","新北市板橋區漢生東路145之3號"
"12664729","俊達應收帳款財務有限公司","臺北市中正區漢口街１段８５號６樓之９"
"12665614","八駿馬資訊股份有限公司","新北市中和區復興路三四八號三樓"
"12666085","名鋒國際開發股份有限公司","臺北市萬華區西昌街１５１號３樓"
"12666888","萬曆管理股份有限公司","臺北市松山區復興北路１５號５樓之４"
"12669196","天道酬勤股份有限公司","臺北市大安區延吉街２４６巷６號１樓"
"12672220","華生國際機械股份有限公司","臺北市大安區復興南路２段３２９號６樓之３"
"12672740","金滙通管理顧問有限公司","新北市中和區景平路59-22號1樓"
"12677098","世融財務管理顧問有限公司","新北市板橋區三民路一段八九號"
"12677251","德信國際股份有限公司","新北市土城區復興街十六號"
"12683275","儀懋有限公司","新北市中和區中正路二一一巷十三弄二號一樓"
"12685858","睿登企業有限公司","臺北市中正區杭州南路１段２７號６樓"
"12686478","東虹百業有限公司","臺北市松山區南京東路3段303巷5號5樓"
"12695981","匯慶企業有限公司","臺北市文山區興隆路2段136號"
"12696362","鼎陞財務管理顧問有限公司","臺北市信義區基隆路２段１９１號"
"12696834","沃信企業有限公司","新北市永和區中和路三四五號一四樓之四　"
"12700154","鴻益財務管理顧問有限公司","桃園市桃園區中平里中州街四八號二樓"
"12700366","辰烝企業有限公司","桃園市桃園區民有五街99號7樓"
"12700485","鋒聯財務管理顧問有限公司","臺中市北區明德里忠明路二一一號一二樓之五"
"12700886","栗聯國際實業有限公司","苗栗縣頭份鎮上興里永愛街六三巷二七號"
"12701034","笙晨豪商業服務有限公司","宜蘭縣五結鄉五結村國民南路二之三七號一樓"
"12702006","鉅統財務顧問有限公司","南投縣南投市三興里文化南路一三八巷廿九號"
"12702553","金昌財務管理顧問有限公司","新北市新店區建國路一七一號一樓"
"12703146","法柯特有限公司","臺中市南屯區東興東街六五號一樓"
"12703602","傳丞股份有限公司","臺中市北屯區軍福十三路二四二號一樓"
"12704406","兆迪財務管理有限公司","桃園市桃園區大興里二二鄰經國路九號八樓之二"
"12705209","廣泰利財務顧問有限公司","臺中市西屯區福上巷龍欣一弄七號"
"12706087","亞力安貿易有限公司","雲林縣北港鎮華勝里民政路六七號"
"12706116","權勝逾期應收帳款管理服務有限公司","桃園市中壢區中正路二段363巷86之2號1樓"
"12707564","德桂實業股份有限公司","桃園市桃園區三民路二段三一二號二樓"
"12708156","旺正貿易有限公司","桃園市大園區和平西路四五號"
"12708206","伊世代企業管理顧問有限公司","新北市板橋區文化路一段一三三號三樓"
"12709057","富大興業有限公司","桃園市桃園區同德五街二二０號一樓　"
"12711841","元辰企業管理有限公司","雲林縣虎尾鎮公安里東仁路二二三號一樓"
"12712378","信用健康商業服務有限公司","宜蘭縣羅東鎮南豪里興東南路六四號一樓"
"12712948","金太宗企業有限公司","臺南市安平區民權路四段二六七號一樓"
"12713453","順天財務顧問有限公司","宜蘭縣宜蘭市北津路一之八號"
"12714827","和誠逾期應收帳款管理服務有限公司","臺北市大安區安和路２段２１１號３樓之１"
"12715092","惠三有限公司","雲林縣斗六市鎮西里七鄰建成路八六號一樓"
"12716037","安富財務管理股份有限公司","彰化縣員林鎮日泰街十八號"
"12716183","得成應收帳款管理有限公司","雲林縣斗六市溪州里竹圍路五六號一樓"
"12716557","元誠國際資產管理股份有限公司","新北市板橋區三民路2段33號21樓"
"12716830","龍鑫財務管理顧問有限公司","新北市新店區光明街一七九號一樓"
"12717084","絜俐企業管理顧問有限公司","臺南市永康區中華里小東路六八九之八六號"
"12717275","新磐有限公司","新北市板橋區文聖街六七號一樓"
"12717367","吉泰財務管理有限公司","桃園市桃園區桃鶯路一○九號"
"12718605","旭昌國際企業有限公司","新竹縣竹北市竹仁里四維街九五巷三號一樓"
"12718773","總萊企業有限公司","新北市蘆洲區永安北路二段五八巷十八號"
"12718963","永泰國際財務管理顧問有限公司","桃園市中壢區中央里元化路165巷15號1樓"
"12719409","廉德國際財務顧問有限公司","屏東縣潮州鎮三共里北門路九六號一樓"
"12720601","至昇企業有限公司","臺中市大里區東昇里益民路一段六二巷一二弄二六號六樓"
