"統一編號","公司名稱","公司地址"
"00069437","必得船舶工程有限公司","臺北市大安區光復南路650號7樓"
"00103408","自立鐵工廠股份有限公司","基隆市中正區信三路28巷3號"
"00281206","和豐汽車貨運股份有限公司","桃園市中壢區三民里15鄰中正路684號4樓"
"00291479","華新行實業股份有限公司","基隆市中正區港通里義一路210號2樓"
"00679326","驊洲隆昌股份有限公司","基隆市仁愛區明德里忠三路99號6樓之2"
"00682568","瑞豐行關有限公司","基隆市信義區花源五街5之1號7樓"
"00697844","宏駿機電工程有限公司","基隆市中正區信五路5號1樓"
"00698914","正健機械工程有限公司","基隆市暖暖區源遠路38號5樓"
"00704845","昇功企業有限公司","新北市金山區美田里中山路191號1樓"
"00765407","和平船舶工程有限公司","基隆市中正區正船里中船路5巷20號2樓"
"00805631","西門子核能有限公司","基隆市中山區中山一路二一七巷九號"
"00852710","富煜資產管理顧問股份有限公司","基隆市中山區中和路85巷5弄30號1樓"
"00865047","炳喨工程股份有限公司","基隆市中正區新豐街303巷16弄20號"
"00895289","長業船機工程有限公司","基隆市中正區中船路102之2號3樓"
"01074922","糖福育樂股份有限公司","臺南市南區大林里大同路二段402號2樓"
"01128954","華新貿易有限公司","桃園市中壢區裕民街26-1號6樓"
"01176385","新州電腦股份有限公司","臺北市大安區復興南路1段380號11樓"
"01177440","蘭潔有限公司","臺北市中山區錦州街124號2樓"
"01179799","標一有限公司","臺北市中山區長安西路24號3樓"
"01193862","馭航股份有限公司","臺北市內湖區瑞湖街103號5樓之2"
"01458413","宇田企業有限公司","新北市三重區三德街30號(1樓)"
"01508429","太平洋地毯股份有限公司","臺北市大安區忠孝東路4段26巷79號1樓"
"01511873","基錮實業有限公司","臺北市中山區吉林路14巷20之1號2樓"
"01807566","祥發國際傳播有限公司","彰化縣鹿港鎮草中里頂草路四段四六二號"
"02565708","日福汽車貨運股份有限公司","桃園市桃園區國強二街277巷2弄5號1樓"
"02627134","佑崧交通股份有限公司","桃園市蘆竹區大興路335號2樓"
"02628350","大暉度量衡器有限公司","桃園市八德區茄苳里永豐路226巷68弄2號之1"
"02634108","辰順企業有限公司","桃園市八德區大忠里介壽路一段九四七巷五號"
"02655927","功軒企業有限公司","桃園市中壢區至善里龍昌路190巷123號"
"02851667","中鎂汽車有限公司","新竹市前溪里中華路1段239號1樓"
"03042308","三越企業股份有限公司","臺北市中正區重慶南路2段51號11樓"
"03054943","天工鐵櫃傢俱有限公司","臺北市中正區重慶南路1段43號7樓之9"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03122301","台北丸台運送股份有限公司","高雄市苓雅區凱旋一路43號2樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03264336","協達水電工程有限公司","臺北市信義區信義路4段458號4樓"
"03387506","亞東生技有限公司","桃園市中壢區裕民街26-1號6樓"
"03563708","台灣英文雜誌社股份有限公司","臺北市萬華區長沙街2段66號"
"03583009","宜茂事業有限公司","新北市樹林區學勤路426號3樓"
"03584817","雍興實業股份有限公司","臺北市中山區吉林路100號7樓"
"03626106","金助科技顧問服務有限公司","臺北市中正區臨沂街71巷17之1號"
"03795904","台灣電力股份有限公司","臺北市中正區羅斯福路3段242號"
"03799802","聯合報股份有限公司","新北市汐止區大同路1段369號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04203317","百鼎欣業股份有限公司","桃園市龜山區龜山里萬壽路二段622號1樓"
"04206709","士盟國際通運股份有限公司","臺北市南港區八德路4段778號2樓"
"04211793","大航旅運有限公司","高雄市苓雅區文橫二路2巷18號"
"04211978","國際農畜股份有限公司","高雄市路竹區中華路518號"
"04256284","億采交通股份有限公司","高雄市小港區高鳳路276號1樓"
"04277611","和橋實業股份有限公司","臺北市中正區衡陽路51號8樓之2"
"04327387","永全貨運有限公司","臺北市南港區東新街187號"
"04329104","固特企業股份有限公司","臺北市大同區承德路3段58號8樓之1"
"04353315","北華工藝有限公司","新北市淡水區自強路295-1號"
"04361125","復興煤礦股份有限公司","臺北市中山區松江路82號3樓"
"04394104","大洋通信工業股份有限公司","臺北市大同區重慶北路3段25巷3之3號2樓"
"04398474","貿聯企業股份有限公司","臺北市中正區濟南路一段15號"
"04416888","金星儲運企業股份有限公司","高雄市前鎮區明正東巷6之1號"
"04435597","彪豐交通有限公司","高雄市鼓山區民康街187巷6號2樓"
"04491318","安汶貿易有限公司","新北市中和區中山路2段553號4樓"
"04593624","台大國際企業有限公司","臺北市萬華區和平西路3段51巷8號1樓"
"04610980","能源航運股份有限公司","臺北市大安區信義路3段178號10樓"
"04641034","永誠興工程企業有限公司","臺北市文山區興隆路3段19號2樓"
"04654157","台灣田中系統股份有限公司","桃園市中壢區中央里中山路88號12樓之10"
"04655780","達衛企業工程有限公司","桃園市龜山區大坑里南上路401號"
"04664471","國印企業有限公司","臺北市萬華區長順街105巷7號3樓"
"04669813","申通電業有限公司","臺北市中正區泉州街20巷31號1樓"
