"統一編號","公司名稱","公司地址"
"03188020","華信通運有限公司","新北市中和區中山路3段39號7樓之8"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
"05068507","祥富管理顧問股份有限公司","新北市板橋區南雅南路1段125號1樓"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12242756","創新企業管理顧問有限公司","臺北市中山區中山北路3段11號2樓"
"12439370","雍上企業有限公司","臺北市內湖區內湖路1段91巷17號10樓之2"
"12629385","純粹創意整合行銷有限公司","新北市板橋區富貴里三民路2段37號22樓之1"
"12656024","魔力行銷顧問有限公司","桃園市中壢區新街里元化路224號6樓"
"12773260","精譽企業管理顧問有限公司","桃園市中壢區中央里中山路146號13樓"
"12823655","皇朝工程顧問股份有限公司","新北市樹林區俊英街207號12樓之2"
"12865514","異視行銷市場調查股份有限公司","臺北市中山區復興北路2號7樓之3"
"12882529","網婕國際有限公司","新北市新店區檳榔路19巷23號(1樓)"
"12902285","慶圓國際能源科技有限公司","臺中市北區忠明路200號7樓"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"13090905","數位資財管理有限公司","新北市板橋區鄕雲里大華街124號1樓"
"13104176","大愛徵信有限公司","新北市三重區重陽路4段132號11樓"
"13140721","正利工商管理顧問有限公司","臺北市中山區松江路532號3樓"
"16068547","輝煌海上開發實業有限公司","臺南市佳里區安西里25鄰忠孝路282號"
"16149984","耐時企業有限公司","臺北市大同區延平北路2段240之1號"
"16181180","卓越人生企管顧問股份有限公司","臺北市松山區民生東路5段69巷21弄6號"
"16316363","騰岳國際股份有限公司","臺北市中正區青島東路5號4樓之1"
"16325969","亞仕商國際股份有限公司","臺北市中山區松江路87號10樓之2"
"16461035","瑪沙魯休閒育樂股份有限公司","臺東縣太麻里鄉美和村美和路110-8號1樓"
"16672186","中正專利商標有限公司","桃園市中壢區光明里王子街1之1號1樓"
"16717037","禾松開發有限公司","彰化縣埤頭鄉合興村稻香路714號1樓"
"16775015","新高山行銷顧問股份有限公司","臺北市信義區忠孝東路5段372巷27弄13號1樓"
"16785956","互為主體廣告股份有限公司","臺北市大安區新生南路1段143-1號2樓"
"16793034","寰緯公關顧問股份有限公司","臺北市大安區建國南路1段160號3樓之1"
"16800387","萬榮通運有限公司","屏東縣屏東市興豐路130巷1號1樓"
"16816732","招遠營造有限公司","高雄市苓雅區自強三路3號35樓之7"
"16957325","圓通速递有限公司","桃園市大園區航翔路101號5樓T5010室"
"22757628","明雯企業有限公司","臺北市中正區鎮江街3之1號3樓"
"23224050","奧美公共關係顧問股份有限公司","臺北市信義區松仁路89號3樓"
"23253414","良瑞科技股份有限公司","新北市鶯歌區建國路570號2、3樓"
"23302055","達豐公關顧問股份有限公司","臺北市松山區敦化北路167號10樓"
"23447756","台興企管顧問有限公司","臺北市中正區忠孝東路1段152號10樓之6"
"23898479","威肯公共關係顧問股份有限公司","臺北市中正區青島東路7號3樓之3"
"24227908","弘富生技有限公司","桃園市桃園區福安里德豐街65號"
"24236054","富嶽投資顧問股份有限公司","桃園市桃園區新埔六街101號19樓"
"24247622","百博文化事業有限公司","臺北市文山區興隆路4段105巷29號地下之16"
"24256065","一耕企業有限公司","新北市中和區平河里建一路160號"
"24258161","星光賴開發有限公司","花蓮縣花蓮市國治里復興街53號1樓"
"24270974","植春園藝有限公司","臺中市南屯區楓樹里黎明路一段148巷13號1樓"
"24283366","源錦企業管理顧問有限公司","桃園市中壢區內定里內定二街950巷61號"
"24285364","風格時尚國際有限公司","臺中市西屯區西墩里環中路二段1233號1樓"
"24288708","生命城堡有限公司","新北市汐止區汐萬路一段347號2樓"
"24301884","欣滿庭生活管理顧問有限公司","新北市永和區永利路25號1樓"
"24305278","九鼎國際事業有限公司","臺北市信義區松德路65號11樓之2"
"24309231","有鵬股份有限公司","臺北市大安區信義路3段99巷34號"
"24312587","鑫興國際建設股份有限公司","臺北市信義區松隆路102號17樓之1"
"24314157","錦鶴國際股份有限公司","臺北市北投區溫泉路73巷13號7樓"
"24316789","綠意行銷有限公司","臺北市大安區忠孝東路4段221號8樓"
"24319907","寶鑫財富管理顧問有限公司","臺北市中正區重慶南路1段57號6樓之16"
"24320355","彩堂設計有限公司","臺北市內湖區內湖路1段91巷35弄30號2樓"
"24322500","精承永續企業顧問股份有限公司","臺北市信義區東興路57號7樓"
"24324113","金略資產管理有限公司","桃園市龍潭區百年五街39號"
"24324269","制高奌文化有限公司","臺北市萬華區昆明街76號7樓之5"
"24325703","巴克萊資產管理有限公司","臺北市松山區南京東路4段197號3樓"
"24326920","可里斯曼國際美容股份有限公司","臺北市松山區南京東路4段117號2、3樓"
"24329975","華山國際股份有限公司","臺北市中山區松江路54號4樓之4"
"24332084","盈豐興業有限公司","臺北市大安區和平東路3段49號6樓之4"
"24332985","良品計畫整合行銷股份有限公司","臺北市內湖區洲子街73號7樓"
"24334576","宏開整合行銷有限公司","臺北市大同區太原路115巷10號1樓"
"24335028","綠禾科技股份有限公司","新北市泰山區貴子里明志路3段142巷8號5樓之5"
"24338242","麥伯股份有限公司","臺北市中山區新生北路2段41巷52號1樓"
"24339328","東楓有限公司","臺北市大同區寧夏路11號4樓之15"
"24340227","精巧整合行銷有限公司","臺北市信義區基隆路1段333號16樓(1612室)"
"24346290","瘋創意有限公司","臺中市西屯區逢甲路301巷57號2樓"
"24350511","邱詩坉開發有限公司","新北市板橋區大東街45號1樓"
"24350836","安妮皇家有限公司","臺中市北區建興里德化街235號1樓"
"24354559","願景整合有限公司","苗栗縣苗栗市北苗里正發路81號2樓"
"24355059","翼菲創意國際有限公司","新北市新店區玫瑰路64巷15號3樓"
"24356297","芊瑋環保有限公司","臺南市安平區華平里平通路450號"
"24361502","天義開發有限公司","新北市三重區長興街12號2樓"
"24365824","薇閣企業有限公司","桃園市桃園區向善街77號1樓"
"24377899","綠象社會企業有限公司","新北市淡水區自強路295之1號"
"24388559","吉才有限公司","澎湖縣白沙鄉赤崁漁港新村23號"
"24394172","勤言企業有限公司","新北市板橋區莒光路114巷4號1樓"
"24403995","金豐開發資產管理有限公司","彰化縣彰化市平和里中華西路264號"
"24404994","創意美學有限公司","臺中市西屯區潮洋里朝富路280號"
"24406992","花旗不動產有限公司","臺中市西屯區大河里甘肅路二段69號"
"24409317","捷發生物科技有限公司","臺中市南屯區大同里大墩七街2號"
"24413488","卡文奇奇文創股份有限公司","新北市中和區中正路82號20樓之2"
"24432865","聯合人民管理顧問有限公司","新北市中和區保健路106巷6弄15號"
"24444829","永創國際開發有限公司","新北市三重區成功路41巷25弄7號5樓"
"24445432","仕晟創新企業管理顧問有限公司","新北市中和區連城路263巷9弄8號2樓"
"24453122","廣龍策略行銷有限公司","臺北市中山區松江路185號6樓之1"
"24457491","互易網股份有限公司","臺北市信義區松德路12號6樓"
"24460670","金合泰系統科技股份有限公司","臺北市松山區南京東路3段248號17樓之1"
"24464177","脈動國際股份有限公司","臺北市信義區基隆路1段141號6樓"
"24464747","世興顧問有限公司","臺北市內湖區康樂街72巷17弄6號"
"24475316","日舞國際娛樂股份有限公司","臺北市信義區松德路65號10樓之2"
"24475771","宏願國際創意行銷有限公司","臺北市信義區光復南路495號1樓"
"24477601","艾克數位科技有限公司","新北市中和區中正路1194巷8號3樓"
"24478947","昭信資產管理有限公司","新北市三重區河邊北街100巷27號6樓"
"24482941","胡翡翠國際有限公司","臺北市松山區南京東路5段405號9樓"
"24483934","普菲特環宇國際有限公司","臺北市中山區中山北路3段36巷2號9樓"
"24487299","凡妮帝國際有限公司","臺北市文山區木柵路4段147號"
"24489183","兩岸管理顧問有限公司","臺北市信義區松德路18號6樓"
"24490442","派可策略顧問股份有限公司","臺北市大安區敦化南路2段97號2樓"
"24496136","誠業國際管理顧問有限公司","臺北市中正區青島西路11號4樓之5"
"24496451","理捷國際策略管理諮詢顧問有限公司","臺北市大安區敦化南路2段267號8樓之6"
"24499295","鯊寶實業有限公司","臺北市中山區復興北路492號1樓及492號地下"
"24502453","金合豐國際開發有限公司","高雄市鹽埕區河西路118號8樓之2"
"24523485","昱川企業有限公司","高雄市鹽埕區富野路148號2樓"
"24528762","倍律國際風險管理顧問有限公司","高雄市三民區遼寧一街143巷42之1號"
"24531443","台灣美國際時尚藝術有限公司","苗栗縣通霄鎮白東里啟新路55號"
"24536453","情義國際影業股份有限公司","臺北市大安區復興南路1段287號6樓之2"
"24538142","大立文創企業股份有限公司","臺北市大安區信義路4段184號9樓"
"24541391","四熙策略公關顧問有限公司","臺北市中正區館前路20號8樓之1"
"24542602","昇達綠能國際有限公司","臺北市萬華區西藏路164號"
"24543356","台灣行旅文創有限公司","臺北市中山區南京東路3段201號3樓"
"24547276","一百單八有限公司","臺北市大安區敦化南路2段28號2樓之1"
"24547727","仰望整合行銷有限公司","臺北市大同區華亭街36號5樓之6"
"24548303","種子無限整合行銷有限公司","臺北市信義區信義路4段415號10樓之3"
"24548388","漢諾運動行銷有限公司","臺北市中山區復興北路86號9樓"
"24556464","康力國際有限公司","臺北市中山區民生東路2段149號7樓"
"24558580","齊全方略有限公司","臺北市大安區敦化南路2段28號2樓"
"24558792","樺漾國際有限公司","臺北市中山區南京西路1之1號10樓"
"24563319","文達有限公司","臺北市中正區汀州路3段104巷5號4樓"
"24563373","庭忠有限公司","臺北市大同區重慶北路2段57巷19號1樓"
"24564703","品方策略行銷有限公司","新北市新莊區立信三街1號10樓"
"24566738","品芸有限公司","臺北市大安區延吉街131巷45號6樓"
"24566961","全鼎管理顧問有限公司","臺北市大安區延吉街233巷2號3樓"
"24570613","愛蘋坊國際有限公司","臺北市南港區忠孝東路6段225巷1弄8號"
"24571113","傑達普蘿有限公司","臺北市大安區信義路2段72號地下"
"24571459","籐霖國際有限公司","臺北市松山區敦化南路1段57號4樓之12"
"24572345","譯達口筆譯有限公司","臺北市大安區忠孝東路4段208號3樓"
"24573153","華御股份有限公司","臺北市中山區南京東路2段160號6樓"
"24573668","亮典整合行銷有限公司","臺北市松山區南京東路5段188號6樓之5"
"24575835","頤樂投資有限公司","臺北市松山區南京東路5段169號6樓之2"
"24577088","騰新國際股份有限公司","臺北市松山區敦化南路1段57號4樓之12"
"24580984","翔發興業有限公司","臺中市南區三民西路347號"
"24582147","築地互聯地產股份有限公司","臺中市北區頂厝里進化北路238號6樓之3"
"24589155","俐舍租賃有限公司","臺中市南屯區溝墘里大墩路653號2樓"
"24589388","有德事業有限公司","臺中市中區大誠街68號1樓"
"24590673","生活美行銷有限公司","臺中市西屯區福恩里工業區一路98之26號13樓之1"
"24594468","旅人驛國際股份有限公司","臺中市北區淡溝里臺灣大道二段360號14樓之3"
"24596402","可成管理顧問股份有限公司","臺中市西區五權西路一段257號8樓之1"
"24601377","聚之禾開發實業有限公司","彰化縣和美鎮四張里西園路400號1樓"
"24604825","傲盛國際行銷有限公司","臺中市西屯區何德里大信街60號7樓之2"
