"統一編號","公司名稱","公司地址"
"01456436","威麥克健康生技股份有限公司","新北市新店區民權路108-3號7樓"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04593624","台大國際企業有限公司","臺北市萬華區和平西路3段51巷8號1樓"
"04661586","女王美容有限公司","臺北市中正區南昌路1段20號3樓"
"04671711","追上比爾網路科技有限公司","臺北市大安區羅斯福路2段105號4樓之1"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05077301","超群三溫暖工程有限公司","新北市新莊區化成路113巷86之1號"
"05085203","寶豐隆興業股份有限公司","臺北市大安區仁愛路4段71巷36號2樓"
"05125113","英鎮實業有限公司","臺北市松山區復興北路191號8樓之2"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09452742","肌光有限公司","臺北市大安區復興南路1段126巷1號6樓之2"
"09471425","億霸股份有限公司","新北市林口區東明一街121巷3號"
"12126551","美麗華大飯店股份有限公司","臺北市中山區民權東路3段2號12樓"
"12179070","晉泰藥業有限公司","臺北市大同區哈密街143號"
"12254844","日日商業股份有限公司","新北市板橋區文化路2段495號20樓"
"12276002","欣儀生化科技股份有限公司","臺北市中山區復興北路290號3樓之1"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2"
"12371287","采盟股份有限公司","臺北市松山區中正里復興北路57號3樓之1、2、7"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12383544","探索南港館股份有限公司","臺北市南港區重陽路66號1至4樓"
"12435753","擁潔股份有限公司","臺北市萬華區西園路2段157號9樓"
"12556377","臺灣芝寶股份有限公司","臺北市中正區羅斯福路2段140號4樓"
"12605898","姿妳生化科技股份有限公司","臺中市北區頂厝里進化北路261號1、2樓"
"12608516","浩宇開發有限公司","新北市中和區中正路一一八四號"
"12608810","雙迪國際事務有限公司","新北市土城區延吉街一一一巷一二弄一二號一樓"
"12616889","大地休閒產業開發股份有限公司","臺北市松山區南京東路4段1號9樓"
"12622545","孟婕股份有限公司","彰化縣田中鎮平和里山腳路五段123號"
"12627149","彭村梅國際美容事業股份有限公司","臺中市南屯區文心南三路222號1樓"
"12635128","菲力美容事業有限公司","臺南市東區東光里東安路一八三號"
"12635909","亞洲生技館科技股份有限公司","臺北市大安區仁愛路4段50之36號"
"12636724","千禧生活事業股份有限公司","桃園市桃園區北門里三民路二段二六二號"
"12646244","星紀髮型美容有限公司","新北市板橋區新埔里文化路1段421巷9號(1樓)"
"12653906","丞又貿易股份有限公司","臺北市大安區羅斯福路3段241號11樓之1"
"12653976","優質女人企業股份有限公司","臺北市松山區八德路3段12巷16弄19號1樓"
"12654150","能高休閒育樂股份有限公司","臺北市中山區林森北路50號9樓之1"
"12654172","神眼國際有限公司","新北市三峽區民生街一四六巷八號九樓之二"
"12654291","風詩韻有限公司","臺北市士林區天母西路４５號２樓"
"12656663","漂亮國際股份有限公司","臺北市士林區忠義街83號1樓"
"12657488","太平洋國際遊艇股份有限公司","宜蘭縣蘇澳鎮福德路366巷8號"
"12661217","百擎企業股份有限公司","臺北市大安區信義路4段263號6樓之1"
"12662911","菲萌生技華髮股份有限公司","臺北市大安區仁愛路4段410號3樓"
"12665190","喜麗美容企業股份有限公司","臺北市松山區南京東路3段337號11樓"
"12665207","力冠國際股份有限公司","臺中市西屯區惠中一街32號1樓"
"12665804","美麗安生化醫學科技股份有限公司","臺北市大安區忠孝東路4段183號12樓之2"
"12673115","馬路通開發股份有限公司","臺北市中山區天祥路48巷2號4樓之3"
"12673353","易勁門道家無極內功有限公司","臺北市大安區羅斯福路2段107號8樓"
"12673826","數位瑞崎科技股份有限公司","臺北市大安區復興南路1段239號15樓"
"12675612","唐和生化科技有限公司","雲林縣土庫鎮石廟里公園路67號1樓"
"12680122","邦代股份有限公司","臺北市大安區忠孝東路4段222號4樓之5"
"12687716","晶郁國際有限公司","新北市新店區中央路187號2樓"
"12689496","麟勝企業有限公司","新北市中和區中山路2段305號12樓之7"
"12690629","宏億世界開發股份有限公司","臺中市中區公園里民族路64號5樓之2"
"12691774","碩鈞科技有限公司","臺北市內湖區民權東路6段136巷39弄2號1樓"
"12693007","普洛達數位科技有限公司","臺北市中山區中山北路2段27巷2號6樓之6"
"12695032","小林美髮美容有限公司","臺北市大安區忠孝東路4段216巷36之1號2樓"
"12698116","福又達生物科技股份有限公司","臺北市內湖區內湖路1段120巷16號4樓"
"12699348","寶信國際股份有限公司","臺中市北區大雅路二八八之二號三樓"
"12704855","創意曲美學有限公司","新北市新店區北新路2段198號地下1層"
"12708304","泰克巴締股份有限公司","新竹市金山里光復路一段七五號一樓"
"12712216","頌主恩實業有限公司","南投縣草屯鎮上林里太平路一段191號1樓"
"12712877","禧多國際股份有限公司","臺中市西區精誠五街三○號一樓"
"12716022","水活力育樂股份有限公司","新竹縣竹東鎮東寧路二段274號1樓"
"12724352","重安科技實業有限公司","新北市三重區重陽路四段67號1樓"
"12730729","羅浮水晶宮溫泉會館股份有限公司","桃園市復興區羅浮里4鄰羅浮129號"
"12733562","巧韻國際有限公司","新北市板橋區雙十路三段七號"
"12740037","易伯企業有限公司","桃園市蘆竹區大竹路三八號"
"12741367","迪門企業管理顧問有限公司","新北市板橋區四川路2段241號3樓之3"
"12741845","薇米精品商旅股份有限公司","新北市三重區重新路2段78號16、17樓"
"12743772","金莊育樂股份有限公司","臺中市北屯區松竹里崇德二路2段262號1、2樓"
"12750766","雅苑實業股份有限公司","桃園市桃園區中正路476號4樓"
"12757634","惠碁生物科技股份有限公司","新北市三重區重陽路1段144號1樓"
"12762778","自然觸膚有限公司","新竹市文華里九鄰光華東街五號二樓　　　"
"12766802","優益康有限公司","臺中市大里區大里路二一九之一號一樓"
"12766866","美佳莉雅國際有限公司","新北市永和區永貞路337號(2樓)"
"12766970","晶國股份有限公司","嘉義市東區忠孝路515號13樓　"
"12767176","風滋韻有限公司","新北市永和區福和路三八九號七樓"
"12767204","鈺琉璃生化科技有限公司","臺中市西屯區朝貴路一○六號一樓"
"12767289","優爾絲有限公司","臺北市信義區忠孝東路５段５０８號６樓"
"12768338","卡諾國際有限公司","新北市永和區中和路四八九號一樓"
