"統一編號","公司名稱","公司地址"
"00069437","必得船舶工程有限公司","臺北市大安區光復南路650號7樓"
"00667031","爾雅通運有限公司","臺北市信義區忠孝東路5段1號14樓"
"00839610","玄修股份有限公司","基隆市中正路三四號四○二室"
"00841849","名豐輪業有限公司","基隆市仁愛區南榮路57號"
"00852710","富煜資產管理顧問股份有限公司","基隆市中山區中和路85巷5弄30號1樓"
"01178686","偉新國際興業有限公司","臺北市松山區復興北路1號10樓"
"01179355","逢陞科技股份有限公司","臺北市信義區基隆路2段109號8樓之1"
"01185292","隆國興業股份有限公司","新北市永和區中正路316號13樓之1"
"01187263","中信房屋仲介股份有限公司","臺北市中山區敬業一路99號4樓"
"01191549","晁霆股份有限公司","臺北市信義區基隆路2段48號6樓"
"01193862","馭航股份有限公司","臺北市內湖區瑞湖街103號5樓之2"
"01458103","冠帝有限公司","臺北市大同區環河北路２段１８５巷６號２樓"
"01868009","泰樂禮儀有限公司","新北市板橋區吳鳳路五○巷一一號"
"02356580","淵明印刷有限公司","新北市永和區福和路164號4樓"
"02897523","今瑩企業有限公司","苗栗縣三義鄉勝興村水美52號"
"03036501","三泰化工原料股份有限公司","臺北市中正區延平南路82號1樓"
"03049512","三德企業股份有限公司","臺北市中正區延平南路82號"
"03060311","中外儀器股份有限公司","新北市五股區五權八路16號(3樓)"
"03063703","日生堂企業股份有限公司","臺北市士林區天母北路46號"
"03082906","中國振業股份有限公司","臺北市松山區南京東路5段188號7樓之4"
"03134329","生季顧問有限公司","臺北市中正區紹興北街2巷1號3樓"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03242002","怡信有限公司","臺北市大同區甘谷街16號7樓之1"
"03288920","界宇企業有限公司","臺北市中正區開封街1段105號5樓之3"
"03354006","海鋒有限公司","高雄市苓雅區海邊路48號4樓之4"
"03354202","聯億貿易股份有限公司","臺北市中正區延平南路82號2樓"
"03374100","三誼國際股份有限公司","臺北市松山區八德路4段245巷32弄65號4樓"
"03415714","順益貿易股份有限公司","臺北市中山區民權東路2段150號"
"03426607","華美大飯店股份有限公司","臺北市中正區重慶南路1段1號"
"03439808","復興木業股份有限公司","臺北市中山區(南)南京東路2段53號9樓"
"03449806","博大汽車股份有限公司","臺北市中山區南京東路1段120號5樓之3"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03564100","國正實業股份有限公司","臺北市中山區林森北路646號"
"03634507","台灣通運倉儲股份有限公司","臺北市中山區中山北路2段113號10樓"
"03795904","台灣電力股份有限公司","臺北市中正區羅斯福路3段242號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04203317","百鼎欣業股份有限公司","桃園市龜山區龜山里萬壽路二段622號1樓"
"04204049","日暉池上股份有限公司","臺北市中正區中華路1段59號8樓"
"04211793","大航旅運有限公司","高雄市苓雅區文橫二路2巷18號"
"04211978","國際農畜股份有限公司","高雄市路竹區中華路518號"
"04212738","永光股份有限公司","臺北市中山區南京東路2段123號6樓"
"04224170","靈智廣告股份有限公司","臺北市中山區南京東路3段131號8樓"
"04263969","明園企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"04270666","泰和水泥工業股份有限公司","花蓮縣吉安鄉北昌村自強路594巷3弄7號"
"04318351","年豐交通企業股份有限公司","臺北市信義區信義路4段375號4樓之5"
"04338238","得望股份有限公司","新北市淡水區中正東路2段29之2號31樓"
"04345414","玟志企業有限公司","臺北市中山區北安路458巷47弄2號1樓"
"04380066","盛益貿易有限公司","新北市汐止區新台五路1段75號7樓之7"
"04394104","大洋通信工業股份有限公司","臺北市大同區重慶北路3段25巷3之3號2樓"
"04397828","善獲山礦業股份有限公司","花蓮縣吉安鄉東昌村東里十五街33號"
"04400295","擎天通運有限公司","臺北市大安區復興南路1段135巷15號3樓之3"
"04401323","恆昶實業股份有限公司","臺北市內湖區民權東路6段38號"
"04403687","克祥股份有限公司","臺北市中山區中山北路2段112號6樓之4"
"04409839","和諧影業有限公司","臺北市中山區松江路131號5樓502室"
"04415810","凱信企業股份有限公司","臺北市松山區南京東路4段50號10樓之1"
"04431467","世界專利有限公司","臺北市大安區忠孝東路4段311號12樓之1"
"04441042","九和汽車股份有限公司","臺北市大同區承德路1段40號12樓"
"04442675","祥原工業原料股份有限公司","新北市汐止區大同路1段308之9號5樓"
"04456712","劦寬貿易股份有限公司","新北市汐止區大同路1段308之9號5樓"
"04465326","愛智企業股份有限公司","臺北市大安區敦化南路1段218號3樓"
"04488123","盛德貿易有限公司","臺北市萬華區艋舺大道250號"
"04526674","長豐企業股份有限公司","臺北市大安區忠孝東路4段270號10樓之3"
"04596087","晉嘉建設股份有限公司","臺北市大安區敦化南路1段362號4樓之2"
"04631232","恆進企業股份有限公司","臺北市中山區南京東路1段138號7樓"
"04647950","詮晟實業股份有限公司","臺北市大安區復興南路1段219巷13號1樓"
"04655780","達衛企業工程有限公司","桃園市龜山區大坑里南上路401號"
"04656508","暉昌企業股份有限公司","臺北市中正區和平西路1段80號9樓"
"04669623","力瑋實業股份有限公司","新北市中和區建康路176號11樓"
"04681491","前豐知識科技有限公司","新竹縣竹東鎮員山路205巷88號"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04705542","慎之建設有限公司","臺北市信義區基隆路2段79巷1號6樓"
