"統一編號","公司名稱","公司地址"
"01069738","岳達有限公司","臺北市萬華區漢中街147巷14號1樓"
"01177808","菓子房禮品有限公司","新北市新莊區成功街72號１樓"
"01807566","祥發國際傳播有限公司","彰化縣鹿港鎮草中里頂草路四段四六二號"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03370505","曼哈頓整合行銷有限公司","高雄市仁武區八卦里澄觀路219號"
"03521905","遠東百貨股份有限公司","新北市板橋區新站路16號18樓"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2"
"04489586","衍良設計事業有限公司","臺北市大同區太原路97巷19號"
"04913416","正一乾冰有限公司","臺北市文山區羅斯福路5段192巷25號1樓"
"04987726","蘋果樹科技有限公司","臺北市大安區金華街223之8號5樓"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05022812","亞宙貿易有限公司","臺北市大安區泰順街50巷11號4樓"
"05075182","博飛實業股份有限公司","臺北市信義區松德路170之7號1樓"
"05085203","寶豐隆興業股份有限公司","臺北市大安區仁愛路4段71巷36號2樓"
"05099591","茗陽企業有限公司","臺北市中正區中華路2段75巷1弄7號"
"05184787","金石堂圖書股份有限公司","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室"
"05627615","金品工藝實業有限公司","臺北市中正區博愛路191巷6號1樓"
"05634377","老麥攝影文化事業有限公司","臺北市中正區愛國東路76號1樓"
"05634685","西北食品工業股份有限公司","新北市林口區粉寮路1段102號"
"05643495","尚洪工程有限公司","臺北市萬華區昆明街34號5樓之2"
"05708861","麥威宴會服務有限公司","新北市中和區永和路207之1號"
"05720231","柏寧企業股份有限公司","新北市永和區秀朗路二段24巷28弄5號1樓"
"07625199","迪樂商旅有限公司","臺北市大同區延平北路1段121號"
"09419218","悅創國際科技有限公司","臺北市大安區大安路1段145號2樓"
"09433154","聲岳行實業有限公司","新北市永和區雙和里中和路335巷18弄8號(1樓)"
"09491148","煥承企業有限公司","臺北市士林區文林路287號"
"12186184","喜之軒股份有限公司","臺北市中山區林森北路353巷20號地下室"
"12193538","群佳股份有限公司","臺北市中山區復興北路86號9樓"
"12212970","永吉殯儀有限公司","臺北市中山區民權東路2段174號"
"12343635","超德有限公司","臺北市大安區復興南路2段381號12樓之2"
"12362007","道德禮儀有限公司","新北市板橋區新海路431巷27號"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12393873","伊禮蘭餐廳有限公司","臺北市中山區長春路15號3樓"
"12476661","美帛企業股份有限公司","臺北市信義區忠孝東路5段669號3樓"
"12504152","香港商傑霸國際有限公司","新北市淡水區中山北路3段31巷88號6樓"
"12555807","善德殯儀有限公司","臺北市大安區辛亥路3段284巷7號1樓"
"12563980","千佑興業有限公司","新北市八里區龍米路2段88之1號6樓"
"12602055","甜甜圈國際有限公司","臺北市大安區和平東路1段218號6樓"
