"統一編號","公司名稱","公司地址"
"00679326","驊洲隆昌股份有限公司","基隆市仁愛區明德里忠三路99號6樓之2"
"00841849","名豐輪業有限公司","基隆市仁愛區南榮路57號"
"01128954","華新貿易有限公司","桃園市中壢區裕民街26-1號6樓"
"01176385","新州電腦股份有限公司","臺北市大安區復興南路1段380號11樓"
"01179355","逢陞科技股份有限公司","臺北市信義區基隆路2段109號8樓之1"
"01181325","哈帝股份有限公司","臺北市內湖區堤頂大道2段201號8樓"
"01187263","中信房屋仲介股份有限公司","臺北市中山區敬業一路99號4樓"
"01192110","泛美管理顧問股份有限公司","臺北市大安區忠孝東路4段75之17號"
"01456180","三力電腦股份有限公司","臺北市大安區敦化南路1段200號7樓之4"
"01458413","宇田企業有限公司","新北市三重區三德街30號(1樓)"
"01805526","石牌實業有限公司","臺北市北投區承德路7段223號1樓"
"01858966","力溢車業有限公司","新北市土城區中央路1段302號1樓"
"01865740","協泰車業有限公司","新北市板橋區民族路93號1樓"
"01869231","中隆汽車有限公司","新北市鶯歌區鶯桃路38號"
"02626992","楷瑞科技印刷股份有限公司","桃園市桃園區汴洲里春日路1414巷13號1樓"
"03098415","中華汽車工業股份有限公司","臺北市大安區敦化南路2段2號11樓"
"03188020","華信通運有限公司","新北市中和區中山路3段39號7樓之8"
"03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓"
"03387506","亞東生技有限公司","桃園市中壢區裕民街26-1號6樓"
"03557109","台灣東華書局股份有限公司","臺北市中正區重慶南路1段147號3樓"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03563708","台灣英文雜誌社股份有限公司","臺北市萬華區長沙街2段66號"
"03607500","聲寶股份有限公司","桃園市龜山區大華里頂湖26-3號"
"03799802","聯合報股份有限公司","新北市汐止區大同路1段369號"
"04196414","工商財經數位股份有限公司","臺北市萬華區大理街132號"
"04206709","士盟國際通運股份有限公司","臺北市南港區八德路4段778號2樓"
"04217017","乖乖股份有限公司","桃園市中壢區東園路48號"
"04226091","台燿科技股份有限公司","新竹縣竹北市泰和里博愛街803號"
"04249876","三民書局股份有限公司","臺北市中正區重慶南路1段59號"
"04256284","億采交通股份有限公司","高雄市小港區高鳳路276號1樓"
"04345414","玟志企業有限公司","臺北市中山區北安路458巷47弄2號1樓"
"04353315","北華工藝有限公司","新北市淡水區自強路295-1號"
"04380235","強宇企業股份有限公司","臺北市中山區長安東路2段50號7樓之1"
"04387005","優美股份有限公司","臺北市萬華區雙園里莒光路310號3樓"
"04422501","佐佑投資股份有限公司","臺北市中山區中山北路2段96號"
"04431467","世界專利有限公司","臺北市大安區忠孝東路4段311號12樓之1"
"04435597","彪豐交通有限公司","高雄市鼓山區民康街187巷6號2樓"
"04439910","錦源水泥製品股份有限公司","臺北市中山區建國北路1段69號9樓"
"04442675","祥原工業原料股份有限公司","新北市汐止區大同路1段308之9號5樓"
"04456712","劦寬貿易股份有限公司","新北市汐止區大同路1段308之9號5樓"
"04491020","盛毅實業股份有限公司","新北市五股區五權三路42號"
"04499254","良星車業有限公司","臺北市大同區重慶北路2段39號1樓"
"04503095","國信傳播事業有限公司","臺北市大同區長安西路56號5樓"
"04550147","臺北農產運銷股份有限公司","臺北市中山區民族東路336號"
"04590041","嵐川企業有限公司","臺北市中山區龍江路342巷7號"
"04601672","鈺龍數位印刷有限公司","新北市中和區橋和路115號2樓117號2樓"
"04659245","幼福文化事業股份有限公司","新北市中和區建康路150號"
"04669623","力瑋實業股份有限公司","新北市中和區建康路176號11樓"
"04690055","洋基通運股份有限公司","臺北市中山區建國北路2段82號1樓"
"04690983","大魯閣纖維股份有限公司","臺北市內湖區民善街83號3樓"
"04697310","海益企業股份有限公司","臺北市南港區三重路19之3號9樓之1"
"04703381","達義資訊整合有限公司","新北市三重區中華路50巷1弄23之3號4樓"
"04722423","柳倉儲股份有限公司","高雄市苓雅區光華一路321號12樓之6"
"04732111","宏誠交通有限公司","高雄市楠梓區惠民路215巷19號1樓"
"04796022","嘉馬電子工業股份有限公司","臺北市內湖區新湖一路288號2樓"
"04814838","鑫發汽車有限公司","臺北市松山區八德路3段12巷52弄30號"
"04815219","福同美術印刷有限公司","臺北市南港區福德街339巷3弄3號1樓"
"04819622","弓鴻實業有限公司","臺北市信義區松山路287巷6弄3號1樓"
"04822990","弘專有限公司","臺北市大安區新生南路3段2號10樓"
"04824370","駿驊國際實業股份有限公司","新北市汐止區環河里福德一路392巷17號"
"04837641","誼紘交通企業有限公司","高雄市三民區同盟一路281號1樓"
"04869642","牧友實業有限公司","臺北市文山區羅斯福路5段166號6樓"
"04890482","三育機車有限公司","臺北市文山區景隆街54號56號1樓"
"04892307","英倫實業有限公司","臺北市中正區羅斯福路1段24之1號2樓"
"04898323","元信機車行有限公司","臺北市文山區木柵路2段125號1樓"
"04908814","明江貿易股份有限公司","臺北市松山區南京東路5段356號11樓"
"04923596","豪陽企業股份有限公司","新北市三重區光復路2段35號"
"04943495","荃強國際傳播有限公司","臺北市大安區大安路1段188號4樓"
"04949174","林克航空貨運代理股份有限公司","臺北市內湖區瑞光路360號7樓"
"04987388","乙農企業股份有限公司","臺北市中山區農安街57號2樓之6"
"05007994","北杰企業有限公司","臺北市南港區忠孝東路7段611號(1樓)"
"05051822","立和創新有限公司","臺北市中山區長安東路1段16號8樓之3"
"05060358","盈祺國際物流有限公司","臺北市中正區忠孝東路2段96號2樓"
"05064431","公誠興業股份有限公司","臺北市內湖區民善街89號3樓"
"05068507","祥富管理顧問股份有限公司","新北市板橋區南雅南路1段125號1樓"
"05072925","中租迪和股份有限公司","臺北市內湖區瑞光路362號8樓至12樓"
"05075182","博飛實業股份有限公司","臺北市信義區松德路170之7號1樓"
"05091275","親親文化事業有限公司","臺北市文山區萬和街8號10樓之2"
"05091991","年代網際事業股份有限公司","臺北市內湖區瑞湖街39號2樓"
"05092035","致新國際開發事業有限公司","臺北市信義區嘉興街309號5樓"
"05105904","精石國際股份有限公司","臺北市中正區汀州路3段184號"
"05133140","家樂事業有限公司","臺北市大同區寧夏路22之5號2樓"
"05134324","弘雅圖書股份有限公司","臺北市松山區復興北路386號地下1樓、地上1、2、3、4樓"
"05138362","臺灣資料縮影股份有限公司","臺北市信義區東興路39號2樓"
"05138406","禾笙休閒家國際管理顧問有限公司","臺北市中正區信義路2段91號10樓之5"
"05147144","金統銀樓有限公司","臺北市松山區復興北路191號15樓之2"
"05155452","王月國際開發有限公司","臺北市大安區溫州街79號1樓"
"05155951","城都企業有限公司","臺北市中正區重慶南路3段56號1樓"
