"統一編號","公司名稱","公司地址"
"01456436","威麥克健康生技股份有限公司","新北市新店區民權路108-3號7樓"
"03069208","天成飯店股份有限公司","臺北市中正區忠孝西路1段43號"
"03561011","裕豐國際開發股份有限公司","桃園市中壢區過嶺里民族路6段638號2樓"
"03562308","台火開發股份有限公司","臺北市中正區延平南路75號2、3樓"
"03631207","國裕開發股份有限公司","臺北市中正區忠孝西路１段３８號"
"04593624","台大國際企業有限公司","臺北市萬華區和平西路3段51巷8號1樓"
"04964250","東森國際股份有限公司","臺北市大安區復興南路1段368號5樓、8樓及370號6樓、11樓"
"05077301","超群三溫暖工程有限公司","新北市新莊區化成路113巷86之1號"
"05085203","寶豐隆興業股份有限公司","臺北市大安區仁愛路4段71巷36號2樓"
"05871997","神木谷遊樂興業股份有限公司","臺中市和平區博愛里東關路１段溫泉巷７號"
"07625199","迪樂商旅有限公司","臺北市大同區延平北路1段121號"
"11636802","國賓大飯店股份有限公司","臺北市中山區中山里4鄰中山北路2段63號"
"12108842","華皇浴室有限公司","臺北市中山區長春路100號地下室"
"12126551","美麗華大飯店股份有限公司","臺北市中山區民權東路3段2號12樓"
"12186184","喜之軒股份有限公司","臺北市中山區林森北路353巷20號地下室"
"12264131","毅太企業股份有限公司","臺北市中山區建國北路2段147號6樓"
"12380151","創奇企業有限公司","新北市新莊區五權1路13號3樓之3"
"12499670","凱撒大飯店股份有限公司","屏東縣恆春鎮墾丁路6號"
"12628800","泰安伊豆育樂股份有限公司","苗栗縣泰安鄉錦水村橫龍山三九號"
"12636457","金鴻城有限公司","高雄市茂林區多納里多納巷63之1號"
"12654150","能高休閒育樂股份有限公司","臺北市中山區林森北路50號9樓之1"
"12656832","新點子休閒娛樂股份有限公司","臺北市中山區中山北路2段79號4樓"
"12657488","太平洋國際遊艇股份有限公司","宜蘭縣蘇澳鎮福德路366巷8號"
"12675346","亞爵國際育樂股份有限公司","臺北市信義區松仁路97、99、101號地下1樓"
"12696594","寶盛開發股份有限公司","臺北市松山區復興北路365號9樓"
"12721910","豐昱國際股份有限公司","臺中市西屯區何南里臺灣大道二段689號地下1樓之1至之3及9至12樓、東興路三段407號、東興路三段409號2樓之1至13樓之20"
"12730729","羅浮水晶宮溫泉會館股份有限公司","桃園市復興區羅浮里4鄰羅浮129號"
"12735837","新店雅風股份有限公司","新北市新店區達觀路12號"
"12741774","萊庭股份有限公司","臺南市西區光賢里光賢街二三號、二三號之一"
"12741845","薇米精品商旅股份有限公司","新北市三重區重新路2段78號16、17樓"
"12743772","金莊育樂股份有限公司","臺中市北屯區松竹里崇德二路2段262號1、2樓"
"12750766","雅苑實業股份有限公司","桃園市桃園區中正路476號4樓"
"12766303","欣台同活水育樂健康世界有限公司","新北市汐止區大同路1段243號"
"12766802","優益康有限公司","臺中市大里區大里路二一九之一號一樓"
"12775838","宏通企業有限公司","新北市三重區中正北路七八號"
"12788616","悟元生物科技研發國際有限公司","宜蘭縣羅東鎮公正里鍾山新村十二號一樓"
"12798207","廣三崇光國際開發股份有限公司","臺中市西區臺灣大道二段459號14樓"
"12802429","伊豆開發股份有限公司","臺中市和平區東關路一段分校巷5號"
"12805559","谷濱溫泉股份有限公司","臺中市北屯區大坑里東山路二段七八巷八號一樓"
"12818631","諾亨企業股份有限公司","高雄市大社區神農里翠屏路八四巷三七號一二樓"
"12829433","立岡國際股份有限公司","臺南市安定區海寮里海寮132-38號2樓"
"12831450","福容大飯店股份有限公司","新北市五股區成泰路1段189巷16號地下2樓"
"12840985","南勢山道德堂文化傳播志業有限公司","桃園市中壢區長沙路三號七樓"
"12845433","正中日體育事業股份有限公司","新竹縣竹北市新光街241號5樓"
"12857325","天成開發股份有限公司","臺北市中正區忠孝西路1段41號5樓之16"
"12864141","富翔開發股份有限公司","臺北市信義區信義路4段415號5樓"
"12866437","綠恩生醫科技股份有限公司","臺北市中正區八德路1段50號"
"12868879","活力無限休閒發展國際事業股份有限公司","臺北市萬華區開封街2段8之4號"
"12871939","協和四季股份有限公司","新北市板橋區中正路301號"
"12873606","寶閎建設股份有限公司","臺北市松山區復興北路３６５號９樓"
"12878834","伊瑪整體美容有限公司","臺北市北投區吉利街１２３巷８弄１１號１樓"
"12878861","伊立國際開發有限公司","臺北市北投區東華街2段354號2樓"
"12882534","立穩國際遊樂有限公司","新北市萬里區公館崙21號"
"12884414","阿里山溫泉大酒店股份有限公司","嘉義市西區福松里新榮路４８號１樓"
"12890817","瑞森國際興業有限公司","新北市三峽區中正路1段292巷18號1樓"
"12895186","由達休閒事業有限公司","新竹縣尖石鄉錦屏村5鄰錦屏69之1號"
"12901309","紅河谷休閒事業股份有限公司","新北市烏來區忠治里成功2號"
"12909082","亞威運動休閒開發股份有限公司","花蓮縣花蓮市主安里中強街66-1號"
"12917999","媚力源興業有限公司","新北市淡水區原德路3號3樓"
"12920734","花月國際有限公司","新北市烏來區溫泉街四三號一樓"
"12929833","競殿實業有限公司","新北市板橋區華江里文化路1段360號3樓"
"12933512","彩色人生興業股份有限公司","臺北市北投區中山路32號1、2樓"
"12942293","百樂家股份有限公司","臺北市內湖區大湖路166巷4號1樓"
"12947017","老爺管理顧問股份有限公司","臺北市中山區中山北路1段27號4樓"
"12957160","同旺開發股份有限公司","臺北市松山區復興南路1段27號11樓"
"12970810","三勝國際育樂開發股份有限公司","臺北市松山區復興北路369號10樓之2"
"12973318","全球整合國際網路有限公司","新北市三重區車頭路街114號2樓"
"12982436","麒麟峰溫泉股份有限公司","臺中市北屯區東山路2段65巷15號"
"12987093","大珈科技有限公司","臺北市中山區林森北路５０８號５樓"
"12988488","金台同活水育樂健康世界有限公司","新北市汐止區康寧街四三○號"
"12989135","育鉉股份有限公司","南投縣埔里鎮北安里中山路二段五二號一樓"
"12999422","日出溫泉旅館股份有限公司","臺中市大里區東興里永明街４０２號１樓"
"13008814","富元行銷股份有限公司","臺中市南屯區豐樂里文心南五路一段369號3樓"
"13009399","魁克行銷顧問有限公司","臺南市南區金華路一段四八四巷二四○弄二一號一樓"
"13012394","箱根生活館股份有限公司","南投縣埔里鎮蜈蚣里中山路一段62號"
"13018637","海力國際有限公司","高雄市左營區蓮潭路151巷6號"
"13025665","薰髮園股份有限公司","新北市新莊區昌明街七六號　　"
"13037775","悠遊行銷顧問有限公司","臺南市東區文東街八○號壹樓"
"13052070","清新國際股份有限公司","臺中市烏日區學田里2鄰溫泉路2號"
