"統一編號","公司名稱","公司地址"
"12148598","中興保全股份有限公司","臺北市大同區鄭州路139號6樓及7樓"
"12348012","強固保全股份有限公司","臺北市大同區延平北路2段202號15樓、15樓之1、12樓之1"
"12615988","宇鋒保全股份有限公司","桃園市中壢區廣州路210號6樓"
"12626248","建經保全股份有限公司","新竹市武陵路386-1號"
"12635268","台灣陸安保全股份有限公司","桃園市桃園區福昌街六號二樓"
"12643767","生產力保全股份有限公司","臺中市南屯區文心路1段306號地下一層之一"
"12655427","連鴻保全股份有限公司","新北市板橋區仁化街187號1樓"
"12662659","民和保全股份有限公司","臺北市信義區忠孝東路5段412號2樓之7"
"12666141","中菱保全股份有限公司","臺北市大安區復興南路2段363號1樓"
"12673380","大席保全股份有限公司","新北市三重區重陽路1段59號2樓"
"12686110","耀盛保全股份有限公司","新北市三峽區文化路125號5樓"
"12697550","泓揚保全股份有限公司","臺北市信義區虎林街202巷5號1樓"
"12705123","頂級保全股份有限公司","屏東縣屏東市大安街49巷12-4號1樓"
"12712095","新興保全股份有限公司","臺北市中正區南昌路２段１０３號８樓之２"
"12717205","國偟保全股份有限公司","新北市板橋區和平路安樂巷53號(1樓)"
"12722586","捷安保全股份有限公司","新北市中和區中山路二段二九六號二樓之一"
"12725578","豪昱保全股份有限公司","桃園市桃園區永安里埔新路151號"
"12736483","雄巍保全股份有限公司","基隆市仁愛區仁一路133號10樓之1"
"12737791","龍翔保全股份有限公司","桃園市桃園區經國路525號9樓"
"12766795","南山保全股份有限公司","新北市永和區保順路11號2樓"
"12770910","巨堡保全股份有限公司","新竹縣竹北市新泰路７８巷４０之一號２樓"
"12772889","福將保全股份有限公司","新竹市北區北大路5號8樓之4"
"12783083","一統保全股份有限公司","臺南市北區林森路三段二三五號"
"12791210","康泰保全股份有限公司","臺北市中山區長安東路1段23號7樓之4"
"12799830","金固保全股份有限公司","新北市三重區三和路4段380號5樓之11"
"12803530","銘廬保全股份有限公司","苗栗縣苗栗市文山里正展路8號"
"12809318","集英保全股份有限公司","桃園市中壢區龍慈路12號4樓"
"12810286","豐達保全股份有限公司","桃園市桃園區中寧里大興西路二段99號5樓之1"
"12815228","茂信保全股份有限公司","桃園市蘆竹區南崁路一段112號1樓"
"12815613","華威保全股份有限公司","臺南市北區文賢二街500巷20號1樓"
"12820046","安順保全股份有限公司","新北市中和區景新街347號10樓"
"12823677","東元保全股份有限公司","桃園市桃園區東埔里民生路832號1樓"
"12826007","衛東保全股份有限公司","桃園市楊梅區新農街二段183號2樓"
"12826359","東方保全股份有限公司","新竹縣竹北市縣政十三路84之20號3樓"
"12832394","宏偉保全股份有限公司","新北市三重區新北大道1段35巷20號3樓"
"12840850","日祥保全股份有限公司","桃園市龜山區萬壽路二段1254號2樓"
"12883597","集中保全股份有限公司","臺中市潭子區勝利路272號1-2樓"
"12884596","東漢保全股份有限公司","桃園市桃園區中山路709之1號3樓"
"12888967","府城保全股份有限公司","臺南市東區自強里6鄰東門路3段37巷69號"
"12898515","汗雲保全股份有限公司","桃園市中壢區龍平路211之1號5樓"
"12901384","天網保全股份有限公司","新北市瑞芳區魚坑路177號"
"12908957","群安保全股份有限公司","新北市蘆洲區長安街22巷39弄15號3樓"
"12916020","龍鼎保全股份有限公司","桃園市中壢區環中東路241號14樓之1"
"12916865","威盛保全股份有限公司","桃園市平鎮區北華里振平街116號"
"12920880","鴻昌保全股份有限公司","桃園市桃園區力行路5號4樓之1"
"12948873","巨笙保全股份有限公司","臺北市南港區向陽路120巷2弄5號1樓"
"12951460","駿鋒保全股份有限公司","臺北市松山區八德路4段678號9樓"
"12955070","大順保全股份有限公司","臺北市松山區光復南路1號12樓之2"
"12966077","宏陽保全股份有限公司","桃園市桃園區南門里三民路3段284號11樓"
"12982077","台達保全股份有限公司","桃園市桃園區中正路925號9樓"
"12987426","宏遠保全股份有限公司","基隆市安樂區麥金路415號"
"12988190","御境保全股份有限公司","彰化縣彰化市延和里埔西街8號"
"13006180","嘉陽保全股份有限公司","嘉義市西區德明路75號19樓之1"
"13011402","重實保全股份有限公司","高雄市苓雅區青年2路212號7樓之1"
"13029260","太固保全股份有限公司","臺南市南區文南里永南二街五二號一樓"
"13030111","遠泰保全股份有限公司","臺南市東區東門路2段96號11樓之1"
"13046660","群豐保全股份有限公司","新北市新店區中央七街88號"
"13067019","正安保全股份有限公司","臺中市北區健行路375之5號6樓"
"13072786","憲光保全股份有限公司","新北市新店區北新路一段八九號三樓之三"
"13075165","虹翔保全股份有限公司","臺中市北區漢口路四段35號8樓之1"
"13075382","巨洋保全股份有限公司","臺中市北區忠太西路６０號１、２樓"
"13077121","睿豐保全股份有限公司","桃園市桃園區中信里國際路二段47號2樓"
"13082671","超航保全股份有限公司","臺北市中山區新生北路3段11巷27號1樓"
"13087090","聯宗保全股份有限公司","臺北市內湖區內湖路2段367號6樓"
"13089175","天辰保全股份有限公司","新北市汐止區大同路1段217號9樓之6"
"13097055","東寧保全股份有限公司","臺北市大同區承德路2段142號3樓"
"13107808","長江保全股份有限公司","雲林縣斗六市鎮西里8鄰同德街19號1樓"
"13117931","廣埕保全股份有限公司","新北市汐止區福德一路86巷69號1樓"
"13129535","皇承保全股份有限公司","臺北市大同區塔城街7號3樓"
"13132258","新禾保全股份有限公司","臺北市大同區民權西路279號5樓之2"
"13144867","聯合保全股份有限公司","高雄市鼓山區大順一路1011巷2號1樓"
"13160752","忠衛保全股份有限公司","高雄市三民區皓東路148號"
"13168987","齊家保全股份有限公司","新竹縣竹北市縣政十三路5號"
"13176109","珉全保全股份有限公司","高雄市三民區九如二路597號11樓之5"
"13187921","嘉賀保全股份有限公司","高雄市三民區民族一路80號43樓之1"
"13197765","磐石保全股份有限公司","高雄市三民區九如一路565巷1號"
"16037257","中外保全股份有限公司","臺中市北區忠明路五○二之一號四樓之一"
"16099725","中鋼保全股份有限公司","高雄市新興區民生一路247號17樓之1"
"16154347","喬信保全股份有限公司","臺北市內湖區新湖二路339號5樓"
"16211950","連晟保全股份有限公司","新北市板橋區實踐路49號(1樓)"
"16278157","全亞保全股份有限公司","新北市中和區中正路７５５號２樓之１"
"16294706","立保保全股份有限公司","臺北市大同區鄭州路139號5樓"
"16298267","宏威保全股份有限公司","桃園市桃園區同德2街158之4號5樓"
"16298800","清三保全股份有限公司","臺北市中山區建國北路2段120號3樓"
"16299343","力霸保泰保全股份有限公司","臺北市大安區信義路4段181號2樓之3"
"16329493","長榮警備保全股份有限公司","臺北市中山區松江路111號4、5樓"
"16362302","合京保全股份有限公司","桃園市中壢區中央里中山路146號12樓"
