CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
694868,千樺有限公司,臺北市松山區光復南路32巷10號,臺北市松山區復建里7鄰光復南路32巷10號,306218.068,2771048.317
1175409,聖力室內裝修股份有限公司,臺北市中山區松江路42號4樓之3,臺北市中山區興亞里6鄰松江路42號,303754,2771170.826
1410919,小雅室內裝修有限公司,臺北市中山區長春路65號12樓,臺北市中山區中山里26鄰長春路65號,303111.776,2771975.391
1520090,坤義室內裝修設計有限公司,臺北市信義區松隆路159巷39號1樓,臺北市信義區雅祥里19鄰松隆路159巷39號,307779.927,2771286.565
1520248,宜紀行銷有限公司,臺北市松山區南京東路5段54號2樓之1,臺北市松山區吉祥里17鄰南京東路五段54號,306523.077,2771575.708
3020108,申茂企業股份有限公司,臺北市松山區民族東路672號1樓,臺北市松山區民福里26鄰民族東路672號,305143.328,2773048.332
3058504,今日美術建築股份有限公司,臺北市大安區仁愛路４段２９號３樓,臺北市大安區仁愛里10鄰仁愛路四段29號,305046.272,2770121.381
3193403,宏川企業有限公司,臺北市大安區忠孝東路4段112號11樓,臺北市大安區仁愛里11鄰忠孝東路四段112號,305180.833,2770469.812
3394318,偉因美術裝潢工程有限公司,臺北市中正區汀州路1段87號1樓,臺北市中正區龍興里17鄰汀州路一段87號,301294.241,2769135.306
3550014,台灣富士全錄股份有限公司,臺北市松山區敦化北路88號7樓,臺北市松山區中正里11鄰敦化北路88號,305343.153,2771577.77
4240501,誠建室內裝修股份有限公司,臺北市中山區建國北路2段135、137號地下1樓,臺北市中山區復華里16鄰建國北路二段9之1號,304213.09,2771765.592
4256025,豪洲建設股份有限公司,臺北市中正區杭州南路１段７１巷１０號,臺北市中正區文北里11鄰杭州南路一段71巷10號,303119.541,2770256.211
4388829,大仁室內裝修股份有限公司,臺北市信義區松仁路89號8樓之4,臺北市信義區安康里8鄰松仁路89號,307392.924,2770021.133
4393132,雅威室內設計裝修有限公司,臺北市大安區和平東路2段203號11樓之2,臺北市大安區龍生里2鄰和平東路二段203號,304743.78,2768679.306
4397003,一等美術裝潢工程有限公司,臺北市中山區吉林路404號1樓,臺北市中山區新庄里1鄰吉林路404號,303496.772,2773134.346
4561165,西法室內裝修企業有限公司,臺北市大安區仁愛路3段123巷7號1樓,臺北市大安區義村里20鄰仁愛路三段123巷7號,304700.805,2770197.886
4623937,再傑室內裝修工程設計有限公司,臺北市中正區新生南路1段108之1號2樓,臺北市中正區幸市里15鄰新生南路一段108之1號,303738.919,2770264.595
4677145,巨吉室內裝修工程有限公司,臺北市信義區永吉路201號地下1層,臺北市信義區五常里4鄰永吉路201號,307874.007,2770966.376
4682908,聯忠室內裝修工程有限公司,臺北市信義區吳興街170巷2弄4號4樓,臺北市信義區景勤里2鄰吳興街170巷2弄4號,306712.925,2769053.412
4705542,慎之建設有限公司,臺北市信義區基隆路2段79巷1號6樓,臺北市信義區景聯里8鄰基隆路二段79巷1號,306365.113,2769228.614
4750004,儀昌家具裝潢有限公司,臺北市松山區八德路3段200號7樓之1,臺北市松山區復建里11鄰八德路三段200號,306144.17,2771202.814
