id,Address,Response_Address,Response_X,Response_Y
1,臺北市士林區士東路266巷6弄11號,臺北市士林區芝山里17鄰士東路266巷6弄11號,304050.118,2778325.577
2,臺北市士林區大北路46號,臺北市士林區仁勇里9鄰大北路46號,303047.875,2775843.598
3,臺北市士林區大東路174號,臺北市士林區福德里4鄰大東路174號,302983.911,2776188.455
4,臺北市士林區大南路252號,臺北市士林區後港里6鄰大南路252號,302474.032,2775698.195
5,臺北市士林區大南路415號,臺北市士林區後港里21鄰大南路415號,302053.052,2775865.520
6,臺北市士林區中山北路七段165號,臺北市士林區天母里10鄰中山北路七段165號,303676.434,2779605.684
7,臺北市士林區中山北路七段190巷6號,臺北市士林區天山里20鄰中山北路七段190巷6號,303767.255,2779715.657
8,臺北市士林區中山北路五段250號,臺北市士林區福林里10鄰中山北路五段250號,303159.266,2775539.625
9,臺北市士林區中山北路六段172巷22弄3號,臺北市士林區蘭雅里20鄰中山北路六段172巷22弄3號,303092.869,2777780.944
10,臺北市士林區中山北路六段195巷21號,臺北市士林區蘭興里7鄰中山北路六段195巷21號,302793.108,2777799.384
11,臺北市士林區中正路324號,臺北市士林區福佳里14鄰中正路324號,302704.956,2776370.255
12,臺北市士林區中正路501號,臺北市士林區後港里11鄰中正路501號,302260.808,2776040.697
13,臺北市士林區中正路601號,臺北市士林區葫東里13鄰中正路601號,301442.160,2775449.022
14,臺北市士林區中正路611號,臺北市士林區葫東里13鄰中正路611號,301419.565,2775445.463
15,臺北市士林區文昌路14號,臺北市士林區福佳里19鄰文昌路14號,302632.712,2776395.857
16,臺北市士林區文林北路72號,找不到指定的門牌地址。,,
17,臺北市士林區永平街20巷11弄5號,臺北市士林區社園里23鄰永平街20巷11弄5號,301014.455,2775875.985
18,臺北市士林區永平街71號,臺北市士林區永倫里4鄰永平街71號,300929.009,2776017.789
19,臺北市士林區至善路二段445號,臺北市士林區臨溪里11鄰至善路二段445號,306178.378,2777959.420
20,臺北市士林區和豐街8號,臺北市士林區福華里22鄰和豐街8號,302358.475,2775046.803
21,臺北市士林區延平北路七段106巷23號,臺北市士林區福安里5鄰延平北路七段106巷23號,299905.987,2776688.343
22,臺北市士林區延平北路七段106巷327弄臨59號,臺北市士林區福安里10鄰延平北路七段106巷327弄59號,299892.996,2777698.940
23,臺北市士林區延平北路七段107巷9號,臺北市士林區福安里5鄰延平北路七段107巷9號,299884.317,2776562.168
24,臺北市士林區延平北路七段9號,臺北市士林區福安里1鄰延平北路七段9號,300129.923,2776354.023
25,臺北市士林區延平北路九段259號,臺北市士林區富洲里13鄰延平北路九段259號,297440.052,2777889.920
26,臺北市士林區延平北路八段242巷6弄20號,臺北市士林區富洲里8鄰延平北路八段242巷6弄20號,298374.857,2777701.331
27,臺北市士林區延平北路八段2巷153弄71之1號,臺北市士林區福安里12鄰延平北路八段2巷153弄71之1號,298705.789,2778072.618
28,臺北市士林區延平北路八段80巷53弄4號,臺北市士林區富洲里3鄰延平北路八段80巷53弄4號,299016.515,2777658.298
29,臺北市士林區延平北路五段136巷18號,臺北市士林區福順里11鄰延平北路五段136巷18號,301570.748,2774975.406
30,臺北市士林區延平北路五段136巷27弄29號,臺北市士林區福順里14鄰延平北路五段136巷27弄29號,301565.563,2775047.308
31,臺北市士林區延平北路五段136巷27弄31號,臺北市士林區福順里14鄰延平北路五段136巷27弄31號,301562.437,2775054.885
32,臺北市士林區延平北路五段136巷27弄35號,臺北市士林區福順里14鄰延平北路五段136巷27弄35號,301558.270,2775064.029
33,臺北市士林區延平北路五段2號,臺北市士林區福順里8鄰延平北路五段2號,301584.098,2774656.484
34,臺北市士林區延平北路五段316號,臺北市士林區葫東里13鄰延平北路五段316號,301401.017,2775421.389
35,臺北市士林區延平北路五段63號,臺北市士林區富光里2鄰延平北路五段63號,301510.578,2774794.316
36,臺北市士林區延平北路六段116巷15弄7號,臺北市士林區社園里1鄰延平北路六段116巷15弄7號,301195.675,2775822.138
37,臺北市士林區延平北路六段116巷29號,臺北市士林區社園里5鄰延平北路六段116巷29號,301254.506,2775856.556
38,臺北市士林區延平北路六段116巷49弄6號,臺北市士林區社園里7鄰延平北路六段116巷49弄6號,301259.052,2775934.937
39,臺北市士林區延平北路六段121號,臺北市士林區社新里4鄰延平北路六段121號,301248.395,2775683.890
40,臺北市士林區延平北路六段219號,臺北市士林區社新里15鄰延平北路六段219號,300974.360,2775767.674
