id,Address,Response_Address,Response_X,Response_Y
60001,臺北市士林區文林路３０４號,臺北市士林區福德里1鄰文林路304號,303089.846,2776070.36
60002,臺北市士林區延平北路六段15號,臺北市士林區社新里1鄰延平北路六段15號,301350.224,2775503.47
60003,臺北市士林區延平北路六段249號,臺北市士林區社新里28鄰延平北路六段249號,300849.593,2775738.936
60004,臺北市士林區忠誠路二段156號,臺北市士林區天福里5鄰忠誠路二段156號,303727.681,2778634.335
60005,臺北市士林區承德路４段３０９號,臺北市士林區後港里14鄰承德路四段309號,302266.862,2775862.652
60006,臺北市士林區承德路４段４０巷９號,臺北市士林區福華里6鄰承德路四段40巷9號,302667.654,2774854.741
60007,臺北市士林區承德路四段185號,臺北市士林區義信里12鄰承德路四段185號,302695.837,2775614.259
60008,臺北市士林區承德路四段192-1號,臺北市士林區前港里2鄰承德路四段192之1號,302664.911,2775560.452
60009,臺北市士林區承德路四段1巷19號,臺北市士林區明勝里1鄰承德路四段1巷19號,302657.039,2774554.32
60010,臺北市士林區東山路100巷9號,臺北市士林區東山里14鄰東山路100巷9號,304347.926,2778440.279
60011,臺北市士林區社中街４５８巷６３號,臺北市士林區永倫里16鄰社中街458巷63號,300652.491,2776186.487
60012,臺北市士林區建業路68巷10弄3號,臺北市士林區陽明里5鄰建業路68巷10弄3號,305574.205,2781053.311
60013,臺北市士林區重慶北路４段５７號,臺北市士林區福順里5鄰重慶北路四段57號,301721.429,2774866.395
60014,臺北市士林區倫等街48巷11號,臺北市士林區永倫里16鄰倫等街48巷11號,300669.112,2776157.061
60015,臺北市士林區通河西街２段１９８號,臺北市士林區永倫里13鄰通河西街二段198號,300792.499,2776214.802
60016,臺北市士林區通河東街１段１６７巷２弄１４號,臺北市士林區福中里14鄰通河東街一段167巷2弄14號,302060.874,2775574.066
60017,臺北市士林區華岡路31之3號,臺北市士林區陽明里15鄰華岡路31之3號,304710.223,2781166.256
60018,臺北市士林區華齡街１７２之２號,臺北市士林區前港里13鄰華齡街172之2號,302438.89,2775493.864
60019,臺北市士林區葫蘆街29巷28號,臺北市士林區富光里7鄰葫蘆街29巷28號,301435.007,2774647.202
60020,臺北市士林區福志路１１號,臺北市士林區福志里13鄰福志路11號,303638.489,2776768.816
60021,臺北市士林區福港街210巷17弄18號,臺北市士林區福中里11鄰福港街210巷17弄18號,302124.328,2775327.854
60022,臺北市士林區福華路147巷15號,臺北市士林區德華里8鄰福華路147巷15號,302593.653,2777294.944
60023,臺北市士林區環河北路３段１６９號,臺北市士林區社新里20鄰環河北路三段169號,300943.793,2775499.128
60024,臺北市大同區大龍街79巷3號,臺北市大同區斯文里2鄰大龍街79巷3號,302078.659,2773215.684
60025,臺北市大同區民族西路163號,臺北市大同區至聖里29鄰民族西路163號,302013.805,2773488.465
60026,臺北市大同區赤峰街41巷1之7號,臺北市大同區光能里4鄰赤峰街41巷1之7號,302460.718,2771959.661
60027,臺北市大同區延平北路四段175號,臺北市大同區老師里9鄰延平北路四段175號,301599.532,2774021.548
60028,臺北市大同區承德路２段１０４號,臺北市大同區雙連里15鄰承德路二段104號,302258.085,2772355.841
60029,臺北市大同區承德路３段１１３巷２號,臺北市大同區斯文里17鄰承德路三段113巷2號,302343.874,2773276.258
60030,臺北市大同區承德路３段１７３號,臺北市大同區至聖里7鄰承德路三段173號,302321.773,2773520.244
60031,臺北市大同區保安街1-17號,臺北市大同區民權里13鄰保安街1之17號,301883.14,2772497.392
60032,臺北市大同區保安街43號,臺北市大同區延平里4鄰保安街43號,301690.383,2772428.3
60033,臺北市大同區南京西路１８５巷６號,臺北市大同區朝陽里6鄰南京西路185巷6號,301685.297,2771893.242
60034,臺北市大同區哈密街63巷1號,臺北市大同區保安里9鄰哈密街63巷1之2號,301980.389,2774093.143
60035,臺北市大同區迪化街一段268號,臺北市大同區南芳里1鄰迪化街一段268號,301380.491,2772601.204
60036,臺北市大同區重慶北路１段２６巷６０號,臺北市大同區建功里18鄰重慶北路一段26巷60號,301708.839,2771522.07
60037,臺北市大同區重慶北路３段２８３號,臺北市大同區保安里2鄰重慶北路三段283號,301856.002,2773906.818
60038,臺北市大同區重慶北路三段152巷10號,臺北市大同區國慶里7鄰重慶北路三段152巷10號,301760.762,2773416.081
60039,臺北市大同區重慶北路三段393號,臺北市大同區重慶里7鄰重慶北路三段393號,301888.936,2774316.772
60040,臺北市大同區酒泉街１０２號,臺北市大同區至聖里21鄰酒泉街102號,301888.137,2773844.566
60041,臺北市大同區酒泉街１６１號,臺北市大同區老師里1鄰酒泉街161號,301758.277,2773870.388
60042,臺北市大同區酒泉街162號,臺北市大同區鄰江里25鄰酒泉街162號,301634.197,2773851.918
60043,臺北市大同區華亭街６號,臺北市大同區建功里9鄰華亭街6號,301779.62,2771650.775
60044,臺北市大同區錦西街38巷36號,臺北市大同區雙連里32鄰錦西街38巷36號,302504.268,2772436.544
60045,臺北市大同區環河北路二段155號,臺北市大同區國順里5鄰環河北路二段155號,301364.328,2773350.443
60046,臺北市大同區歸綏街132號,臺北市大同區雙連里28鄰歸綏街132號,301924.844,2772329.508
60047,臺北市大同區歸綏街９７巷２弄２３號,臺北市大同區雙連里23鄰歸綏街97巷2弄1號,302067.844,2772401.587
60048,臺北市大同區雙連街５８號,臺北市大同區雙連里12鄰雙連街2號,302372.677,2772270.774
60049,臺北市大安區仁愛路３段２４巷１弄８號,臺北市大安區民炤里18鄰仁愛路三段24巷1弄8號,304116.744,2770001.806
60050,臺北市大安區仁愛路４段２５號,臺北市大安區仁愛里5鄰仁愛路四段25號,304969.97,2770123.203
60051,臺北市大安區仁愛路四段112巷9弄3號,臺北市大安區敦安里18鄰仁愛路四段112巷9弄3號,305491.559,2769966.678
60052,臺北市大安區文昌街２５０巷２弄２號,臺北市大安區通化里7鄰文昌街250巷2弄2號,306074.683,2769429.94
60053,臺北市大安區文昌街280巷49號,臺北市大安區通化里13鄰文昌街280巷49號,306202.787,2769372.612
60054,臺北市大安區四維路157號,臺北市大安區龍雲里19鄰四維路157號,305310.125,2769073.336
60055,臺北市大安區光復南路２９０巷３號,臺北市大安區正聲里16鄰光復南路290巷3號,306212.458,2770239.149
60056,臺北市大安區光復南路420巷21號,臺北市大安區光信里13鄰光復南路420巷21號,306133.365,2769925.364
60057,臺北市大安區光復南路６１６號,臺北市大安區通化里4鄰光復南路616號,306238.852,2769465.417
60058,臺北市大安區安居街124巷20號,臺北市大安區黎元里14鄰安居街124巷20號,305633.935,2767946.248
60059,臺北市大安區安居街35巷16號,臺北市大安區黎孝里18鄰安居街35巷16號,306030.279,2768046.806
60060,臺北市大安區安居街60巷5號,臺北市大安區黎孝里6鄰安居街60巷5號,305874.875,2768140.419
60061,臺北市大安區和平東路１段２７４號,臺北市大安區龍坡里6鄰和平東路一段274號,303891.883,2768758.98
60062,臺北市大安區和平東路１段８７號,臺北市大安區錦華里18鄰和平東路一段87號,303043.691,2768873.384
60063,臺北市大安區和平東路２段１１５號,臺北市大安區龍生里7鄰和平東路二段115號,304546.081,2768708.008
60064,臺北市大安區和平東路２段１７７號,臺北市大安區龍生里4鄰和平東路二段177號,304685.172,2768688.023
60065,臺北市大安區和平東路三段127號,臺北市大安區全安里5鄰和平東路三段127號,305687.57,2768611.009
60066,臺北市大安區和平東路三段212巷52號,臺北市大安區芳和里17鄰和平東路三段212巷52號,305771.026,2768214.925
60067,臺北市大安區和平東路三段346巷7號,臺北市大安區黎和里3鄰和平東路三段346巷7號,306257.957,2768024.152
